QM Energy	FF Energy
     -3.5087e-05    -3.36259e-05
     -0.00026745    -0.000266853
       -1.67e-05    -1.45191e-05
     -1.3573e-05     -1.1783e-05
     -4.4228e-05    -3.71922e-05
    -0.000269738    -0.000333344
    -0.000580594    -0.000621355
     -0.00070957    -0.000738742
     -6.7637e-05    -8.85616e-05
     -8.4612e-05    -8.52387e-05
     -4.0697e-05    -4.20057e-05
     -9.3918e-05    -8.64082e-05
     -6.2055e-05    -5.52456e-05
      -8.934e-06    -8.88122e-06
      -6.284e-06    -6.47702e-06
     -3.8864e-05    -3.60179e-05
       -3.81e-06    -4.57714e-06
    -0.000250923    -0.000233759
     -0.00020859     -0.00023497
     -6.0238e-05    -6.95733e-05
      -7.629e-06    -1.15283e-05
     -2.8188e-05     -2.5178e-05
      -8.153e-06    -8.39166e-06
    -0.000208859     -0.00020133
      -7.647e-06     -1.4786e-05
     -7.3348e-05    -7.64932e-05
     -6.1496e-05    -6.25704e-05
    -0.000186273    -0.000179876
     -5.0227e-05    -4.17294e-05
     -5.1206e-05    -4.55062e-05
      -0.0001222    -0.000141447
     -0.00060676    -0.000624483
    -0.000148053    -0.000157749
    -0.000231592    -0.000267844
    -0.000492671    -0.000388263
     -4.4252e-05    -3.78214e-05
    -0.000297976    -0.000309619
    -0.000239885    -0.000304761
      -1.165e-05    -1.76516e-05
     -5.9714e-05    -5.11247e-05
    -0.000382363    -0.000332368
    -0.000118572    -0.000107494
    -0.000948619     -0.00099214
     -8.0996e-05    -8.37889e-05
     -1.3293e-05    -1.23637e-05
    -0.000113404    -9.94949e-05
    -0.000895055    -0.000891644
     -6.7709e-05    -6.98281e-05
    -0.000396531    -0.000426021
     -2.7083e-05    -2.30844e-05
    -0.000146792    -0.000144722
    -0.000653231    -0.000561805
    -0.000144987     -0.00013158
    -0.000705778    -0.000727012
     -7.4134e-05    -9.22067e-05
     -6.6048e-05    -6.40984e-05
     -5.3141e-05    -4.73515e-05
    -0.000502469     -0.00047705
     -2.4316e-05     -1.9671e-05
     -6.8879e-05    -8.97543e-05
    -0.000231337    -0.000254763
    -0.000473716    -0.000454355
     -1.7691e-05    -2.21279e-05
     -5.6427e-05      -5.516e-05
    -0.000303606    -0.000315608
     -8.2845e-05    -0.000141387
    -0.000679558    -0.000717758
      -9.169e-06    -8.75315e-06
      -0.0006674    -0.000614045
    -0.000106051    -0.000149405
    -0.000117947    -0.000108033
    -0.000169402    -0.000197915
     -3.6868e-05    -4.21654e-05
     -4.6875e-05    -6.14464e-05
