QM Energy	FF Energy
     -2.9652e-05    -4.59242e-05
     -0.00462176     -0.00439831
    -0.000174905    -0.000200463
     -7.0262e-05    -8.45296e-05
     -8.5585e-05    -8.88697e-05
    -0.000259881    -0.000314781
    -0.000389785    -0.000416285
     -5.0086e-05    -6.57894e-05
     -0.00266975     -0.00301546
     -0.00306833     -0.00317537
    -0.000965364     -0.00116532
       -0.012273      -0.0119279
    -0.000278688    -0.000303227
     -0.00102808     -0.00110278
     -0.00710815     -0.00785669
      -3.951e-05    -1.51554e-05
    -0.000423987    -0.000451821
    -0.000238043    -0.000268134
     -4.3631e-05     -7.8844e-05
      -1.535e-05    -3.80625e-05
     -0.00513087     -0.00479004
    -0.000327364    -0.000344542
     -5.4619e-05     -9.5917e-05
     -0.00147897     -0.00182999
     -2.2915e-05     -3.8237e-05
     -2.4146e-05    -3.33728e-05
    -0.000170191      -0.0001919
     -0.00702753     -0.00689578
    -0.000299679    -0.000232929
    -0.000305408    -0.000224949
     -0.00465425      -0.0054135
    -0.000526303    -0.000538885
     -2.3817e-05    -4.02965e-05
     -0.00212247     -0.00207971
     -1.6286e-05    -1.14984e-05
    -0.000720326    -0.000714151
    -0.000155749    -0.000101949
    -0.000152623    -0.000155378
    -0.000138858    -0.000166112
     -0.00100733    -0.000959063
    -0.000476039    -0.000426627
     -2.9591e-05    -3.56353e-05
    -0.000492796    -0.000549733
    -0.000908487      -0.0010414
    -0.000434588    -0.000494331
     -0.00126697     -0.00128987
     -6.0519e-05    -5.38517e-05
     -0.00170684     -0.00204968
     -3.5859e-05     1.23217e-06
     -0.00370163      -0.0036474
     -0.00107212    -0.000954028
     -6.8321e-05    -8.25566e-05
      -2.654e-05    -3.68964e-05
     -0.00166093     -0.00169902
     -8.6572e-05    -9.90492e-05
     -0.00802206     -0.00674129
    -0.000774111    -0.000914709
    -0.000393892    -0.000347707
     -0.00628837     -0.00624534
    -0.000976342     -0.00094748
     -0.00534605     -0.00620967
     -0.00176197     -0.00205132
     -0.00235495     -0.00223323
     -0.00069408    -0.000651804
     -0.00526383     -0.00457956
     -1.3095e-05     -3.4907e-05
    -0.000322497    -0.000418105
     -0.00579179     -0.00633993
    -0.000301348    -0.000324587
    -0.000280278    -0.000318774
     -0.00119536     -0.00150374
     -2.2971e-05    -1.39877e-05
     -2.4162e-05    -1.09072e-05
     -0.00175521     -0.00194086
    -0.000330301    -0.000226556
     -0.00226393     -0.00205113
     -3.6262e-05    -5.83997e-05
    -0.000434308    -0.000497912
     -0.00145525     -0.00143242
     -0.00129777     -0.00151319
    -0.000258729    -0.000281291
    -0.000621695    -0.000675767
    -0.000137349    -0.000136818
     -0.00012758    -0.000145414
    -0.000224083    -0.000283436
    -0.000142081    -0.000149673
     -3.5566e-05    -1.18541e-05
    -0.000715194    -0.000731749
     -3.8998e-05    -4.81372e-05
      -1.442e-05    -3.00639e-05
    -0.000654254    -0.000678681
     -0.00220229     -0.00248956
     -0.00500117     -0.00441254
     -0.00363924     -0.00425444
     -2.7816e-05    -3.41037e-05
     -0.00376154     -0.00362113
     -0.00012403     -4.1983e-05
     -5.2469e-05    -7.22333e-05
      -9.418e-06    -2.44911e-05
     -0.00209934     -0.00234648
     -8.8233e-05    -7.59085e-05
    -0.000312632    -0.000384081
     -2.8157e-05    -3.05213e-05
    -0.000173809    -0.000165746
     -0.00630048     -0.00631835
     -0.00185224     -0.00223962
    -0.000674189    -0.000741235
     -0.00360887     -0.00364226
    -0.000344329    -0.000359808
    -0.000233784    -0.000252119
    -0.000443968    -0.000339306
    -0.000188994    -0.000218187
     -7.0982e-05    -8.75092e-05
     -0.00293196     -0.00286883
     -4.8808e-05    -6.14266e-05
      -2.087e-05    -1.38037e-05
    -0.000436031    -0.000387168
    -0.000169039    -0.000152697
     -6.2515e-05    -1.86276e-05
     -3.6961e-05    -5.39556e-05
      -0.0124692      -0.0129085
     -1.3035e-05    -2.99872e-05
    -0.000141047    -0.000197086
     -5.9441e-05    -6.45857e-05
    -0.000541335    -0.000541215
     -0.00028026    -0.000291019
      -0.0014863     -0.00146307
    -0.000604746    -0.000528936
    -0.000641403    -0.000722439
     -0.00129378     -0.00131622
     -0.00132862     -0.00127258
      -0.0038847      -0.0037685
    -0.000368297     -0.00042021
    -0.000389629    -0.000444781
     -0.00137949     -0.00157299
    -0.000211335    -0.000255818
    -0.000316584    -0.000248143
    -0.000417445    -0.000489959
     -3.1517e-05    -4.21324e-05
    -0.000197413     -0.00026582
    -0.000784245    -0.000700537
     -5.5397e-05    -3.49676e-05
    -0.000156603    -0.000237307
     -0.00576594     -0.00665126
     -0.00130953     -0.00133057
    -0.000208113    -0.000287331
      -5.614e-05    -7.91513e-05
     -0.00149949     -0.00155926
      -0.0047111     -0.00431284
     -0.00560186     -0.00518262
     -6.3228e-05    -6.07786e-05
    -0.000179065    -0.000197858
    -0.000782442    -0.000786144
    -0.000682193    -0.000654214
    -0.000380138     -0.00049628
     -8.7409e-05    -0.000110434
    -0.000645517    -0.000490257
     -0.00214273     -0.00234592
     -6.2507e-05    -5.90655e-05
    -0.000562614    -0.000590078
     -1.6962e-05     -3.3521e-05
      -0.0198872      -0.0201033
    -0.000344349    -0.000378284
    -0.000600215    -0.000654748
    -0.000781434    -0.000728982
     -1.1209e-05    -1.22333e-05
    -0.000588623    -0.000482477
    -0.000248279    -0.000151174
     -6.7125e-05    -1.53351e-06
    -0.000580471    -0.000686526
     -0.00229108     -0.00242096
     -2.5608e-05    -4.35965e-05
     -0.00133635      -0.0012192
    -0.000393512    -0.000438119
     -0.00102539     -0.00101771
     -0.00575141     -0.00538485
     -4.3306e-05    -3.92793e-05
     -0.00204364     -0.00171012
    -0.000972629     -0.00096418
     -5.0743e-05    -7.29498e-05
      -2.393e-05     -4.6823e-05
     -0.00828401     -0.00807275
     -0.00573918     -0.00603492
    -0.000189891     -0.00027267
     -3.2513e-05    -1.72222e-05
     -5.5573e-05    -6.34817e-05
     -3.3282e-05    -3.36829e-05
     -0.00079676    -0.000674762
     -0.00842842      -0.0078716
     -4.2396e-05    -5.41587e-05
     -0.00023184    -0.000292903
     -5.5649e-05    -7.22402e-05
      -0.0131352       -0.011649
     -0.00509708     -0.00503323
     -0.00522764     -0.00417611
     -3.7898e-05    -3.03748e-05
     -9.5143e-05    -0.000143094
    -0.000131064    -0.000161801
     -0.00419975     -0.00365513
     -5.3279e-05    -6.39969e-05
    -0.000112128    -0.000172855
     -0.00161131     -0.00175682
     -5.5786e-05    -2.83768e-05
    -0.000245125    -0.000263158
    -0.000105113    -6.84675e-05
      -2.561e-05    -4.14799e-05
     -9.9192e-05    -0.000114442
     -0.00109214      -0.0012767
    -0.000849555    -0.000749185
     -5.8577e-05    -0.000104269
     -0.00651592     -0.00492637
    -0.000301599    -0.000279459
     -0.00136046     -0.00133604
     -9.9865e-05    -0.000122682
     -9.8696e-05    -5.54298e-05
     -1.1081e-05    -2.73476e-05
    -0.000247199    -0.000252955
    -0.000142154    -8.82064e-05
     -1.9267e-05    -6.19302e-06
     -9.7536e-05    -0.000111875
    -0.000224777    -0.000226047
    -0.000106987    -9.42269e-05
    -0.000684821    -0.000673716
     -4.2265e-05    -5.56522e-05
    -0.000390995    -0.000304711
    -0.000366319    -0.000393434
    -0.000202049    -0.000256094
     -0.00030131    -0.000192424
     -7.6556e-05    -0.000111561
     -6.2231e-05    -9.51242e-05
     -0.00107474    -0.000913713
     -4.4903e-05    -2.42449e-05
    -0.000737086     -0.00077283
    -0.000141838    -0.000204742
     -8.1172e-05    -7.93291e-05
     -0.00805032     -0.00736059
    -0.000111998    -9.46393e-05
     -8.8784e-05    -0.000119837
     -4.5926e-05    -5.82157e-05
     -0.00270997     -0.00271102
    -0.000998459     -0.00101776
    -0.000153205    -0.000139714
     -0.00243956     -0.00242627
     -0.00229587      -0.0021592
     -0.00597092     -0.00476588
     -7.6689e-05    -8.47621e-05
    -0.000336493    -0.000323295
      -6.459e-05     -7.6754e-05
      -0.0012928     -0.00147937
