QM Energy	FF Energy
      -5.548e-06    -5.70796e-06
    -0.000598697    -0.000564764
     -3.2475e-05    -4.78337e-05
     -1.1445e-05    -1.05032e-05
     -1.4011e-05    -9.75076e-06
     -3.8717e-05    -5.45685e-05
     -9.6116e-05    -6.88775e-05
      -5.824e-06    -5.80925e-06
    -0.000412065    -0.000427572
    -0.000364994    -0.000287223
    -0.000156951    -0.000158652
     -0.00129775     -0.00172818
     -3.4365e-05    -5.09757e-05
    -0.000259792    -0.000192617
     -0.00119156     -0.00143408
      -3.191e-06    -4.02054e-06
     -7.0953e-05    -9.52522e-05
     -4.1237e-05     -5.2325e-05
      -6.814e-06    -1.08228e-05
      -3.116e-06    -2.77084e-06
    -0.000532563    -0.000408638
     -7.0334e-05    -5.44166e-05
     -1.0241e-05    -1.21845e-05
    -0.000259117    -0.000322593
      -3.121e-06    -2.31886e-06
      -3.725e-06    -6.77148e-06
     -3.9752e-05    -2.89013e-05
    -0.000828132    -0.000798297
     -3.1452e-05    -3.27021e-05
      -3.203e-05    -3.07482e-05
    -0.000801596    -0.000890514
     -6.1128e-05    -5.68405e-05
      -4.559e-06    -4.48736e-06
    -0.000508598    -0.000373886
      -2.344e-06    -4.84577e-06
     -9.6106e-05    -0.000104102
      -1.558e-05    -1.79815e-05
     -2.2175e-05    -2.92767e-05
     -1.9865e-05    -3.03375e-05
    -0.000130758    -0.000124802
     -5.5302e-05    -5.96618e-05
      -4.802e-06    -8.45418e-06
     -7.9007e-05    -0.000102107
    -0.000134847    -0.000138919
     -5.5365e-05    -6.12243e-05
    -0.000178937    -0.000169393
      -7.956e-06    -1.06859e-05
    -0.000305534    -0.000370185
      -2.668e-06    -3.74236e-06
    -0.000604781    -0.000569283
    -0.000129621    -0.000114783
      -8.686e-06    -1.45008e-05
      -3.784e-06    -5.63396e-06
    -0.000398228     -0.00029941
     -1.4365e-05    -1.95488e-05
     -0.00111652     -0.00124251
    -0.000140628     -0.00018632
      -6.021e-05    -7.08845e-05
    -0.000972664    -0.000938452
    -0.000139409     -0.00016462
    -0.000839336    -0.000827979
    -0.000347502    -0.000417131
    -0.000285834    -0.000247003
    -0.000170568    -0.000112338
     -0.00092435    -0.000903368
      -2.666e-06    -2.32411e-06
     -4.8723e-05    -6.26934e-05
     -0.00104947     -0.00109719
     -4.3031e-05    -6.02682e-05
     -5.2602e-05    -7.33254e-05
    -0.000170978    -0.000196501
