QM Energy	FF Energy
      -5.548e-06    -7.41839e-06
    -0.000598697    -0.000493885
     -3.2475e-05    -3.89304e-05
     -1.1445e-05    -1.33474e-05
     -1.4011e-05    -1.30094e-05
     -3.8717e-05    -4.57335e-05
     -9.6116e-05     -8.8347e-05
      -5.824e-06    -6.21714e-06
    -0.000412065    -0.000382104
    -0.000364994    -0.000248697
    -0.000156951    -0.000157339
     -0.00129775     -0.00151044
     -3.4365e-05    -4.08726e-05
    -0.000259792    -0.000231887
     -0.00119156     -0.00130227
      -3.191e-06    -3.67551e-06
     -7.0953e-05    -7.85141e-05
     -4.1237e-05    -4.29929e-05
      -6.814e-06    -9.11399e-06
      -3.116e-06    -3.62719e-06
    -0.000532563    -0.000340547
     -7.0334e-05    -6.87412e-05
     -1.0241e-05    -1.35641e-05
    -0.000259117    -0.000312326
      -3.121e-06    -3.04021e-06
      -3.725e-06    -5.23109e-06
     -3.9752e-05    -3.85637e-05
    -0.000828132     -0.00073668
     -3.1452e-05    -2.66077e-05
      -3.203e-05    -2.56596e-05
    -0.000801596    -0.000852286
     -6.1128e-05    -5.08424e-05
      -4.559e-06    -5.94861e-06
    -0.000508598    -0.000434629
      -2.344e-06    -3.74225e-06
     -9.6106e-05    -9.80313e-05
      -1.558e-05    -1.48102e-05
     -2.2175e-05    -2.33356e-05
     -1.9865e-05    -2.38944e-05
    -0.000130758    -0.000119088
     -5.5302e-05    -4.88841e-05
      -4.802e-06    -6.53955e-06
     -7.9007e-05    -8.36149e-05
    -0.000134847    -0.000142703
     -5.5365e-05    -5.94584e-05
    -0.000178937    -0.000170662
      -7.956e-06    -8.29195e-06
    -0.000305534    -0.000336067
      -2.668e-06    -3.10963e-06
    -0.000604781    -0.000486975
    -0.000129621    -0.000100519
      -8.686e-06    -1.12725e-05
      -3.784e-06    -4.32276e-06
    -0.000398228    -0.000350577
     -1.4365e-05    -1.55489e-05
     -0.00111652     -0.00128658
    -0.000140628    -0.000156741
      -6.021e-05    -5.78047e-05
    -0.000972664    -0.000948135
    -0.000139409    -0.000136262
    -0.000839336     -0.00079285
    -0.000347502    -0.000363907
    -0.000285834    -0.000203049
    -0.000170568    -0.000142112
     -0.00092435     -0.00079572
      -2.666e-06    -3.07064e-06
     -4.8723e-05     -5.4241e-05
     -0.00104947    -0.000983904
     -4.3031e-05    -4.83977e-05
     -5.2602e-05     -6.0431e-05
    -0.000170978    -0.000188525
      -2.337e-06    -3.97601e-06
      -2.259e-06    -3.61051e-06
    -0.000369375    -0.000364585
     -3.1588e-05    -2.09894e-05
    -0.000609751    -0.000460556
      -4.774e-06     -9.0754e-06
     -6.6427e-05    -7.07512e-05
    -0.000190678    -0.000162093
    -0.000235325    -0.000248962
     -3.7175e-05     -4.3065e-05
     -9.5097e-05    -0.000124126
     -1.6799e-05    -2.24744e-05
     -1.8747e-05     -2.3386e-05
       -4.76e-05    -4.84406e-05
     -2.4443e-05    -2.95341e-05
      -2.839e-06     -3.3404e-06
    -0.000109589    -0.000115346
      -5.757e-06    -7.83691e-06
      -2.365e-06     -2.6295e-06
     -9.4802e-05    -0.000102142
    -0.000484172    -0.000421592
    -0.000949498    -0.000821457
    -0.000628813    -0.000670116
      -3.218e-06    -4.18692e-06
    -0.000463778     -0.00033921
      -9.901e-06    -6.97252e-06
      -8.281e-06    -9.67601e-06
      -2.021e-06    -2.49091e-06
    -0.000429741    -0.000427929
      -8.712e-06    -1.00736e-05
     -5.7263e-05    -6.95727e-05
      -3.981e-06    -6.70915e-06
     -2.7379e-05    -2.76471e-05
    -0.000922191    -0.000826397
