QM Energy	FF Energy
     -0.00115186      -0.0013174
     -4.1464e-05    -4.80375e-05
     -0.00328657     -0.00291321
     -2.7324e-05    -4.33506e-05
     -0.00269296     -0.00340185
     -0.00134147     -0.00223746
      -3.239e-05    -7.33675e-05
     -3.2033e-05    -3.94914e-06
     -4.3806e-05    -0.000123254
    -0.000581709    -0.000557218
     -0.00241993     -0.00229845
    -0.000269971    -0.000230736
     -9.0312e-05    -8.38509e-05
     -4.1054e-05    -4.88512e-05
    -0.000280648    -0.000587959
    -0.000632253    -0.000938003
      -0.0029009     -0.00375155
     -0.00192528      -0.0015683
      -0.0013322     -0.00120789
     -1.1019e-05    -3.30191e-05
    -0.000953008     -0.00137663
     -0.00299498      -0.0022607
    -0.000370887    -0.000316895
    -0.000183956    -0.000401165
    -0.000902152     -0.00083235
     -0.00507892     -0.00369465
     -0.00388456      -0.0052601
     -4.9555e-05    -0.000106448
     -0.00313994     -0.00324327
     -8.2811e-05    -4.46101e-05
     -0.00022124    -0.000168259
    -0.000234228     -0.00036483
    -0.000152668    -0.000268442
    -0.000537661    -0.000883353
     -0.00210747     -0.00232605
    -0.000304682    -0.000262023
     -0.00142549     -0.00186249
     -0.00784208     -0.00566235
     -0.00221082      -0.0015864
     -0.00187619     -0.00243831
     -6.8277e-05    -8.02289e-05
    -0.000182032    -0.000253369
    -0.000114479    -0.000183184
     -0.00120385     -0.00179031
     -3.2126e-05    -8.96353e-05
     -0.00020632    -0.000173188
    -0.000728328    -0.000907392
     -1.1651e-05    -3.79411e-05
      -0.0101238     -0.00942854
     -2.3874e-05    -1.53284e-05
    -0.000210084    -0.000167646
    -0.000424492    -0.000516977
    -0.000141328    -0.000235114
     -0.00368002     -0.00391548
    -0.000212444     -0.00048803
     -5.1881e-05    -3.43208e-05
     -2.6785e-05    -4.75252e-05
     -6.4745e-05    -7.70593e-05
    -0.000354668    -0.000348572
    -0.000287168    -0.000278373
    -0.000915334     -0.00122445
    -0.000577396    -0.000615946
      -0.0112095      -0.0109439
    -0.000386365    -0.000572235
      -0.0068942     -0.00707258
      -0.0111039      -0.0104674
    -0.000958131    -0.000747611
     -0.00602415     -0.00601291
      -6.458e-06    -2.88394e-05
    -0.000116708    -0.000198378
     -3.6973e-05    -7.21996e-05
     -0.00555162     -0.00704359
     -0.00736724      -0.0063371
     -6.8705e-05    -3.91868e-05
      -0.0129844      -0.0149753
    -0.000154943    -0.000231534
    -0.000127021    -0.000106702
    -0.000234663     -0.00026016
     -0.00180066     -0.00193868
    -0.000436912    -0.000703083
      -0.0110876     -0.00849394
    -0.000109064     -0.00020383
     -0.00324777     -0.00285809
     -1.7118e-05    -5.39558e-05
    -0.000290006    -0.000242322
     -0.00245327     -0.00232446
    -0.000215506    -0.000284062
     -6.3953e-05     -8.3264e-05
     -0.00015222    -0.000245816
    -0.000188028    -0.000274769
       -0.001092      -0.0012858
     -0.00384735     -0.00387855
     -0.00115953     -0.00096024
    -0.000389425    -0.000413434
     -9.9732e-05    -0.000236942
     -5.1764e-05    -5.61523e-05
     -0.00071911     -0.00053502
     -0.00102368    -0.000928983
    -0.000149006    -0.000267916
     -4.0439e-05     1.45944e-05
     -0.00843035     -0.00713018
     -0.00546113     -0.00684358
     -0.00139407     -0.00167616
    -0.000272476    -0.000412608
     -2.5293e-05    -2.61647e-05
    -0.000717362     -0.00052254
     -0.00211252     -0.00268953
    -0.000975352      -0.0011974
     -1.1214e-05    -3.07615e-05
     -0.00422083     -0.00559001
      -0.0135639      -0.0121789
     -0.00014902    -0.000164947
    -0.000137427    -0.000302579
     -2.3772e-05    -6.41927e-05
    -0.000363023    -0.000460381
    -0.000101867    -0.000169606
      -0.0138484       -0.011354
     -0.00343576      -0.0028014
     -0.00215885     -0.00158349
    -0.000823455     -0.00122163
     -1.6798e-05    -5.46419e-05
     -4.8326e-05     -5.0604e-05
      -0.0030087     -0.00367392
      -0.0075537     -0.00808594
    -0.000109411    -0.000249296
    -0.000253869    -0.000454629
      -0.0106309      -0.0145749
    -0.000192786    -0.000156496
    -0.000621205    -0.000904758
    -0.000807568     -0.00064047
     -2.9983e-05    -5.47632e-05
    -0.000144379    -0.000112065
    -0.000312105    -0.000479087
     -2.0051e-05    -5.00184e-05
     -0.00249683     -0.00276914
      -0.0018231     -0.00131007
     -3.1146e-05     -7.9153e-05
       -0.014224      -0.0144673
     -0.00422849     -0.00343897
     -0.00759972     -0.00888326
     -0.00360656     -0.00390131
    -0.000190101    -0.000416142
     -1.3567e-05    -3.57769e-05
     -5.2086e-05    -0.000134022
     -0.00410371     -0.00557681
    -0.000382562    -0.000761342
    -0.000368369    -0.000270288
      -6.657e-06     -2.9722e-05
    -0.000405635    -0.000681758
