QM Energy	FF Energy
    -0.000194837    -0.000185606
     -2.9017e-05    -2.55092e-05
    -0.000444148    -0.000468093
      -7.241e-06    -6.97457e-06
     -0.00052482    -0.000462415
    -0.000184421    -0.000185165
      -1.123e-05    -1.09999e-05
     -3.6342e-05    -3.05957e-05
     -1.9516e-05     -1.7588e-05
     -7.3417e-05    -8.11962e-05
    -0.000620526    -0.000518629
     -1.7275e-05    -2.35769e-05
      -4.979e-06    -6.73544e-06
       -5.17e-06    -5.40138e-06
     -6.0117e-05     -5.8182e-05
    -0.000117709    -0.000111843
    -0.000371791    -0.000350762
     -6.6552e-05    -0.000126713
    -0.000127492    -0.000149977
     -1.0739e-05    -9.56095e-06
    -0.000152705    -0.000146505
     -7.0253e-05     -0.00015981
    -0.000141232    -0.000127397
     -4.6779e-05    -4.31087e-05
    -0.000214768    -0.000203276
     -0.00039277    -0.000397083
    -0.000339841    -0.000383731
     -2.9482e-05    -2.57203e-05
    -0.000367522    -0.000381008
     -6.2723e-05    -5.44152e-05
    -0.000113011    -9.75108e-05
     -8.9417e-05     -7.8623e-05
     -5.3803e-05    -4.63535e-05
     -9.9686e-05    -9.52613e-05
    -0.000569321    -0.000480239
     -3.9382e-05    -4.19349e-05
    -0.000309857     -0.00026945
    -0.000634392    -0.000546209
      -7.796e-06    -8.94806e-05
    -0.000396317    -0.000355066
     -3.9633e-05    -3.22192e-05
      -6.444e-05    -5.37204e-05
     -4.7006e-05    -3.92753e-05
    -0.000236843    -0.000220893
     -1.6253e-05    -1.47663e-05
     -9.9584e-05    -8.58583e-05
     -0.00014335    -0.000132874
     -1.4489e-05    -1.25425e-05
     -0.00107997    -0.000903002
      -2.373e-05    -1.92571e-05
      -4.631e-06    -1.03344e-05
    -0.000148962    -0.000131445
     -5.9802e-05    -5.08965e-05
    -0.000393776    -0.000425233
     -4.5613e-05     -4.4571e-05
     -4.0038e-05    -3.44359e-05
     -1.9903e-05    -1.70019e-05
      -3.826e-05    -3.41935e-05
     -8.7114e-05    -8.14807e-05
    -0.000105836    -9.58953e-05
    -0.000253245    -0.000221686
    -0.000106397    -0.000106772
     -0.00122319    -0.000922738
     -8.6338e-05    -8.52167e-05
    -0.000674208    -0.000647817
     -0.00103924    -0.000803382
     -1.4235e-05    -4.91083e-05
    -0.000601424    -0.000613157
     -1.0866e-05    -9.65695e-06
     -5.1982e-05    -4.61877e-05
     -2.3473e-05    -1.95196e-05
    -0.000723883    -0.000610729
    -0.000822252     -0.00079544
     -5.4631e-05    -4.57237e-05
     -0.00158763      -0.0010094
     -7.3534e-05    -6.44117e-05
     -7.0426e-05    -6.17541e-05
     -8.7898e-05    -7.72841e-05
    -0.000508197    -0.000431627
     -9.1561e-05    -8.54872e-05
    -0.000747943    -0.000607783
     -4.7729e-05    -4.19915e-05
    -0.000436113    -0.000478105
     -1.2467e-05    -1.11701e-05
      -8.758e-06    -1.73919e-05
    -0.000344359    -0.000362363
     -8.7947e-05    -7.77162e-05
     -1.1574e-05    -1.19774e-05
     -6.5354e-05    -5.76315e-05
      -6.321e-05    -5.37619e-05
    -0.000301966    -0.000267602
    -0.000532578    -0.000496241
    -0.000275398    -0.000267035
    -0.000121995    -0.000110975
     -2.6549e-05    -2.62461e-05
      -3.909e-06    -4.70946e-06
      -4.001e-06    -3.00837e-05
    -0.000234283    -0.000225419
     -4.9806e-05    -4.30851e-05
     -5.7337e-05    -4.84489e-05
    -0.000952161    -0.000889008
    -0.000508549    -0.000499083
    -0.000403103     -0.00034348
     -7.5452e-05    -6.79746e-05
     -2.2639e-05    -1.87009e-05
      -1.051e-06    -2.72877e-05
    -0.000243261    -0.000262048
    -0.000172676    -0.000159932
     -1.2427e-05    -1.04741e-05
    -0.000439402    -0.000427233
     -0.00161204     -0.00111151
     -1.4209e-05    -1.76438e-05
     -4.0995e-05    -3.66847e-05
     -1.6564e-05    -1.42036e-05
     -9.8068e-05    -8.51957e-05
     -3.5108e-05    -3.30062e-05
     -0.00175217     -0.00124643
    -0.000435347    -0.000410151
    -0.000112789    -0.000158441
    -0.000194015    -0.000175507
     -1.3236e-05    -1.13832e-05
     -3.3919e-05    -2.98892e-05
    -0.000677206    -0.000560078
    -0.000892562    -0.000722641
     -3.5939e-05    -3.27669e-05
     -6.4777e-05    -5.83622e-05
     -0.00116702    -0.000835313
     -9.8709e-05    -8.56376e-05
      -9.584e-05    -0.000103381
      -6.575e-05    -8.06979e-05
      -9.153e-06    -8.93815e-06
     -8.3447e-05    -7.15632e-05
     -8.6385e-05    -7.50214e-05
      -2.119e-05    -1.83974e-05
    -0.000298978    -0.000318656
     -3.5163e-05     -9.3888e-05
     -2.0162e-05     -1.7851e-05
     -0.00177458     -0.00108733
    -0.000244568    -0.000309476
    -0.000852145    -0.000698078
    -0.000684149    -0.000585899
     -4.7507e-05      -4.511e-05
     -1.3005e-05    -1.08692e-05
     -1.8111e-05    -1.72869e-05
    -0.000396399    -0.000421793
     -6.3042e-05    -6.71086e-05
        -1.1e-06    -1.29912e-05
     -1.1035e-05    -9.65512e-06
     -9.1543e-05    -8.33121e-05
    -0.000341563    -0.000380968
    -0.000259306    -0.000261061
     -8.2262e-05    -7.11887e-05
      -5.048e-05    -4.27313e-05
    -0.000201269    -0.000183633
    -0.000302938    -0.000298534
     -5.3428e-05    -5.33211e-05
       -0.001786     -0.00113824
      -4.985e-06     -1.0749e-05
     -0.00021444    -0.000190194
     -7.7556e-05    -7.05735e-05
    -0.000148048    -0.000138463
    -0.000816261    -0.000791213
      -6.349e-05    -5.35591e-05
    -0.000135721    -0.000117598
     -3.1425e-05    -2.58107e-05
    -0.000302968    -0.000305079
     -6.8102e-05    -5.96876e-05
    -0.000733364    -0.000646954
    -0.000632289    -0.000563054
      -9.794e-06    -9.76339e-06
      -0.0001072    -9.38129e-05
     -1.6728e-05      -1.496e-05
     -8.2203e-05    -0.000108325
    -0.000142902     -0.00027451
     -1.4521e-05    -1.25603e-05
    -0.000526731    -0.000473846
     -4.2569e-05    -3.61408e-05
      -4.494e-05    -3.92114e-05
    -0.000250964    -0.000270144
     -5.9238e-05    -4.98562e-05
    -0.000555117    -0.000465439
    -0.000140706    -0.000130816
    -0.000268121    -0.000258914
     -4.0053e-05     -3.5107e-05
     -2.6882e-05    -2.32555e-05
     -1.8473e-05    -1.89664e-05
     -3.0855e-05    -2.61183e-05
    -0.000400188    -0.000349531
    -0.000717944     -0.00058566
     -5.9579e-05    -5.37454e-05
    -0.000111335    -9.71644e-05
    -0.000119796    -0.000112268
     -0.00119598     -0.00072942
     -9.0127e-05     -9.4373e-05
     -2.3779e-05     -4.4729e-05
     -1.6794e-05    -1.46788e-05
     -7.2211e-05    -6.44854e-05
     -1.3404e-05    -1.46412e-05
    -0.000308593    -0.000267305
     -3.4863e-05    -3.01613e-05
    -0.000288798    -0.000316236
    -0.000129522      -0.0001216
     -4.1446e-05    -4.56403e-05
     -7.5566e-05    -6.79628e-05
    -0.000626633     -0.00056905
     -2.8817e-05    -2.47203e-05
     -2.6561e-05    -2.19593e-05
     -1.9771e-05    -1.72187e-05
    -0.000524553       -0.000531
    -0.000132396    -0.000236962
     -4.5919e-05    -3.79778e-05
    -0.000716217    -0.000648185
    -0.000874424    -0.000752532
     -8.5539e-05    -7.37883e-05
    -0.000762962    -0.000615066
    -0.000118269    -0.000106186
    -0.000240654    -0.000227684
    -0.000137233    -0.000136558
    -0.000992079    -0.000769579
     -8.7542e-05    -8.23807e-05
     -0.00122963     -0.00105476
     -3.2657e-05    -2.90067e-05
    -0.000532623    -0.000477065
    -0.000699438    -0.000602349
     -0.00052178    -0.000520142
     -4.4716e-05    -4.37789e-05
    -0.000152115    -0.000143493
    -0.000526662    -0.000545092
    -0.000533368    -0.000473407
     -7.7559e-05    -6.81068e-05
     -0.00017686    -0.000263043
     -6.1656e-05    -0.000148304
     -4.8815e-05    -4.44029e-05
     -6.0426e-05    -5.34829e-05
     -1.2796e-05    -1.62523e-05
    -0.000255201    -0.000249453
     -1.2147e-05    -1.18656e-05
    -0.000574518    -0.000562861
     -1.1396e-05    -9.95729e-06
     -1.5638e-05    -1.38538e-05
    -0.000315552    -0.000328606
     -7.1234e-05     -6.7628e-05
     -2.7811e-05    -3.36863e-05
    -0.000134247    -0.000121028
    -0.000179493    -0.000159739
     -8.6457e-05    -0.000121095
      -7.618e-06    -8.61189e-06
      -9.617e-06    -9.73963e-06
     -2.7923e-05    -2.33013e-05
     -5.8987e-05    -4.88271e-05
    -0.000172968    -0.000194763
    -0.000329281    -0.000353396
    -0.000157583    -0.000163884
     -4.0522e-05    -3.59367e-05
    -0.000192611     -0.00018128
    -0.000299949    -0.000352177
     -1.6586e-05    -1.49108e-05
     -0.00155139     -0.00105474
    -0.000273452    -0.000281154
    -0.000209057    -0.000202168
    -0.000983235    -0.000774039
     -0.00055466    -0.000515765
     -3.2755e-05    -2.74832e-05
     -1.0373e-05     -9.2656e-06
     -1.6752e-05    -1.68458e-05
    -0.000473662    -0.000503688
      -2.055e-05    -1.96823e-05
     -1.3089e-05       -1.12e-05
     -9.7921e-05    -8.31506e-05
     -4.0585e-05    -3.68909e-05
     -1.2125e-05    -1.14372e-05
      -9.212e-05    -9.40779e-05
      -8.265e-06    -1.00178e-05
     -8.0482e-05    -7.34585e-05
     -0.00153273     -0.00117566
     -4.8165e-05    -4.06043e-05
     -5.8069e-05    -5.13254e-05
     -5.5221e-05    -4.82353e-05
       -8.48e-06    -8.31416e-06
     -0.00195616     -0.00125454
     -5.8258e-05    -6.59286e-05
     -7.5503e-05    -6.57303e-05
     -5.5873e-05    -4.67013e-05
     -4.3549e-05    -4.02481e-05
    -0.000566209    -0.000527918
     -7.8961e-05    -9.22188e-05
    -0.000103215    -9.10856e-05
     -4.0042e-05    -3.44779e-05
    -0.000225855    -0.000228074
    -0.000413202    -0.000364108
    -0.000255894    -0.000240328
    -0.000116631    -0.000103976
    -0.000654059    -0.000585675
    -0.000138061    -0.000135502
     -1.3514e-05    -1.30997e-05
    -0.000204358    -0.000201243
     -2.0935e-05    -1.75362e-05
    -0.000335025    -0.000309775
    -0.000101014    -8.75441e-05
      -3.979e-06    -2.36527e-05
    -0.000117994    -0.000104218
     -2.1908e-05    -1.80362e-05
    -0.000450376    -0.000387734
    -0.000545033    -0.000531726
    -0.000107215    -9.28381e-05
     -2.3196e-05    -1.90532e-05
    -0.000349919    -0.000361997
    -0.000200906    -0.000193981
     -3.7736e-05    -3.31157e-05
    -0.000170054    -0.000168739
    -0.000586235    -0.000618641
    -0.000292555    -0.000345535
     -1.9835e-05    -1.72826e-05
    -0.000349373    -0.000355926
     -7.9409e-05    -7.77265e-05
      -4.552e-06    -4.12055e-05
     -6.9454e-05     -5.8043e-05
      -1.025e-05    -8.96379e-06
     -1.3356e-05    -1.10665e-05
     -5.8209e-05    -5.23821e-05
     -0.00027083    -0.000262884
     -5.0164e-05    -4.53867e-05
    -0.000345368    -0.000333404
     -6.9269e-05     -5.9763e-05
     -5.7663e-05    -5.19602e-05
     -1.4766e-05    -1.33765e-05
     -4.4775e-05    -3.79429e-05
    -0.000127155    -0.000111205
    -0.000261172    -0.000283364
     -1.2471e-05    -1.15212e-05
     -0.00022247    -0.000232856
     -7.8289e-05    -6.90992e-05
    -0.000226415    -0.000230267
     -1.7141e-05    -1.99719e-05
     -8.3479e-05    -7.37165e-05
     -1.1023e-05    -9.53679e-06
     -2.0159e-05    -1.71521e-05
    -0.000102394    -8.63542e-05
        7.61e-06    -5.92466e-05
     -8.7162e-05    -0.000113056
     -6.0259e-05    -6.18388e-05
     -9.1733e-05    -8.12212e-05
    -0.000186994      -0.0001754
    -0.000184473     -0.00019349
    -0.000593665    -0.000532843
     -3.0467e-05    -2.71712e-05
     -0.00015796    -0.000175984
     -1.1171e-05    -1.01707e-05
    -0.000108308    -9.45988e-05
     -1.2204e-05    -1.10496e-05
      -1.657e-05    -1.41385e-05
     -2.1539e-05    -2.23314e-05
    -0.000363062    -0.000387775
    -0.000305798    -0.000271006
     -2.4663e-05    -2.33882e-05
    -0.000269417    -0.000281672
      -8.052e-05    -7.08354e-05
    -0.000158871    -0.000151192
     -1.4729e-05    -1.47214e-05
     -1.5676e-05    -1.53509e-05
     -1.1809e-05    -1.03446e-05
    -0.000140733    -0.000136908
     -0.00079203    -0.000573971
     -5.3974e-05    -0.000135813
     -1.5356e-05    -1.37541e-05
     -8.0884e-05    -0.000100344
     -4.6758e-05    -3.91553e-05
    -0.000113518    -0.000100186
     -6.7681e-05    -5.72104e-05
     -6.1269e-05    -5.91153e-05
     -4.8535e-05    -3.94779e-05
    -0.000410126    -0.000376991
     -0.00140759    -0.000857953
      -9.534e-05    -8.02309e-05
      -3.866e-05    -3.37396e-05
    -0.000407026    -0.000431049
    -0.000718004    -0.000635663
    -0.000136045    -0.000230308
    -0.000308333    -0.000325117
      -2.752e-05    -2.25405e-05
     -1.8603e-05    -1.59955e-05
    -0.000291451    -0.000267601
    -0.000175561    -0.000258014
    -0.000125011    -0.000116247
     -1.5442e-05    -1.47387e-05
    -0.000643301    -0.000551808
     -0.00016378    -0.000145843
    -0.000773401    -0.000627387
    -0.000771082    -0.000617266
     -1.8381e-05    -1.73964e-05
    -0.000263287    -0.000263789
     -3.1468e-05    -2.66897e-05
    -0.000328012    -0.000338241
     -8.4869e-05    -7.19226e-05
     -8.8226e-05    -7.39669e-05
    -0.000185278    -0.000185445
     -1.3096e-05     -1.1527e-05
    -0.000334773    -0.000289057
     -4.5675e-05    -5.42769e-05
     -1.5459e-05    -1.34551e-05
    -0.000366613    -0.000423261
     -3.5489e-05    -3.18438e-05
    -0.000188336    -0.000193197
     -2.4735e-05    -2.09909e-05
       -2.74e-05    -2.24494e-05
    -0.000138074    -0.000141606
     -9.5366e-05    -9.34042e-05
     -4.2885e-05    -3.57038e-05
    -0.000272485    -0.000270823
    -0.000374286    -0.000322215
    -0.000199884    -0.000201036
    -0.000502482    -0.000458598
      -1.433e-05    -1.34601e-05
     -3.0748e-05    -2.62048e-05
     -3.8289e-05    -3.10775e-05
     -9.7398e-05    -8.28193e-05
     -0.00029801    -0.000276245
     -0.00157617     -0.00117153
    -0.000227956    -0.000232859
    -0.000922476    -0.000760718
    -0.000406744    -0.000384067
     -3.6857e-05     -3.9632e-05
    -0.000172346    -0.000154829
    -0.000387728    -0.000431434
    -0.000208482    -0.000200461
     -7.0865e-05    -5.96131e-05
    -0.000350308    -0.000309914
     -4.1995e-05    -0.000117013
    -0.000778813    -0.000639118
     -4.4201e-05    -3.67294e-05
    -0.000171886    -0.000153058
    -0.000437172    -0.000411037
    -0.000196504    -0.000215463
     -4.4158e-05     -3.7563e-05
     -1.0798e-05    -9.42959e-06
    -0.000224487    -0.000230518
    -0.000112727    -0.000102291
    -0.000111143    -0.000107296
     -4.2602e-05    -3.49149e-05
     -3.9305e-05     -3.5729e-05
     -0.00038152    -0.000356257
     -2.3983e-05    -2.05226e-05
    -0.000160712    -0.000146101
     -7.6969e-05    -8.19411e-05
     -7.8692e-05    -6.55987e-05
     -8.9643e-05    -7.75279e-05
     -1.0199e-05    -9.55196e-06
      -4.594e-05    -3.81749e-05
    -0.000364231    -0.000374649
     -5.0873e-05    -4.85383e-05
    -0.000259127    -0.000272112
    -0.000181394     -0.00015999
     -0.00010395    -0.000163531
     -5.2072e-05    -4.37216e-05
    -0.000141331    -0.000129072
      -3.154e-05    -2.71899e-05
     -0.00014382    -0.000133471
    -0.000929052     -0.00073442
    -0.000111878    -0.000112467
    -0.000458943    -0.000399948
     -1.8582e-05    -1.61632e-05
    -0.000254639     -0.00027502
     -3.5692e-05    -3.02417e-05
     -9.4615e-05    -9.40778e-05
    -0.000373419    -0.000331513
    -0.000177389    -0.000165367
    -0.000100257     -9.6071e-05
    -0.000289024    -0.000268201
     -2.7519e-05    -2.32523e-05
     -6.3188e-05    -7.53193e-05
     -7.1738e-05    -6.73584e-05
     -0.00107913    -0.000907973
       5.453e-06    -5.73052e-05
    -0.000258893    -0.000228194
     -0.00103633    -0.000803376
    -0.000279896    -0.000284106
    -0.000749823    -0.000720321
     -2.3625e-05    -2.28382e-05
    -0.000533036    -0.000498933
     -7.9312e-05    -6.92682e-05
     -6.6499e-05    -5.62367e-05
      -6.209e-05    -6.25173e-05
    -0.000172587    -0.000150101
    -0.000371432    -0.000401384
     -5.9097e-05    -7.78486e-05
    -0.000133526     -0.00018388
    -0.000152214    -0.000132531
     -2.5642e-05    -2.24401e-05
     -3.2066e-05    -2.74679e-05
    -0.000285991    -0.000300586
    -0.000670005    -0.000563059
    -0.000359007     -0.00036356
     -2.1349e-05    -1.82227e-05
     -5.4943e-05    -4.64256e-05
    -0.000212446    -0.000208815
     -9.5082e-05    -8.37847e-05
    -0.000108319    -9.51265e-05
     -0.00016868    -0.000153695
    -0.000178233    -0.000203886
     -6.7548e-05    -5.85508e-05
       -5.75e-06    -7.04715e-06
     -7.9164e-05    -6.73912e-05
     -0.00113621    -0.000923054
     -6.6422e-05    -5.69384e-05
      -2.766e-05    -2.36641e-05
    -0.000107381    -0.000114922
      -9.831e-06    -1.05438e-05
     -1.6308e-05    -1.62037e-05
     -0.00113192      -0.0008412
    -0.000247537    -0.000252341
    -0.000333109    -0.000319253
     -0.00019756    -0.000185128
    -0.000409265    -0.000393702
     -1.5122e-05    -3.59139e-05
    -0.000138993    -0.000120002
    -0.000131893    -0.000158103
    -0.000123205    -0.000108149
     -1.0891e-05     -1.0192e-05
      -7.283e-06    -7.10348e-06
      -6.494e-05    -5.42277e-05
     -4.4986e-05    -3.91539e-05
     -5.2346e-05     -5.0941e-05
     -0.00012584    -0.000113597
      -7.654e-06    -2.18753e-05
     -9.7855e-05     -0.00013032
      -7.685e-06    -9.64722e-05
    -0.000686046    -0.000637949
    -0.000324913     -0.00028708
     -5.7543e-05    -5.16597e-05
    -0.000105887     -9.6178e-05
     -1.0143e-05    -1.11819e-05
     -3.6832e-05    -3.05239e-05
    -0.000446943    -0.000484868
      -3.883e-05    -3.19489e-05
     -3.1795e-05    -2.98754e-05
     -0.00054203    -0.000505871
     -3.0735e-05     -3.0022e-05
    -0.000320867    -0.000330508
     -2.8214e-05    -3.67964e-05
      -0.0002423    -0.000242829
     -1.9606e-05    -1.66621e-05
     -2.0292e-05     -1.7733e-05
     -4.0755e-05    -3.58395e-05
     -0.00011281    -0.000106292
    -0.000938789    -0.000620303
    -0.000219316    -0.000244615
    -0.000718043    -0.000592207
     -1.9848e-05    -1.66921e-05
     -3.9785e-05    -4.50655e-05
     -4.1795e-05    -3.56812e-05
    -0.000114578    -0.000166678
     -5.8663e-05    -5.30629e-05
     -3.7651e-05    -3.29271e-05
      -2.791e-05    -2.61498e-05
     -0.00049211    -0.000509813
     -8.0251e-05    -7.79733e-05
      -1.783e-05    -1.47998e-05
     -1.4278e-05    -1.17524e-05
    -0.000142936    -0.000179405
    -0.000244716    -0.000282376
     -2.1631e-05    -1.82742e-05
    -0.000142053    -0.000139106
    -0.000132538    -0.000125281
    -0.000540181    -0.000534471
     -1.2871e-05    -1.07973e-05
    -0.000147364     -0.00019932
     -6.1724e-05    -5.19766e-05
     -9.1099e-05    -7.70665e-05
    -0.000119372    -0.000117794
    -0.000279072    -0.000261892
     -3.6805e-05    -3.20237e-05
      -9.511e-06    -8.87213e-06
     -3.2544e-05     -3.1358e-05
    -0.000299375    -0.000265306
     -3.7255e-05    -3.17823e-05
     -2.5324e-05    -2.72996e-05
    -0.000401866    -0.000448623
     -3.6171e-05    -3.23088e-05
    -0.000349105    -0.000386725
     -1.1563e-05    -1.00123e-05
     -3.2739e-05    -2.73981e-05
     -3.3327e-05    -5.43144e-05
    -0.000133869    -0.000121119
     -0.00151815     -0.00115832
    -0.000172717    -0.000156167
     -4.2617e-05    -3.58643e-05
     -3.2735e-05    -2.99481e-05
     -6.1896e-05    -6.96017e-05
     -1.5796e-05    -1.96435e-05
     -3.1346e-05     -2.9123e-05
     -4.8056e-05    -4.12593e-05
      -4.639e-05    -4.62939e-05
    -0.000101841      -9.153e-05
    -0.000619122    -0.000551131
     -0.00021201    -0.000251648
    -0.000453218    -0.000483725
     -1.6756e-05    -5.87772e-05
    -0.000118249    -0.000107296
    -0.000246994    -0.000236999
      -8.475e-06    -8.13536e-06
     -2.7527e-05    -2.27751e-05
     -7.4181e-05    -6.46195e-05
    -0.000232979    -0.000216566
     -3.2779e-05    -2.96861e-05
     -2.8772e-05    -2.36974e-05
     -4.9811e-05    -5.82209e-05
    -0.000451171     -0.00043362
     -9.1102e-05    -0.000100711
     -1.9756e-05    -2.65277e-05
    -0.000427361     -0.00037917
    -0.000102264    -8.86353e-05
    -0.000203838    -0.000202469
     -1.7085e-05    -1.47394e-05
      -2.216e-05    -2.22283e-05
     -1.3076e-05    -3.18587e-05
     -1.7847e-05    -2.48081e-05
     -6.7806e-05    -5.78432e-05
      -6.741e-06    -2.78678e-05
    -0.000128024     -0.00011308
     -2.0537e-05    -1.78048e-05
    -0.000928523     -0.00075214
     -1.3127e-05    -1.13033e-05
    -0.000426127    -0.000430546
    -0.000471248     -0.00051791
    -0.000434049    -0.000450403
     -0.00047954    -0.000506979
     -1.3656e-05     -1.2223e-05
      -6.156e-06    -9.91905e-06
     -2.9555e-05    -2.56771e-05
     -8.0673e-05    -6.96847e-05
     -4.6802e-05    -0.000125653
     -4.3532e-05    -3.96031e-05
     -1.4262e-05    -1.22124e-05
    -0.000249152    -0.000258549
     -1.3781e-05     -1.2182e-05
       -2.96e-05    -2.47299e-05
    -0.000536473    -0.000515458
    -0.000713689    -0.000717102
    -0.000168046    -0.000214867
    -0.000450102    -0.000473083
     -4.4181e-05    -3.66611e-05
      -9.841e-05    -0.000172642
     -1.5034e-05    -1.23261e-05
     -3.4489e-05    -2.81538e-05
    -0.000204582    -0.000212264
    -0.000318431    -0.000275071
      -8.074e-06    -1.15585e-05
     -8.3002e-05    -7.35914e-05
     -9.3821e-05    -9.19974e-05
      -9.317e-06    -9.28721e-06
     -2.7729e-05    -2.48791e-05
     -2.5485e-05    -2.23026e-05
     -3.5325e-05    -3.04658e-05
     -0.00110061    -0.000838576
    -0.000135196    -0.000117378
    -0.000104401    -9.92053e-05
     -3.7929e-05    -7.22372e-05
       -4.83e-05    -4.11054e-05
    -0.000104474    -9.97355e-05
    -0.000226774    -0.000198551
      -8.052e-06    -1.48465e-05
    -0.000103109    -9.45281e-05
     -1.7868e-05    -5.01675e-05
     -4.7156e-05    -5.71493e-05
     -8.8262e-05    -7.87988e-05
     -1.2405e-05    -1.17667e-05
    -0.000145838    -0.000127029
     -1.8852e-05    -1.81082e-05
     -9.3062e-05    -0.000147731
     -7.4525e-05     -6.2538e-05
    -0.000130609    -0.000125936
     -7.1331e-05    -7.48166e-05
     -5.5841e-05    -4.64998e-05
    -0.000144285    -0.000163651
     -0.00103428    -0.000828916
     -2.5093e-05    -2.18092e-05
    -0.000138452    -0.000146292
     -5.3096e-05    -6.09686e-05
     -6.8864e-05    -6.58874e-05
     -4.7193e-05    -4.19328e-05
    -0.000114664    -0.000147142
    -0.000176451    -0.000188723
     -1.3103e-05    -1.13176e-05
      -1.419e-06    -6.41354e-06
    -0.000502586    -0.000449352
     -5.9526e-05    -4.96927e-05
    -0.000114422    -0.000117683
     -4.5559e-05    -3.85941e-05
     -3.2389e-05    -3.83824e-05
    -0.000249784    -0.000228128
    -0.000246763     -0.00023472
     -0.00085679    -0.000717482
    -0.000883254    -0.000845546
    -0.000140464    -0.000127825
     -5.8557e-05    -4.84825e-05
     -5.6276e-05    -0.000114871
     -4.9973e-05    -4.40419e-05
     -4.0259e-05    -3.92464e-05
    -0.000425492    -0.000432413
    -0.000594153    -0.000578983
     -2.6824e-05     -2.2017e-05
    -0.000194479    -0.000193973
