QM Energy	FF Energy
      -0.0014418      -0.0013836
     -0.00690472     -0.00714931
     -0.00130258     -0.00120707
      -0.0036066     -0.00362491
    -0.000795678    -0.000811816
     -0.00128892     -0.00130316
      -0.0153853      -0.0154317
     -0.00116115     -0.00112883
     -0.00646348     -0.00667935
     -0.00192606     -0.00190976
     -0.00103989    -0.000974992
     -0.00376867     -0.00379671
     -0.00185405     -0.00186508
     -0.00447285     -0.00451801
     -0.00234228     -0.00221971
      -0.0107247      -0.0109681
      -0.0136534      -0.0138295
      -0.0100357     -0.00974783
     -0.00250925     -0.00253579
     -0.00835928     -0.00818532
    -0.000798501    -0.000782236
     -0.00351709     -0.00352092
      -0.0018772     -0.00176541
     -0.00318765     -0.00298825
    -0.000740184     -0.00072758
     -0.00469347     -0.00451147
      -0.0102795      -0.0102119
      -0.0042311     -0.00432712
     -0.00446125     -0.00442546
     -0.00149956      -0.0015079
     -0.00631253     -0.00620448
     -0.00901541     -0.00919975
    -0.000914707    -0.000878573
     -0.00411714        -0.00404
     -0.00623693      -0.0062467
      -0.0139179      -0.0139772
     -0.00390754     -0.00376374
     -0.00213196     -0.00209425
     -0.00619667     -0.00619994
     -0.00148562     -0.00144914
     -0.00192394     -0.00188852
     -0.00160916      -0.0015854
     -0.00117059     -0.00114356
     -0.00345948     -0.00336059
      -0.0033567     -0.00355028
     -0.00124563     -0.00124665
     -0.00344689     -0.00359095
     -0.00152074     -0.00149672
      -0.0055277     -0.00541173
     -0.00149959     -0.00137438
    -0.000605274    -0.000559899
     -0.00284688     -0.00270853
     -0.00229908     -0.00223983
     -0.00178881     -0.00182637
     -0.00128715      -0.0013334
      -0.0010441      -0.0010195
      -0.0129014       -0.012384
     -0.00878363     -0.00834444
     -0.00614168      -0.0060598
     -0.00112975     -0.00105711
     -0.00479473     -0.00489459
     -0.00413089     -0.00403355
     -0.00805624     -0.00792232
     -0.00273054     -0.00266808
      -0.0124352      -0.0119828
     -0.00483984     -0.00491426
    -0.000912512    -0.000923583
     -0.00281601     -0.00275886
     -0.00574692     -0.00594456
      -0.0104897      -0.0102139
     -0.00366139     -0.00353237
     -0.00234147     -0.00230494
      -0.0011198      -0.0010809
     -0.00156518     -0.00152384
     -0.00103695    -0.000949794
     -0.00117795     -0.00114541
     -0.00120128     -0.00114699
     -0.00143538     -0.00141658
      -0.0157064      -0.0159457
