QM Energy	FF Energy
     -3.5415e-05    -2.92713e-05
    -0.000825698    -0.000666611
     -1.9869e-05    -1.82429e-05
    -0.000429141    -0.000338319
     -1.3241e-05    -1.53856e-05
     -2.0217e-05     -2.8361e-05
     -0.00229353     -0.00228003
     -1.2715e-05    -1.14974e-05
     -0.00137465     -0.00135757
      -4.354e-05    -6.45942e-05
     -1.1378e-05    -7.96669e-06
    -0.000266632    -0.000279652
     -0.00011684    -0.000108996
    -0.000220392    -0.000209049
    -0.000105685    -7.74169e-05
     -0.00205123     -0.00151338
     -0.00290361      -0.0027594
     -0.00143776      -0.0012918
    -0.000133472    -0.000124596
     -0.00155562     -0.00136752
      -1.328e-05    -1.82684e-05
     -0.00030734    -0.000344181
     -6.2276e-05    -5.54473e-05
    -0.000160557    -0.000111861
     -1.4394e-05    -1.42435e-05
    -0.000605588    -0.000497128
     -0.00218604     -0.00199176
    -0.000485824    -0.000413187
    -0.000324226    -0.000281434
     -5.2685e-05    -5.41325e-05
     -0.00119548    -0.000980607
    -0.000911359      -0.0009011
     -1.0287e-05    -9.80899e-06
    -0.000212708    -0.000204303
    -0.000860485    -0.000774106
     -0.00188734     -0.00247652
    -0.000223177    -0.000207107
     -4.2444e-05     -4.6712e-05
    -0.000757905    -0.000657324
     -7.2091e-05    -7.57139e-05
     -8.8942e-05    -0.000112339
      -3.192e-05    -2.03881e-05
     -2.5769e-05     -3.1923e-05
    -0.000471228    -0.000405215
    -0.000271955    -0.000198239
     -1.4846e-05    -1.34896e-05
    -0.000311016    -0.000286609
     -3.3555e-05    -3.74675e-05
    -0.000580796    -0.000593305
     -7.2194e-05    -4.18269e-05
      -9.209e-06    -1.77455e-05
    -0.000312913    -0.000203124
     -3.0588e-05     -3.2171e-05
     -4.1269e-05    -4.20425e-05
     -2.4839e-05    -2.49431e-05
     -3.3891e-05    -3.26718e-05
     -0.00246329     -0.00251345
     -0.00204877     -0.00184743
     -0.00108771    -0.000954554
      -3.233e-05    -3.14353e-05
    -0.000256013    -0.000241711
    -0.000244588    -0.000181589
     -0.00139823     -0.00136844
    -0.000110391    -9.09991e-05
     -0.00166629     -0.00188301
    -0.000473375    -0.000367213
     -2.0975e-05     -2.4806e-05
    -0.000123242    -0.000134909
    -0.000760614    -0.000719858
     -0.00231964     -0.00208515
    -0.000343834    -0.000243302
     -9.9935e-05    -8.89246e-05
      -3.618e-05    -4.85334e-05
     -8.0431e-05    -7.23139e-05
     -2.2988e-05    -1.36075e-05
     -3.0064e-05    -3.05905e-05
     -2.6354e-05    -2.07116e-05
     -6.1977e-05     -5.6925e-05
     -0.00272922     -0.00297802
     -7.4139e-05     -8.3678e-05
    -0.000538054      -0.0005798
     -5.5778e-05    -7.02855e-05
     -4.9198e-05    -4.93886e-05
     -0.00023405    -0.000173542
     -4.3809e-05     -2.9847e-05
     -1.0583e-05     -1.5482e-05
     -2.6894e-05    -3.20459e-05
     -0.00107472     -0.00110579
    -0.000135191    -0.000166581
     -0.00188715      -0.0019187
    -0.000240978    -0.000227584
    -0.000420682    -0.000404138
     -0.00257177     -0.00276895
     -2.9636e-05    -3.22858e-05
      -1.072e-05    -1.52899e-05
    -0.000148016    -0.000194436
    -0.000511439    -0.000337476
       -8.97e-05    -5.84138e-05
     -4.3549e-05    -4.27112e-05
    -0.000256249    -0.000246735
      -0.0012611      -0.0012169
      -4.804e-05    -5.76067e-05
     -5.1998e-05    -3.05668e-05
      -8.873e-05    -0.000106975
     -6.6174e-05    -5.24302e-05
    -0.000417703    -0.000362317
     -6.4755e-05    -5.66487e-05
     -6.5649e-05    -5.88764e-05
     -0.00118116      -0.0010245
     -0.00117743     -0.00095587
     -0.00241868     -0.00254197
     -6.4409e-05     -7.4328e-05
      -7.912e-05    -6.02737e-05
     -0.00200837     -0.00206435
     -0.00227153     -0.00236303
     -0.00139267     -0.00109206
    -0.000475459    -0.000453607
     -4.2424e-05     -3.6319e-05
     -0.00030496     -0.00027143
     -5.5791e-05    -5.85501e-05
     -5.9307e-05    -4.73243e-05
     -1.6734e-05    -1.47856e-05
    -0.000147764    -0.000132168
     -0.00233109     -0.00252864
     -0.00146832     -0.00122143
     -1.1294e-05    -8.81717e-06
     -1.5853e-05    -1.33837e-05
     -9.8164e-05    -9.24324e-05
     -0.00105875    -0.000894219
     -0.00236637     -0.00201413
     -9.3453e-05    -9.20562e-05
     -0.00142879     -0.00139717
     -2.6654e-05    -3.06638e-05
    -0.000317079    -0.000299077
    -0.000280304    -0.000299145
     -0.00176861     -0.00199253
      -6.166e-06    -1.04538e-05
     -2.3074e-05    -2.53123e-05
     -0.00076719    -0.000625352
     -8.1399e-05    -0.000102892
    -0.000208036    -0.000209193
    -0.000163121    -0.000125513
     -2.8407e-05       -2.87e-05
    -0.000792176    -0.000588626
     -0.00137684    -0.000961994
    -0.000200259    -0.000199128
     -5.2429e-05    -5.28524e-05
    -0.000629832    -0.000493975
    -0.000325039    -0.000362408
     -1.1736e-05    -1.31076e-05
      -9.874e-06    -1.11013e-05
    -0.000738105    -0.000776813
      -5.605e-06    -7.06606e-06
     -0.00152421     -0.00145649
     -0.00156547     -0.00123821
      -0.0016951     -0.00176258
    -0.000183631     -0.00015351
     -0.00292582     -0.00316607
    -0.000231825    -0.000206895
      -5.461e-06    -5.95416e-06
    -0.000111055    -6.59478e-05
      -0.0015952     -0.00132059
     -0.00115678     -0.00096528
     -0.00129547     -0.00139313
     -1.6801e-05    -1.98364e-05
    -0.000424042    -0.000435615
    -0.000598235    -0.000614977
    -0.000136503    -0.000159653
     -0.00150093     -0.00111392
     -0.00275817     -0.00420988
     -0.00128236     -0.00119405
     -2.0687e-05    -1.63002e-05
    -0.000293849    -0.000298233
     -0.00208301      -0.0021124
    -0.000573849     -0.00059786
     -0.00136654     -0.00144465
    -0.000996034    -0.000677591
    -0.000330222    -0.000214286
    -0.000562949    -0.000496291
     -2.2769e-05    -2.80445e-05
     -6.8973e-05    -6.57966e-05
    -0.000595418     -0.00062411
      -8.865e-06    -1.31486e-05
     -7.3758e-05    -7.96965e-05
    -0.000118592    -7.36664e-05
     -1.6399e-05    -2.24178e-05
    -0.000313446    -0.000281074
     -2.1223e-05     -1.2675e-05
    -0.000291695    -0.000253428
      -5.433e-06    -1.12551e-05
     -2.1462e-05     -2.5506e-05
    -0.000169339    -0.000150733
    -0.000204699    -0.000207535
     -6.2805e-05    -6.18984e-05
    -0.000194976    -0.000189456
     -0.00143665     -0.00155138
      -0.0008505    -0.000710637
    -0.000759679    -0.000684304
     -2.6443e-05    -2.92356e-05
     -5.1591e-05    -5.12873e-05
      -0.0012789      -0.0011878
     -8.7368e-05    -6.76346e-05
    -0.000252822    -0.000220222
     -0.00165821     -0.00182273
     -0.00190698     -0.00197407
     -0.00107239     -0.00110256
    -0.000303046    -0.000261823
     -0.00271094     -0.00267948
    -0.000446312    -0.000423672
    -0.000419494    -0.000416339
     -0.00201064     -0.00244946
    -0.000670098    -0.000526006
     -0.00123656     -0.00106663
    -0.000828817     -0.00071031
     -0.00159428     -0.00150498
    -0.000111903    -0.000104454
     -3.1973e-05    -2.30233e-05
    -0.000740584     -0.00056322
     -4.6668e-05    -4.48553e-05
       -1.12e-05    -1.04893e-05
     -5.8806e-05    -6.26048e-05
     -0.00107472    -0.000908382
    -0.000306818    -0.000289499
    -0.000258262    -0.000218861
    -0.000105912    -0.000117423
    -0.000532158    -0.000459054
     -6.2934e-05    -6.87177e-05
     -5.3619e-05    -5.56241e-05
    -0.000210766     -0.00018172
    -0.000493662    -0.000300801
     -0.00125547     -0.00128347
    -0.000179935    -0.000187856
     -2.3401e-05     -2.1668e-05
    -0.000113497    -0.000126997
    -0.000128921    -0.000117516
      -7.112e-06    -6.62114e-06
    -0.000400989    -0.000427288
     -0.00167677     -0.00165168
     -2.9872e-05     -3.2547e-05
     -0.00135531     -0.00127546
    -0.000301398    -0.000218984
     -9.6677e-05    -0.000125727
    -0.000937179    -0.000741358
    -0.000287801    -0.000229884
    -0.000825228    -0.000695451
     -5.0444e-05    -4.93096e-05
    -0.000827904    -0.000640134
     -9.8935e-05    -8.97069e-05
     -3.6241e-05    -2.92997e-05
     -9.8829e-05    -7.08511e-05
     -0.00036646    -0.000378863
     -3.5236e-05    -3.07637e-05
     -4.7242e-05    -3.33839e-05
    -0.000624991    -0.000569618
     -0.00082209    -0.000650766
     -5.5812e-05    -5.07187e-05
     -0.00142942     -0.00139914
    -0.000450885    -0.000430251
    -0.000830846    -0.000676364
     -0.00075784    -0.000653798
     -1.5501e-05    -2.31167e-05
     -3.6174e-05     -2.4052e-05
     -0.00205289     -0.00275317
    -0.000202745    -0.000195228
    -0.000171387    -0.000170431
      -1.456e-05    -1.78517e-05
    -0.000262889    -0.000230979
     -3.9713e-05    -3.97034e-05
     -2.7958e-05    -2.76092e-05
     -0.00055562    -0.000562312
     -7.1523e-05    -7.61176e-05
     -0.00120189     -0.00115767
    -0.000221728    -0.000192076
     -0.00205658     -0.00232525
    -0.000143104    -0.000118554
     -8.7226e-05    -8.31918e-05
     -0.00129448     -0.00108828
     -0.00109972    -0.000955119
     -8.8914e-05    -9.47994e-05
     -9.8362e-05    -9.39623e-05
    -0.000295048    -0.000293341
     -2.8439e-05    -2.86479e-05
    -0.000415294     -0.00037803
    -0.000416432    -0.000439037
    -0.000114941    -0.000122554
     -9.7383e-05    -0.000100579
    -0.000158035    -0.000165084
    -0.000389434    -0.000328922
      -1.292e-05    -1.93378e-05
     -0.00132713     -0.00121738
    -0.000901246    -0.000664871
    -0.000899246    -0.000663611
    -0.000100576    -8.96638e-05
    -0.000208904    -0.000190959
    -0.000414198    -0.000411243
      -8.985e-06    -1.14543e-05
      -2.969e-06    -3.88471e-06
    -0.000606909    -0.000478988
     -0.00179102     -0.00166972
     -0.00039832       -0.000336
    -0.000205253    -0.000230442
    -0.000114064      -0.0001135
    -0.000599265    -0.000633655
     -3.3208e-05    -3.06837e-05
     -0.00199407     -0.00179041
     -0.00246433     -0.00255666
    -0.000101164    -0.000109859
     -4.3721e-05    -3.85454e-05
     -4.6881e-05    -4.34977e-05
     -0.00105076    -0.000926947
     -4.5468e-05    -4.68004e-05
    -0.000725552    -0.000604725
     -1.2151e-05     -1.0173e-05
    -0.000378674    -0.000328645
    -0.000814294    -0.000862721
     -0.00117021     -0.00119142
    -0.000419911    -0.000377699
     -0.00165203     -0.00130623
     -8.8117e-05    -6.10409e-05
     -2.2343e-05    -2.45449e-05
     -8.7541e-05    -8.88011e-05
     -9.1565e-05    -7.41852e-05
     -0.00051379    -0.000460234
     -2.8949e-05    -3.47723e-05
     -8.3851e-05    -7.47681e-05
     -1.2996e-05    -1.99365e-05
     -0.00168798     -0.00161202
    -0.000272379    -0.000281982
     -0.00179298     -0.00180074
     -8.5218e-05     -8.8399e-05
    -0.000210558    -0.000216844
     -8.4795e-05    -5.67073e-05
     -3.2641e-05    -3.70262e-05
    -0.000292254    -0.000173311
     -2.2733e-05    -2.33211e-05
    -0.000326661    -0.000347777
     -0.00104758     -0.00074505
     -2.6131e-05    -2.86275e-05
    -0.000688543    -0.000642752
     -8.2176e-05    -8.03879e-05
    -0.000358584    -0.000322582
     -7.1507e-05    -7.71162e-05
     -2.1537e-05    -1.52025e-05
    -0.000577925    -0.000605055
     -3.4499e-05    -3.63373e-05
     -3.7901e-05    -2.81725e-05
     -0.00257275     -0.00232824
     -6.4173e-05    -6.63329e-05
     -4.0107e-05    -4.38431e-05
     -0.00011458    -0.000104986
      -0.0017821     -0.00186945
    -0.000508234    -0.000371082
    -0.000395958    -0.000430312
     -0.00107664    -0.000915276
     -0.00164922     -0.00156162
      -9.658e-06    -1.90092e-05
     -0.00185259     -0.00166067
    -0.000390067    -0.000332494
     -1.7113e-05     -1.7822e-05
     -4.0538e-05    -3.00152e-05
     -0.00159863     -0.00148701
    -0.000800419    -0.000710178
     -0.00032958    -0.000311163
    -0.000166208    -0.000147869
      -9.248e-06    -6.83385e-06
    -0.000620206    -0.000567165
     -3.6576e-05    -4.80567e-05
    -0.000375926    -0.000308997
    -0.000453997    -0.000493393
    -0.000552963    -0.000549651
     -6.5589e-05    -7.36272e-05
     -0.00169683     -0.00152326
      -0.0016099     -0.00128659
    -0.000914433    -0.000896418
     -1.6624e-05    -1.91026e-05
    -0.000742392    -0.000703409
     -0.00213316     -0.00195288
      -0.0017901     -0.00149181
     -0.00158562     -0.00111784
     -1.2912e-05    -1.41984e-05
     -0.00109187    -0.000810907
     -7.2735e-05    -7.34589e-05
     -6.5903e-05    -6.69599e-05
    -0.000676845    -0.000562574
    -0.000459286    -0.000450528
    -0.000454851    -0.000356094
    -0.000155261    -9.88416e-05
     -9.1497e-05    -5.93244e-05
    -0.000113024    -0.000110523
    -0.000186634    -0.000192093
    -0.000571306    -0.000506321
    -0.000827853     -0.00084307
     -6.7009e-05    -6.39295e-05
     -5.4945e-05    -6.99874e-05
    -0.000180703    -0.000122974
    -0.000249945    -0.000260868
    -0.000150169    -0.000131942
     -6.0076e-05    -3.60006e-05
     -0.00161739     -0.00132945
     -1.9794e-05    -1.85646e-05
    -0.000124891    -0.000123505
    -0.000159509    -0.000147239
    -0.000982558     -0.00104238
     -0.00212436     -0.00166547
     -0.00180391      -0.0015939
     -3.5017e-05    -3.76645e-05
     -1.6723e-05    -2.40852e-05
    -0.000217066    -0.000197837
     -6.9876e-05    -6.69894e-05
     -1.7853e-05      -1.953e-05
     -0.00261079     -0.00350417
     -1.6547e-05    -2.22378e-05
        -8.3e-05    -0.000101972
    -0.000571066    -0.000469995
     -2.8208e-05    -3.24735e-05
    -0.000503076    -0.000412749
     -0.00126381     -0.00130641
     -0.00072187     -0.00060081
     -0.00163411     -0.00166756
      -0.0006558    -0.000706662
     -2.2431e-05    -2.15014e-05
     -0.00142997     -0.00135762
     -1.0693e-05    -1.07494e-05
    -0.000340949    -0.000355411
     -3.4052e-05    -3.09062e-05
     -6.7574e-05    -6.37103e-05
     -4.2911e-05    -4.28555e-05
     -2.3268e-05    -2.08617e-05
    -0.000338189    -0.000256561
    -0.000780494    -0.000510871
     -0.00189275     -0.00168265
     -2.7329e-05    -2.73313e-05
     -0.00252751     -0.00248199
    -0.000170048     -0.00012834
     -3.7124e-05    -3.74663e-05
    -0.000121318    -0.000106025
     -0.00153425     -0.00426043
     -0.00126706     -0.00134914
     -8.5099e-05    -7.23301e-05
     -5.5014e-05    -5.85927e-05
     -0.00261134     -0.00315821
     -2.9846e-05    -2.83884e-05
    -0.000562493    -0.000621748
    -0.000125494    -0.000101392
      -0.0013309     -0.00116858
     -1.8536e-05    -1.05449e-05
    -0.000868445     -0.00090508
    -0.000484081    -0.000425474
    -0.000311049    -0.000369006
    -0.000206389    -0.000180058
     -3.5929e-05    -3.43643e-05
     -0.00041555    -0.000347912
     -1.9711e-05    -1.63866e-05
    -0.000270988     -0.00028693
     -7.6418e-05    -8.97197e-05
    -0.000990071    -0.000840861
    -0.000756917    -0.000718834
      -0.0006766    -0.000639933
    -0.000438889    -0.000401156
    -0.000999484    -0.000986458
    -0.000328815    -0.000359417
     -6.9994e-05      -8.562e-05
     -1.5852e-05    -1.32996e-05
     -3.2039e-05    -2.51065e-05
    -0.000163982    -0.000183634
     -3.3111e-05    -2.91858e-05
     -0.00124099     -0.00101078
     -0.00010419    -0.000101274
       -3.06e-05     -3.1454e-05
    -0.000446866    -0.000432564
     -0.00025424    -0.000216631
    -0.000715454     -0.00067545
     -8.1713e-05    -7.44695e-05
