QM Energy	FF Energy
     -0.00132063     -0.00135212
     -0.00127809     -0.00129968
     -0.00532166       -0.005553
     -0.00718796     -0.00650644
    -0.000726188    -0.000697784
     -0.00374305     -0.00310869
     -0.00223338     -0.00181164
      -0.0103385     -0.00875277
     -0.00104034      -0.0010288
     -0.00188018     -0.00153719
     -0.00155515     -0.00161247
      -0.0020133     -0.00193417
    -0.000813102    -0.000733769
     -0.00436031     -0.00366107
    -0.000782672    -0.000682877
     -0.00383867     -0.00339663
     -0.00637679     -0.00544724
     -0.00573861     -0.00501929
     -0.00153187       -0.001401
     -0.00369421     -0.00308618
     -0.00404944     -0.00343691
     -0.00353746     -0.00339878
     -0.00180866     -0.00182037
     -0.00542848     -0.00569552
     -0.00663244     -0.00564373
     -0.00618312     -0.00514406
     -0.00104044    -0.000842676
     -0.00129495     -0.00106007
     -0.00312033     -0.00279237
    -0.000870469    -0.000819651
    -0.000945042    -0.000844845
      -0.0123191      -0.0130151
      -0.0096769     -0.00832543
     -0.00542256     -0.00448045
      -0.0014765     -0.00152729
     -0.00148653     -0.00140657
     -0.00239726     -0.00208663
     -0.00105215    -0.000872583
      -0.0107367     -0.00859389
     -0.00202919     -0.00187961
     -0.00110747    -0.000888673
     -0.00399533     -0.00351772
     -0.00106454    -0.000893851
      -0.0016878     -0.00168416
     -0.00146908     -0.00132361
      -0.0058118     -0.00572777
     -0.00120305     -0.00105538
      -0.0031068       -0.002639
     -0.00108561     -0.00106546
     -0.00123947     -0.00123218
     -0.00233241     -0.00226024
    -0.000707944    -0.000675087
     -0.00441029     -0.00383405
     -0.00888761     -0.00720576
     -0.00142756     -0.00148563
     -0.00136589     -0.00136486
     -0.00341331     -0.00325262
     -0.00656772     -0.00537933
     -0.00491752     -0.00497703
     -0.00252349      -0.0026016
     -0.00247143     -0.00255546
     -0.00766673     -0.00693772
     -0.00248072     -0.00212882
     -0.00464537     -0.00410054
     -0.00104942    -0.000938777
       -0.003544     -0.00376497
     -0.00171929     -0.00148147
     -0.00692222     -0.00568734
     -0.00641946     -0.00716145
     -0.00226757     -0.00231058
     -0.00184212     -0.00148224
     -0.00134323      -0.0013278
     -0.00219707     -0.00218208
    -0.000899253    -0.000791925
     -0.00161217     -0.00137989
     -0.00584997     -0.00634219
    -0.000692462     -0.00058137
     -0.00454344     -0.00430867
     -0.00103908     -0.00102921
     -0.00290246     -0.00294172
     -0.00182087     -0.00173547
      -0.0010855     -0.00109785
     -0.00743397     -0.00726513
     -0.00668117     -0.00545112
     -0.00383057      -0.0033834
      -0.0071065       -0.007142
     -0.00253649     -0.00217371
     -0.00249089     -0.00258116
     -0.00090662    -0.000880979
     -0.00253079     -0.00252904
      -0.0146881      -0.0126237
     -0.00645524     -0.00542409
     -0.00277319     -0.00222563
     -0.00814639     -0.00802606
    -0.000918605    -0.000782232
     -0.00406468     -0.00345072
     -0.00195867     -0.00162121
     -0.00118088     -0.00115546
     -0.00234929     -0.00196927
     -0.00321179     -0.00345969
