QM Energy	FF Energy
     -2.0111e-05    -2.65239e-05
     -2.0604e-05    -2.98499e-05
     -0.00124501     -0.00132091
     -0.00127799    -0.000927475
     -1.5302e-05    -1.97921e-05
    -0.000346017    -0.000232931
    -0.000219316    -0.000156736
     -0.00195618     -0.00154524
     -2.1178e-05     -2.2732e-05
     -9.5422e-05    -6.25188e-05
     -3.2383e-05    -3.70375e-05
     -6.6034e-05    -8.50699e-05
      -8.566e-06    -1.09832e-05
    -0.000486322    -0.000322013
     -1.1654e-05    -1.23794e-05
    -0.000261035    -0.000200304
    -0.000816854     -0.00054615
    -0.000658585    -0.000448027
     -3.2961e-05     -2.9083e-05
    -0.000537782    -0.000367279
    -0.000634859    -0.000449357
    -0.000175817    -0.000180988
     -3.6644e-05    -4.62923e-05
    -0.000414993    -0.000436922
     -0.00107666    -0.000702592
    -0.000789635    -0.000478534
     -2.2758e-05    -1.72203e-05
     -3.2946e-05     -2.2584e-05
    -0.000236125    -0.000200536
     -2.8365e-05    -3.42329e-05
      -9.509e-06    -7.15506e-06
     -0.00194936     -0.00210004
     -0.00197031     -0.00144077
    -0.000688096    -0.000433069
     -7.3597e-05    -9.19222e-05
     -3.5229e-05    -3.56363e-05
    -0.000100164    -6.98433e-05
     -1.7343e-05     -1.1223e-05
     -0.00185917      -0.0017144
     -7.3083e-05    -7.68912e-05
     -3.1114e-05    -2.19398e-05
    -0.000500618    -0.000350544
     -2.5111e-05    -2.12073e-05
     -9.6433e-05     -0.00012534
     -3.4476e-05    -2.80964e-05
    -0.000512643    -0.000466762
       -2.23e-05    -2.12746e-05
    -0.000212379    -0.000148797
     -1.8395e-05    -2.36182e-05
     -5.2773e-05     -6.3665e-05
     -6.2922e-05    -6.94198e-05
     -1.1095e-05    -1.26136e-05
    -0.000371956    -0.000248627
     -0.00161319     -0.00125501
     -3.4917e-05    -4.02823e-05
     -4.7676e-05    -5.65474e-05
    -0.000185903    -0.000179278
     -0.00117833    -0.000796003
       -0.000457    -0.000527841
    -0.000130141     -0.00015303
    -0.000127124    -0.000143395
     -0.00108263    -0.000816347
     -0.00011743    -8.96859e-05
     -0.00043341    -0.000311851
     -2.0714e-05    -1.42033e-05
    -0.000258119    -0.000307936
     -5.3804e-05    -4.43994e-05
     -0.00110459    -0.000725932
     -0.00100217     -0.00112285
    -0.000134219    -0.000151985
    -0.000131821    -9.62959e-05
     -9.5342e-05    -0.000125049
    -0.000151693    -0.000196242
     -1.7061e-05    -1.73779e-05
     -5.0844e-05    -4.13814e-05
    -0.000716455    -0.000807688
     -1.0841e-05    -8.61025e-06
    -0.000318146    -0.000290262
     -2.6206e-05    -3.07195e-05
    -0.000212619    -0.000229803
     -3.0699e-05    -3.00284e-05
     -2.3223e-05    -2.59824e-05
    -0.000859592    -0.000750908
     -0.00133451     -0.00089093
    -0.000356125    -0.000271084
     -0.00123924     -0.00142378
    -0.000120907    -8.58123e-05
    -0.000109942    -0.000115822
     -2.5417e-05     -3.0633e-05
    -0.000229943    -0.000271187
     -0.00235202     -0.00205997
     -0.00172073     -0.00126106
    -0.000309555    -0.000203388
    -0.000875157    -0.000923624
     -1.7427e-05    -1.66789e-05
    -0.000448972    -0.000307074
    -0.000115037    -8.27381e-05
     -1.9409e-05    -2.39569e-05
    -0.000191646    -0.000146297
    -0.000297569    -0.000376545
     -3.2738e-05    -4.10242e-05
    -0.000146476    -0.000184685
     -0.00188376     -0.00195325
    -0.000841414    -0.000616128
     -0.00267012     -0.00321373
     -5.2456e-05    -6.28917e-05
     -0.00112137    -0.000779478
     -3.6369e-05    -3.05016e-05
     -1.4311e-05    -1.09775e-05
     -0.00018209     -0.00023975
     -0.00124963     -0.00143223
     -0.00137804    -0.000998858
     -2.6782e-05    -2.76809e-05
    -0.000124387    -9.14296e-05
     -2.0623e-05    -2.65611e-05
      -8.583e-05     -8.6067e-05
     -0.00181406     -0.00181882
     -4.3613e-05    -5.03576e-05
     -9.1475e-05     -6.9951e-05
     -3.6868e-05    -3.49299e-05
     -3.3619e-05      -4.662e-05
    -0.000243199    -0.000161578
     -8.2526e-05     -5.5234e-05
     -0.00198685     -0.00221785
    -0.000310603    -0.000243719
      -2.516e-05    -1.91372e-05
