QM Energy	FF Energy
     -4.1471e-05     -4.6444e-05
     -4.8249e-05    -4.89151e-05
    -0.000781045    -0.000653609
    -0.000648056    -0.000842297
     -3.2581e-05     -3.1525e-05
    -0.000100217    -0.000279158
    -0.000111395    -0.000169394
      -0.0014223     -0.00153729
     -3.6382e-05    -3.71576e-05
     -6.7087e-05     -0.00010502
     -4.9563e-05    -5.25542e-05
     -0.00010462    -0.000107423
     -1.2644e-05    -2.28273e-05
    -0.000180665    -0.000371303
     -1.5837e-05    -2.51816e-05
     -8.8081e-05    -0.000235536
    -0.000321441    -0.000617985
    -0.000282642    -0.000541245
     -4.3758e-05    -5.90081e-05
    -0.000233124    -0.000360167
    -0.000272325    -0.000407165
    -0.000175099     -0.00022055
     -5.3696e-05     -6.6379e-05
     -0.00028281    -0.000371115
     -0.00050123      -0.0007629
    -0.000242714    -0.000616657
      -3.031e-05    -4.07778e-05
     -3.4753e-05    -5.25974e-05
    -0.000101714    -0.000198922
     -4.4618e-05    -4.20123e-05
     -2.6606e-05    -3.02294e-05
      -0.0013428     -0.00109283
     -0.00131099     -0.00137452
    -0.000207675    -0.000520876
     -8.3315e-05    -7.91035e-05
     -4.4763e-05    -5.91167e-05
     -7.3981e-05    -0.000125739
     -2.8726e-05    -3.73814e-05
     -0.00192659     -0.00181034
     -6.9691e-05    -9.73671e-05
     -3.6329e-05    -4.83891e-05
    -0.000280528    -0.000404524
     -2.5238e-05    -3.92612e-05
     -8.5969e-05    -8.83523e-05
     -5.3445e-05    -6.45174e-05
    -0.000348904    -0.000469099
     -2.1063e-05    -3.87083e-05
    -0.000102057    -0.000192052
     -3.7764e-05    -3.72287e-05
     -6.5111e-05    -6.00011e-05
     -9.0983e-05    -0.000109008
     -2.8034e-05    -2.74838e-05
    -0.000153904    -0.000316865
     -0.00111545     -0.00131818
     -5.0866e-05     -5.3523e-05
      -5.231e-05    -5.47643e-05
    -0.000151478      -0.0002106
    -0.000553707    -0.000820178
    -0.000240657    -0.000317407
    -0.000146438    -0.000141472
     -9.6432e-05    -0.000103853
     -0.00048254    -0.000802857
     -6.5451e-05    -0.000125243
    -0.000136161    -0.000350519
     -4.0846e-05    -4.45458e-05
    -0.000201238    -0.000206362
     -4.2051e-05    -7.18075e-05
     -0.00046324    -0.000825455
    -0.000664501     -0.00059436
    -0.000110494    -0.000116926
      -6.786e-05    -0.000112957
