QM Energy	FF Energy
     -2.0111e-05    -2.68387e-05
     -2.0604e-05    -2.95288e-05
     -0.00124501     -0.00108743
     -0.00127799     -0.00108593
     -1.5302e-05    -1.79842e-05
    -0.000346017    -0.000292786
    -0.000219316    -0.000193424
     -0.00195618     -0.00176293
     -2.1178e-05    -2.01859e-05
     -9.5422e-05    -8.04588e-05
     -3.2383e-05    -3.48399e-05
     -6.6034e-05    -8.36321e-05
      -8.566e-06     -1.4451e-05
    -0.000486322    -0.000388379
     -1.1654e-05    -1.62724e-05
    -0.000261035    -0.000245593
    -0.000816854    -0.000642636
    -0.000658585    -0.000527521
     -3.2961e-05    -3.50572e-05
    -0.000537782    -0.000442223
    -0.000634859    -0.000543268
    -0.000175817    -0.000184692
     -3.6644e-05    -4.84586e-05
    -0.000414993    -0.000423434
     -0.00107666    -0.000816408
    -0.000789635    -0.000585074
     -2.2758e-05    -2.36184e-05
     -3.2946e-05    -3.13629e-05
    -0.000236125    -0.000245601
     -2.8365e-05    -3.04294e-05
      -9.509e-06    -9.61499e-06
     -0.00194936     -0.00177233
     -0.00197031     -0.00165472
    -0.000688096    -0.000530051
     -7.3597e-05    -8.24371e-05
     -3.5229e-05    -4.07475e-05
    -0.000100164    -8.81039e-05
     -1.7343e-05    -1.63547e-05
     -0.00185917     -0.00197488
     -7.3083e-05    -8.47094e-05
     -3.1114e-05    -2.96276e-05
    -0.000500618    -0.000411058
     -2.5111e-05    -2.82234e-05
     -9.6433e-05    -0.000112778
     -3.4476e-05    -3.45056e-05
    -0.000512643    -0.000473805
       -2.23e-05    -2.82587e-05
    -0.000212379    -0.000182537
     -1.8395e-05     -2.2383e-05
     -5.2773e-05    -5.57828e-05
     -6.2922e-05    -7.43962e-05
     -1.1095e-05    -1.14904e-05
    -0.000371956    -0.000297459
     -0.00161319     -0.00146184
     -3.4917e-05    -3.65382e-05
     -4.7676e-05    -4.96834e-05
    -0.000185903    -0.000186287
     -0.00117833    -0.000949317
       -0.000457    -0.000472361
    -0.000130141    -0.000136152
    -0.000127124    -0.000128821
     -0.00108263     -0.00095133
     -0.00011743    -0.000112051
     -0.00043341    -0.000378041
     -2.0714e-05     -1.8212e-05
    -0.000258119    -0.000276006
     -5.3804e-05     -5.6517e-05
     -0.00110459    -0.000870944
     -0.00100217    -0.000959381
    -0.000134219    -0.000131622
    -0.000131821    -0.000122705
     -9.5342e-05    -0.000112473
    -0.000151693    -0.000176904
     -1.7061e-05    -2.30232e-05
     -5.0844e-05    -5.43415e-05
    -0.000716455    -0.000701711
     -1.0841e-05    -1.12441e-05
    -0.000318146    -0.000302522
     -2.6206e-05    -2.70284e-05
    -0.000212619    -0.000199185
     -3.0699e-05    -3.38184e-05
     -2.3223e-05    -2.31888e-05
    -0.000859592    -0.000747026
     -0.00133451     -0.00104405
    -0.000356125    -0.000328259
     -0.00123924     -0.00124801
    -0.000120907     -0.00010707
    -0.000109942    -0.000105314
     -2.5417e-05    -2.68836e-05
    -0.000229943    -0.000240375
     -0.00235202     -0.00231216
     -0.00172073     -0.00149424
    -0.000309555    -0.000252281
    -0.000875157      -0.0008547
     -1.7427e-05    -2.25148e-05
    -0.000448972    -0.000378873
    -0.000115037    -0.000104916
     -1.9409e-05     -2.3428e-05
    -0.000191646    -0.000183435
    -0.000297569     -0.00033686
     -3.2738e-05    -3.68494e-05
    -0.000146476    -0.000163991
     -0.00188376       -0.001686
    -0.000841414    -0.000729622
     -0.00267012     -0.00305969
     -5.2456e-05    -5.60619e-05
     -0.00112137    -0.000889913
     -3.6369e-05    -3.99746e-05
     -1.4311e-05    -1.44504e-05
     -0.00018209    -0.000215813
     -0.00124963     -0.00123971
     -0.00137804     -0.00116113
     -2.6782e-05    -3.05769e-05
    -0.000124387    -0.000111366
     -2.0623e-05    -2.43139e-05
      -8.583e-05    -9.37709e-05
     -0.00181406     -0.00195966
     -4.3613e-05    -4.43926e-05
     -9.1475e-05    -8.76865e-05
     -3.6868e-05     -4.1468e-05
     -3.3619e-05    -4.49064e-05
    -0.000243199    -0.000205526
     -8.2526e-05    -7.03076e-05
     -0.00198685     -0.00190009
    -0.000310603    -0.000300937
      -2.516e-05     -2.4761e-05
    -0.000136297    -0.000165447
      -4.818e-05     -4.5682e-05
    -0.000457049    -0.000503716
     -2.4996e-05    -2.13671e-05
     -0.00037408    -0.000342312
     -1.8549e-05    -2.16738e-05
     -4.7332e-05    -4.62363e-05
    -0.000420167    -0.000421596
     -0.00113368     -0.00115801
     -8.3317e-05    -9.51335e-05
    -0.000837277    -0.000858008
       -9.55e-05    -8.30308e-05
    -0.000702282    -0.000522526
     -2.5323e-05    -2.67377e-05
     -6.7316e-05    -6.45565e-05
    -0.000807321    -0.000674124
    -0.000287729    -0.000219758
     -0.00021222    -0.000172944
     -1.1357e-05     -1.6189e-05
    -0.000405392    -0.000317808
     -0.00011743    -0.000106297
     -8.3596e-05    -9.08124e-05
