QM Energy	FF Energy
     -0.00732803     -0.00695371
       -0.002791     -0.00266677
    -0.000727674    -0.000692276
     -0.00136962     -0.00132193
      -0.0107926        -0.01067
     -0.00835197     -0.00839021
      -0.0143704      -0.0130496
     -0.00237573     -0.00233823
     -0.00324152     -0.00320642
     -0.00200663     -0.00199783
     -0.00205215     -0.00196676
     -0.00285587     -0.00275344
     -0.00204605     -0.00200406
     -0.00864371     -0.00858515
     -0.00271131      -0.0026535
     -0.00210547     -0.00203781
     -0.00115416     -0.00108182
     -0.00101363    -0.000965155
     -0.00188579     -0.00176943
     -0.00136221     -0.00126661
     -0.00324304     -0.00323872
     -0.00112864     -0.00104622
     -0.00126351     -0.00124148
     -0.00905525     -0.00869252
     -0.00827007     -0.00799295
     -0.00222551     -0.00218105
     -0.00142837     -0.00136217
     -0.00117136      -0.0011386
     -0.00103558     -0.00102734
     -0.00319142     -0.00304946
     -0.00258853     -0.00249786
     -0.00264878     -0.00254718
     -0.00114273      -0.0010286
      -0.0014931     -0.00145181
       -0.008174      -0.0082802
    -0.000722725    -0.000636762
     -0.00486639     -0.00480118
     -0.00469487     -0.00471465
     -0.00384583      -0.0037316
     -0.00242949     -0.00241474
     -0.00271408     -0.00263236
     -0.00154192     -0.00139829
     -0.00327255      -0.0032919
     -0.00110693     -0.00109226
     -0.00153156     -0.00144975
     -0.00353927     -0.00349806
      -0.0122894      -0.0124765
      -0.0156247      -0.0156292
      -0.0010141    -0.000991475
    -0.000851313    -0.000782467
     -0.00212023     -0.00197169
    -0.000760771    -0.000737377
     -0.00129185     -0.00121592
     -0.00367657     -0.00349076
     -0.00371835      -0.0036069
     -0.00682532     -0.00670754
     -0.00297584     -0.00288309
     -0.00418403     -0.00421057
      -0.0034104     -0.00329852
     -0.00178503     -0.00165882
      -0.0122167      -0.0122417
      -0.0080284     -0.00809941
     -0.00272875     -0.00273424
     -0.00712266     -0.00690977
     -0.00346117     -0.00356676
     -0.00372005     -0.00354104
     -0.00359346     -0.00350273
     -0.00206219     -0.00204406
      -0.0148292       -0.014597
    -0.000954158    -0.000884857
      -0.0052029     -0.00521149
    -0.000595864     -0.00056102
     -0.00143377     -0.00138328
     -0.00928661     -0.00941487
      -0.0016739     -0.00164285
     -0.00333296     -0.00323207
    -0.000719553    -0.000690229
      -0.0038558      -0.0039461
     -0.00187585      -0.0018073
     -0.00656742     -0.00662596
     -0.00106677     -0.00105184
       -0.011644      -0.0120593
     -0.00498538     -0.00483386
     -0.00162778     -0.00151699
     -0.00424191     -0.00428769
     -0.00164405     -0.00154225
     -0.00107167     -0.00102356
     -0.00378524     -0.00384831
     -0.00160839     -0.00155875
    -0.000926838    -0.000864533
     -0.00522576     -0.00529284
     -0.00102945    -0.000973996
     -0.00119036     -0.00118592
     -0.00158059     -0.00152358
     -0.00862911     -0.00816789
      -0.0013701     -0.00130637
     -0.00314832     -0.00303303
     -0.00758064     -0.00766851
     -0.00142828       -0.001344
     -0.00103524    -0.000962346
     -0.00210122     -0.00206407
     -0.00883671     -0.00879399
     -0.00113887     -0.00108862
     -0.00160681     -0.00156516
     -0.00514315     -0.00498716
     -0.00330513     -0.00322074
      -0.0110736      -0.0112251
     -0.00224346     -0.00216202
     -0.00280824     -0.00268169
     -0.00293386     -0.00286838
     -0.00199556     -0.00197377
     -0.00273779     -0.00262689
     -0.00198817     -0.00192925
     -0.00312398     -0.00307739
    -0.000968406    -0.000901038
     -0.00536087     -0.00535392
     -0.00337438     -0.00331708
     -0.00604213     -0.00604959
     -0.00219376     -0.00212607
     -0.00811588     -0.00773876
     -0.00287972     -0.00279226
     -0.00149114     -0.00140664
    -0.000726985    -0.000674491
     -0.00592167     -0.00574594
      -0.0026033     -0.00251259
     -0.00313725      -0.0031855
     -0.00216812     -0.00216648
      -0.0019104     -0.00185134
     -0.00361813     -0.00345858
     -0.00350106     -0.00338147
     -0.00305307     -0.00301309
     -0.00181258     -0.00168012
      -0.0014503     -0.00138065
     -0.00772872     -0.00773188
     -0.00412574      -0.0041546
     -0.00531771     -0.00524112
     -0.00352373     -0.00345436
     -0.00349965     -0.00335343
     -0.00258749     -0.00253401
    -0.000914154    -0.000861251
     -0.00618029     -0.00623349
     -0.00224518     -0.00216493
     -0.00870174     -0.00826438
     -0.00139328     -0.00127591
     -0.00312966     -0.00315212
     -0.00715622     -0.00711782
    -0.000910522    -0.000828333
     -0.00554161     -0.00560474
     -0.00119651     -0.00112215
     -0.00327673     -0.00325636
     -0.00752682     -0.00730281
     -0.00117853     -0.00113105
      -0.0130301      -0.0119387
      -0.0061401     -0.00609937
     -0.00932571     -0.00956095
     -0.00564263     -0.00535012
     -0.00350118     -0.00357371
     -0.00190023     -0.00179279
      -0.0011011     -0.00109961
     -0.00203741     -0.00195151
    -0.000915629    -0.000895916
     -0.00865537     -0.00866118
     -0.00878397     -0.00887159
     -0.00217115     -0.00212828
     -0.00105367    -0.000994526
     -0.00473219     -0.00484241
     -0.00193894     -0.00187807
      -0.0065187     -0.00643598
     -0.00388777      -0.0037657
     -0.00085175    -0.000803834
      -0.0013365     -0.00121357
      -0.0149418      -0.0153628
     -0.00219014      -0.0021768
     -0.00156883     -0.00149372
     -0.00253324     -0.00243235
     -0.00423397     -0.00413545
     -0.00845145     -0.00852532
       -0.010343     -0.00990504
     -0.00898329     -0.00909926
     -0.00117402     -0.00116283
     -0.00879805     -0.00862895
     -0.00118772     -0.00116661
     -0.00240439     -0.00231026
     -0.00739332     -0.00695146
    -0.000970481    -0.000987584
     -0.00207692     -0.00199945
     -0.00574548     -0.00563227
     -0.00247662      -0.0025239
     -0.00103136    -0.000983672
     -0.00169306     -0.00160275
     -0.00578605     -0.00582089
     -0.00370057     -0.00385374
    -0.000835811    -0.000778127
     -0.00687759     -0.00686574
     -0.00502326     -0.00490449
     -0.00661687     -0.00658842
     -0.00301644     -0.00299215
     -0.00644144      -0.0063433
     -0.00458735     -0.00446643
      -0.0119722      -0.0121129
     -0.00247494     -0.00237156
      -0.0012792     -0.00122137
     -0.00954675       -0.009564
     -0.00171189     -0.00170672
     -0.00580624     -0.00581305
     -0.00593703     -0.00590262
     -0.00908293     -0.00878167
    -0.000705056    -0.000650135
     -0.00267357     -0.00251367
     -0.00820477     -0.00815668
     -0.00280948     -0.00270403
     -0.00122738     -0.00115353
     -0.00242957     -0.00248454
     -0.00190101     -0.00182636
     -0.00944582     -0.00947369
      -0.0054253     -0.00530593
     -0.00481689     -0.00463156
    -0.000875168    -0.000814157
     -0.00352941     -0.00327431
    -0.000719367    -0.000681487
      -0.0120399      -0.0115858
      -0.0026152     -0.00255996
     -0.00265343     -0.00259205
     -0.00238787     -0.00230663
     -0.00247766     -0.00238292
     -0.00351908     -0.00345105
      -0.0100551     -0.00983531
     -0.00113075     -0.00108262
      -0.0033431     -0.00324596
      -0.0183387      -0.0173961
     -0.00179127     -0.00170488
    -0.000627908    -0.000561022
      -0.0041147     -0.00393744
      -0.0044561     -0.00436084
     -0.00124527     -0.00121143
     -0.00565421     -0.00556831
     -0.00376224     -0.00355695
     -0.00190481     -0.00195311
     -0.00370538     -0.00369568
     -0.00120649      -0.0011636
    -0.000818984    -0.000812348
     -0.00334973     -0.00316821
     -0.00449872     -0.00437759
    -0.000701458    -0.000642559
     -0.00908825     -0.00936931
     -0.00978069      -0.0100175
     -0.00127457     -0.00119058
     -0.00480713     -0.00456167
     -0.00313428     -0.00311533
     -0.00535926     -0.00520532
     -0.00200023     -0.00184818
      -0.0029037      -0.0028179
