QM Energy	FF Energy
    -0.000965934     -0.00105046
    -0.000132225    -0.000212426
     -1.3412e-05    -5.16783e-05
     -3.5688e-05    -8.77298e-05
    -0.000784291     -0.00137247
     -0.00187814     -0.00195791
     -0.00261514     -0.00196278
    -0.000267752    -0.000348111
    -0.000183058    -0.000255693
    -0.000112333    -0.000134505
    -0.000124064    -0.000143236
    -0.000261089    -0.000246847
    -0.000171655    -0.000201367
    -0.000963597     -0.00115213
    -0.000159837    -0.000199737
    -0.000137214    -0.000207182
     -0.00011294    -0.000100803
    -0.000144604    -0.000159769
     -0.00024011     -0.00021037
    -0.000154702    -0.000141251
    -0.000221487    -0.000270802
    -0.000110694    -9.83059e-05
     -7.0421e-05    -8.66211e-05
    -0.000959233    -0.000896228
     -0.00127898     -0.00141834
    -0.000130326    -0.000172084
    -0.000103052    -0.000165746
     -6.1218e-05    -6.42242e-05
      -8.001e-05    -8.41945e-05
     -0.00033852    -0.000331462
    -0.000184878    -0.000170573
    -0.000129936    -0.000198715
    -0.000171074    -0.000201056
    -0.000168983    -0.000143653
    -0.000535424    -0.000874816
    -0.000109952    -9.80788e-05
    -0.000708945    -0.000943659
    -0.000312182    -0.000412822
    -0.000476204    -0.000503498
    -0.000145641    -0.000162389
    -0.000427367    -0.000427196
    -0.000111804    -0.000117444
    -0.000159885    -0.000287807
     -4.0257e-05    -5.06957e-05
    -0.000121405    -0.000134918
    -0.000234423    -0.000246486
     -0.00195182     -0.00178639
     -0.00273755      -0.0022432
     -3.6997e-05      -7.362e-05
     -4.8783e-05    -8.04527e-05
     -7.1251e-05    -0.000218466
     -4.3812e-05    -6.79164e-05
     -2.9681e-05    -9.84809e-05
    -0.000268641    -0.000379049
    -0.000314041    -0.000462039
    -0.000477753    -0.000717537
     -9.6613e-05    -0.000275889
    -0.000108669     -0.00038048
    -0.000271894      -0.0003131
    -0.000165293    -0.000159084
     -0.00136669     -0.00145229
     -0.00131397     -0.00151026
     -9.3098e-05    -0.000232997
    -0.000676159    -0.000766413
    -0.000257631     -0.00028658
    -0.000153431    -0.000236367
    -0.000975945    -0.000944805
    -0.000148954     -0.00014072
     -0.00299029     -0.00202466
    -0.000117995    -0.000129335
     -0.00127357      -0.0013939
     -5.9149e-05    -5.75916e-05
     -7.2701e-05    -7.50416e-05
     -0.00165184     -0.00177844
     -9.0358e-05    -0.000152051
    -0.000276339    -0.000329962
    -0.000108261    -0.000124339
    -0.000291271    -0.000339562
    -0.000141724    -0.000152148
     -0.00101823     -0.00119526
    -0.000137981    -0.000138904
    -0.000966043     -0.00135865
     -0.00027972    -0.000595886
     -7.5844e-05    -0.000130975
    -0.000214859    -0.000367515
    -0.000348073    -0.000277229
     -4.4702e-05    -6.01569e-05
    -0.000202284     -0.00036266
     -8.6971e-05    -0.000123153
     -1.7673e-05    -6.68196e-05
    -0.000592563    -0.000739151
    -0.000136493     -0.00014491
    -0.000101073    -0.000106815
    -0.000183479    -0.000231321
     -0.00114452     -0.00130316
    -0.000131872    -0.000119029
    -0.000478553    -0.000454853
    -0.000576502    -0.000624863
    -0.000146181     -0.00012561
     -6.4352e-05    -9.77775e-05
     -0.00013679    -0.000203099
     -0.00108329     -0.00107661
    -0.000155583    -0.000136189
     -6.0332e-05    -9.46642e-05
    -0.000523967    -0.000577842
    -0.000101969    -0.000173796
     -0.00247294     -0.00228696
    -0.000257675    -0.000244271
    -0.000821379    -0.000820958
    -0.000451267    -0.000397232
     -0.00026073    -0.000320316
    -0.000152826     -0.00024309
    -0.000135367    -0.000172574
    -0.000195411    -0.000388077
     -9.5123e-05    -0.000107163
    -0.000962967     -0.00105597
    -0.000365735    -0.000469669
     -0.00173014     -0.00169222
     -9.1425e-05    -0.000123581
    -0.000842134    -0.000971471
    -0.000183104    -0.000244564
     -2.9925e-05    -0.000111187
     -7.9066e-05    -8.00569e-05
    -0.000797276    -0.000935165
    -0.000323125    -0.000302188
     -8.6006e-05    -0.000213361
    -0.000113485    -0.000167949
    -0.000187079    -0.000289586
