QM Energy	FF Energy
     -0.00165688     -0.00106907
    -0.000178781    -0.000185555
       -7.81e-06    -9.02799e-06
     -4.0602e-05    -2.83208e-05
     -0.00153372     -0.00117759
     -0.00209224     -0.00149573
     -0.00239063     -0.00243125
    -0.000120647     -0.00012159
     -0.00029138    -0.000181949
     -5.8574e-05    -4.03911e-05
    -0.000130621    -8.58002e-05
    -0.000203181    -0.000200803
     -5.0739e-05    -4.23745e-05
     -0.00106404     -0.00122161
    -0.000159125    -0.000121448
    -0.000103353    -0.000116721
     -2.2907e-05    -2.27265e-05
     -1.3774e-05    -6.46194e-06
     -7.8798e-05    -5.08081e-05
     -4.5712e-05    -2.84754e-05
    -0.000120329    -0.000133072
     -2.5214e-05    -1.56471e-05
     -3.2886e-05    -2.82555e-05
     -0.00154529     -0.00164761
     -0.00176518     -0.00125672
      -7.216e-05    -5.63605e-05
     -4.1908e-05    -3.90411e-05
     -2.7106e-05    -3.70779e-05
      -9.915e-06    -5.91065e-06
    -0.000129407    -0.000113236
    -0.000174787    -0.000231216
    -0.000227589    -0.000150867
     -5.6389e-05    -3.77963e-05
     -3.7322e-05    -2.87263e-05
     -0.00115434    -0.000823104
     -1.5011e-05    -1.87265e-05
     -0.00065114    -0.000411914
    -0.000356002    -0.000238885
    -0.000252999    -0.000250765
    -0.000115402    -0.000102223
    -0.000163888     -0.00017773
     -9.3489e-05    -0.000112348
    -0.000142107    -0.000131384
      -1.698e-05    -1.63968e-05
     -3.3157e-05    -4.04342e-05
    -0.000157677    -0.000164488
     -0.00189975     -0.00139378
     -0.00206387      -0.0023619
     -2.5597e-05    -2.28968e-05
      -9.856e-06    -1.08966e-05
    -0.000144001     -0.00011805
     -1.2404e-05    -8.86616e-06
      -4.176e-05      -3.538e-05
    -0.000521029    -0.000332154
    -0.000493839     -0.00034624
    -0.000945734     -0.00065453
    -0.000205473    -0.000169215
     -0.00036113     -0.00022527
    -0.000330325      -0.0002115
    -0.000144791    -0.000180139
      -0.0013908     -0.00131235
     -0.00153031     -0.00109549
    -0.000166081    -0.000137019
     -0.00107576    -0.000819795
    -0.000236638     -0.00028213
    -0.000290055     -0.00033178
    -0.000499656    -0.000423725
     -8.3542e-05     -0.00010989
     -0.00199549     -0.00216951
     -1.3723e-05    -1.81106e-05
     -0.00108929    -0.000606061
      -5.212e-06    -3.42697e-06
     -4.3614e-05    -5.76001e-05
     -0.00190808     -0.00124841
     -6.4323e-05    -4.74445e-05
    -0.000217977     -0.00019818
      -3.557e-06    -1.35713e-06
    -0.000248892     -0.00029543
     -6.6415e-05    -7.12225e-05
      -0.0013399    -0.000761105
      -9.163e-06    -2.58827e-06
     -0.00148863     -0.00110269
    -0.000673003    -0.000465838
     -6.0551e-05    -6.77306e-05
    -0.000436213    -0.000276427
     -0.00013168    -5.54026e-05
      -1.743e-05     -2.2961e-05
    -0.000311809    -0.000216766
     -9.9535e-05    -7.02049e-05
     -1.7072e-05    -1.69377e-05
    -0.000747768    -0.000462672
     -1.6086e-05    -7.24967e-06
     -1.6819e-05    -1.14939e-05
     -3.6525e-05    -1.91208e-05
     -0.00171564     -0.00130883
     -1.9466e-05    -2.55871e-05
    -0.000316299    -0.000176719
    -0.000641626    -0.000780021
     -2.5432e-05     -2.0767e-05
      -1.965e-05    -2.31274e-05
     -8.0561e-05    -5.85856e-05
     -0.00110992    -0.000738203
     -1.9103e-05     -7.6655e-06
     -3.3894e-05    -4.42327e-05
    -0.000793277    -0.000801265
    -0.000123502    -0.000123727
