QM Energy	FF Energy
     -4.5527e-05    -6.27406e-05
     -8.0734e-05    -0.000126389
     -3.2025e-05    -3.40522e-05
    -0.000289681    -0.000347935
    -0.000635993    -0.000857381
     -0.00287109      -0.0025968
     -3.7342e-05     -3.7673e-05
       -0.001045     -0.00115313
    -0.000118197    -0.000157435
     -0.00024468    -0.000383095
    -0.000153262    -0.000220477
     -3.8583e-05     -3.7676e-05
      -6.968e-05    -7.36146e-05
    -0.000427142    -0.000626806
    -0.000551403    -0.000477553
    -0.000588915    -0.000634016
    -0.000305295    -0.000469161
      -0.0010778     -0.00138228
     -0.00195562     -0.00179818
    -0.000292627    -0.000296411
    -0.000300256    -0.000590346
    -0.000355923    -0.000573909
    -0.000506169    -0.000655303
    -0.000119979    -0.000203442
    -0.000184011     -0.00026098
    -0.000804521    -0.000893513
    -0.000189991    -0.000219868
     -6.2199e-05    -0.000115406
    -0.000208414    -0.000383213
    -0.000101786     -0.00010993
     -4.0101e-05    -4.04151e-05
    -0.000520142    -0.000727728
     -0.00220717     -0.00236949
     -5.1262e-05    -7.47771e-05
     -4.7277e-05    -6.91087e-05
     -6.3977e-05    -6.83831e-05
    -0.000350194     -0.00065538
     -8.9123e-05     -9.0696e-05
    -0.000834381     -0.00115919
     -9.5995e-05    -0.000102428
    -0.000812256    -0.000830994
    -0.000745551    -0.000735629
     -0.00011548    -0.000119751
     -0.00144318     -0.00166398
     -9.8153e-05    -0.000113189
    -0.000874006     -0.00108939
    -0.000155032    -0.000216929
    -0.000113987    -0.000160552
      -4.922e-05    -4.74884e-05
    -0.000515267     -0.00040878
     -9.6012e-05    -8.99902e-05
    -0.000143473    -0.000249191
     -0.00199294     -0.00157235
     -6.8859e-05    -8.52956e-05
     -0.00124874     -0.00158929
    -0.000321464    -0.000343625
     -8.6545e-05    -0.000109109
     -2.2377e-05    -2.44875e-05
     -0.00148957     -0.00132025
    -0.000206123     -0.00037867
    -0.000200364    -0.000388312
    -0.000353431     -0.00053571
     -5.1516e-05    -5.48647e-05
    -0.000103838      -0.0002231
     -0.00131103     -0.00101266
    -0.000252412    -0.000326854
     -9.9695e-05    -0.000148269
     -5.3235e-05    -7.64301e-05
     -5.1001e-05    -5.97128e-05
    -0.000150269    -0.000210675
     -3.7233e-05    -3.64546e-05
    -0.000346554    -0.000390158
     -5.5426e-05    -5.43775e-05
     -1.7337e-05    -2.12657e-05
     -3.7641e-05    -3.52452e-05
    -0.000163026    -0.000251221
    -0.000208553    -0.000204079
    -0.000378309    -0.000766871
     -6.0666e-05    -8.39836e-05
     -0.00221404     -0.00162778
    -0.000380179    -0.000324549
     -0.00151176     -0.00114306
     -2.5471e-05    -3.32519e-05
    -0.000234719    -0.000227559
     -4.0458e-05    -3.94976e-05
     -1.9313e-05    -2.31606e-05
      -6.342e-05    -5.80604e-05
     -3.8001e-05    -4.27366e-05
     -5.4323e-05    -5.49199e-05
     -0.00354718     -0.00310762
     -4.4715e-05    -4.70447e-05
     -8.3872e-05    -8.94856e-05
    -0.000660587    -0.000840565
     -8.6599e-05    -0.000209838
    -0.000273366    -0.000272144
     -0.00460788     -0.00347298
    -0.000352411    -0.000404387
     -0.00110765     -0.00107918
    -0.000109516    -0.000115372
     -5.4173e-05    -4.78559e-05
    -0.000299012    -0.000582044
     -5.0884e-05     -5.0613e-05
     -2.7422e-05    -2.83801e-05
     -0.00048514    -0.000632771
     -3.7967e-05    -3.68256e-05
