QM Energy	FF Energy
     -0.00157547     -0.00151091
     -0.00191831     -0.00149674
    -0.000769616    -0.000695501
     -0.00492559     -0.00516833
     -0.00530746     -0.00539871
      -0.0126358      -0.0100769
    -0.000716548    -0.000634936
     -0.00897013     -0.00871846
     -0.00179315     -0.00168128
     -0.00432765      -0.0039065
     -0.00299023     -0.00274159
    -0.000965335    -0.000950379
     -0.00159747     -0.00167731
     -0.00687106     -0.00629475
     -0.00600221     -0.00727973
     -0.00755488     -0.00821921
     -0.00526759     -0.00469609
     -0.00734763      -0.0078532
      -0.0109889      -0.0107483
     -0.00401586     -0.00462232
     -0.00588925     -0.00574712
     -0.00504903     -0.00503797
     -0.00676479     -0.00723949
     -0.00271876     -0.00218662
     -0.00362716     -0.00316677
     -0.00655571      -0.0075693
     -0.00353386     -0.00347305
     -0.00206732     -0.00189531
     -0.00471464     -0.00455575
     -0.00229576      -0.0022609
    -0.000965056     -0.00099434
     -0.00589796     -0.00579986
      -0.0152024      -0.0165306
     -0.00159438     -0.00134109
     -0.00156379     -0.00159548
     -0.00169774     -0.00169918
     -0.00595283     -0.00519478
     -0.00223445     -0.00241526
      -0.0105841      -0.0102415
     -0.00182519     -0.00165169
     -0.00664801      -0.0060207
     -0.00606518     -0.00630652
     -0.00280265     -0.00303141
      -0.0108951      -0.0107851
     -0.00218186     -0.00201675
     -0.00792961     -0.00795143
     -0.00274389     -0.00254171
     -0.00196156     -0.00193337
     -0.00118131     -0.00113278
      -0.0055871     -0.00662629
     -0.00152768     -0.00171749
     -0.00344047     -0.00309834
       -0.015649      -0.0166829
     -0.00155419     -0.00127043
      -0.0104262      -0.0111892
     -0.00418693      -0.0041329
     -0.00204553     -0.00178244
     -0.00066164    -0.000594242
     -0.00989513     -0.00924528
     -0.00451722     -0.00432181
      -0.0042559     -0.00409179
      -0.0055902      -0.0055483
     -0.00135113     -0.00130689
     -0.00299998      -0.0025382
     -0.00713007     -0.00766144
     -0.00398674     -0.00384492
     -0.00185837     -0.00184979
     -0.00151838      -0.0013589
     -0.00132567     -0.00114075
     -0.00295537     -0.00283207
     -0.00110765     -0.00114746
     -0.00489602     -0.00531779
     -0.00132642     -0.00129724
    -0.000625823    -0.000559679
    -0.000866725    -0.000924946
     -0.00331585     -0.00326053
     -0.00318319     -0.00345887
       -0.006483     -0.00574666
     -0.00148665     -0.00140227
      -0.0106377     -0.00994059
     -0.00429501     -0.00483033
      -0.0126683      -0.0130212
    -0.000849825    -0.000784674
     -0.00263716     -0.00300922
     -0.00114168     -0.00118837
    -0.000670698    -0.000592037
     -0.00123247     -0.00109303
    -0.000919647    -0.000813496
     -0.00121586     -0.00132287
      -0.0170961      -0.0157624
     -0.00137526     -0.00141768
     -0.00165406     -0.00172738
     -0.00672582     -0.00635958
     -0.00303846     -0.00273662
     -0.00305115     -0.00353414
