QM Energy	FF Energy
    -0.000364388    -0.000373571
     -0.00128416     -0.00129117
     -0.00029978    -0.000308944
     -6.3353e-05    -7.36574e-05
      -4.737e-05    -5.60492e-05
    -0.000301304    -0.000361083
    -0.000164987    -0.000170461
    -0.000215016    -0.000222576
     -5.6752e-05    -6.65955e-05
    -0.000570044    -0.000572006
     -5.6784e-05     -5.4755e-05
    -0.000970063    -0.000918612
    -0.000245381    -0.000240103
    -0.000137466      -0.0001354
    -0.000404308    -0.000416185
    -0.000681944    -0.000796881
    -0.000181682    -0.000183892
    -0.000466911    -0.000695172
    -0.000211393    -0.000225988
    -0.000523666    -0.000604733
    -0.000182449    -0.000180476
    -0.000120917    -0.000112401
     -4.3867e-05    -5.00928e-05
    -0.000527148    -0.000488274
    -0.000136594    -0.000133346
     -9.5499e-05    -0.000121334
     -0.00023779    -0.000237125
    -0.000169831    -0.000160732
    -0.000400441    -0.000486783
    -0.000472616    -0.000457059
     -0.00125771     -0.00151997
      -0.0010356     -0.00110566
    -0.000429177    -0.000442432
    -0.000106517    -0.000101746
    -0.000208603    -0.000224764
    -0.000184997    -0.000185495
    -0.000315984    -0.000337608
     -4.7031e-05    -5.38721e-05
    -0.000849275     -0.00118918
     -0.00032375    -0.000280796
     -0.00290151     -0.00255823
    -0.000125293    -0.000119779
    -0.000312097    -0.000396872
    -0.000101562    -0.000102056
    -0.000144412    -0.000174659
     -0.00046963    -0.000618638
    -0.000656102    -0.000676851
    -0.000564342    -0.000673087
    -0.000197271    -0.000198885
     -0.00198689     -0.00204548
     -0.00021075    -0.000196194
     -0.00023388    -0.000219548
     -7.0444e-05    -6.23271e-05
     -0.00030762    -0.000391395
    -0.000185981    -0.000208714
    -0.000210851    -0.000238052
     -6.6588e-05    -8.04673e-05
     -0.00243242     -0.00225889
      -7.609e-05    -7.59643e-05
    -0.000287965    -0.000313679
    -0.000288611    -0.000312273
      -0.0005781    -0.000558994
     -0.00018716    -0.000183234
     -0.00025253    -0.000274162
    -0.000155447     -0.00016858
     -0.00042331    -0.000504518
    -0.000305176    -0.000355659
    -0.000535729    -0.000483369
    -0.000301488    -0.000309314
     -0.00136719     -0.00134813
    -0.000112615    -0.000116258
    -0.000810801     -0.00108746
     -8.5451e-05     -8.2294e-05
    -0.000363668    -0.000392174
    -0.000127855    -0.000123271
    -0.000415134    -0.000494726
    -0.000450076    -0.000489041
    -0.000112329    -0.000103314
    -0.000213191    -0.000196296
    -0.000159785    -0.000150065
    -0.000274366    -0.000282692
     -5.1553e-05    -4.90088e-05
    -0.000909358    -0.000840348
    -0.000128742     -0.00013252
     -0.00023257    -0.000284992
     -9.8733e-05    -0.000103374
    -0.000995755     -0.00125516
     -0.00045597    -0.000396168
    -0.000177397    -0.000162092
     -0.00211924     -0.00195325
    -0.000120756    -0.000103248
    -0.000112123    -0.000125487
     -0.00208255     -0.00200089
    -0.000185109    -0.000182126
    -0.000163229    -0.000161375
    -0.000730564     -0.00076781
    -0.000188175      -0.0001963
     -0.00105668    -0.000986567
    -0.000566472    -0.000776525
    -0.000634719    -0.000664231
    -0.000106311     -0.00010311
     -0.00121526     -0.00138431
    -0.000653029    -0.000822546
     -7.4397e-05    -7.66722e-05
     -0.00100755    -0.000994791
    -0.000719968    -0.000812117
    -0.000778802    -0.000921711
    -0.000123909    -0.000109433
    -0.000914256     -0.00118233
    -0.000343872    -0.000438069
    -0.000421777    -0.000433413
    -0.000690204    -0.000947159
     -6.3798e-05    -6.25449e-05
     -8.7053e-05    -7.91635e-05
    -0.000583263    -0.000666837
    -0.000404103     -0.00050867
    -0.000493496    -0.000498503
    -0.000144348    -0.000140804
    -0.000156306    -0.000159851
     -0.00239609     -0.00210659
     -7.5047e-05     -7.9215e-05
     -0.00162377     -0.00198546
    -0.000205754    -0.000193225
    -0.000325012    -0.000398856
    -0.000108222    -0.000110635
    -0.000152272    -0.000143488
    -0.000770185    -0.000810236
     -0.00080031    -0.000913729
     -7.4452e-05    -6.69694e-05
    -0.000165478    -0.000147173
    -0.000157798    -0.000152132
    -0.000226622    -0.000216282
    -0.000739964     -0.00088341
    -0.000116729    -0.000110226
     -0.00317514     -0.00317392
     -0.00145627     -0.00146085
    -0.000202176    -0.000197203
    -0.000126467    -0.000113305
      -0.0011498     -0.00117438
    -0.000105095    -0.000105861
     -6.3285e-05    -5.92072e-05
    -0.000437539    -0.000593819
    -0.000371175    -0.000363079
    -0.000138252    -0.000163363
    -0.000228223    -0.000236001
     -0.00050429    -0.000612909
    -0.000553806     -0.00068094
    -0.000108721    -0.000104495
    -0.000513318    -0.000602402
    -0.000242551    -0.000244219
     -0.00201329     -0.00187075
    -0.000291908    -0.000367692
    -0.000335283    -0.000366468
    -0.000782142     -0.00106062
    -0.000335591    -0.000370369
     -6.4923e-05    -7.82582e-05
     -0.00094659    -0.000942764
    -0.000274148    -0.000293481
    -0.000795861     -0.00103684
     -8.2695e-05     -7.7924e-05
    -0.000166734    -0.000183312
    -0.000632616    -0.000850585
     -7.1374e-05    -6.98652e-05
     -7.1202e-05     -6.8626e-05
     -0.00193972     -0.00169844
    -0.000150066    -0.000153168
     -0.00147556     -0.00176408
     -5.3037e-05    -5.31716e-05
      -9.466e-05    -8.86191e-05
    -0.000300143    -0.000294839
    -0.000241548    -0.000281478
       -6.23e-05     -6.3882e-05
     -0.00144528     -0.00141146
     -0.00046519    -0.000531075
     -9.7938e-05    -9.47516e-05
    -0.000689105    -0.000841305
    -0.000353414    -0.000357447
    -0.000223423    -0.000213794
    -0.000306594    -0.000331643
    -0.000202781    -0.000223742
    -0.000134128    -0.000137217
    -0.000840209    -0.000798548
     -5.4321e-05    -6.59643e-05
    -0.000315922    -0.000355422
    -0.000109437    -0.000101558
    -0.000788475     -0.00103785
    -0.000321547    -0.000370301
    -0.000580233    -0.000566827
     -0.00120695     -0.00137171
    -0.000201226    -0.000200361
     -0.00165588     -0.00190003
     -0.00156521     -0.00146607
    -0.000279619    -0.000334088
    -0.000432416    -0.000497048
    -0.000686924    -0.000960671
    -0.000707094     -0.00082197
    -0.000100422    -8.82214e-05
     -0.00210135     -0.00206573
     -0.00166677     -0.00183387
    -0.000681159    -0.000827601
    -0.000670343    -0.000728836
    -0.000897185     -0.00113447
     -0.00145107     -0.00140271
     -9.7708e-05    -9.46077e-05
     -0.00017974    -0.000179519
     -0.00279218     -0.00254896
     -0.00085514    -0.000997002
     -0.00101986     -0.00100586
     -0.00088092     -0.00083148
    -0.000111781    -0.000106039
     -7.7828e-05    -7.10259e-05
    -0.000516408    -0.000631094
    -0.000124981    -0.000115896
    -0.000145171    -0.000135792
    -0.000494558    -0.000604441
    -0.000256848    -0.000270657
    -0.000583454    -0.000758353
    -0.000259901    -0.000329205
    -0.000951685     -0.00115245
    -0.000236009    -0.000231857
    -0.000293275    -0.000317904
    -0.000847198    -0.000871824
    -0.000233623    -0.000234806
    -0.000474898    -0.000544447
    -0.000186971    -0.000203437
    -0.000801277    -0.000725516
     -0.00181825     -0.00175428
     -0.00210098     -0.00194266
    -0.000143327    -0.000174798
    -0.000265399    -0.000303588
    -0.000399661     -0.00038534
     -6.7085e-05    -6.45153e-05
    -0.000165289    -0.000173037
    -0.000598289     -0.00064284
    -0.000154439    -0.000161777
      -0.0001408    -0.000135368
    -0.000151623    -0.000147064
    -0.000865391     -0.00100227
      -0.0011854     -0.00147666
    -0.000434503    -0.000417262
    -0.000123805    -0.000119784
     -0.00110498     -0.00111647
    -0.000359815    -0.000435582
    -0.000392318    -0.000416277
    -0.000731886    -0.000886505
    -0.000354274     -0.00046239
    -0.000167462    -0.000165913
    -0.000189511    -0.000235663
     -0.00311651     -0.00257943
     -0.00052991    -0.000613208
    -0.000145417    -0.000164372
    -0.000544642    -0.000721315
    -0.000553465    -0.000559827
    -0.000128375     -0.00012469
    -0.000309515     -0.00032447
    -0.000284838    -0.000292076
    -0.000718308    -0.000739091
    -0.000215767     -0.00020791
    -0.000165253    -0.000158093
    -0.000305807    -0.000400957
    -0.000527147    -0.000635217
    -0.000162626    -0.000151776
    -0.000122939    -0.000121841
