QM Energy	FF Energy
     -0.00016261    -8.88404e-05
     -0.00080059    -0.000933925
     -0.00070372    -0.000663825
    -0.000953711    -0.000739725
    -0.000992087    -0.000626996
    -0.000626136    -0.000427969
     -5.5411e-05    -8.16963e-05
     -3.1017e-05    -1.83731e-05
     -5.2891e-05    -7.21283e-05
    -0.000122746    -0.000157837
    -0.000387684    -0.000418944
    -0.000869318    -0.000722444
      -6.879e-05    -6.60928e-05
    -0.000525828    -0.000533819
    -0.000877123    -0.000822402
    -0.000787389    -0.000692135
    -0.000120138    -0.000123485
     -0.00184761     -0.00149857
     -0.00101039     -0.00056329
     -1.3403e-05    -1.37877e-05
    -0.000175813    -0.000112715
     -0.00267381      -0.0030362
     -4.3299e-05    -3.07976e-05
     -1.0834e-05    -6.95982e-06
    -0.000983933     -0.00111598
      -1.544e-05    -1.16781e-05
     -7.6548e-05    -0.000111249
     -8.3832e-05    -5.55069e-05
     -1.5271e-05    -2.36689e-05
    -0.000321814    -0.000403222
      -1.402e-05    -8.96772e-06
     -0.00166013     -0.00160512
    -0.000335523    -0.000290632
     -0.00150516    -0.000928185
      -1.376e-05    -7.85263e-06
    -0.000141922    -0.000119568
    -0.000716158    -0.000789163
     -0.00103573    -0.000661915
     -1.1439e-05    -8.99205e-06
     -2.4986e-05    -2.14135e-05
     -0.00158931     -0.00117708
     -8.5315e-05    -9.81631e-05
     -8.3837e-05    -0.000109765
    -0.000718909    -0.000470268
     -0.00104686     -0.00122436
    -0.000248443    -0.000301289
       -0.002418     -0.00242788
    -0.000605642    -0.000453027
    -0.000463093    -0.000240169
     -0.00017498    -0.000124452
    -0.000258446    -0.000134806
     -5.5903e-05    -6.85926e-05
    -0.000583657    -0.000539983
    -0.000336896    -0.000372527
     -6.0235e-05    -7.86216e-05
      -6.251e-06    -3.51014e-06
     -5.5685e-05    -2.79392e-05
    -0.000140965    -0.000119867
    -0.000164039    -0.000102175
      -5.069e-05    -2.69815e-05
     -3.8821e-05    -2.33398e-05
    -0.000141951    -0.000127773
    -0.000874401    -0.000646132
     -0.00151377     -0.00183798
    -0.000266327    -0.000194293
     -7.1169e-05    -5.34655e-05
    -0.000910255    -0.000524987
      -0.0018903     -0.00175727
       -8.23e-06    -5.22769e-06
    -0.000657195    -0.000371986
     -0.00090603      -0.0005924
     -1.4843e-05    -9.44901e-06
    -0.000495882    -0.000609722
      -0.0016294    -0.000875857
     -8.3294e-05    -0.000110073
    -0.000297543     -0.00036803
     -5.0845e-05    -2.71242e-05
      -7.176e-05    -9.52933e-05
    -0.000222093    -0.000117691
     -4.4868e-05    -6.16567e-05
    -0.000113007    -6.02322e-05
    -0.000238827    -0.000269622
    -0.000106316    -8.58386e-05
     -9.0336e-05    -4.57527e-05
    -0.000381808    -0.000477361
    -0.000744104    -0.000850864
     -3.3364e-05    -2.04962e-05
     -5.2779e-05     -3.0742e-05
     -4.1211e-05     -5.9234e-05
    -0.000121863    -6.94568e-05
    -0.000690667    -0.000837542
     -2.1962e-05    -2.58218e-05
    -0.000499903    -0.000616863
    -0.000766275     -0.00210247
     -4.3123e-05    -2.47666e-05
     -1.2266e-05    -1.74463e-05
     -0.00155796     -0.00119687
     -3.2475e-05    -2.01925e-05
    -0.000784844    -0.000895431
     -2.1288e-05    -1.81814e-05
      -0.0013005    -0.000854972
     -8.5961e-05     -5.7432e-05
       -9.99e-06    -1.15519e-05
    -0.000213782    -0.000259611
     -0.00126048    -0.000730994
     -0.00168781     -0.00131362
     -3.2315e-05    -2.81048e-05
    -0.000312719    -0.000366815
     -0.00119723    -0.000835987
    -0.000160549    -0.000210517
     -0.00145221     -0.00165296
     -0.00140969     -0.00100418
     -8.0523e-05    -0.000115036
     -4.2082e-05    -2.40122e-05
      -5.749e-06    -4.50399e-06
     -0.00198219      -0.0011115
    -0.000208125    -0.000252103
     -0.00130667     -0.00144241
    -0.000311416     -0.00032972
    -0.000804737    -0.000825278
    -0.000712763    -0.000640518
    -0.000325399    -0.000150127
     -3.5612e-05    -1.80317e-05
    -0.000198922    -0.000160503
      -6.016e-06    -3.48948e-06
     -1.8397e-05    -1.12022e-05
     -4.4069e-05    -2.41063e-05
    -0.000323987    -0.000185076
     -1.7339e-05    -1.43895e-05
    -0.000620619    -0.000438051
    -0.000455348    -0.000461952
    -0.000498818    -0.000306262
     -0.00112934    -0.000671384
    -0.000889424    -0.000490123
    -0.000745687    -0.000542918
     -1.3439e-05     -7.5068e-06
     -4.1402e-05    -2.59393e-05
     -7.2992e-05    -9.96113e-05
    -0.000291591    -0.000322246
     -1.5057e-05    -2.25661e-05
     -2.7921e-05     -1.9425e-05
      -8.448e-06    -4.18459e-06
     -2.1315e-05    -1.07606e-05
    -0.000548664    -0.000474346
     -0.00073758    -0.000432512
    -0.000310795    -0.000368949
     -4.9883e-05    -3.17277e-05
    -0.000138419    -0.000105517
     -1.3793e-05    -8.66383e-06
     -6.1847e-05    -4.66655e-05
     -0.00177763     -0.00157845
    -0.000139083    -0.000108764
    -0.000187329    -0.000121786
     -0.00197634     -0.00119564
    -0.000530403    -0.000537786
       -0.001633     -0.00179822
      -8.748e-06    -5.26147e-06
     -8.2907e-05    -5.10172e-05
    -0.000959046    -0.000632858
    -0.000641019    -0.000326846
    -0.000617642    -0.000609272
     -0.00111915    -0.000757615
     -7.8171e-05    -9.91139e-05
     -1.2906e-05    -2.00167e-05
     -6.3942e-05    -3.34583e-05
    -0.000395874    -0.000317474
     -5.6966e-05    -6.90624e-05
     -2.3697e-05    -3.53606e-05
    -0.000592172    -0.000417177
     -1.7716e-05    -1.00571e-05
     -2.8383e-05    -1.64691e-05
     -0.00015173    -0.000153735
     -0.00104479      -0.0007861
    -0.000427816    -0.000466253
     -9.7943e-05    -0.000123593
     -1.9097e-05     -2.8757e-05
    -0.000101071    -9.08763e-05
    -0.000406699     -0.00037203
     -0.00109775      -0.0011701
     -0.00088532    -0.000508489
      -6.919e-06    -1.02311e-05
     -1.3401e-05    -1.84759e-05
     -3.8976e-05    -2.23811e-05
    -0.000410863    -0.000452117
    -0.000606017    -0.000575595
    -0.000478489    -0.000346827
     -0.00117979     -0.00134681
    -0.000282011    -0.000352449
    -0.000137593    -0.000114725
     -1.5262e-05    -8.38237e-06
     -1.8174e-05    -8.91167e-06
    -0.000269324    -0.000191371
     -3.1024e-05     -2.1739e-05
      -5.359e-05    -3.71006e-05
    -0.000634689    -0.000448316
    -0.000824382    -0.000521066
     -2.9929e-05    -4.11685e-05
     -3.8266e-05    -5.28313e-05
     -0.00154605     -0.00113364
     -2.6299e-05    -1.80652e-05
     -0.00167803     -0.00186668
    -0.000493394    -0.000374864
      -9.038e-06    -6.81064e-06
     -1.0267e-05     -1.4921e-05
     -0.00126533     -0.00139313
    -0.000553989    -0.000272107
     -1.5839e-05     -7.7623e-06
     -0.00221104     -0.00220578
     -0.00151699     -0.00137112
    -0.000838699    -0.000666271
     -0.00130122     -0.00117059
     -8.3883e-05    -5.21513e-05
    -0.000197958    -0.000239936
     -0.00199519     -0.00166174
     -3.0293e-05    -2.97938e-05
    -0.000981179     -0.00083206
    -0.000296969    -0.000369897
     -4.1101e-05    -2.55003e-05
     -1.4149e-05    -2.15726e-05
     -7.3976e-05    -0.000106684
     -1.7929e-05    -2.64468e-05
    -0.000867108    -0.000486912
    -0.000272471    -0.000346073
    -0.000253039    -0.000210549
     -8.2681e-05    -0.000122474
     -0.00173229      -0.0021104
     -7.4967e-05    -4.36907e-05
     -1.0236e-05    -6.33048e-06
     -0.00160712    -0.000879614
     -0.00156202     -0.00158575
     -7.9311e-05    -4.03332e-05
    -0.000201188    -0.000106193
    -0.000429134    -0.000252416
     -0.00158385    -0.000999245
      -0.0016677     -0.00127674
    -0.000794486    -0.000560567
     -0.00131382     -0.00245122
    -0.000120034    -0.000105231
    -0.000100179      -6.117e-05
    -0.000128163    -6.86289e-05
    -0.000158788    -8.95576e-05
     -8.2664e-05    -4.72405e-05
    -0.000220764    -0.000124962
     -0.00113812    -0.000708035
     -4.7245e-05    -4.44756e-05
      -9.662e-06     -6.2643e-06
     -0.00142662     -0.00107866
     -0.00149096     -0.00104312
     -1.3968e-05    -8.19802e-06
    -0.000400785    -0.000488024
     -0.00126279    -0.000891089
    -0.000481106    -0.000242054
     -0.00170019     -0.00128359
     -4.5969e-05    -6.41337e-05
     -1.9901e-05    -2.90763e-05
    -0.000478567    -0.000394977
     -0.00173384     -0.00154984
     -1.1795e-05    -1.75677e-05
     -0.00082269    -0.000622126
     -7.6004e-05    -5.28747e-05
    -0.000381652    -0.000306528
    -0.000253524    -0.000132447
     -0.00175069     -0.00149392
    -0.000136302    -0.000122361
    -0.000999346     -0.00063808
     -0.00105054     -0.00112323
      -0.0012077     -0.00114914
     -2.3428e-05     -1.4762e-05
    -0.000310448    -0.000161368
     -0.00059157     -0.00037984
     -3.2463e-05    -3.13002e-05
     -2.0358e-05    -2.97455e-05
     -2.1405e-05    -1.58595e-05
     -2.8982e-05    -4.25574e-05
     -7.2651e-05    -4.97667e-05
    -0.000840436    -0.000981644
     -0.00132551    -0.000676047
     -0.00105426    -0.000647077
    -0.000264452    -0.000323114
      -1.802e-05    -1.05686e-05
     -3.6743e-05    -3.32369e-05
     -1.4065e-05    -8.03619e-06
    -0.000677407    -0.000385918
    -0.000574121    -0.000576734
    -0.000533206    -0.000663163
    -0.000232417    -0.000264952
    -0.000506836    -0.000605424
    -0.000665207    -0.000319835
     -0.00106119    -0.000641715
    -0.000632345    -0.000526644
     -7.0807e-05    -9.60413e-05
    -0.000119527    -6.15959e-05
     -5.9732e-05    -5.24993e-05
     -4.7012e-05    -6.59723e-05
     -0.00109435    -0.000726492
    -0.000325313    -0.000197211
      -4.981e-05    -3.40689e-05
    -0.000449814    -0.000280301
     -0.00131005     -0.00110264
     -3.2231e-05    -2.35795e-05
     -0.00095493     -0.00054796
    -0.000131065    -7.61586e-05
     -3.8237e-05    -5.24087e-05
     -0.00157445     -0.00157059
    -0.000401846    -0.000216629
    -0.000476079    -0.000310508
     -2.5405e-05    -3.80986e-05
     -7.4599e-05    -4.72884e-05
     -3.3179e-05    -4.54884e-05
     -0.00120468     -0.00092657
    -0.000192844    -0.000224572
    -0.000465357    -0.000412731
    -0.000922966     -0.00109762
     -9.9631e-05    -0.000119666
     -4.6361e-05    -6.64198e-05
    -0.000418308    -0.000416304
     -0.00194232     -0.00107234
     -0.00176877     -0.00185335
     -6.4325e-05    -6.75463e-05
     -6.9895e-05    -8.18166e-05
      -0.0019166     -0.00177916
    -0.000639996    -0.000438368
     -0.00140798     -0.00111255
    -0.000448872    -0.000563006
