QM Energy	FF Energy
     -0.00016261    -8.88396e-05
     -0.00080059    -0.000933909
     -0.00070372    -0.000663826
    -0.000953711    -0.000739724
    -0.000992087    -0.000626999
    -0.000626136     -0.00042796
     -5.5411e-05    -8.16966e-05
     -3.1017e-05    -1.83744e-05
     -5.2891e-05    -7.21304e-05
    -0.000122746    -0.000157835
    -0.000387684    -0.000418954
    -0.000869318     -0.00072255
      -6.879e-05    -6.60901e-05
    -0.000525828    -0.000533826
    -0.000877123    -0.000822426
    -0.000787389    -0.000692149
    -0.000120138    -0.000123499
     -0.00184761     -0.00149856
     -0.00101039    -0.000563258
     -1.3403e-05    -1.37885e-05
    -0.000175813    -0.000112714
     -0.00267381      -0.0030362
     -4.3299e-05    -3.07983e-05
     -1.0834e-05     -6.9595e-06
    -0.000983933     -0.00111601
      -1.544e-05    -1.16808e-05
     -7.6548e-05    -0.000111253
     -8.3832e-05    -5.55244e-05
     -1.5271e-05     -2.3669e-05
    -0.000321814    -0.000403216
      -1.402e-05    -8.96769e-06
     -0.00166013     -0.00160509
    -0.000335523    -0.000290676
     -0.00150516    -0.000928185
      -1.376e-05    -7.85322e-06
    -0.000141922    -0.000119561
    -0.000716158    -0.000789218
     -0.00103573    -0.000661916
     -1.1439e-05    -8.99358e-06
     -2.4986e-05    -2.14079e-05
     -0.00158931     -0.00117705
     -8.5315e-05    -9.81622e-05
     -8.3837e-05    -0.000109784
    -0.000718909    -0.000470266
     -0.00104686     -0.00122432
    -0.000248443    -0.000301285
       -0.002418     -0.00242794
    -0.000605642    -0.000453029
    -0.000463093    -0.000240167
     -0.00017498    -0.000124449
    -0.000258446    -0.000134803
     -5.5903e-05     -6.8595e-05
    -0.000583657    -0.000539986
    -0.000336896    -0.000372523
     -6.0235e-05    -7.86185e-05
      -6.251e-06    -3.51614e-06
     -5.5685e-05    -2.79449e-05
    -0.000140965    -0.000119878
    -0.000164039    -0.000102171
      -5.069e-05    -2.69807e-05
     -3.8821e-05    -2.33401e-05
    -0.000141951    -0.000127773
    -0.000874401    -0.000646102
     -0.00151377     -0.00183787
    -0.000266327    -0.000194292
     -7.1169e-05    -5.34694e-05
    -0.000910255    -0.000524984
      -0.0018903     -0.00175725
       -8.23e-06    -5.22406e-06
    -0.000657195    -0.000371975
     -0.00090603    -0.000592365
     -1.4843e-05    -9.45284e-06
    -0.000495882    -0.000609716
      -0.0016294    -0.000875834
     -8.3294e-05    -0.000110073
    -0.000297543    -0.000368026
     -5.0845e-05    -2.71248e-05
      -7.176e-05    -9.53055e-05
    -0.000222093    -0.000117692
     -4.4868e-05    -6.16625e-05
    -0.000113007    -6.02349e-05
    -0.000238827    -0.000269604
    -0.000106316     -8.5837e-05
     -9.0336e-05    -4.57524e-05
    -0.000381808    -0.000477352
    -0.000744104     -0.00085112
     -3.3364e-05     -2.0496e-05
     -5.2779e-05    -3.07418e-05
     -4.1211e-05    -5.92338e-05
    -0.000121863    -6.94714e-05
    -0.000690667    -0.000837547
     -2.1962e-05    -2.58218e-05
    -0.000499903    -0.000616833
    -0.000766275     -0.00210246
     -4.3123e-05    -2.47647e-05
     -1.2266e-05    -1.74667e-05
     -0.00155796     -0.00119687
     -3.2475e-05     -2.0192e-05
    -0.000784844    -0.000895398
     -2.1288e-05    -1.81814e-05
      -0.0013005     -0.00085498
     -8.5961e-05    -5.74433e-05
       -9.99e-06    -1.15552e-05
    -0.000213782    -0.000259603
     -0.00126048    -0.000730967
     -0.00168781     -0.00131364
     -3.2315e-05    -2.80982e-05
    -0.000312719    -0.000366857
     -0.00119723     -0.00083597
    -0.000160549    -0.000210514
     -0.00145221     -0.00165292
     -0.00140969     -0.00100411
     -8.0523e-05    -0.000115032
     -4.2082e-05    -2.40098e-05
      -5.749e-06    -4.50355e-06
     -0.00198219     -0.00111143
    -0.000208125    -0.000252097
     -0.00130667     -0.00144242
    -0.000311416    -0.000329724
    -0.000804737    -0.000825285
    -0.000712763    -0.000640515
    -0.000325399    -0.000150128
     -3.5612e-05    -1.80318e-05
    -0.000198922    -0.000160549
      -6.016e-06    -3.49147e-06
     -1.8397e-05    -1.12024e-05
     -4.4069e-05     -2.4112e-05
    -0.000323987    -0.000185079
     -1.7339e-05    -1.43887e-05
    -0.000620619    -0.000438044
    -0.000455348    -0.000461952
    -0.000498818    -0.000306224
     -0.00112934    -0.000671396
    -0.000889424    -0.000490094
    -0.000745687    -0.000542919
     -1.3439e-05    -7.50694e-06
     -4.1402e-05    -2.59387e-05
     -7.2992e-05    -9.96117e-05
    -0.000291591      -0.0003222
     -1.5057e-05     -2.2566e-05
     -2.7921e-05    -1.94278e-05
      -8.448e-06    -4.18554e-06
     -2.1315e-05    -1.07513e-05
    -0.000548664    -0.000474348
     -0.00073758    -0.000432508
    -0.000310795    -0.000368891
     -4.9883e-05    -3.17249e-05
    -0.000138419    -0.000105527
     -1.3793e-05    -8.66329e-06
     -6.1847e-05    -4.66657e-05
     -0.00177763     -0.00157844
    -0.000139083    -0.000108763
    -0.000187329    -0.000121779
     -0.00197634     -0.00119569
    -0.000530403    -0.000537777
       -0.001633     -0.00179827
      -8.748e-06     -5.2616e-06
     -8.2907e-05    -5.10156e-05
    -0.000959046    -0.000632843
    -0.000641019    -0.000326842
    -0.000617642    -0.000609245
     -0.00111915    -0.000757617
     -7.8171e-05    -9.91152e-05
     -1.2906e-05    -2.00185e-05
     -6.3942e-05    -3.34584e-05
    -0.000395874    -0.000317459
     -5.6966e-05    -6.90653e-05
     -2.3697e-05    -3.53604e-05
    -0.000592172    -0.000417182
