QM Energy	FF Energy
    -0.000860951    -0.000865884
     -0.00380911     -0.00356203
     -0.00418658     -0.00482359
     -0.00390657     -0.00400192
     -0.00590279     -0.00644831
     -0.00273771     -0.00278798
       7.539e-06     4.25923e-05
    -0.000221449    -0.000222701
    -0.000385763    -0.000420683
    -0.000622293    -0.000724106
     -0.00168963     -0.00181967
     -0.00415383     -0.00438201
    -0.000510381    -0.000578723
     -0.00244371     -0.00256715
     -0.00512868      -0.0055765
     -0.00387244      -0.0040937
    -0.000355664    -0.000416093
      -0.0171368      -0.0169388
     -0.00640205     -0.00668721
     -9.3527e-05    -9.30766e-05
    -0.000932407    -0.000947273
      -0.0172446      -0.0155833
    -0.000263748    -0.000283741
     -9.6298e-05    -9.29497e-05
     -0.00325667     -0.00315535
      -7.167e-05    -8.85091e-05
    -0.000228764    -0.000194616
    -0.000372823    -0.000454186
      6.8032e-05     9.38683e-05
      -0.0011293     -0.00118474
    -0.000138405    -0.000141314
       -0.012851      -0.0128522
     -0.00135221     -0.00149959
     -0.00773088     -0.00810503
     -5.8461e-05    -7.14949e-05
    -0.000693682    -0.000767735
     -0.00285597     -0.00273082
     -0.00490989     -0.00501188
      -3.247e-06    -2.10354e-05
    -0.000105251    -0.000134103
      -0.0124057      -0.0126611
    -0.000568044    -0.000713901
    -0.000227273    -0.000225069
     -0.00348335     -0.00348849
     -0.00263642     -0.00252656
     -0.00107992     -0.00122311
      -0.0171207      -0.0173997
     -0.00271467     -0.00293252
     -0.00219384     -0.00219718
    -0.000951459     -0.00108213
      -0.0013857     -0.00150028
    -0.000457612    -0.000568527
     -0.00290524     -0.00313709
     -0.00153836     -0.00174486
    -0.000364874    -0.000330084
       4.456e-05     5.03585e-05
      -0.0004366     -0.00044093
    -0.000712699    -0.000785619
     -0.00087034     -0.00089904
    -0.000428859    -0.000436532
    -0.000264171    -0.000293848
    -0.000518425     -0.00062087
     -0.00548311     -0.00575672
      -0.0251345      -0.0243478
     -0.00144741     -0.00150933
    -0.000229112    -0.000291338
     -0.00550645     -0.00557131
        -0.01129      -0.0112846
       6.966e-06    -1.35743e-05
     -0.00344241     -0.00370497
      -0.0053356     -0.00538724
     -7.7104e-05    -8.61317e-05
    -0.000986568    -0.000914147
     -0.00832561     -0.00852006
    -0.000481036    -0.000548199
     -0.00144454     -0.00127366
    -0.000290072    -0.000315397
    -0.000426525    -0.000469669
     -0.00118461     -0.00132055
    -0.000237664    -0.000263341
    -0.000501405     -0.00054183
    -0.000772302    -0.000876486
    -0.000573947    -0.000588276
    -0.000577308    -0.000587718
    -0.000657008     -0.00060962
     -0.00339771     -0.00328716
    -0.000226899    -0.000236261
    -0.000377203    -0.000379411
     -8.3988e-05    -4.51512e-05
    -0.000542189    -0.000616168
     -0.00128027      -0.0012566
    -0.000233844    -0.000280728
     -0.00133391     -0.00122442
      -0.0256352       -0.024175
    -0.000215878    -0.000223313
      -7.257e-05    -7.44006e-05
     -0.00778573     -0.00807106
    -0.000219677    -0.000225184
     -0.00317965     -0.00309158
    -0.000159195    -0.000176551
     -0.00839616     -0.00829992
    -0.000279686    -0.000289076
     -7.2952e-05      -6.873e-05
    -0.000990381    -0.000984552
     -0.00666356     -0.00664398
     -0.00992945      -0.0100782
      2.3314e-05     6.41584e-06
    -0.000726818    -0.000758867
     -0.00731669     -0.00806842
    -0.000575992    -0.000621592
      -0.0170073      -0.0164403
      -0.0114134       -0.011488
    -0.000128688     -0.00010138
    -0.000261923    -0.000300407
       -6.25e-07     9.29137e-06
      -0.0101992      -0.0102955
