# Eelst 		 Emultipole 
     -0.00086095      -0.00018685
     -0.00380911      -0.00009283
     -0.00418658      -0.00046391
     -0.00390657      -0.00021874
     -0.00590279       0.00073393
     -0.00273771      -0.00014762
      0.00000754       0.00019988
     -0.00022145      -0.00007269
     -0.00038576      -0.00012819
     -0.00062229      -0.00024222
     -0.00168963      -0.00025846
     -0.00415383       0.00022185
     -0.00051038      -0.00024992
     -0.00244371      -0.00038758
     -0.00512868      -0.00076074
     -0.00387244       0.00004079
     -0.00035566       0.00024416
     -0.01713679       0.00123534
     -0.00640205       0.00056399
     -0.00009353       0.00000360
     -0.00093241      -0.00014394
     -0.01724456      -0.00030193
     -0.00026375      -0.00010284
     -0.00009630      -0.00003745
     -0.00325667       0.00034893
     -0.00007167       0.00000913
     -0.00022876       0.00016120
     -0.00037282       0.00021297
      0.00006803       0.00013515
     -0.00112930       0.00015164
     -0.00013841      -0.00007891
     -0.01285105      -0.00002768
     -0.00135221       0.00039471
     -0.00773088      -0.00052250
     -0.00005846       0.00000698
     -0.00069368       0.00011184
     -0.00285597      -0.00045582
     -0.00490989      -0.00008131
     -0.00000325       0.00006843
     -0.00010525      -0.00001048
     -0.01240568       0.00081336
     -0.00056804      -0.00022311
     -0.00022727       0.00009633
     -0.00348335      -0.00026404
     -0.00263642       0.00054737
     -0.00107992      -0.00012618
     -0.01712069      -0.00096350
     -0.00271467       0.00037642
     -0.00219384      -0.00041851
     -0.00095146      -0.00030072
     -0.00138570       0.00028849
     -0.00045761      -0.00029695
     -0.00290524      -0.00013258
     -0.00153836      -0.00053770
     -0.00036487      -0.00011367
      0.00004456       0.00010630
     -0.00043660      -0.00020901
     -0.00071270       0.00004514
     -0.00087034      -0.00004241
     -0.00042886      -0.00020867
     -0.00026417      -0.00007998
     -0.00051842      -0.00005942
     -0.00548311       0.00058193
     -0.02513451       0.00079550
     -0.00144741      -0.00010605
     -0.00022911       0.00020462
     -0.00550645       0.00034419
     -0.01129000       0.00059781
      0.00000697       0.00005044
     -0.00344241      -0.00043283
     -0.00533560       0.00018526
     -0.00007710      -0.00000667
     -0.00098657       0.00028207
     -0.00832561      -0.00043942
     -0.00048104      -0.00003828
     -0.00144454       0.00003427
     -0.00029007      -0.00007983
     -0.00042652      -0.00005712
     -0.00118461       0.00025352
     -0.00023766      -0.00005636
     -0.00050141       0.00018335
     -0.00077230       0.00027248
     -0.00057395      -0.00014261
     -0.00057731      -0.00020040
     -0.00065701       0.00035901
     -0.00339771      -0.00010829
     -0.00022690      -0.00008542
     -0.00037720      -0.00016599
     -0.00008399       0.00011120
     -0.00054219       0.00016469
     -0.00128027       0.00053650
     -0.00023384      -0.00014026
     -0.00133391       0.00018709
     -0.02563525       0.00040479
     -0.00021588       0.00005251
     -0.00007257      -0.00001294
     -0.00778573      -0.00099315
     -0.00021968      -0.00005681
     -0.00317965       0.00014264
     -0.00015919      -0.00002602
     -0.00839616       0.00009280
     -0.00027969       0.00038433
     -0.00007295       0.00000705
     -0.00099038      -0.00025314
     -0.00666356      -0.00006097
     -0.00992945       0.00062249
      0.00002331       0.00023335
     -0.00072682       0.00066332
     -0.00731669       0.00051139
     -0.00057599       0.00001093
     -0.01700735       0.00081702
     -0.01141341       0.00086705
     -0.00012869       0.00012175
     -0.00026192      -0.00000044
     -0.00000063       0.00005873
     -0.01019918      -0.00080980
     -0.00062599       0.00026429
     -0.00817629       0.00033728
     -0.00110768       0.00031721
     -0.00457843      -0.00049944
     -0.00245896       0.00013186
     -0.00171692      -0.00046838
     -0.00032060      -0.00017741
     -0.00103148       0.00015288
      0.00000532       0.00007751
     -0.00005856       0.00008593
     -0.00012515       0.00020904
     -0.00175505       0.00006409
     -0.00005324       0.00001934
     -0.00279748      -0.00024891
     -0.00133477      -0.00000730
     -0.00278631       0.00001858
     -0.00535125      -0.00043855
     -0.00561656       0.00058398
     -0.00436257      -0.00000138
     -0.00012653      -0.00005727
     -0.00022300       0.00004325
     -0.00035929       0.00001334
     -0.00128346       0.00000607
     -0.00004493       0.00004771
     -0.00006339       0.00009527
      0.00002593       0.00012715
     -0.00007235       0.00008840
     -0.00285774      -0.00083953
     -0.00327861      -0.00045379
     -0.00141662      -0.00005063
     -0.00035884      -0.00015378
     -0.00043242       0.00044643
     -0.00005471       0.00002310
     -0.00051550      -0.00028467
     -0.01308436      -0.00018358
     -0.00079873       0.00000564
     -0.00107831      -0.00007776
     -0.01142773      -0.00079771
     -0.00254491      -0.00083534
     -0.00638343      -0.00046177
      0.00001682       0.00008967
     -0.00051892      -0.00017589
     -0.00581816       0.00016622
     -0.00293657      -0.00042279
     -0.00342916      -0.00049487
     -0.00601279       0.00050383
     -0.00047719      -0.00013256
     -0.00016029      -0.00011221
     -0.00043505      -0.00020108
     -0.00206134       0.00010553
     -0.00043093      -0.00023516
     -0.00022950      -0.00009469
     -0.00303548      -0.00004392
     -0.00005314       0.00008446
     -0.00013603       0.00003969
     -0.00039495       0.00036563
     -0.00407756      -0.00032190
     -0.00218881      -0.00049681
     -0.00062807      -0.00027841
     -0.00013059      -0.00004434
     -0.00035051       0.00009488
     -0.00208834      -0.00005247
     -0.00470535      -0.00040842
     -0.00405394      -0.00058833
     -0.00001191      -0.00001932
     -0.00008181      -0.00000224
     -0.00025760      -0.00006318
     -0.00241094      -0.00005745
     -0.00279181      -0.00007385
     -0.00278818      -0.00008119
     -0.00227947       0.00046703
     -0.00110613      -0.00006582
     -0.00064012      -0.00010121
     -0.00009463      -0.00000395
     -0.00010468       0.00003247
     -0.00119814      -0.00019467
     -0.00011088       0.00008116
     -0.00033672      -0.00007677
     -0.00296333      -0.00026382
     -0.00491165       0.00007998
     -0.00021052      -0.00006393
     -0.00005398       0.00010491
     -0.00975856      -0.00018685
     -0.00013076       0.00002716
     -0.00976182      -0.00024204
     -0.00253990      -0.00060645
     -0.00003429       0.00005717
     -0.00010818      -0.00008693
     -0.00389519       0.00031073
     -0.00321033       0.00051677
     -0.00022150      -0.00015786
     -0.01762363       0.00072433
     -0.01438168       0.00113718
     -0.00401765      -0.00023101
     -0.00462685       0.00013634
     -0.00046243      -0.00012537
     -0.00106279      -0.00033087
     -0.01191955      -0.00100265
     -0.00011850       0.00004875
     -0.00453488       0.00017528
     -0.00111691       0.00007562
     -0.00013726       0.00008512
      0.00005001       0.00011136
      0.00003024       0.00035228
     -0.00008483       0.00000485
     -0.00535325      -0.00029746
     -0.00101494      -0.00002614
     -0.00129464       0.00013042
     -0.00000991       0.00025482
     -0.01006020      -0.00023392
     -0.00041664      -0.00003819
     -0.00005314       0.00001776
     -0.00745007      -0.00076980
     -0.01857503       0.00068209
     -0.00044819       0.00004936
     -0.00103753      -0.00014110
     -0.00237802       0.00022660
     -0.00821966      -0.00029118
     -0.01385255       0.00115244
     -0.00457849      -0.00054854
     -0.02540715       0.00062616
     -0.00057054      -0.00010236
     -0.00045799       0.00001309
     -0.00066906      -0.00009777
     -0.00094827      -0.00016198
     -0.00042141       0.00002931
     -0.00114017       0.00011195
     -0.00495507      -0.00042610
     -0.00022102       0.00004284
     -0.00003678       0.00004421
     -0.00909826       0.00029187
     -0.00674862      -0.00054921
     -0.00002223       0.00007798
     -0.00190646      -0.00011261
     -0.00715560      -0.00011491
     -0.00249790      -0.00023790
     -0.00921043      -0.00109677
     -0.00030455      -0.00013950
     -0.00013598      -0.00005352
     -0.00217246       0.00005923
     -0.01721690       0.00132771
     -0.00006806      -0.00001683
     -0.00470941      -0.00008570
     -0.00058481      -0.00025309
     -0.00176775       0.00026756
     -0.00130842      -0.00023179
     -0.00661899      -0.00034100
     -0.00056318       0.00009889
     -0.00584797       0.00087892
     -0.00507855      -0.00032854
     -0.00398398      -0.00009720
     -0.00027874      -0.00019619
     -0.00155431      -0.00014929
     -0.00306588       0.00048979
     -0.00016072      -0.00005904
     -0.00012835      -0.00002477
     -0.00008085       0.00008038
     -0.00022228      -0.00007977
     -0.00039583      -0.00000556
     -0.00243016       0.00032344
     -0.00644918      -0.00065099
     -0.00650580       0.00081145
     -0.00101862       0.00001189
     -0.00011256      -0.00002001
     -0.00013244       0.00012528
     -0.00006975       0.00002395
     -0.00321343      -0.00016686
     -0.00263939      -0.00052657
     -0.00086026       0.00050250
     -0.00053265       0.00057069
     -0.00206682      -0.00011291
     -0.00383023       0.00011594
     -0.00458918      -0.00045571
     -0.00312270      -0.00059077
     -0.00042757      -0.00021907
     -0.00076759      -0.00020414
     -0.00026269       0.00008929
     -0.00037734      -0.00013625
     -0.00603461       0.00015621
     -0.00152881       0.00001733
     -0.00029245      -0.00003998
     -0.00220206       0.00045440
     -0.00760787       0.00002321
     -0.00014245       0.00009919
     -0.00603237       0.00063780
     -0.00060163       0.00024300
     -0.00026204      -0.00011844
     -0.00649790       0.00000949
     -0.00195009      -0.00035110
     -0.00249992      -0.00006521
     -0.00012074       0.00003029
     -0.00057630      -0.00030654
     -0.00014378       0.00000896
     -0.00761275       0.00041797
     -0.00116383      -0.00040891
     -0.00232612      -0.00008473
     -0.00219300       0.00057744
     -0.00067796      -0.00032836
     -0.00008404       0.00008948
     -0.00228540      -0.00026663
     -0.00927414      -0.00110609
     -0.00640938      -0.00037624
     -0.00035456       0.00001156
     -0.00046966      -0.00012059
     -0.01349835      -0.00029136
     -0.00356094       0.00023039
     -0.01162545       0.00064813
     -0.00166426       0.00014198
     -0.00025263      -0.00010235
     -0.00081869      -0.00019776
     -0.00112521      -0.00008394
     -0.00047309      -0.00008153
     -0.00010194      -0.00003052
     -0.00365808      -0.00053988
     -0.00035073       0.00009691
     -0.00505431       0.00060269
     -0.00492069       0.00122839
     -0.00048071      -0.00008505
     -0.00036880      -0.00026143
     -0.00197321       0.00036205
     -0.00032019       0.00007608
     -0.00005820       0.00000342
     -0.00058049      -0.00004764
     -0.00004734       0.00002347
     -0.00545708      -0.00011935
     -0.00038562      -0.00011172
      0.00005297       0.00012734
     -0.00201891      -0.00031532
     -0.00033837      -0.00011560
     -0.00003240       0.00005294
     -0.00009701       0.00000798
     -0.00182103       0.00002770
     -0.00036151       0.00003186
     -0.00025725      -0.00001060
     -0.00016106      -0.00010583
     -0.00056143       0.00005898
     -0.00843248       0.00024150
     -0.00018593      -0.00001221
     -0.00246066       0.00016086
     -0.00787280      -0.00096851
     -0.00049304      -0.00009349
     -0.00071238       0.00013792
     -0.00323297      -0.00002812
     -0.00034735      -0.00024960
     -0.00234835      -0.00019251
     -0.00246112      -0.00017134
     -0.00178027      -0.00020973
     -0.01031054       0.00038190
     -0.00001864       0.00010719
     -0.00002655       0.00009095
     -0.00218882      -0.00020045
     -0.00185063      -0.00059770
     -0.00127691      -0.00012902
     -0.00136705      -0.00008020
     -0.00359077       0.00037277
     -0.00012061       0.00027257
     -0.00034683      -0.00011697
     -0.00107316       0.00009903
     -0.00060225       0.00000015
     -0.00063709      -0.00030558
     -0.00263937      -0.00004513
     -0.00021420      -0.00015664
     -0.00026287       0.00015513
     -0.00547450       0.00026967
     -0.00139980       0.00000845
      0.00003193       0.00009811
     -0.00091777      -0.00019526
     -0.00015576       0.00001351
     -0.00378412      -0.00001043
     -0.00015152      -0.00007503
     -0.00020728       0.00001395
     -0.00015935       0.00009444
     -0.01103659      -0.00010519
     -0.00492175       0.00004803
     -0.00045669      -0.00022582
     -0.01964673       0.00077232
     -0.00832233      -0.00068131
     -0.00022683      -0.00013636
     -0.01660552       0.00012394
     -0.00849932      -0.00073500
     -0.00916438       0.00098072
     -0.00519571       0.00053674
     -0.01369490      -0.00030059
     -0.00022100       0.00008709
     -0.00005196       0.00015322
     -0.00310704       0.00015340
     -0.00249323       0.00008597
     -0.00474536      -0.00009611
     -0.00330874      -0.00016266
     -0.00730857      -0.00065518
     -0.00383840      -0.00011963
     -0.00839171       0.00011120
     -0.01233476       0.00046719
     -0.00535616       0.00016650
     -0.00093274       0.00013397
     -0.00476915       0.00005317
     -0.00828123       0.00026311
     -0.00070108       0.00000613
     -0.00869577      -0.00053800
     -0.00065948      -0.00033941
     -0.01099195       0.00082029
     -0.00064257      -0.00031232
     -0.00031674      -0.00014420
     -0.00987806       0.00033057
     -0.00015358      -0.00000842
     -0.00164375      -0.00008568
