QM Energy	FF Energy
     -0.00168833     -0.00164831
     -6.1288e-05    -7.50483e-05
     -6.6764e-05    -7.59316e-05
     -2.1828e-05    -1.91689e-05
    -0.000847749    -0.000830466
    -0.000423955     -0.00054174
     -7.3182e-05      -5.695e-05
    -0.000533505    -0.000479156
      -3.063e-06    -3.32487e-06
      -7.572e-06    -1.40504e-05
    -0.000104403    -0.000141429
      -0.0003974    -0.000340072
     -0.00122206     -0.00111119
     -1.8228e-05    -2.37301e-05
     -1.7137e-05    -2.08761e-05
      -1.581e-05    -1.67811e-05
      -4.927e-05    -6.23524e-05
     -2.4396e-05    -2.27603e-05
     -5.7231e-05     -6.1941e-05
    -0.000735995    -0.000590542
    -0.000311992    -0.000324143
      -6.599e-05    -6.07632e-05
     -0.00211643     -0.00208572
    -0.000821683    -0.000847101
     -2.8252e-05    -3.61495e-05
     -0.00145892     -0.00134271
     -0.00046253     -0.00047337
    -0.000412663    -0.000353008
      -3.425e-06     -6.3561e-06
    -0.000669498    -0.000524356
     -6.9012e-05      -7.339e-05
    -0.000216627    -0.000186182
    -0.000238361    -0.000338819
    -0.000709225    -0.000675872
     -0.00161859     -0.00153163
    -0.000801558    -0.000741129
      -7.821e-06    -1.15772e-05
    -0.000136924    -0.000122936
    -0.000114577     -0.00013009
     -6.8602e-05     -7.0242e-05
     -0.00162407     -0.00152939
    -0.000753797     -0.00064151
     -4.0314e-05    -4.67846e-05
    -0.000432095    -0.000381444
    -0.000145864    -0.000136322
     -2.9172e-05    -3.19162e-05
     -0.00131015     -0.00118865
         -0.0001    -8.30269e-05
       -4.05e-06    -8.16853e-06
     -0.00106622     -0.00102815
     -0.00148025       -0.001252
      -2.263e-05    -2.59373e-05
     -3.8977e-05     -5.5586e-05
     -0.00039783     -0.00037219
    -0.000118385    -0.000106928
    -0.000152982    -0.000165521
     -4.9798e-05    -5.44892e-05
    -0.000513731    -0.000397733
      -8.281e-06    -8.60224e-06
    -0.000222121    -0.000190656
     -0.00113417     -0.00100374
    -0.000501599    -0.000404264
     -2.5446e-05    -3.19006e-05
    -0.000355623    -0.000343989
      -3.795e-05    -3.60501e-05
     -0.00245215     -0.00228956
    -0.000177972    -0.000177233
     -0.00030565    -0.000306583
     -0.00112938    -0.000913196
    -0.000326051    -0.000280738
     -0.00181836     -0.00188107
     -5.7551e-05    -8.59927e-05
    -0.000307505    -0.000301212
    -0.000515696    -0.000433119
    -0.000119552    -9.91347e-05
    -0.000943248    -0.000740582
     -2.2217e-05    -2.28574e-05
    -0.000422062    -0.000389539
     -5.6108e-05     -7.7619e-05
      -4.347e-05    -4.79498e-05
    -0.000266965    -0.000194793
     -9.5502e-05    -9.27495e-05
     -0.00010594    -0.000116135
     -8.0912e-05    -7.47389e-05
    -0.000561851    -0.000431709
     -1.5927e-05    -1.51893e-05
     -0.00160155     -0.00146354
    -0.000138741    -0.000136406
     -1.6421e-05    -1.85931e-05
    -0.000515958    -0.000502082
      -9.508e-06    -9.29241e-06
     -0.00125889     -0.00115265
    -0.000271797    -0.000311645
    -0.000581862    -0.000490708
    -0.000657321    -0.000578637
     -0.00124534     -0.00125735
     -0.00180091     -0.00245758
     -0.00153578     -0.00140353
    -0.000581724    -0.000551849
     -5.2971e-05    -6.47213e-05
     -0.00141472     -0.00130247
    -0.000262908    -0.000312195
     -0.00094721     -0.00105075
    -0.000121235    -0.000100204
     -4.5447e-05    -3.96974e-05
     -8.2951e-05    -7.61599e-05
     -4.1654e-05    -3.98697e-05
     -8.8894e-05    -8.15087e-05
     -8.7837e-05    -8.90072e-05
    -0.000271691    -0.000295056
     -1.4759e-05    -1.31316e-05
     -8.1387e-05    -8.14346e-05
    -0.000626722    -0.000467804
      -3.359e-06    -4.48822e-06
    -0.000973819    -0.000753537
     -2.1435e-05    -2.53874e-05
     -0.00014262    -0.000158909
     -0.00184289     -0.00174072
    -0.000797749    -0.000639423
     -2.8689e-05    -3.23435e-05
     -8.2423e-05    -7.84064e-05
    -0.000314643     -0.00027892
     -0.00149588      -0.0014733
    -0.000113567    -0.000160575
     -1.4049e-05    -2.74052e-05
     -7.8087e-05     -7.2517e-05
    -0.000665091    -0.000518115
     -0.00206715     -0.00202003
    -0.000160253    -0.000137229
    -0.000503223    -0.000556509
     -1.8321e-05    -2.38383e-05
     -4.4393e-05    -4.78543e-05
    -0.000380342    -0.000390182
    -0.000632285     -0.00053645
     -0.00099496    -0.000960739
    -0.000495057    -0.000470541
    -0.000419127    -0.000330465
    -0.000294026    -0.000236952
     -0.00115274     -0.00101566
     -2.0425e-05    -1.85787e-05
     -1.4341e-05    -1.64422e-05
     -1.3733e-05    -1.81856e-05
    -0.000735305    -0.000789428
     -3.9313e-05    -3.68505e-05
    -0.000384613     -0.00037613
    -0.000908153    -0.000733985
     -0.00234024     -0.00228218
    -0.000585355    -0.000447845
     -7.0088e-05    -7.19614e-05
      -5.049e-05    -6.01488e-05
     -0.00208472     -0.00204737
     -0.00239549     -0.00269937
     -0.00221546     -0.00201721
      -0.0021233     -0.00181825
     -2.9347e-05    -4.70473e-05
     -0.00157329     -0.00156725
       -6.82e-06    -1.03591e-05
     -3.1577e-05    -3.05624e-05
      -9.907e-06    -1.14451e-05
     -6.5726e-05    -7.58101e-05
     -2.1253e-05    -2.71076e-05
      -6.487e-06    -8.13351e-06
     -2.8226e-05    -2.40976e-05
    -0.000322895    -0.000268251
     -9.8148e-05    -0.000117327
    -0.000248627    -0.000230918
     -0.00091608    -0.000914939
     -0.00179906     -0.00182665
    -0.000503677    -0.000463382
    -0.000524747    -0.000459222
     -0.00231989     -0.00269218
    -0.000400319    -0.000426896
    -0.000174052    -0.000161181
     -0.00067365    -0.000575771
    -0.000679164    -0.000841522
      -4.095e-05    -3.82112e-05
     -0.00205646     -0.00231394
     -0.00245417     -0.00226149
    -0.000350497    -0.000536075
     -5.5764e-05    -6.38933e-05
    -0.000288557    -0.000313774
     -0.00187262     -0.00168567
     -4.8806e-05    -4.36006e-05
     -4.2248e-05    -4.57696e-05
    -0.000683698    -0.000633795
    -0.000630684    -0.000603144
     -2.3619e-05    -2.66847e-05
    -0.000154108    -0.000139749
    -0.000352519    -0.000367065
     -0.00151965     -0.00155807
    -0.000127007    -0.000133243
    -0.000240712    -0.000228596
      -8.829e-06    -8.30056e-06
     -4.8272e-05    -4.32576e-05
    -0.000545466    -0.000615501
     -5.7343e-05    -5.84941e-05
     -2.1603e-05    -3.58239e-05
      -6.417e-05    -7.76187e-05
    -0.000356648    -0.000420749
     -1.2895e-05    -1.49471e-05
    -0.000121166    -0.000113834
      -0.0001509    -0.000191999
     -1.4179e-05     -1.3383e-05
     -1.8234e-05    -1.97283e-05
     -0.00041167    -0.000374232
       -5.92e-06    -5.76734e-06
     -0.00030201    -0.000243008
    -0.000120672      -0.0001601
     -6.8134e-05    -7.02946e-05
     -0.00118284     -0.00122229
    -0.000805669    -0.000724868
     -1.8211e-05    -1.87164e-05
    -0.000792963     -0.00073139
    -0.000139809    -0.000124228
     -6.5526e-05    -7.59291e-05
    -0.000199221    -0.000229977
    -0.000109524    -0.000117055
    -0.000575522    -0.000484235
    -0.000321678    -0.000356445
     -0.00189135     -0.00162628
     -1.2461e-05    -1.39372e-05
     -0.00172351     -0.00160183
     -2.5758e-05    -2.98221e-05
      -5.934e-05    -5.81426e-05
    -0.000706536    -0.000755042
    -0.000381086    -0.000366801
     -0.00173049     -0.00149837
    -0.000243561    -0.000213988
     -0.00131879     -0.00108578
     -0.00149947     -0.00155908
     -2.5278e-05    -2.99786e-05
     -0.00172858     -0.00149626
    -0.000854271    -0.000671591
     -8.4702e-05    -8.00395e-05
      -0.0012662     -0.00104694
    -0.000157762    -0.000199727
     -0.00103931    -0.000956459
      -0.0021056      -0.0022199
    -0.000141022    -0.000171079
    -0.000275867    -0.000244777
    -0.000198273    -0.000177493
     -0.00196795     -0.00195154
     -5.1269e-05    -6.43828e-05
    -0.000125834    -0.000154267
    -0.000295492    -0.000243222
     -0.00197656     -0.00189398
     -5.3628e-05    -6.25119e-05
     -8.7381e-05    -0.000111141
     -2.0942e-05     -2.1342e-05
     -5.6923e-05    -6.96379e-05
     -5.2602e-05    -4.86019e-05
      -8.377e-06     -7.7953e-06
     -0.00072154    -0.000667011
     -0.00107824    -0.000918555
     -0.00046079     -0.00035888
     -1.3811e-05    -1.39322e-05
     -3.0304e-05    -2.87579e-05
    -0.000227054    -0.000251209
    -0.000210408    -0.000178016
     -0.00202164     -0.00208118
     -4.0228e-05    -4.15925e-05
     -7.5981e-05    -8.60758e-05
     -1.0105e-05    -1.52821e-05
    -0.000201991    -0.000175958
     -8.2257e-05    -9.99849e-05
     -0.00029449    -0.000282788
    -0.000284294    -0.000265731
      -1.773e-05    -2.36969e-05
      -5.385e-05    -5.79049e-05
     -0.00122123     -0.00119982
     -0.00044916    -0.000502981
     -1.3825e-05    -1.77939e-05
    -0.000197355    -0.000211125
    -0.000367643    -0.000312267
    -0.000956626    -0.000995497
     -6.4698e-05    -9.10604e-05
     -3.4224e-05     -3.7752e-05
     -5.3032e-05    -5.32709e-05
     -7.0643e-05    -6.12961e-05
     -4.0428e-05    -3.41576e-05
     -6.8207e-05    -6.97816e-05
     -4.9229e-05     -5.7235e-05
    -0.000384956    -0.000418749
      -8.384e-06    -9.77516e-06
     -2.1685e-05    -1.96391e-05
     -0.00111116     -0.00103173
    -0.000542794    -0.000545507
     -3.6503e-05    -5.10803e-05
     -0.00108978     -0.00108587
     -0.00172932      -0.0014882
    -0.000141166    -0.000115767
    -0.000148436    -0.000136037
    -0.000157855    -0.000135455
     -1.4077e-05    -1.29352e-05
     -1.0419e-05    -9.94327e-06
     -3.2634e-05    -4.23161e-05
    -0.000441151    -0.000374296
     -6.5349e-05    -6.44174e-05
     -1.1049e-05    -1.20626e-05
      -2.959e-05    -2.92373e-05
    -0.000453139    -0.000469801
      -1.174e-05    -1.59168e-05
     -4.3142e-05    -4.57258e-05
    -0.000704114    -0.000732335
      -0.0010284    -0.000924062
    -0.000568856    -0.000599846
     -7.5994e-05    -9.45586e-05
      -1.576e-06    -2.40517e-06
    -0.000146042    -0.000162453
     -5.6587e-05     -6.5137e-05
     -0.00132117     -0.00158516
    -0.000162234    -0.000138139
      -8.838e-05    -8.05137e-05
    -0.000155205    -0.000166735
      -5.408e-05    -4.50782e-05
     -1.3749e-05    -1.95239e-05
      -1.028e-06    -2.91131e-06
    -0.000494498    -0.000442322
    -0.000113274    -0.000103235
    -0.000337255     -0.00031311
      -0.0015227     -0.00133196
     -6.7036e-05    -5.30333e-05
    -0.000609676    -0.000640838
     -1.1415e-05    -1.64526e-05
    -0.000219855    -0.000206293
     -1.7145e-05    -2.80912e-05
    -0.000680885    -0.000650824
    -0.000272838    -0.000313832
    -0.000738237    -0.000610676
     -1.0676e-05    -1.36976e-05
     -1.9204e-05    -1.82509e-05
     -8.8605e-05    -0.000107878
     -6.8383e-05    -5.94692e-05
     -3.2088e-05     -3.9848e-05
     -9.8529e-05    -0.000102432
      -0.0021199     -0.00233298
     -2.0879e-05    -2.22957e-05
    -0.000346723    -0.000299068
    -0.000604556    -0.000643316
     -8.9382e-05    -7.26284e-05
    -0.000133809    -0.000129028
    -0.000277593    -0.000308906
      -5.181e-05    -5.19565e-05
      -8.329e-06     -1.2894e-05
     -0.00192212     -0.00187103
     -0.00165547     -0.00148709
     -0.00189078     -0.00180494
     -2.7563e-05    -2.66558e-05
       -8.77e-05    -7.61873e-05
     -0.00146499     -0.00137082
    -0.000300175    -0.000348927
     -3.2177e-05    -3.04157e-05
     -4.6469e-05    -4.64932e-05
    -0.000115586    -9.57373e-05
     -0.00131907     -0.00115435
     -2.7964e-05    -3.83794e-05
    -0.000603302    -0.000477506
     -1.0254e-05    -2.20285e-05
    -0.000452158    -0.000532695
     -8.4188e-05    -7.84031e-05
     -0.00198595     -0.00205471
    -0.000697528    -0.000730457
     -9.7779e-05    -9.88343e-05
    -0.000128061    -0.000140292
     -3.8391e-05    -5.03485e-05
    -0.000313868    -0.000274047
     -0.00143416     -0.00152527
     -0.00023382    -0.000164123
     -1.4824e-05    -1.36337e-05
     -6.3858e-05    -7.34275e-05
     -1.1251e-05    -1.05569e-05
     -9.4314e-05    -0.000124347
    -0.000767763    -0.000687386
    -0.000421352    -0.000367918
    -0.000500996    -0.000541701
     -5.1934e-05    -6.27115e-05
    -0.000470091    -0.000401007
     -4.9901e-05    -4.54822e-05
    -0.000218635    -0.000194996
    -0.000520392    -0.000550504
     -2.0191e-05    -1.86301e-05
    -0.000937743    -0.000731045
     -1.1266e-05    -1.12382e-05
     -6.3634e-05    -5.62427e-05
    -0.000263813    -0.000241713
    -0.000100184    -0.000138975
    -0.000321564    -0.000252366
     -0.00011573    -0.000129867
    -0.000512884    -0.000580585
    -0.000764002    -0.000771228
     -0.00112364     -0.00101852
     -6.7506e-05    -7.48823e-05
     -8.3182e-05    -9.63141e-05
    -0.000119436    -0.000124198
     -9.4377e-05    -8.87086e-05
     -1.3323e-05    -1.62199e-05
     -0.00061018    -0.000469424
     -0.00176268      -0.0018621
     -2.6428e-05    -2.55795e-05
    -0.000191184    -0.000203444
      -8.477e-06    -1.39859e-05
    -0.000958392    -0.000850889
     -2.1829e-05    -2.70959e-05
    -0.000584734    -0.000564691
     -0.00025443    -0.000271157
    -0.000236417    -0.000269766
    -0.000399415    -0.000424564
      -5.397e-05    -5.61579e-05
     -6.2655e-05    -5.47482e-05
    -0.000632859       -0.000599
     -8.5475e-05    -8.04542e-05
    -0.000494398    -0.000550966
      -1.894e-05    -1.68579e-05
     -0.00221294     -0.00242717
     -0.00221618      -0.0021527
    -0.000297319    -0.000296411
    -0.000827361      -0.0007345
    -0.000448045    -0.000357342
     -7.1575e-05    -8.69387e-05
      -7.814e-06     -9.5028e-06
     -0.00237794     -0.00238108
    -0.000147756     -0.00016282
     -0.00038322    -0.000371342
    -0.000972703    -0.000776898
     -7.8973e-05    -8.19848e-05
    -0.000862626    -0.000809784
    -0.000313892    -0.000337244
    -0.000157797    -0.000177459
     -8.7336e-05    -8.90498e-05
     -3.6241e-05    -3.20902e-05
     -0.00140047     -0.00130539
    -0.000927382    -0.000798087
     -3.0154e-05    -2.80599e-05
     -2.0041e-05    -2.56477e-05
     -3.2149e-05    -3.09773e-05
    -0.000172505    -0.000198515
     -4.0584e-05    -3.76041e-05
    -0.000473171    -0.000353875
     -6.1324e-05    -8.00707e-05
     -0.00161582     -0.00158141
     -8.7127e-05     -0.00010828
      -3.939e-05    -3.38199e-05
     -1.5492e-05    -2.24751e-05
    -0.000134495    -0.000117502
     -0.00060098     -0.00061073
    -0.000394581    -0.000506576
     -1.3997e-05    -1.32718e-05
    -0.000677408    -0.000564892
    -0.000986448    -0.000871462
     -6.2102e-05    -7.04077e-05
    -0.000139031    -0.000113503
     -0.00024764    -0.000268138
     -2.8465e-05    -2.82877e-05
    -0.000139903    -0.000107809
      -6.459e-06    -6.89071e-06
     -2.7837e-05    -2.87062e-05
     -0.00209415     -0.00208725
     -0.00157837     -0.00254643
     -5.8611e-05    -7.64486e-05
     -9.5242e-05    -0.000117427
     -0.00158754     -0.00151736
     -0.00115126     -0.00104103
    -0.000120116     -0.00011258
     -3.9503e-05    -5.42828e-05
     -2.1087e-05    -2.36287e-05
    -0.000252841    -0.000203877
     -2.9298e-05    -3.10149e-05
     -4.7141e-05    -6.30174e-05
      -6.106e-06    -8.05858e-06
    -0.000189425    -0.000173203
    -0.000401256    -0.000395714
    -0.000494603    -0.000378774
     -3.6627e-05    -4.10553e-05
     -6.3213e-05    -6.31652e-05
      -5.162e-06    -1.00477e-05
    -0.000202771    -0.000196766
     -1.2582e-05    -1.34619e-05
      -4.666e-05    -4.80069e-05
    -0.000271123    -0.000307184
     -4.2222e-05    -5.88371e-05
     -4.5828e-05    -3.91223e-05
    -0.000882811       -0.000706
     -7.5751e-05     -0.00010109
     -2.2297e-05    -2.11373e-05
      -0.0022523     -0.00205342
      -2.913e-06     -3.2872e-06
     -2.1805e-05    -2.19806e-05
     -0.00107901    -0.000920016
     -9.8106e-05    -8.00858e-05
     -0.00127138     -0.00095862
    -0.000403299    -0.000343846
    -0.000286475    -0.000232902
    -0.000242571    -0.000187166
      -3.553e-05    -3.12952e-05
     -3.8051e-05    -5.88197e-05
     -3.9613e-05    -4.65601e-05
     -1.3678e-05     -2.2396e-05
     -9.2009e-05    -9.85252e-05
