QM Energy	FF Energy
     -0.00168833     -0.00133248
     -6.1288e-05    -8.22098e-05
     -6.6764e-05     -4.6386e-05
     -2.1828e-05    -1.47285e-05
    -0.000847749    -0.000982473
    -0.000423955    -0.000384773
     -7.3182e-05     -3.1041e-05
    -0.000533505    -0.000319565
      -3.063e-06    -1.06273e-06
      -7.572e-06     -6.5586e-06
    -0.000104403    -9.90739e-05
      -0.0003974    -0.000275187
     -0.00122206    -0.000957095
     -1.8228e-05     -2.0815e-05
     -1.7137e-05    -1.81914e-05
      -1.581e-05    -1.10667e-05
      -4.927e-05    -5.74108e-05
     -2.4396e-05    -1.89876e-05
     -5.7231e-05    -3.93763e-05
    -0.000735995    -0.000363866
    -0.000311992    -0.000316557
      -6.599e-05    -3.87677e-05
     -0.00211643     -0.00151087
    -0.000821683    -0.000946415
     -2.8252e-05    -3.88435e-05
     -0.00145892     -0.00108119
     -0.00046253    -0.000516512
    -0.000412663    -0.000266271
      -3.425e-06    -3.28121e-06
    -0.000669498    -0.000385554
     -6.9012e-05    -4.95986e-05
    -0.000216627    -0.000119763
    -0.000238361     -0.00025022
    -0.000709225    -0.000538308
     -0.00161859      -0.0016649
    -0.000801558    -0.000473993
      -7.821e-06    -1.12609e-05
    -0.000136924    -8.63208e-05
    -0.000114577    -8.21033e-05
     -6.8602e-05    -6.52364e-05
     -0.00162407     -0.00123988
    -0.000753797    -0.000379019
     -4.0314e-05    -4.33727e-05
    -0.000432095    -0.000315673
    -0.000145864    -9.49295e-05
     -2.9172e-05    -2.96167e-05
     -0.00131015    -0.000816631
         -0.0001    -5.72255e-05
       -4.05e-06    -2.75615e-06
     -0.00106622    -0.000877412
     -0.00148025    -0.000868017
      -2.263e-05    -2.39962e-05
     -3.8977e-05    -5.29375e-05
     -0.00039783    -0.000242731
    -0.000118385    -7.37458e-05
    -0.000152982     -0.00016216
     -4.9798e-05    -5.35694e-05
    -0.000513731    -0.000228486
      -8.281e-06    -5.06598e-06
    -0.000222121    -0.000165997
     -0.00113417    -0.000716795
    -0.000501599    -0.000234014
     -2.5446e-05    -2.74073e-05
    -0.000355623    -0.000231255
      -3.795e-05    -2.25077e-05
     -0.00245215     -0.00167704
    -0.000177972    -0.000177305
     -0.00030565    -0.000194282
     -0.00112938    -0.000929569
    -0.000326051    -0.000201757
     -0.00181836     -0.00205598
     -5.7551e-05    -7.78608e-05
    -0.000307505    -0.000290331
    -0.000515696    -0.000262336
    -0.000119552    -5.33035e-05
    -0.000943248    -0.000504952
     -2.2217e-05    -1.35931e-05
    -0.000422062    -0.000245105
     -5.6108e-05    -7.98806e-05
      -4.347e-05    -2.49857e-05
    -0.000266965    -0.000111282
     -9.5502e-05    -9.35921e-05
     -0.00010594      -0.0001175
     -8.0912e-05    -4.70243e-05
    -0.000561851    -0.000267795
     -1.5927e-05     -1.2775e-05
     -0.00160155     -0.00114122
    -0.000138741    -8.51392e-05
     -1.6421e-05    -1.15344e-05
    -0.000515958    -0.000366909
      -9.508e-06    -4.03676e-06
     -0.00125889    -0.000700589
    -0.000271797    -0.000289081
    -0.000581862    -0.000332131
    -0.000657321     -0.00044207
     -0.00124534    -0.000826099
     -0.00180091     -0.00197784
     -0.00153578    -0.000977009
    -0.000581724    -0.000350444
     -5.2971e-05    -5.84788e-05
     -0.00141472       -0.001058
    -0.000262908     -0.00031444
     -0.00094721     -0.00101354
    -0.000121235    -5.69847e-05
     -4.5447e-05    -3.06869e-05
     -8.2951e-05    -4.98554e-05
     -4.1654e-05     -2.6039e-05
     -8.8894e-05    -0.000102352
     -8.7837e-05    -6.67135e-05
    -0.000271691    -0.000265188
     -1.4759e-05    -1.00879e-05
     -8.1387e-05    -7.78515e-05
    -0.000626722    -0.000284779
      -3.359e-06    -8.64461e-07
    -0.000973819    -0.000515264
     -2.1435e-05    -1.58548e-05
     -0.00014262     -0.00015583
     -0.00184289     -0.00163911
    -0.000797749     -0.00041011
     -2.8689e-05    -2.88439e-05
     -8.2423e-05    -3.85514e-05
    -0.000314643    -0.000190317
     -0.00149588     -0.00109414
    -0.000113567    -0.000104599
     -1.4049e-05    -2.26724e-05
     -7.8087e-05    -4.64889e-05
    -0.000665091    -0.000334408
     -0.00206715     -0.00170614
    -0.000160253    -7.28291e-05
    -0.000503223    -0.000504595
     -1.8321e-05     -2.2129e-05
     -4.4393e-05    -5.57797e-05
    -0.000380342    -0.000403069
    -0.000632285    -0.000361559
     -0.00099496     -0.00102471
    -0.000495057    -0.000388835
    -0.000419127    -0.000189171
    -0.000294026    -0.000141608
     -0.00115274    -0.000969771
     -2.0425e-05    -9.84123e-06
     -1.4341e-05     -1.6393e-05
     -1.3733e-05    -1.59462e-05
    -0.000735305    -0.000532571
     -3.9313e-05    -2.78664e-05
    -0.000384613    -0.000406439
    -0.000908153     -0.00051812
     -0.00234024      -0.0021981
    -0.000585355    -0.000279181
     -7.0088e-05    -6.37896e-05
      -5.049e-05    -3.55697e-05
     -0.00208472     -0.00139633
     -0.00239549      -0.0019742
     -0.00221546     -0.00150348
      -0.0021233     -0.00151925
     -2.9347e-05    -3.18444e-05
     -0.00157329     -0.00102867
       -6.82e-06    -5.09676e-06
     -3.1577e-05    -1.96603e-05
      -9.907e-06    -1.06703e-05
     -6.5726e-05    -7.41303e-05
     -2.1253e-05    -1.86419e-05
      -6.487e-06    -6.02453e-06
     -2.8226e-05    -1.47857e-05
    -0.000322895    -0.000164933
     -9.8148e-05    -0.000111772
    -0.000248627    -0.000147933
     -0.00091608    -0.000510064
     -0.00179906     -0.00177243
    -0.000503677    -0.000520121
    -0.000524747     -0.00036542
     -0.00231989     -0.00179559
    -0.000400319    -0.000443341
    -0.000174052    -0.000156631
     -0.00067365     -0.00037863
    -0.000679164    -0.000535659
      -4.095e-05    -3.69188e-05
     -0.00205646     -0.00161118
     -0.00245417     -0.00156172
    -0.000350497     -0.00032857
     -5.5764e-05    -4.12346e-05
    -0.000288557    -0.000324939
     -0.00187262     -0.00112519
     -4.8806e-05    -3.09578e-05
     -4.2248e-05    -4.34575e-05
    -0.000683698    -0.000431059
    -0.000630684    -0.000612421
     -2.3619e-05    -2.74526e-05
    -0.000154108    -9.91327e-05
    -0.000352519     -0.00035423
     -0.00151965     -0.00163099
    -0.000127007    -0.000112137
    -0.000240712    -0.000185882
      -8.829e-06     -6.6784e-06
     -4.8272e-05    -2.93493e-05
    -0.000545466    -0.000657259
     -5.7343e-05    -5.28943e-05
     -2.1603e-05    -2.69981e-05
      -6.417e-05    -6.09699e-05
    -0.000356648    -0.000257589
     -1.2895e-05    -6.50755e-06
    -0.000121166    -9.09532e-05
      -0.0001509    -0.000131468
     -1.4179e-05    -7.19961e-06
     -1.8234e-05    -1.80105e-05
     -0.00041167    -0.000241408
       -5.92e-06    -4.24568e-06
     -0.00030201    -0.000173197
    -0.000120672    -0.000103999
     -6.8134e-05    -5.16066e-05
     -0.00118284    -0.000823163
    -0.000805669    -0.000491952
     -1.8211e-05    -8.58257e-06
    -0.000792963    -0.000482057
    -0.000139809    -7.38414e-05
     -6.5526e-05    -6.36102e-05
    -0.000199221    -0.000217617
    -0.000109524    -7.19075e-05
    -0.000575522    -0.000318414
    -0.000321678    -0.000188012
     -0.00189135     -0.00116242
     -1.2461e-05     -8.8286e-06
     -0.00172351     -0.00133345
     -2.5758e-05    -2.00744e-05
      -5.934e-05    -4.08167e-05
    -0.000706536     -0.00071728
    -0.000381086    -0.000286047
     -0.00173049     -0.00108382
    -0.000243561    -0.000165153
     -0.00131879    -0.000817156
     -0.00149947     -0.00108742
     -2.5278e-05    -2.76331e-05
     -0.00172858     -0.00117624
    -0.000854271    -0.000536104
     -8.4702e-05    -4.90184e-05
      -0.0012662    -0.000740819
    -0.000157762    -0.000187132
     -0.00103931     -0.00109185
      -0.0021056     -0.00158882
    -0.000141022    -0.000156697
    -0.000275867    -0.000153637
    -0.000198273    -0.000180084
     -0.00196795     -0.00161104
     -5.1269e-05    -6.09254e-05
    -0.000125834    -0.000150446
    -0.000295492    -0.000181867
     -0.00197656     -0.00146307
     -5.3628e-05    -5.68091e-05
     -8.7381e-05    -8.48042e-05
     -2.0942e-05    -1.52339e-05
     -5.6923e-05    -6.16549e-05
     -5.2602e-05     -3.3554e-05
      -8.377e-06    -4.08703e-06
     -0.00072154    -0.000451391
     -0.00107824     -0.00071967
     -0.00046079    -0.000251107
     -1.3811e-05    -8.71503e-06
     -3.0304e-05    -1.79729e-05
    -0.000227054    -0.000216607
    -0.000210408    -0.000132219
     -0.00202164     -0.00141977
     -4.0228e-05    -4.02027e-05
     -7.5981e-05    -4.67929e-05
     -1.0105e-05    -9.82153e-06
    -0.000201991    -0.000127855
     -8.2257e-05    -6.30019e-05
     -0.00029449    -0.000182469
    -0.000284294    -0.000274478
      -1.773e-05    -1.93025e-05
      -5.385e-05    -3.59872e-05
     -0.00122123     -0.00126002
     -0.00044916    -0.000508655
     -1.3825e-05    -1.25291e-05
    -0.000197355    -0.000225561
    -0.000367643    -0.000252438
    -0.000956626     -0.00110528
     -6.4698e-05    -6.48924e-05
     -3.4224e-05    -2.30009e-05
     -5.3032e-05     -3.6269e-05
     -7.0643e-05    -4.37778e-05
     -4.0428e-05    -2.28372e-05
     -6.8207e-05    -5.48295e-05
     -4.9229e-05    -6.39614e-05
    -0.000384956    -0.000454681
      -8.384e-06    -7.94786e-06
     -2.1685e-05    -1.24207e-05
     -0.00111116    -0.000637432
    -0.000542794    -0.000372858
     -3.6503e-05    -5.13273e-05
     -0.00108978     -0.00116588
     -0.00172932     -0.00121735
    -0.000141166    -5.94387e-05
    -0.000148436      -7.327e-05
    -0.000157855    -8.94294e-05
     -1.4077e-05    -1.06455e-05
     -1.0419e-05    -3.78919e-06
     -3.2634e-05    -3.36539e-05
    -0.000441151    -0.000254268
     -6.5349e-05    -5.56843e-05
     -1.1049e-05    -8.50839e-06
      -2.959e-05    -2.07762e-05
    -0.000453139    -0.000304919
      -1.174e-05    -1.28211e-05
     -4.3142e-05      -2.812e-05
    -0.000704114    -0.000762782
      -0.0010284    -0.000447277
    -0.000568856    -0.000634402
     -7.5994e-05    -7.87051e-05
      -1.576e-06     5.68972e-07
    -0.000146042    -0.000162009
     -5.6587e-05    -5.68167e-05
     -0.00132117     -0.00156328
    -0.000162234    -0.000101136
      -8.838e-05    -5.78615e-05
    -0.000155205      -0.0001488
      -5.408e-05    -2.19513e-05
     -1.3749e-05    -1.96714e-05
      -1.028e-06    -2.48122e-07
    -0.000494498    -0.000352537
    -0.000113274     -7.6063e-05
    -0.000337255    -0.000277357
      -0.0015227    -0.000849902
     -6.7036e-05    -3.41262e-05
    -0.000609676    -0.000613384
     -1.1415e-05    -1.23442e-05
    -0.000219855     -0.00013109
     -1.7145e-05    -1.75456e-05
    -0.000680885    -0.000530383
    -0.000272838    -0.000330253
    -0.000738237    -0.000475062
     -1.0676e-05    -1.12883e-05
     -1.9204e-05    -2.19716e-05
     -8.8605e-05    -6.86464e-05
     -6.8383e-05    -4.68959e-05
     -3.2088e-05     -3.5731e-05
     -9.8529e-05    -0.000103516
      -0.0021199      -0.0021099
     -2.0879e-05    -1.66239e-05
    -0.000346723    -0.000214644
    -0.000604556    -0.000649659
     -8.9382e-05    -3.61681e-05
    -0.000133809    -9.43652e-05
    -0.000277593     -0.00028631
      -5.181e-05    -3.86729e-05
