QM Energy	FF Energy
      -4.247e-05    -6.18172e-05
     -0.00103882     -0.00111217
    -0.000243417    -0.000176587
     -4.1796e-05    -6.13114e-05
     -1.8131e-05    -1.47813e-05
    -0.000344535    -0.000282873
    -0.000129188      -0.0001104
     -1.0983e-05    -1.27309e-05
     -9.3758e-05    -5.87936e-05
     -0.00121664    -0.000951633
     -0.00134939    -0.000984037
     -1.4818e-05    -1.29062e-05
     -0.00169403     -0.00118697
    -0.000313812    -0.000416307
     -1.4437e-05    -1.60049e-05
    -0.000771519    -0.000723624
     -3.3879e-05    -4.38912e-05
     -3.8555e-05    -3.32053e-05
      -0.0011114    -0.000738111
     -1.5416e-05    -6.90578e-06
     -9.1176e-05    -5.98467e-05
     -9.7696e-05    -7.89532e-05
    -0.000272028    -0.000258052
     -0.00071381    -0.000370549
    -0.000765696    -0.000552849
     -0.00016108    -0.000121409
     -0.00106963    -0.000715384
     -0.00121587     -0.00141897
     -4.3009e-05    -3.32064e-05
    -0.000514752    -0.000671519
     -4.9861e-05    -3.96563e-05
      -9.135e-06    -1.34064e-05
     -1.2328e-05    -5.96191e-06
    -0.000662922    -0.000318592
     -9.3289e-05     -7.2078e-05
    -0.000455767    -0.000449296
    -0.000195982      -0.0001608
    -0.000912341    -0.000589706
    -0.000220686    -0.000125851
     -1.3137e-05    -5.30352e-06
    -0.000192082    -0.000133865
     -0.00175899     -0.00131345
     -0.00112059     -0.00108677
    -0.000396742    -0.000309899
     -0.00146705     -0.00114631
    -0.000462088    -0.000258438
     -2.7808e-05    -2.22855e-05
     -5.2284e-05    -3.62259e-05
       -1.51e-05    -1.51741e-05
     -0.00013948    -0.000110477
    -0.000335515    -0.000345607
    -0.000129005    -0.000159202
     -4.4574e-05    -5.50719e-05
    -0.000775822    -0.000919444
     -1.6391e-05    -1.25336e-05
     -3.7127e-05    -3.13954e-05
     -3.4831e-05    -3.07746e-05
     -2.2471e-05    -1.60389e-05
      -2.622e-05    -2.26828e-05
     -9.0146e-05    -0.000112435
    -0.000561751    -0.000541894
     -0.00128291     -0.00130846
    -0.000313803    -0.000222941
     -0.00165605     -0.00100603
     -1.1374e-05    -6.58578e-06
    -0.000331656    -0.000427057
    -0.000114182    -0.000142419
    -0.000109782    -9.39991e-05
      -8.251e-06    -1.03084e-05
       -7.65e-05    -6.20273e-05
    -0.000104581    -0.000110307
    -0.000661921     -0.00043627
    -0.000705529    -0.000723901
     -1.1454e-05    -1.02803e-05
    -0.000355794    -0.000274656
      -9.409e-06    -9.53634e-06
     -0.00124376     -0.00467136
    -0.000165402    -0.000137339
     -0.00174151    -0.000909596
    -0.000113804    -0.000137216
    -0.000505577    -0.000257904
     -0.00134877    -0.000802679
     -0.00170036     -0.00196126
     -2.7529e-05    -1.01638e-05
     -1.9978e-05    -1.21822e-05
    -0.000627665    -0.000668156
     -8.1277e-05    -6.51112e-05
     -0.00123405      -0.0012846
    -0.000219302    -0.000280753
    -0.000219897    -0.000154176
    -0.000247227    -0.000246548
      -8.186e-06    -4.58347e-06
     -0.00168864     -0.00127665
    -0.000316378    -0.000172922
    -0.000447969     -0.00022693
     -2.4511e-05    -1.84183e-05
    -0.000365759    -0.000226862
    -0.000693889    -0.000302342
     -1.4413e-05    -1.28155e-05
    -0.000128021    -0.000129102
    -0.000413373     -0.00037429
    -0.000368715    -0.000372375
    -0.000240701    -0.000138366
     -1.0818e-05    -1.14264e-05
     -0.00209296     -0.00196636
     -0.00035117    -0.000228727
     -1.8597e-05    -2.68793e-05
    -0.000135553    -0.000143952
    -0.000156802    -9.25144e-05
     -0.00187412     -0.00104343
    -0.000178422    -0.000229596
    -0.000159071     -0.00018089
     -0.00176034     -0.00177207
     -1.9845e-05    -3.05248e-05
    -0.000166761    -0.000100415
     -6.2873e-05     -8.3129e-05
      -9.611e-06     -7.3391e-06
      -6.456e-06    -2.70466e-06
    -0.000243379    -0.000153651
    -0.000720495    -0.000918546
     -0.00134758    -0.000943591
     -0.00108924     -0.00125932
     -5.1985e-05    -2.75518e-05
     -0.00013307    -7.06667e-05
     -3.0566e-05    -2.79529e-05
    -0.000243363    -0.000183942
     -2.9559e-05    -1.99527e-05
    -0.000186034    -0.000142436
    -0.000127374    -0.000107328
     -0.00254367     -0.00308456
    -0.000615177    -0.000460057
    -0.000234998     -9.7289e-05
     -7.0331e-05    -4.21065e-05
     -0.00135218     -0.00141662
    -0.000626389     -0.00027105
     -9.6918e-05    -4.70065e-05
    -0.000177308    -0.000210113
     -0.00145005    -0.000852145
     -0.00212072     -0.00114523
     -8.7393e-05    -3.82873e-05
      -8.064e-05    -5.02204e-05
     -0.00219688     -0.00140281
      -8.391e-05    -6.52688e-05
     -3.4674e-05     -3.0213e-05
    -0.000154055    -8.46676e-05
     -0.00014071    -0.000105297
     -1.3266e-05    -1.00932e-05
     -1.0092e-05    -7.16034e-06
     -2.5925e-05    -4.27788e-05
     -3.4151e-05    -1.58966e-05
     -0.00157006      -0.0014593
     -0.00185771     -0.00212797
     -0.00116103     -0.00104024
     -1.7345e-05    -6.74141e-06
     -4.4477e-05    -5.08977e-05
     -0.00178054     -0.00159797
     -5.6607e-05    -5.14385e-05
     -4.8528e-05    -3.15194e-05
    -0.000793373    -0.000531609
    -0.000158798    -0.000181639
    -0.000122158    -0.000161294
    -0.000111809    -6.80662e-05
     -4.8354e-05    -2.13621e-05
      -0.0004952    -0.000562252
    -0.000106952    -6.56807e-05
    -0.000298244    -0.000210247
    -0.000149633    -8.63553e-05
     -9.0312e-05    -5.65736e-05
     -0.00267329      -0.0035399
     -0.00129071    -0.000545513
     -0.00067325     -0.00074846
    -0.000759782    -0.000886809
     -3.8276e-05    -3.22089e-05
     -3.3728e-05    -2.09631e-05
     -0.00122547     -0.00129689
     -1.3453e-05    -5.62961e-06
      -1.702e-05    -1.54165e-05
    -0.000190259    -0.000126627
     -6.8043e-05    -9.07973e-05
    -0.000385397     -0.00028524
    -0.000915451      -0.0008495
     -1.8101e-05    -1.18131e-05
      -1.679e-05    -2.36362e-05
    -0.000174891    -0.000194778
     -0.00196529     -0.00149255
     -1.5288e-05     -1.3359e-05
    -0.000263954    -0.000108285
     -0.00105588     -0.00076909
     -3.6732e-05    -2.20041e-05
