QM Energy	FF Energy
    -0.000105684    -0.000111686
    -0.000611949    -0.000477408
    -0.000342823     -0.00033834
     -8.7777e-05    -8.27971e-05
      -3.893e-05    -4.47046e-05
    -0.000409927      -0.0003991
    -0.000211071    -0.000248655
     -6.4054e-05    -5.71572e-05
     -6.9368e-05    -9.99102e-05
    -0.000682598    -0.000956401
    -0.000722593    -0.000680085
     -7.0687e-05    -6.52907e-05
      -0.0011036     -0.00125291
    -0.000316277    -0.000301992
     -3.3111e-05    -3.81474e-05
    -0.000623554     -0.00078004
     -6.3203e-05    -6.30837e-05
     -8.7755e-05    -9.85101e-05
    -0.000591923    -0.000705372
     -6.0918e-05     -4.4284e-05
     -9.7541e-05     -0.00011946
    -0.000217024    -0.000206965
    -0.000175488    -0.000280354
    -0.000791757     -0.00092587
    -0.000481543    -0.000740988
    -0.000101843    -0.000171751
    -0.000577495    -0.000607529
    -0.000911693    -0.000759616
    -0.000159016    -0.000145478
     -0.00061351    -0.000555979
     -3.6301e-05    -4.88518e-05
     -4.3916e-05     -5.2335e-05
      -5.066e-05     -3.8581e-05
    -0.000645242    -0.000625698
    -0.000233543    -0.000258809
    -0.000340106    -0.000468192
    -0.000282917    -0.000272642
    -0.000358828    -0.000558018
    -0.000286323    -0.000266012
     -0.00016871    -0.000140099
    -0.000126115    -0.000181242
     -0.00117734     -0.00156803
     -0.00207905     -0.00193255
    -0.000291526    -0.000404562
     -0.00112506     -0.00133936
    -0.000442576     -0.00049679
     -4.4216e-05    -4.83775e-05
    -0.000112918    -9.69709e-05
     -2.6886e-05    -3.76351e-05
    -0.000268641     -0.00030318
     -0.00022843    -0.000243273
    -0.000175464    -0.000179302
     -5.9029e-05    -5.95024e-05
    -0.000786068    -0.000772759
     -8.1958e-05    -7.04267e-05
     -5.6591e-05    -6.70302e-05
     -2.3006e-05    -3.61257e-05
     -4.5038e-05    -4.92269e-05
    -0.000100994    -0.000109887
    -0.000150578    -0.000143471
    -0.000602254    -0.000619413
     -0.00101675    -0.000888127
    -0.000232994    -0.000359787
     -0.00133698     -0.00157924
     -5.3704e-05    -4.00767e-05
    -0.000268806    -0.000247371
     -9.6667e-05    -0.000105767
    -0.000100627    -0.000140674
     -1.6631e-05    -2.30586e-05
     -8.1888e-05    -0.000107735
    -0.000221517    -0.000210189
    -0.000319497    -0.000492172
    -0.000338701    -0.000318635
     -2.4022e-05    -2.87738e-05
    -0.000427767    -0.000593724
