QM Energy	FF Energy
     -0.00696371     -0.00701399
      -0.0106367      -0.0107183
     -0.00218399     -0.00214516
     -0.00697736      -0.0070316
     -0.00228475     -0.00218607
     -0.00682801     -0.00680131
     -0.00113017     -0.00111526
      -0.0035946     -0.00358487
     -0.00711558     -0.00711922
     -0.00442688      -0.0045699
     -0.00147092     -0.00139405
     -0.00456829     -0.00452883
     -0.00924548      -0.0091545
     -0.00301123     -0.00302327
     -0.00081913    -0.000799113
     -0.00478425     -0.00490594
     -0.00162163     -0.00154665
     -0.00436946     -0.00444605
     -0.00453622     -0.00457171
     -0.00682426     -0.00694363
     -0.00153421     -0.00149584
     -0.00429891     -0.00430944
      -0.0110811       -0.010986
    -0.000753776    -0.000699346
     -0.00459588     -0.00447785
      -0.0115202      -0.0115184
      -0.0100035      -0.0100846
     -0.00577724     -0.00571289
       -0.006377     -0.00639584
     -0.00256843     -0.00258163
     -0.00108841     -0.00106517
     -0.00252451     -0.00248418
      -0.0020366     -0.00204925
    -0.000674883    -0.000672803
     -0.00117122     -0.00111664
      -0.0115382      -0.0116311
     -0.00616591     -0.00628206
    -0.000986196    -0.000960482
     -0.00678994     -0.00678066
     -0.00520588     -0.00516669
     -0.00167114     -0.00168422
    -0.000694969    -0.000671514
    -0.000969753    -0.000951141
     -0.00126808     -0.00127059
     -0.00129223     -0.00125791
     -0.00112592     -0.00107442
    -0.000780226    -0.000747965
     -0.00642883      -0.0063284
     -0.00546266     -0.00554861
      -0.0123955      -0.0121362
     -0.00261958     -0.00252343
     -0.00769324     -0.00785101
     -0.00429625     -0.00427793
      -0.0041468     -0.00415165
      -0.0083644     -0.00841316
     -0.00326226     -0.00325758
     -0.00524392     -0.00537277
    -0.000854844     -0.00079529
     -0.00187382     -0.00190663
     -0.00247859     -0.00246721
     -0.00556992     -0.00551625
     -0.00392768     -0.00385387
     -0.00267057     -0.00260111
     -0.00384813     -0.00376697
     -0.00459501     -0.00462413
     -0.00143498     -0.00134299
     -0.00465278     -0.00459038
     -0.00164551     -0.00159334
     -0.00106025     -0.00101662
     -0.00140034     -0.00134054
     -0.00161612     -0.00161765
     -0.00592994     -0.00598389
     -0.00161845     -0.00152375
    -0.000860138    -0.000834499
     -0.00259553      -0.0024983
     -0.00246999     -0.00241322
      -0.0021634      -0.0022024
     -0.00286108     -0.00281054
     -0.00355931     -0.00356136
     -0.00098689    -0.000976424
     -0.00151103     -0.00149013
     -0.00290971     -0.00289465
     -0.00260743     -0.00257891
     -0.00756153     -0.00746845
     -0.00174956     -0.00173505
     -0.00303559     -0.00315019
       -0.013904      -0.0137812
     -0.00140585     -0.00133814
     -0.00081222    -0.000751962
     -0.00235892     -0.00240359
     -0.00457017      -0.0045515
     -0.00485789       -0.004796
    -0.000820984    -0.000811643
     -0.00135417     -0.00131449
    -0.000995436     -0.00098941
     -0.00758274     -0.00755906
    -0.000861445    -0.000797236
     -0.00444467     -0.00446316
     -0.00361318     -0.00374744
     -0.00108857     -0.00101201
     -0.00315384     -0.00313451
    -0.000634904    -0.000615139
     -0.00457357     -0.00458089
     -0.00156779     -0.00154502
     -0.00248979     -0.00254932
     -0.00580167     -0.00570461
     -0.00223342     -0.00221238
     -0.00131534     -0.00133912
     -0.00260085     -0.00261037
     -0.00132418     -0.00128785
      -0.0118485      -0.0118646
     -0.00905281     -0.00912057
      -0.0108327      -0.0104849
     -0.00266718     -0.00268926
     -0.00981216     -0.00985526
    -0.000826474     -0.00081318
    -0.000463745    -0.000433682
    -0.000868666    -0.000833885
    -0.000583394     -0.00057039
    -0.000557457    -0.000539221
     -0.00550995     -0.00562751
     -0.00145311      -0.0014167
      -0.0089575      -0.0090146
      -0.0109643       -0.010988
    -0.000647548    -0.000593378
    -0.000987592    -0.000964582
     -0.00387564     -0.00383227
     -0.00862571     -0.00851144
     -0.00231496     -0.00227483
     -0.00437527     -0.00442351
     -0.00374095      -0.0038203
     -0.00115304     -0.00112858
     -0.00376885     -0.00368374
     -0.00157028      -0.0015751
      -0.0106228      -0.0107064
     -0.00148757     -0.00142135
     -0.00271704     -0.00276281
      -0.0164547      -0.0167741
     -0.00198647     -0.00196798
    -0.000758982    -0.000734712
     -0.00628962     -0.00628522
      -0.0034938     -0.00340754
     -0.00328407     -0.00316022
     -0.00465573     -0.00467527
    -0.000705004    -0.000703682
    -0.000837704    -0.000811762
    -0.000642467    -0.000571995
     -0.00211006     -0.00202619
    -0.000873296    -0.000819631
     -0.00121565     -0.00119434
     -0.00168574     -0.00171983
     -0.00529938     -0.00529687
     -0.00133551      -0.0013397
    -0.000704904     -0.00066193
     -0.00307981     -0.00302338
     -0.00385798     -0.00394287
     -0.00205728     -0.00202747
     -0.00248089     -0.00235201
    -0.000735801    -0.000724207
      -0.0065187     -0.00665825
    -0.000769828    -0.000756879
    -0.000944691    -0.000922764
     -0.00806717     -0.00812055
      -0.0171827      -0.0167758
    -0.000559197    -0.000506535
     -0.00330398     -0.00328395
     -0.00963015     -0.00966062
     -0.00199792     -0.00191898
     -0.00461717     -0.00466165
     -0.00204919     -0.00204348
    -0.000502719    -0.000470813
     -0.00810331     -0.00812931
     -0.00866087     -0.00870582
     -0.00486045      -0.0049416
     -0.00375547      -0.0037891
     -0.00111613     -0.00106157
     -0.00744218     -0.00745095
     -0.00112966     -0.00112894
     -0.00189562     -0.00188613
     -0.00330728     -0.00327653
     -0.00712135     -0.00712974
     -0.00476101     -0.00484715
    -0.000681521    -0.000661367
     -0.00443351     -0.00443914
     -0.00680537     -0.00679494
     -0.00255269     -0.00249714
     -0.00200364     -0.00202408
    -0.000593816    -0.000560791
    -0.000792114    -0.000752392
     -0.00520929     -0.00514575
     -0.00350572     -0.00345065
     -0.00321431     -0.00315322
       -0.017226      -0.0169141
     -0.00921079     -0.00922311
    -0.000840791    -0.000820593
     -0.00101573     -0.00100875
     -0.00130638     -0.00128032
     -0.00138331     -0.00130948
     -0.00752781     -0.00754325
     -0.00260763     -0.00262994
     -0.00190894     -0.00189974
     -0.00794508     -0.00791151
     -0.00151577     -0.00149968
     -0.00262813     -0.00252122
      -0.0103323      -0.0103096
     -0.00246658     -0.00249799
     -0.00118225     -0.00112907
     -0.00150784     -0.00145781
     -0.00116496      -0.0011705
     -0.00115327     -0.00114247
     -0.00100729    -0.000953624
     -0.00255363     -0.00246145
      -0.0102789       -0.010107
     -0.00130817     -0.00129082
     -0.00920156     -0.00923008
     -0.00168621     -0.00170018
    -0.000680485    -0.000676649
     -0.00355242     -0.00341527
     -0.00120732     -0.00117218
     -0.00953509     -0.00956616
     -0.00103493     -0.00101018
    -0.000889271    -0.000838514
      -0.0103742      -0.0104958
     -0.00314875     -0.00318252
     -0.00213281     -0.00209283
     -0.00612385     -0.00613483
     -0.00126077      -0.0012381
     -0.00609203     -0.00621731
     -0.00144229     -0.00141109
       -0.013353      -0.0130821
     -0.00123211     -0.00123212
     -0.00349092     -0.00353847
     -0.00152341     -0.00148287
     -0.00773403     -0.00778218
     -0.00126568     -0.00123392
    -0.000814629    -0.000815048
     -0.00862521     -0.00848984
    -0.000876219    -0.000850708
     -0.00466202     -0.00464472
     -0.00123617     -0.00124572
     -0.00119095     -0.00115426
     -0.00204688     -0.00199497
    -0.000846704    -0.000827049
     -0.00058592    -0.000572882
    -0.000802481    -0.000780783
    -0.000699397     -0.00065183
     -0.00506111     -0.00513999
     -0.00204727     -0.00210352
     -0.00175768     -0.00171659
    -0.000854754    -0.000830596
      -0.0105474       -0.010503
     -0.00340491     -0.00346059
     -0.00249331     -0.00245448
     -0.00140533     -0.00137977
     -0.00235868     -0.00239525
       -0.001079      -0.0010591
     -0.00457308     -0.00455134
      -0.0054611     -0.00551179
      -0.0010906     -0.00105496
     -0.00566678     -0.00563219
     -0.00691832     -0.00693529
     -0.00204307     -0.00207515
      -0.0148143      -0.0144553
     -0.00157519     -0.00158071
     -0.00152694     -0.00150703
     -0.00100577    -0.000968236
     -0.00773352     -0.00769531
     -0.00168629      -0.0017309
     -0.00913318      -0.0092284
     -0.00282509     -0.00286507
     -0.00333517     -0.00341201
     -0.00691134     -0.00666067
     -0.00347895     -0.00351123
    -0.000428809    -0.000395765
     -0.00929223     -0.00931138
     -0.00108906      -0.0010794
    -0.000663316    -0.000617052
     -0.00190274     -0.00187585
     -0.00295714     -0.00299175
     -0.00983542     -0.00998188
     -0.00173569     -0.00170041
     -0.00102991    -0.000994434
     -0.00601628     -0.00604105
     -0.00575502     -0.00584158
     -0.00211219     -0.00207136
     -0.00185556     -0.00184837
     -0.00135541     -0.00136689
    -0.000536173    -0.000506664
      -0.0116112      -0.0114248
     -0.00188714     -0.00181563
    -0.000643101    -0.000611813
     -0.00239864     -0.00243875
     -0.00120257     -0.00114104
    -0.000864185     -0.00084409
     -0.00449828     -0.00438469
      -0.0011481     -0.00110103
     -0.00925909     -0.00925499
     -0.00214153      -0.0021432
     -0.00381973     -0.00373664
       -0.002706     -0.00269935
      -0.0102535      -0.0101945
