QM Energy	FF Energy
     -0.00696371     -0.00716503
      -0.0106367      -0.0106743
     -0.00218399     -0.00200293
     -0.00697736     -0.00666467
     -0.00228475     -0.00214001
     -0.00682801     -0.00630084
     -0.00113017     -0.00118123
      -0.0035946     -0.00360168
     -0.00711558     -0.00714997
     -0.00442688     -0.00460759
     -0.00147092     -0.00142032
     -0.00456829     -0.00464277
     -0.00924548     -0.00903117
     -0.00301123     -0.00304764
     -0.00081913    -0.000854367
     -0.00478425     -0.00528602
     -0.00162163     -0.00156852
     -0.00436946     -0.00413689
     -0.00453622     -0.00460653
     -0.00682426     -0.00734627
     -0.00153421     -0.00150646
     -0.00429891     -0.00410129
      -0.0110811      -0.0112192
    -0.000753776    -0.000704601
     -0.00459588     -0.00437446
      -0.0115202      -0.0111343
      -0.0100035      -0.0101521
     -0.00577724     -0.00554578
       -0.006377     -0.00630274
     -0.00256843     -0.00277197
     -0.00108841     -0.00108444
     -0.00252451       -0.002436
      -0.0020366     -0.00219421
    -0.000674883    -0.000738006
     -0.00117122     -0.00115845
      -0.0115382      -0.0111576
     -0.00616591     -0.00657907
    -0.000986196      -0.0010342
     -0.00678994     -0.00661966
     -0.00520588     -0.00511669
     -0.00167114     -0.00177305
    -0.000694969    -0.000708872
    -0.000969753     -0.00105937
     -0.00126808     -0.00142076
     -0.00129223     -0.00122914
     -0.00112592      -0.0010214
    -0.000780226     -0.00081459
     -0.00642883     -0.00601279
     -0.00546266     -0.00504734
      -0.0123955      -0.0124192
     -0.00261958     -0.00256294
     -0.00769324     -0.00809179
     -0.00429625     -0.00421396
      -0.0041468     -0.00416205
      -0.0083644     -0.00861559
     -0.00326226     -0.00312271
     -0.00524392     -0.00546108
    -0.000854844    -0.000802095
     -0.00187382     -0.00209376
     -0.00247859     -0.00269257
     -0.00556992     -0.00522623
     -0.00392768     -0.00367647
     -0.00267057     -0.00267056
     -0.00384813     -0.00358914
     -0.00459501      -0.0043711
     -0.00143498     -0.00131876
     -0.00465278     -0.00457713
     -0.00164551     -0.00149642
     -0.00106025     -0.00104273
     -0.00140034     -0.00137821
     -0.00161612     -0.00162442
     -0.00592994       -0.005903
     -0.00161845     -0.00154035
    -0.000860138    -0.000905106
     -0.00259553     -0.00249323
     -0.00246999     -0.00235114
      -0.0021634     -0.00233489
     -0.00286108     -0.00282695
     -0.00355931      -0.0036726
     -0.00098689     -0.00106284
     -0.00151103     -0.00151412
     -0.00290971     -0.00301128
     -0.00260743     -0.00256673
     -0.00756153     -0.00726415
     -0.00174956     -0.00183926
     -0.00303559     -0.00291278
       -0.013904      -0.0144943
     -0.00140585     -0.00138896
     -0.00081222    -0.000752369
     -0.00235892     -0.00245652
     -0.00457017     -0.00451936
     -0.00485789     -0.00453873
    -0.000820984    -0.000868997
     -0.00135417     -0.00134551
    -0.000995436     -0.00105877
     -0.00758274     -0.00760602
    -0.000861445    -0.000790942
     -0.00444467     -0.00482011
     -0.00361318     -0.00396825
     -0.00108857     -0.00101808
     -0.00315384      -0.0031695
    -0.000634904    -0.000660368
     -0.00457357     -0.00449506
     -0.00156779     -0.00164088
     -0.00248979     -0.00293006
     -0.00580167      -0.0058218
     -0.00223342     -0.00227824
     -0.00131534     -0.00149209
     -0.00260085     -0.00278095
     -0.00132418     -0.00127964
      -0.0118485      -0.0122279
     -0.00905281     -0.00932188
      -0.0108327      -0.0106193
     -0.00266718     -0.00286944
     -0.00981216     -0.00955968
    -0.000826474    -0.000855891
    -0.000463745    -0.000476901
    -0.000868666    -0.000877661
    -0.000583394    -0.000636894
    -0.000557457    -0.000570987
     -0.00550995     -0.00628787
     -0.00145311     -0.00147266
      -0.0089575     -0.00912853
      -0.0109643      -0.0115013
    -0.000647548     -0.00061641
    -0.000987592    -0.000996955
     -0.00387564     -0.00382777
     -0.00862571     -0.00805619
     -0.00231496     -0.00229967
     -0.00437527     -0.00447916
     -0.00374095      -0.0040108
     -0.00115304     -0.00116569
     -0.00376885     -0.00352591
     -0.00157028     -0.00161981
      -0.0106228     -0.00994549
     -0.00148757     -0.00139365
     -0.00271704     -0.00298365
      -0.0164547      -0.0156978
     -0.00198647     -0.00195878
    -0.000758982    -0.000773876
     -0.00628962     -0.00657687
      -0.0034938     -0.00328426
     -0.00328407     -0.00313431
     -0.00465573     -0.00457663
    -0.000705004    -0.000806084
    -0.000837704    -0.000852211
    -0.000642467     -0.00057636
     -0.00211006     -0.00188177
    -0.000873296    -0.000837851
     -0.00121565     -0.00118828
     -0.00168574     -0.00184572
     -0.00529938     -0.00538039
     -0.00133551     -0.00145141
    -0.000704904    -0.000719173
     -0.00307981     -0.00279358
     -0.00385798     -0.00397916
     -0.00205728     -0.00197209
     -0.00248089     -0.00235001
    -0.000735801      -0.0007976
      -0.0065187     -0.00598404
    -0.000769828    -0.000817751
    -0.000944691    -0.000908419
     -0.00806717     -0.00815936
      -0.0171827      -0.0169295
    -0.000559197    -0.000522455
     -0.00330398     -0.00325168
     -0.00963015     -0.00960721
     -0.00199792     -0.00192766
     -0.00461717     -0.00447162
     -0.00204919     -0.00217251
    -0.000502719     -0.00049621
     -0.00810331     -0.00843776
     -0.00866087     -0.00878083
     -0.00486045     -0.00505764
     -0.00375547     -0.00406583
     -0.00111613     -0.00108757
     -0.00744218      -0.0078476
     -0.00112966     -0.00120636
     -0.00189562     -0.00193015
     -0.00330728      -0.0032158
     -0.00712135     -0.00645558
     -0.00476101     -0.00489903
    -0.000681521    -0.000702424
     -0.00443351     -0.00427281
     -0.00680537     -0.00666435
     -0.00255269     -0.00242939
     -0.00200364     -0.00219893
    -0.000593816    -0.000591091
    -0.000792114    -0.000778923
     -0.00520929     -0.00525054
     -0.00350572     -0.00352941
     -0.00321431     -0.00319081
       -0.017226      -0.0173359
     -0.00921079     -0.00908805
    -0.000840791    -0.000835737
     -0.00101573     -0.00111007
     -0.00130638     -0.00131012
     -0.00138331     -0.00132005
     -0.00752781     -0.00758176
     -0.00260763     -0.00263925
     -0.00190894     -0.00202308
     -0.00794508     -0.00730369
     -0.00151577     -0.00153864
     -0.00262813     -0.00252544
      -0.0103323      -0.0102477
     -0.00246658     -0.00253557
     -0.00118225     -0.00116517
     -0.00150784     -0.00147301
     -0.00116496     -0.00130818
     -0.00115327     -0.00122159
     -0.00100729    -0.000939201
     -0.00255363     -0.00247716
      -0.0102789      -0.0099536
     -0.00130817     -0.00136144
     -0.00920156     -0.00857541
     -0.00168621     -0.00184064
    -0.000680485    -0.000739086
     -0.00355242     -0.00342184
     -0.00120732      -0.0012558
     -0.00953509     -0.00910641
     -0.00103493     -0.00110889
    -0.000889271    -0.000842983
      -0.0103742     -0.00994784
     -0.00314875     -0.00336351
     -0.00213281     -0.00201757
     -0.00612385     -0.00609011
     -0.00126077     -0.00129813
     -0.00609203      -0.0062756
     -0.00144229     -0.00141496
       -0.013353      -0.0132842
     -0.00123211     -0.00130287
     -0.00349092     -0.00376768
     -0.00152341     -0.00155138
     -0.00773403      -0.0075958
     -0.00126568     -0.00129308
    -0.000814629    -0.000889978
     -0.00862521     -0.00831491
    -0.000876219    -0.000848793
     -0.00466202     -0.00465654
     -0.00123617     -0.00132942
     -0.00119095     -0.00121698
     -0.00204688     -0.00212163
    -0.000846704    -0.000887165
     -0.00058592     -0.00062983
    -0.000802481    -0.000834782
    -0.000699397    -0.000633898
     -0.00506111      -0.0046896
     -0.00204727     -0.00220003
     -0.00175768     -0.00166947
    -0.000854754    -0.000912973
      -0.0105474      -0.0100936
     -0.00340491     -0.00373807
     -0.00249331     -0.00232729
     -0.00140533     -0.00142781
     -0.00235868     -0.00246821
       -0.001079      -0.0011643
     -0.00457308     -0.00457911
      -0.0054611     -0.00573976
      -0.0010906     -0.00100553
     -0.00566678     -0.00528052
     -0.00691832     -0.00684217
     -0.00204307     -0.00216628
      -0.0148143      -0.0144423
     -0.00157519     -0.00171436
     -0.00152694     -0.00152555
     -0.00100577     -0.00101218
     -0.00773352     -0.00731695
     -0.00168629     -0.00187386
     -0.00913318     -0.00917843
     -0.00282509     -0.00315404
     -0.00333517     -0.00356513
     -0.00691134     -0.00703911
     -0.00347895     -0.00360989
    -0.000428809    -0.000432355
     -0.00929223     -0.00921625
     -0.00108906     -0.00116525
    -0.000663316    -0.000618104
     -0.00190274     -0.00197974
     -0.00295714     -0.00327707
     -0.00983542      -0.0104322
     -0.00173569     -0.00172744
     -0.00102991     -0.00106498
     -0.00601628     -0.00570622
     -0.00575502     -0.00590525
     -0.00211219     -0.00212293
     -0.00185556     -0.00194864
     -0.00135541     -0.00151314
    -0.000536173    -0.000527878
      -0.0116112      -0.0115517
     -0.00188714      -0.0016965
    -0.000643101    -0.000657887
     -0.00239864     -0.00268928
     -0.00120257     -0.00122799
    -0.000864185    -0.000840328
     -0.00449828     -0.00437928
      -0.0011481     -0.00109435
     -0.00925909     -0.00899806
     -0.00214153     -0.00225368
     -0.00381973     -0.00371583
       -0.002706     -0.00273055
      -0.0102535      -0.0104686
     -0.00317825     -0.00337314
     -0.00278089     -0.00257899
    -0.000585497    -0.000607227
     -0.00368989     -0.00388601
    -0.000631494     -0.00058043
     -0.00574322     -0.00579874
      -0.0035042     -0.00344754
     -0.00168924     -0.00173683
    -0.000807692    -0.000735337
    -0.000815022    -0.000874173
    -0.000554141    -0.000616843
      -0.0010166      -0.0011046
      -0.0066348     -0.00636309
     -0.00863551     -0.00895759
     -0.00497526      -0.0051543
     -0.00985991     -0.00961264
      -0.0042868     -0.00429238
     -0.00344959     -0.00362727
     -0.00130124     -0.00129776
    -0.000713272    -0.000729754
     -0.00235933      -0.0021914
      -0.0109292      -0.0112663
    -0.000695071    -0.000707149
      -0.0024599     -0.00230575
      -0.0102345     -0.00986339
     -0.00202702     -0.00217407
     -0.00109396     -0.00118492
     -0.00270335     -0.00297978
    -0.000673776    -0.000673832
     -0.00628326     -0.00615571
     -0.00186085      -0.0018282
    -0.000619473    -0.000636354
    -0.000468829    -0.000463432
     -0.00553718     -0.00568593
     -0.00697302     -0.00713935
     -0.00231605     -0.00238631
     -0.00300681     -0.00287979
    -0.000984102     -0.00102497
     -0.00700713     -0.00669841
     -0.00673134     -0.00653832
    -0.000573715    -0.000528519
    -0.000918534    -0.000986236
     -0.00573293     -0.00601911
     -0.00129256     -0.00120987
    -0.000696726    -0.000752206
     -0.00371071     -0.00391301
      -0.0009975    -0.000948188
     -0.00359872     -0.00333989
     -0.00237284     -0.00238593
     -0.00711356     -0.00687431
      -0.0101406      -0.0104112
     -0.00457843     -0.00455626
     -0.00114261     -0.00108826
     -0.00139023     -0.00128733
     -0.00224303     -0.00219354
     -0.00678943     -0.00637268
     -0.00594779     -0.00605353
     -0.00132832     -0.00139941
     -0.00104194      -0.0010144
     -0.00122613     -0.00130663
     -0.00115944     -0.00122402
     -0.00319597     -0.00315879
     -0.00421945     -0.00410265
      -0.0016404     -0.00174298
    -0.000776553    -0.000828714
     -0.00276757     -0.00309724
     -0.00437581     -0.00422269
     -0.00105968     -0.00104495
     -0.00061002    -0.000597789
     -0.00921729     -0.00934689
     -0.00108972      -0.0011324
     -0.00112987    -0.000988813
     -0.00406444     -0.00402971
    -0.000952693     -0.00101712
     -0.00185944     -0.00201132
     -0.00360883     -0.00372518
    -0.000951002    -0.000896839
     -0.00385367     -0.00432414
      -0.0107736      -0.0112542
     -0.00283228     -0.00286794
    -0.000751415    -0.000747332
     -0.00462652     -0.00454763
     -0.00479299     -0.00498956
     -0.00105824     -0.00117572
    -0.000544004    -0.000559156
     -0.00530323     -0.00539351
     -0.00185039      -0.0019363
     -0.00777753     -0.00759068
     -0.00120439     -0.00112111
      -0.0048034     -0.00498093
     -0.00241063      -0.0024594
     -0.00290019     -0.00303059
     -0.00617118     -0.00597008
      -0.0038505     -0.00439845
     -0.00405005     -0.00404053
       -0.011388      -0.0113295
     -0.00174356     -0.00186482
     -0.00074908     -0.00074157
     -0.00124324     -0.00124869
     -0.00290873     -0.00290476
     -0.00521101     -0.00524991
     -0.00130866     -0.00137763
     -0.00219881       -0.002419
     -0.00938732     -0.00906985
     -0.00693428      -0.0069303
     -0.00252393     -0.00261019
    -0.000691486    -0.000631513
    -0.000683538    -0.000718776
     -0.00109967      -0.0011382
     -0.00217049     -0.00222331
     -0.00213101     -0.00203446
     -0.00192584     -0.00183333
    -0.000750115    -0.000736592
    -0.000665925    -0.000646068
     -0.00460232     -0.00461566
     -0.00366935     -0.00341846
     -0.00255582     -0.00279931
     -0.00122991     -0.00116121
     -0.00697613     -0.00718111
    -0.000715348    -0.000729067
     -0.00588935     -0.00644063
      -0.0130628      -0.0125632
     -0.00254399     -0.00271626
     -0.00139248     -0.00139697
     -0.00113898     -0.00134683
      -0.0104891      -0.0103771
     -0.00916933     -0.00893482
     -0.00171909     -0.00162323
     -0.00135821     -0.00136913
     -0.00121571     -0.00115492
     -0.00132575     -0.00139912
    -0.000736566    -0.000724853
     -0.00531236     -0.00547238
     -0.00229989     -0.00226527
     -0.00198205     -0.00194814
      -0.0101729      -0.0103371
    -0.000904394    -0.000923939
     -0.00392737     -0.00422509
     -0.00457234     -0.00426976
     -0.00110511     -0.00114439
     -0.00126522     -0.00123491
     -0.00147516     -0.00144265
     -0.00533532     -0.00505488
     -0.00158055     -0.00144549
       -0.002229     -0.00230064
     -0.00220166      -0.0020051
    -0.000814379    -0.000819792
     -0.00232715     -0.00246632
     -0.00148319      -0.0015005
      -0.0105322     -0.00998129
      -0.0051878     -0.00510293
     -0.00314515     -0.00301952
     -0.00331962     -0.00326469
     -0.00178916     -0.00166644
     -0.00185765       -0.001883
     -0.00209682     -0.00201613
     -0.00250018     -0.00273651
     -0.00515509     -0.00535237
     -0.00373515     -0.00364164
     -0.00162444     -0.00148706
      -0.0021773     -0.00231233
     -0.00231098     -0.00231301
     -0.00351111     -0.00401655
     -0.00262783     -0.00263538
    -0.000917443    -0.000995053
     -0.00285628     -0.00288552
    -0.000829769    -0.000818509
     -0.00164805       -0.001609
      -0.0010917     -0.00117779
    -0.000698125      -0.0007566
    -0.000731338    -0.000781288
      -0.0011136     -0.00110466
     -0.00951367     -0.00982085
    -0.000754046    -0.000775371
     -0.00520562     -0.00560177
     -0.00102334    -0.000943007
     -0.00800911     -0.00739931
     -0.00595389     -0.00597512
      -0.0078735     -0.00742538
     -0.00191422     -0.00197366
     -0.00115397     -0.00124207
     -0.00431678     -0.00406963
     -0.00145682     -0.00157844
     -0.00760448     -0.00772384
     -0.00159682     -0.00145995
     -0.00305659     -0.00300555
     -0.00237247     -0.00238067
     -0.00203893      -0.0019306
     -0.00305461     -0.00295997
     -0.00210261     -0.00228188
     -0.00521764     -0.00530445
     -0.00356955     -0.00395643
     -0.00220895     -0.00220197
     -0.00267615     -0.00281539
    -0.000553157    -0.000540458
     -0.00222664      -0.0023167
     -0.00444815     -0.00476181
     -0.00158639     -0.00159687
     -0.00619976     -0.00623705
    -0.000754356    -0.000727939
     -0.00256078     -0.00266274
    -0.000619497    -0.000582136
     -0.00183863     -0.00170671
    -0.000663637    -0.000726705
     -0.00485245     -0.00443374
    -0.000725001    -0.000753769
     -0.00277314     -0.00299154
     -0.00529634     -0.00507765
     -0.00141143     -0.00152814
     -0.00173278     -0.00189723
     -0.00181062     -0.00170374
    -0.000958964     -0.00105718
     -0.00210453      -0.0019457
     -0.00570384      -0.0060879
     -0.00123066     -0.00130928
     -0.00136418     -0.00162021
     -0.00225633     -0.00221365
      -0.0110954      -0.0115199
     -0.00764402       -0.007708
    -0.000829193    -0.000844027
     -0.00144903     -0.00152956
     -0.00102915     -0.00100771
     -0.00323351      -0.0034865
     -0.00290381     -0.00261979
     -0.00273382      -0.0025684
       -0.010614      -0.0105527
     -0.00183525      -0.0017833
     -0.00689112     -0.00654179
     -0.00271146     -0.00283998
      -0.0010087      -0.0011077
     -0.00366639     -0.00391203
     -0.00230491     -0.00251309
     -0.00151974     -0.00152531
     -0.00711283     -0.00755437
     -0.00510278      -0.0050468
      -0.0070987     -0.00679638
     -0.00203935      -0.0017736
     -0.00219477     -0.00205684
     -0.00317673       -0.003246
     -0.00076756     -0.00073234
    -0.000883621    -0.000934977
     -0.00132483     -0.00139441
     -0.00131211     -0.00138712
      -0.0101464     -0.00918742
      -0.0011561     -0.00122408
     -0.00220234     -0.00227728
     -0.00133454     -0.00129379
     -0.00393349     -0.00364011
     -0.00102576    -0.000976363
    -0.000871644     -0.00089184
     -0.00775942     -0.00747259
     -0.00276253     -0.00301072
    -0.000948266     -0.00109277
     -0.00722251      -0.0073531
     -0.00667536     -0.00685225
     -0.00198529     -0.00212862
     -0.00199811     -0.00201082
     -0.00309098     -0.00323768
    -0.000882952    -0.000990944
      -0.0029478     -0.00303483
     -0.00491367     -0.00519159
     -0.00275835      -0.0030103
     -0.00229017     -0.00230887
     -0.00194586     -0.00176787
     -0.00408791     -0.00437035
     -0.00237622     -0.00244593
     -0.00948104     -0.00955167
    -0.000899335    -0.000865063
     -0.00362972     -0.00390967
     -0.00342163     -0.00347458
      -0.0029249     -0.00297334
     -0.00183229     -0.00185693
    -0.000811559    -0.000807785
     -0.00111535     -0.00118805
     -0.00133349     -0.00137475
     -0.00591118     -0.00582998
      -0.0120428      -0.0117919
     -0.00748957     -0.00750681
     -0.00371069     -0.00372078
     -0.00103166     -0.00110629
     -0.00320771     -0.00292334
    -0.000557166    -0.000561361
     -0.00120436     -0.00128051
     -0.00658666     -0.00628753
      -0.0109298      -0.0112241
     -0.00564039     -0.00597085
      -0.0037328     -0.00387126
    -0.000972979    -0.000940036
     -0.00198644     -0.00201534
     -0.00230001     -0.00223455
     -0.00868454     -0.00873705
    -0.000770052    -0.000817145
     -0.00263302     -0.00291745
     -0.00109448     -0.00116153
     -0.00655911     -0.00612608
     -0.00130448     -0.00126521
     -0.00143978     -0.00137073
     -0.00208085     -0.00187192
     -0.00477122     -0.00509842
     -0.00302209     -0.00307245
     -0.00129034     -0.00123245
     -0.00363719     -0.00335975
    -0.000971194     -0.00103897
      -0.0010325     -0.00107875
     -0.00276276     -0.00265011
    -0.000780886    -0.000757201
      -0.0100293      -0.0100706
     -0.00141522     -0.00122054
     -0.00333196     -0.00341201
     -0.00122664     -0.00124113
     -0.00107793     -0.00109813
     -0.00124263      -0.0012731
     -0.00195306     -0.00195335
     -0.00485559     -0.00457831
     -0.00567874     -0.00539514
     -0.00332877     -0.00349605
     -0.00155649     -0.00156999
    -0.000955754    -0.000855543
      -0.0127593      -0.0129969
     -0.00243115     -0.00269759
     -0.00060966    -0.000705873
      -0.0099119     -0.00940419
     -0.00293773     -0.00311587
     -0.00758151     -0.00720373
    -0.000475274    -0.000471871
     -0.00569687     -0.00554479
    -0.000730471    -0.000676036
     -0.00319973     -0.00287021
     -0.00448515     -0.00436844
    -0.000940594     -0.00094636
     -0.00136391     -0.00144769
    -0.000640243    -0.000566102
     -0.00126201     -0.00113321
     -0.00708699     -0.00744174
     -0.00100187    -0.000984822
     -0.00253447     -0.00249702
     -0.00395154     -0.00380365
     -0.00149343     -0.00149757
     -0.00648269     -0.00684731
     -0.00225173     -0.00228815
     -0.00185232     -0.00197596
     -0.00883439     -0.00827159
     -0.00286771     -0.00294818
     -0.00601453     -0.00593076
    -0.000996924     -0.00104889
     -0.00916609     -0.00954092
     -0.00204797     -0.00187729
     -0.00504343     -0.00499782
     -0.00353924      -0.0036327
      -0.0104902      -0.0100606
      -0.0121388      -0.0128279
     -0.00101576    -0.000939437
     -0.00343091     -0.00318991
     -0.00766435     -0.00774537
     -0.00134739     -0.00128607
     -0.00161659       -0.001456
     -0.00398772     -0.00420088
     -0.00312398     -0.00292379
     -0.00383125     -0.00400635
     -0.00100925     -0.00101192
      -0.0083302     -0.00816371
     -0.00148077     -0.00152808
    -0.000755529    -0.000734036
    -0.000669555    -0.000704848
     -0.00160651     -0.00167299
     -0.00111505      -0.0011713
     -0.00224801     -0.00211975
     -0.00100643     -0.00095393
     -0.00169005     -0.00170833
     -0.00660277     -0.00679772
    -0.000850931    -0.000857381
     -0.00166431     -0.00158017
     -0.00708635     -0.00759973
     -0.00164243     -0.00166263
     -0.00314227     -0.00305327
