QM Energy	FF Energy
     -0.00298312      -0.0029882
     -0.00102438     -0.00109946
    -0.000988356     -0.00111902
     -0.00701947      -0.0076986
     -0.00346475     -0.00354505
     -0.00129183     -0.00128777
     -0.00432142     -0.00429362
      -0.0016064     -0.00152889
    -0.000704183    -0.000744374
     -0.00290854     -0.00285949
     -0.00715445     -0.00751885
     -0.00110574     -0.00105425
     -0.00302536     -0.00321039
      -0.0053243      -0.0053349
     -0.00498973     -0.00524086
     -0.00161554      -0.0015119
     -0.00111925     -0.00118958
      -0.0031478     -0.00359094
     -0.00186729     -0.00204724
     -0.00932751      -0.0101105
     -0.00105285     -0.00113929
     -0.00104792     -0.00114307
     -0.00340152     -0.00363711
     -0.00238903     -0.00252073
     -0.00193846     -0.00210798
     -0.00123307     -0.00120012
    -0.000768806    -0.000848667
     -0.00228521     -0.00230602
      -0.0110788      -0.0118206
    -0.000629203    -0.000639218
    -0.000835592    -0.000804144
     -0.00151803     -0.00165535
    -0.000571214     -0.00059286
    -0.000956101     -0.00100626
     -0.00153741     -0.00150617
    -0.000985841    -0.000967786
     -0.00495589     -0.00492695
    -0.000779205    -0.000736773
      -0.0110121      -0.0122039
     -0.00309813     -0.00316023
    -0.000769686    -0.000743776
     -0.00299262     -0.00291753
     -0.00380087     -0.00417545
     -0.00413701     -0.00409987
     -0.00107654     -0.00106802
    -0.000784485    -0.000823947
     -0.00758709     -0.00786979
     -0.00218011     -0.00238928
    -0.000858061    -0.000862919
    -0.000682344    -0.000747192
      -0.0048463     -0.00500676
      -0.0024845     -0.00268109
     -0.00136856       -0.001312
       -0.008822     -0.00907821
     -0.00611509     -0.00609711
     -0.00490317     -0.00494923
     -0.00305287     -0.00338874
    -0.000682117    -0.000688021
     -0.00232604     -0.00234709
      -0.0013973     -0.00147969
     -0.00725552     -0.00786607
    -0.000888532     -0.00096669
    -0.000643243    -0.000585712
     -0.00433261     -0.00477751
       -0.004055     -0.00432861
     -0.00379498     -0.00371595
     -0.00415723     -0.00441928
     -0.00131679      -0.0013685
     -0.00646531     -0.00657876
     -0.00386277     -0.00419868
     -0.00473537     -0.00452885
     -0.00198223     -0.00203087
    -0.000642969    -0.000707806
     -0.00315731     -0.00343432
     -0.00153416     -0.00159675
       -0.005897     -0.00600662
     -0.00491927     -0.00492148
     -0.00144571     -0.00136481
     -0.00406309     -0.00457518
      -0.0038421     -0.00384078
     -0.00151004     -0.00160357
     -0.00129714      -0.0012847
      -0.0106795       -0.010908
     -0.00251501     -0.00281716
      -0.0036683     -0.00416543
     -0.00154861     -0.00169426
      -0.0016033     -0.00153936
      -0.0073589      -0.0076609
     -0.00080026    -0.000802404
    -0.000740796    -0.000813774
     -0.00510456     -0.00484774
     -0.00258915     -0.00286064
    -0.000461203    -0.000405747
     -0.00600272     -0.00611741
     -0.00337042     -0.00374069
     -0.00878905     -0.00982527
     -0.00254268     -0.00249792
    -0.000784826    -0.000679329
      -0.0034854     -0.00382308
     -0.00206185      -0.0020685
     -0.00479218     -0.00535455
     -0.00121877     -0.00138408
     -0.00228459     -0.00236535
      -0.0030627     -0.00338071
     -0.00653314     -0.00730476
     -0.00156819     -0.00155934
     -0.00456661     -0.00460158
     -0.00231225     -0.00242302
    -0.000616154    -0.000606446
    -0.000692449    -0.000762174
     -0.00250574     -0.00263333
     -0.00779392     -0.00840969
    -0.000983826     -0.00102166
      -0.0024727     -0.00258136
     -0.00130086     -0.00126041
     -0.00139803     -0.00157328
     -0.00268572     -0.00282266
     -0.00114236     -0.00123553
     -0.00127665     -0.00123005
     -0.00683029     -0.00683096
      -0.0103037      -0.0107438
     -0.00293458     -0.00323196
    -0.000755279    -0.000738715
     -0.00264041     -0.00277051
     -0.00393712      -0.0044753
     -0.00546347     -0.00576784
    -0.000561852    -0.000530063
     -0.00466416     -0.00530941
     -0.00155889     -0.00169311
     -0.00286036      -0.0032618
     -0.00171777     -0.00192541
     -0.00672067     -0.00720551
     -0.00156215     -0.00145967
    -0.000562128    -0.000544066
     -0.00142882     -0.00139757
    -0.000926155    -0.000895159
     -0.00127883     -0.00127121
     -0.00347469     -0.00380519
    -0.000921361    -0.000975607
     -0.00502038     -0.00528654
     -0.00175515     -0.00189385
     -0.00138453     -0.00139089
     -0.00417259     -0.00416907
    -0.000782961    -0.000825243
    -0.000576067    -0.000565279
      -0.0108909      -0.0119343
     -0.00340023     -0.00337178
     -0.00339284     -0.00371003
      -0.0109263      -0.0118568
     -0.00955675      -0.0105122
    -0.000725863    -0.000777499
     -0.00451156     -0.00452681
     -0.00233235     -0.00228505
     -0.00262612     -0.00280208
    -0.000953842    -0.000852181
     -0.00110915     -0.00105499
     -0.00621827     -0.00664627
    -0.000491701    -0.000463453
     -0.00307249     -0.00315707
     -0.00318411     -0.00327116
     -0.00595218     -0.00663971
     -0.00183382     -0.00172837
     -0.00293195     -0.00292412
    -0.000975636      -0.0010498
     -0.00780943     -0.00821193
     -0.00217302     -0.00245766
    -0.000610292    -0.000621236
     -0.00142263     -0.00146838
    -0.000741313    -0.000738075
      -0.0031296     -0.00323739
     -0.00114958     -0.00115296
    -0.000593362    -0.000550304
     -0.00165806     -0.00166152
    -0.000712951    -0.000763113
    -0.000862197    -0.000913661
     -0.00373721     -0.00372529
    -0.000669869    -0.000699538
     -0.00106092     -0.00110244
     -0.00132527     -0.00130261
    -0.000653707    -0.000616416
     -0.00617295     -0.00666165
     -0.00146196     -0.00147054
     -0.00191935     -0.00213554
     -0.00991107      -0.0100986
     -0.00170975     -0.00176708
     -0.00122631     -0.00121198
     -0.00138574     -0.00154598
     -0.00439303      -0.0044119
     -0.00171457     -0.00182254
     -0.00115092     -0.00129246
     -0.00143393     -0.00140411
     -0.00842559     -0.00855898
     -0.00125656     -0.00127767
     -0.00426019     -0.00483395
     -0.00689396     -0.00710812
    -0.000854916    -0.000805261
    -0.000681481    -0.000719158
      -0.0079055     -0.00804358
     -0.00146478     -0.00152204
      -0.0107885      -0.0120691
     -0.00486993     -0.00491203
     -0.00162855     -0.00163865
    -0.000793598    -0.000825518
     -0.00122389     -0.00129758
     -0.00218904     -0.00223677
     -0.00263339     -0.00238386
     -0.00209625     -0.00226231
     -0.00167976     -0.00164402
     -0.00148495     -0.00130703
    -0.000950892     -0.00104456
    -0.000922228     -0.00101452
    -0.000817433     -0.00080187
     -0.00511665     -0.00562587
     -0.00198669      -0.0021925
     -0.00209733     -0.00213085
     -0.00483204     -0.00488682
      -0.0054782     -0.00542952
     -0.00142953     -0.00129835
      -0.0119034      -0.0125584
     -0.00274323     -0.00275677
     -0.00142763     -0.00126161
      -0.0020605     -0.00219976
     -0.00625093     -0.00634381
      -0.0027312     -0.00280505
     -0.00464952     -0.00473211
       -0.002419      -0.0026085
      -0.0013531     -0.00149644
     -0.00684341     -0.00707916
     -0.00833646     -0.00899796
     -0.00296966     -0.00307824
     -0.00139974     -0.00146526
     -0.00337081     -0.00337631
      -0.0144526      -0.0159321
     -0.00180486     -0.00176556
     -0.00230151     -0.00234692
     -0.00300755     -0.00302016
     -0.00101501     -0.00104536
     -0.00356202     -0.00361949
    -0.000907483    -0.000908114
     -0.00237605     -0.00226503
    -0.000753938    -0.000852229
     -0.00445763     -0.00422736
     -0.00154626     -0.00156489
     -0.00214431      -0.0022315
     -0.00210587     -0.00229159
      -0.0021701     -0.00220454
     -0.00486046      -0.0049278
    -0.000779372    -0.000767903
     -0.00565221     -0.00565885
      -0.0027054     -0.00272422
     -0.00920514     -0.00976392
     -0.00140064     -0.00131663
     -0.00046671    -0.000422059
     -0.00378358     -0.00379415
     -0.00476954     -0.00536628
     -0.00414626     -0.00454505
     -0.00468396     -0.00473185
     -0.00134816     -0.00137455
    -0.000904897    -0.000950264
     -0.00111742     -0.00110676
     -0.00871055     -0.00957543
     -0.00624148     -0.00678114
     -0.00436466     -0.00444553
     -0.00298595     -0.00314873
     -0.00210327     -0.00209527
     -0.00397588     -0.00410702
    -0.000736856    -0.000713001
     -0.00126552     -0.00123534
     -0.00430533     -0.00388664
     -0.00602776     -0.00626162
     -0.00464633     -0.00474366
     -0.00479623     -0.00514422
     -0.00106604     -0.00106668
     -0.00520583     -0.00540513
     -0.00151106     -0.00140063
     -0.00168999     -0.00169398
     -0.00629021     -0.00655444
     -0.00579641     -0.00581099
     -0.00388446     -0.00425695
     -0.00724506     -0.00768242
     -0.00285729      -0.0028507
    -0.000704221    -0.000696937
    -0.000734463    -0.000685694
     -0.00188145     -0.00195359
     -0.00271693     -0.00264619
     -0.00548801     -0.00569703
     -0.00339677     -0.00376521
     -0.00215925     -0.00226924
    -0.000564404    -0.000618957
     -0.00227428     -0.00236539
     -0.00506111     -0.00528938
    -0.000789809    -0.000747161
     -0.00147664     -0.00162304
     -0.00266939     -0.00301644
     -0.00217137     -0.00239921
     -0.00565487     -0.00609685
    -0.000952528     -0.00094819
     -0.00567146     -0.00584573
    -0.000821555     -0.00081394
      -0.0017537     -0.00178161
    -0.000675378    -0.000696435
     -0.00808122     -0.00905973
      -0.0021256     -0.00221756
     -0.00367874     -0.00361998
     -0.00130527     -0.00123016
    -0.000710064    -0.000681279
     -0.00149996     -0.00152713
     -0.00134541     -0.00139527
     -0.00419544     -0.00424746
     -0.00450222     -0.00508635
     -0.00128339     -0.00124328
     -0.00837665     -0.00911596
      -0.0091046     -0.00982676
     -0.00926603      -0.0101346
     -0.00229657     -0.00264471
     -0.00372315     -0.00374039
    -0.000483087    -0.000474489
     -0.00606861      -0.0062782
     -0.00356541     -0.00377684
     -0.00379019     -0.00385222
    -0.000794871    -0.000810831
     -0.00229433     -0.00218152
     -0.00232027     -0.00238399
    -0.000708053    -0.000695379
     -0.00708299       -0.007819
     -0.00815407     -0.00895773
     -0.00104621     -0.00117641
     -0.00279589     -0.00313251
      -0.0131019      -0.0140485
     -0.00158627     -0.00150027
     -0.00057529    -0.000511347
      -0.0011106     -0.00110405
     -0.00157595     -0.00146438
     -0.00272192     -0.00300018
     -0.00624166     -0.00681424
     -0.00590378     -0.00637043
      -0.0034548     -0.00376786
