QM Energy	FF Energy
     0.000111936     0.000183786
    -0.000462229    -0.000528507
    -0.000481154    -0.000521306
      0.00352255      0.00309975
     0.000416843      0.00051125
    -0.000789726    -0.000813927
      0.00210304      0.00169587
    -0.000630284    -0.000638795
     -0.00151932     -0.00151606
     -0.00135556     -0.00169606
      0.00573606      0.00624564
    -0.000687929    -0.000680257
    -0.000107817     0.000313451
      0.00332521       0.0025259
      0.00124787      0.00170397
    -0.000688718     -0.00061218
    -0.000332728    -0.000307973
    -0.000387919    -0.000371784
    -0.000473407    -0.000567093
      0.00487107      0.00324305
    -0.000505215    -0.000568833
    -0.000815028     -0.00092175
     -6.3322e-05    -0.000232451
     -0.00122958     -0.00130298
     -0.00101759     -0.00103609
     -0.00077307     -0.00085488
    -0.000567559     -0.00059226
    -0.000594481    -0.000380523
      0.00591375      0.00390648
    -0.000515453    -0.000501665
    -0.000605597     -0.00062216
     -0.00059673    -0.000555066
    -0.000538966    -0.000550018
    -0.000273526    -0.000237707
    -0.000657762    -0.000565437
     -0.00070997    -0.000718685
     0.000705826    -0.000120844
    -0.000677657    -0.000672045
      0.00822129      0.00637931
    -0.000222598    -0.000593991
    -0.000993827    -0.000941678
     0.000902685      0.00117235
     -0.00165614     -0.00179939
     -9.7941e-05     0.000404723
    -0.000844202      -0.0008954
    -0.000619909    -0.000664449
       0.0102555      0.00908813
    -0.000304672     -0.00026942
    -0.000635009    -0.000696777
    -0.000365306     -0.00041018
      0.00164034      0.00158703
     -0.00028349    -0.000180899
    -0.000695568     -0.00055621
       0.0125571       0.0111565
    -0.000519238    -0.000705477
     -0.00538159     -0.00515734
    -0.000660297      -0.0010411
    -0.000571835     -0.00057766
    -0.000460092    -0.000524401
    -0.000785985    -0.000850413
      0.00513402      0.00452711
    -0.000772392    -0.000849442
    -0.000624016     -0.00061729
    -0.000836431    -0.000924639
     0.000208013     0.000123435
      0.00122944      0.00179861
     -0.00248152     -0.00255812
     -0.00100464      -0.0010722
     -0.00310699     -0.00367369
      0.00126446      0.00144343
      0.00188672     0.000995477
      -0.0030661     -0.00312289
    -0.000696558    -0.000758012
    -0.000220584     -0.00031443
    -0.000216652    -0.000217804
     -0.00105729     -0.00242615
      0.00352873      0.00288126
    -0.000983689     -0.00106628
     -0.00144211     -0.00182305
      0.00208955      0.00266479
    -0.000590121    -0.000763577
    -0.000849207     -0.00081274
      0.00237616      0.00320319
    -0.000954876    -0.000972347
    -0.000732147    -0.000585932
    -0.000908516    -0.000971298
      4.5932e-05    -0.000106359
     -0.00413402     -0.00397597
     -0.00122899     -0.00122723
    -0.000359243    -0.000409873
      0.00218322       0.0013284
    -0.000993755     -0.00125421
    -0.000507944    -0.000471439
      0.00329998      0.00173902
    -0.000757725    -0.000959539
      0.00815832      0.00745977
    -0.000879491    -0.000839936
     0.000120721     0.000145823
    -0.000727776    -0.000788251
    -0.000634443    -0.000665746
     0.000535906     0.000366609
    -0.000562181    -0.000603123
     -0.00192792     -0.00200007
      -0.0013173     -0.00146126
      0.00366385      0.00368776
    -0.000649447     -0.00063182
      0.00259481      0.00238388
    -0.000950599     -0.00121393
     -0.00063623    -0.000603424
    -0.000720614    -0.000749679
     -0.00304365     -0.00311023
      0.00159614      0.00165385
     -0.00134443     -0.00142192
     -0.00133292     -0.00125027
    -0.000227803    -0.000299175
     -0.00045622    -0.000460974
    -0.000546645    -0.000712595
    -0.000648872    -0.000725651
    -0.000539074    -0.000529553
      0.00340925       0.0032744
       0.0121022       0.0122692
     0.000488844     0.000275834
    -0.000614253    -0.000580961
     -0.00132368     -0.00146894
      0.00139171       0.0013916
    -0.000394115    -0.000324686
    -0.000572575    -0.000552032
      0.00135412      0.00141538
    -0.000188367    -0.000220357
     0.000417831     0.000511384
     -0.00213694     -0.00223274
      0.00156034      0.00229107
    -0.000690584    -0.000625196
    -0.000579415    -0.000575175
    -0.000795715    -0.000843171
    -0.000569445    -0.000563199
    -0.000810835    -0.000810611
     0.000494577     0.000176649
    -0.000340069    -0.000361916
      0.00105286     0.000924683
     -0.00227646     -0.00232271
     -0.00249739     -0.00249731
      0.00277691      0.00383634
    -0.000677543    -0.000722346
    -0.000659578    -0.000646198
       0.0123725       0.0106496
    -0.000516364     -0.00118461
    -0.000828495    -0.000951568
       0.0112247      0.00927936
      0.00390226      0.00291581
     -0.00154721     -0.00155273
       0.0018587      0.00230232
    -0.000994561     -0.00120717
     0.000248101     0.000273962
    -0.000862931    -0.000853214
    -0.000676519    -0.000700497
      0.00237787      0.00256894
    -0.000551282    -0.000530437
     -0.00110261    -0.000832332
     -0.00193701     -0.00208411
    -0.000625074    -0.000633156
    -0.000984785    -0.000954969
     -1.7583e-05     -8.4805e-05
    -0.000625568    -0.000694492
      0.00434943      0.00367561
    -0.000833614    -0.000802798
    -0.000647643    -0.000670929
        -0.00144     -0.00141863
    -0.000725334    -0.000716462
     0.000972967      0.00101107
    -0.000934298    -0.000842606
    -0.000633274    -0.000598904
    -0.000768708    -0.000735628
    -0.000405093     -0.00046211
    -0.000477349    -0.000533764
     0.000100684     -0.00052168
    -0.000228661    -0.000248471
      -0.0018226     -0.00183206
     -0.00153248      -0.0017067
    -0.000767119    -0.000746921
      0.00160435     0.000821177
    -0.000916536    -0.000815864
     -0.00151918     -0.00156892
       0.0130625       0.0133537
     -0.00027436    -0.000442975
    -0.000865839    -0.000861966
    -0.000619226    -0.000737969
      0.00162021      0.00150114
    -0.000669754    -0.000920922
     -0.00136864     -0.00147231
    -0.000752019    -0.000629693
      0.00751251      0.00737486
     -0.00260746     -0.00257073
       0.0016059      0.00197154
      0.00872026      0.00822244
    -0.000833424     -0.00083079
      -0.0014993     -0.00149438
     -0.00397244     -0.00366158
     -0.00229705     -0.00232446
      0.00400932      0.00437947
      0.00171268      0.00233131
    -0.000654138    -0.000795223
    -0.000372105    -0.000445528
     -0.00202249     -0.00203708
     -0.00104739    -0.000923106
      0.00030885    -2.68114e-05
     -0.00215387      -0.0023524
     -0.00125085     -0.00125968
    -0.000174946    -0.000207988
    -0.000306038    -0.000335559
    -0.000475595    -0.000534058
    -0.000148923     -8.7369e-05
      0.00364258      0.00341515
    -0.000666631    -0.000715037
    -0.000493621    -0.000692249
      0.00113593     0.000890665
      0.00483134      0.00552309
    -0.000378586      -0.0004648
      0.00452783       0.0034663
    -0.000126843    -3.58756e-05
     0.000251477     0.000145978
     -0.00111543     -0.00128752
      0.00481122      0.00464907
    -0.000845203    -0.000748144
      0.00228185      0.00234069
     -0.00270253     -0.00270581
     -0.00091016    -0.000939023
      0.00126545     0.000382146
      0.00131547     0.000117257
    -0.000384673    -0.000303246
    -0.000843493    -0.000886526
     -0.00073156     -0.00118386
       0.0148377       0.0151645
    -0.000502756    -0.000195459
     -0.00374874     -0.00372056
    -0.000196727    -0.000104833
    -0.000716229    -0.000737798
     -0.00304857     -0.00329559
    -0.000876908    -0.000848998
    -0.000687212    -0.000810958
    -0.000558283    -0.000654448
      0.00181291     0.000692359
    -0.000522352    -0.000707528
     -0.00090483     -0.00101677
     -0.00101581      -0.0012695
       -0.001695      -0.0017491
     -0.00300518     -0.00361324
    -0.000477885    -0.000473302
      0.00336594      0.00216408
    -0.000536346    -0.000347307
      0.00640751      0.00605853
    -0.000710458    -0.000673771
     -0.00046153    -0.000410092
     -0.00195386     -0.00246791
     -0.00160255      -0.0016828
     0.000587919     0.000216512
      0.00056263     0.000300475
    -0.000804532    -0.000829862
     -0.00063636    -0.000681752
