# Eelst 		 Emultipole 
     -0.00217297      -0.00026522
      0.00009778       0.00022992
      0.00023540       0.00035713
     -0.00507925       0.00047209
     -0.00269051      -0.00027889
     -0.00037302      -0.00006803
     -0.00060216       0.00197666
     -0.00068923      -0.00015417
     -0.00085555      -0.00077459
     -0.00155650      -0.00022798
     -0.00688586       0.00040749
     -0.00028182      -0.00002351
     -0.00250649      -0.00068599
     -0.00452902      -0.00010789
     -0.00319015       0.00001708
     -0.00095852      -0.00034040
      0.00038719       0.00055553
     -0.00062519       0.00050071
      0.00031504       0.00070852
     -0.00756105       0.00012629
      0.00023287       0.00034880
     -0.00012736      -0.00002131
      0.00021941       0.00127009
     -0.00064724      -0.00000609
     -0.00032434       0.00011698
     -0.00029364      -0.00008242
     -0.00000173       0.00008477
     -0.00084376       0.00000768
     -0.01429378      -0.00216975
     -0.00008679      -0.00001083
     -0.00010641       0.00000840
     -0.00020919       0.00019040
     -0.00008624      -0.00004208
      0.00019273       0.00037908
     -0.00071924      -0.00023816
     -0.00015691       0.00001753
     -0.00381503      -0.00014103
     -0.00019372      -0.00011408
     -0.01054657      -0.00085004
     -0.00129375       0.00005430
     -0.00042792      -0.00035385
      0.00060585       0.00188083
     -0.00205707      -0.00062211
     -0.00240159      -0.00007078
     -0.00038890      -0.00018512
     -0.00002672       0.00002540
     -0.00802743       0.00069176
      0.00054393       0.00097342
      0.00010199       0.00012434
      0.00019505       0.00023409
     -0.00089418       0.00173254
     -0.00148586      -0.00025802
      0.00001859       0.00026623
     -0.00988731       0.00110352
     -0.00721874      -0.00214861
     -0.00667608      -0.00398060
     -0.00105943       0.00003449
     -0.00003967       0.00002672
     -0.00122104      -0.00028779
     -0.00005013       0.00018654
     -0.00576710       0.00039584
     -0.00007592      -0.00001840
     -0.00018671      -0.00013121
     -0.00286035      -0.00063894
     -0.00151749       0.00064078
     -0.00334337      -0.00040928
     -0.00323676      -0.00139933
     -0.00025772      -0.00006840
     -0.00897076      -0.00388746
      0.00028344       0.00197981
     -0.00321564       0.00058413
     -0.00198860      -0.00151767
     -0.00014785      -0.00011863
      0.00027053       0.00124019
      0.00036271       0.00070385
     -0.00671535      -0.00231222
     -0.00408202      -0.00011795
     -0.00044287      -0.00018734
     -0.00052516       0.00039800
     -0.00360052      -0.00061582
     -0.00009470       0.00019052
     -0.00020504       0.00000184
     -0.01823221      -0.00579480
     -0.00055033       0.00024851
     -0.00177205      -0.00019262
     -0.00013674       0.00011846
      0.00074478       0.00108086
     -0.01010295      -0.00447650
     -0.00062503      -0.00055951
      0.00020614       0.00027352
     -0.00425104       0.00037512
     -0.00053898       0.00004253
     -0.00015626      -0.00012008
     -0.00351571       0.00125247
     -0.00097386       0.00006069
     -0.00734685       0.00121572
     -0.00115422      -0.00017485
      0.00070549       0.00079668
     -0.00215829      -0.00048214
      0.00019237       0.00061680
     -0.00179106       0.00063239
      0.00022559       0.00034327
     -0.00125460      -0.00068402
     -0.00145710      -0.00031204
     -0.00458639       0.00042046
     -0.00016257       0.00017697
     -0.00318115       0.00023282
     -0.00043058       0.00014453
     -0.00014541      -0.00008647
     -0.00016000      -0.00009499
     -0.00207453      -0.00156236
     -0.00647961      -0.00073943
     -0.00054417      -0.00045519
     -0.00047902       0.00008172
      0.00054661       0.00076380
      0.00011955       0.00041575
     -0.00114332       0.00003981
      0.00007982       0.00021641
      0.00024441       0.00043236
     -0.00707996      -0.00052510
     -0.00819783       0.00322020
     -0.00080588       0.00051653
     -0.00018103      -0.00007118
     -0.00068131       0.00000586
     -0.00123636       0.00096508
     -0.00484968      -0.00138792
     -0.00016828      -0.00013647
     -0.00175852       0.00087630
      0.00036386       0.00071981
     -0.00047907       0.00074484
     -0.00083560      -0.00066083
     -0.00542193      -0.00069988
     -0.00084817      -0.00027942
     -0.00013944      -0.00010950
     -0.00042472      -0.00009894
     -0.00008293       0.00006828
     -0.00031382      -0.00008411
     -0.00102605       0.00062851
      0.00035469       0.00045676
     -0.00208857       0.00071145
     -0.00136526      -0.00106343
     -0.00151518      -0.00127043
     -0.00447024      -0.00084143
     -0.00013178      -0.00007092
     -0.00013623      -0.00010607
     -0.01076878       0.00128653
     -0.00108529       0.00025100
     -0.00034919       0.00065627
     -0.01184753      -0.00042991
     -0.00715626       0.00015320
     -0.00086326      -0.00078377
     -0.00339721      -0.00019055
     -0.00095924      -0.00016519
     -0.00098075       0.00030855
     -0.00034495      -0.00020850
     -0.00032482      -0.00008855
     -0.00163347       0.00201307
     -0.00017130      -0.00014224
     -0.00122733      -0.00013863
     -0.00189057      -0.00069318
     -0.00309357      -0.00028760
     -0.00097555      -0.00037178
     -0.00178136      -0.00007901
     -0.00001655       0.00010671
     -0.00575028       0.00102358
     -0.00026244       0.00034075
     -0.00007517      -0.00004503
     -0.00111378      -0.00078190
     -0.00028739      -0.00019121
     -0.00132070       0.00048429
     -0.00027346      -0.00007440
     -0.00019772      -0.00014756
     -0.00024077       0.00011320
      0.00015535       0.00019624
      0.00028419       0.00029268
     -0.00196976      -0.00010952
      0.00035626       0.00039494
     -0.00095874      -0.00080812
     -0.00075479      -0.00058317
     -0.00035609      -0.00030295
     -0.00414315      -0.00001865
     -0.00003817       0.00018502
     -0.00094329      -0.00049080
     -0.01047525       0.00231218
      0.00066410       0.00092778
     -0.00039678      -0.00018440
      0.00026153       0.00041350
     -0.00314990      -0.00011390
      0.00037846       0.00054243
     -0.00039262      -0.00033831
     -0.00077130      -0.00032663
     -0.00913296       0.00049570
     -0.00161784      -0.00140516
     -0.00030694       0.00172662
     -0.00733697       0.00043005
     -0.00038673      -0.00026893
