QM Energy	FF Energy
    -0.000132059    -0.000130695
     -3.9519e-05    -4.59847e-05
     -4.5392e-05    -4.99857e-05
    -0.000601038    -0.000690214
    -0.000197448    -0.000184635
     -2.8212e-05    -3.10156e-05
    -0.000282269    -0.000363925
     -4.1966e-05    -4.97476e-05
     -5.7996e-05     -4.5369e-05
     -0.00026617    -0.000249228
    -0.000818315    -0.000673639
     -2.7481e-05    -2.69052e-05
    -0.000239126    -0.000184751
    -0.000174422    -0.000206705
     -0.00017362    -0.000196379
      -5.525e-05    -6.21709e-05
     -6.0153e-05    -5.66821e-05
     -0.00030832    -0.000335489
    -0.000109625     -0.00011097
     -0.00113598     -0.00119042
     -3.9792e-05    -4.02874e-05
     -3.6335e-05    -3.66201e-05
    -0.000181617    -0.000191454
    -0.000105197    -0.000114482
      -8.115e-05    -9.16508e-05
     -2.3514e-05    -2.56033e-05
     -2.8097e-05    -2.95917e-05
    -0.000114798    -0.000108715
     -0.00135088     -0.00141854
     -1.6945e-05    -1.59493e-05
     -1.7616e-05    -1.69868e-05
     -7.8235e-05    -8.02836e-05
     -1.3425e-05    -1.27598e-05
     -3.7719e-05     -3.8759e-05
      -6.079e-05    -5.59062e-05
     -2.2092e-05    -2.15286e-05
     -0.00030123    -0.000388203
      -1.696e-05    -1.77425e-05
     -0.00147094     -0.00141046
     -9.0543e-05    -0.000126254
     -3.5418e-05    -3.30961e-05
    -0.000228531    -0.000243683
    -0.000211629    -0.000227178
    -0.000298806    -0.000312309
     -2.1764e-05    -2.40763e-05
     -1.6313e-05    -1.60123e-05
    -0.000688176    -0.000587493
    -0.000201212    -0.000210052
     -8.2902e-05    -6.82563e-05
     -2.7024e-05    -2.83996e-05
    -0.000215845    -0.000268785
    -0.000161449    -0.000149517
     -8.3977e-05    -7.85241e-05
    -0.000895243    -0.000700562
    -0.000634672     -0.00070885
    -0.000718392    -0.000670889
    -0.000190466    -0.000235052
     -1.4296e-05    -1.35181e-05
     -8.0507e-05     -9.2905e-05
     -7.5703e-05    -7.88997e-05
    -0.000671317    -0.000831438
     -2.7958e-05    -2.79068e-05
     -1.4157e-05    -1.30466e-05
     -0.00029836    -0.000307646
    -0.000205372    -0.000227161
    -0.000206381    -0.000182436
    -0.000233876    -0.000227649
     -5.4101e-05    -5.52377e-05
    -0.000916402    -0.000903482
     -0.00038612    -0.000432417
    -0.000429653    -0.000527142
    -0.000193717    -0.000159043
     -1.8586e-05    -1.86341e-05
    -0.000190318    -0.000203617
     -6.3391e-05    -6.43344e-05
    -0.000660038     -0.00073256
    -0.000127176    -0.000182539
      -3.226e-05    -3.62418e-05
    -0.000295417    -0.000317183
    -0.000260218    -0.000208917
     -4.6153e-05    -5.59312e-05
     -4.8912e-05    -4.63729e-05
     -0.00193845     -0.00180615
    -0.000170681    -0.000191889
    -0.000323485    -0.000337206
     -4.6403e-05    -5.34792e-05
    -0.000131633    -0.000114702
      -0.0011388     -0.00102081
     -3.2395e-05    -2.92191e-05
     -3.1808e-05     -3.1596e-05
    -0.000474136    -0.000586382
    -0.000112228    -0.000137413
     -1.2345e-05    -1.15758e-05
    -0.000399252      -0.0005723
    -0.000150323     -0.00019155
      -0.0015102     -0.00151079
     -7.2824e-05    -8.44994e-05
     -8.8515e-05    -7.23068e-05
    -0.000205111    -0.000211038
     -9.6421e-05    -9.05726e-05
     -0.00058365    -0.000648642
     -9.0968e-05    -9.81551e-05
