QM Energy	FF Energy
     -0.00197319     -0.00201553
     -0.00206746     -0.00196111
     -0.00334378     -0.00345004
      -0.0077249     -0.00793351
     -0.00130879     -0.00123459
     -0.00114183     -0.00105849
     -0.00383362     -0.00384125
    -0.000588507    -0.000597799
     -0.00215121     -0.00208081
     -0.00119205     -0.00113135
     -0.00204944     -0.00198885
     -0.00404533     -0.00398668
     -0.00332556     -0.00341115
     -0.00157455     -0.00152297
     -0.00218016     -0.00210244
      -0.0150984      -0.0155783
     -0.00125872     -0.00118293
     -0.00180024     -0.00176874
      -0.0106005       -0.010592
    -0.000558702    -0.000524962
     -0.00228081     -0.00225474
     -0.00079415    -0.000802318
     -0.00191083     -0.00180185
    -0.000892885    -0.000836367
     -0.00541978     -0.00518224
     -0.00357393     -0.00346649
    -0.000949609    -0.000920261
    -0.000925514    -0.000872824
     -0.00123503     -0.00116724
     -0.00795545     -0.00807134
     -0.00260978      -0.0025811
     -0.00147798     -0.00140146
    -0.000945459    -0.000899006
     -0.00329509     -0.00328619
     -0.00573985     -0.00564875
     -0.00576339     -0.00574083
     -0.00533937     -0.00521696
     -0.00590151     -0.00575678
     -0.00696745     -0.00693691
    -0.000893078    -0.000827144
     -0.00127948     -0.00127142
     -0.00105935     -0.00100014
     -0.00675995     -0.00670422
     -0.00124228     -0.00122049
     -0.00207356     -0.00196233
     -0.00366172      -0.0035024
     -0.00294819     -0.00296099
     -0.00123775     -0.00117635
     -0.00322077     -0.00313862
     -0.00226382     -0.00229645
      -0.0011939     -0.00118958
     -0.00289323     -0.00291314
     -0.00569709     -0.00565692
     -0.00526641     -0.00521378
     -0.00046906    -0.000466947
     -0.00226389     -0.00227127
      -0.0022625      -0.0022139
     -0.00063286    -0.000623352
     -0.00197185     -0.00195191
     -0.00302703      -0.0029894
     -0.00144002     -0.00141461
     -0.00164994      -0.0015865
     -0.00124225     -0.00116164
     -0.00387309     -0.00384246
     -0.00245414     -0.00234085
     -0.00182615     -0.00180813
     -0.00416626     -0.00416294
     -0.00352749     -0.00338351
     -0.00161936     -0.00159101
     -0.00325602     -0.00345008
    -0.000619481    -0.000569786
     -0.00505188     -0.00493936
     -0.00412736     -0.00414297
     -0.00270162     -0.00264011
     -0.00141111     -0.00133556
     -0.00651497     -0.00662965
     -0.00550948     -0.00535519
     -0.00376609     -0.00385395
     -0.00261636     -0.00254137
     -0.00349166     -0.00352667
     -0.00421896     -0.00428094
    -0.000838364    -0.000792754
     -0.00116394     -0.00111734
     -0.00971906     -0.00949222
     -0.00207898     -0.00196268
     -0.00388687      -0.0037793
     -0.00862169     -0.00856266
    -0.000797822     -0.00082734
     -0.00201984     -0.00212902
    -0.000678052    -0.000656687
     -0.00257655     -0.00257129
    -0.000985135    -0.000996879
       -0.002072       -0.002067
      -0.0012812     -0.00127259
    -0.000600735    -0.000591581
     -0.00193843     -0.00186018
      -0.0012411      -0.0012316
     -0.00191375      -0.0019202
     -0.00106173     -0.00111111
     -0.00372821     -0.00380342
     -0.00748201     -0.00739884
     -0.00250069     -0.00247201
     -0.00327892     -0.00325349
     -0.00169014      -0.0016039
     -0.00762485     -0.00739438
    -0.000688844    -0.000639236
     -0.00692294     -0.00718174
     -0.00432754     -0.00441098
      -0.0052493     -0.00515589
      -0.0024127     -0.00241852
     -0.00101931     -0.00096003
     -0.00203453     -0.00194531
     -0.00330109     -0.00335792
     -0.00425883     -0.00418467
    -0.000641853    -0.000612085
     -0.00372339       -0.003631
     -0.00191881     -0.00193908
     -0.00196119     -0.00199241
     -0.00205415     -0.00195382
     -0.00847297     -0.00863302
     -0.00624991     -0.00635605
     -0.00244771     -0.00249717
     -0.00191893     -0.00180938
      -0.0017773     -0.00186405
     -0.00139375     -0.00137149
     -0.00259775     -0.00248379
     -0.00191375     -0.00184716
    -0.000823484    -0.000784833
     -0.00130598      -0.0012297
     -0.00131932     -0.00125772
     -0.00115373     -0.00110741
    -0.000519457    -0.000494461
     -0.00365789     -0.00355888
     -0.00386191     -0.00371782
     -0.00162673     -0.00157663
     -0.00205389     -0.00197714
     -0.00113222     -0.00107438
     -0.00122872     -0.00116662
     -0.00436983     -0.00422412
    -0.000986773    -0.000933548
    -0.000884915    -0.000871808
     -0.00086554    -0.000874618
    -0.000691522     -0.00067781
    -0.000536121    -0.000543099
     -0.00617091     -0.00624152
     -0.00253093     -0.00241532
    -0.000692223    -0.000656392
      -0.0012521     -0.00126284
     -0.00208216     -0.00202387
     -0.00156069     -0.00148811
    -0.000941665    -0.000921853
     -0.00329663     -0.00318949
    -0.000626518    -0.000589675
     -0.00129207     -0.00130061
     -0.00201507      -0.0019606
     -0.00435795     -0.00427934
     -0.00440738     -0.00423445
     -0.00136871     -0.00131555
      -0.0054579     -0.00555058
      -0.0058763     -0.00600884
     -0.00597877     -0.00605742
    -0.000986579    -0.000921566
     -0.00243331         -0.0023
     -0.00367394     -0.00360982
    -0.000763605    -0.000701994
     -0.00214447     -0.00211209
     -0.00134435     -0.00137679
     -0.00662699     -0.00671514
     -0.00973161     -0.00987448
     -0.00286668     -0.00275219
     -0.00103925     -0.00104078
      -0.0045054     -0.00434497
     -0.00213898     -0.00203324
    -0.000627954    -0.000584144
     -0.00369985     -0.00362316
     -0.00150886     -0.00149404
     -0.00152022     -0.00142695
     -0.00103436    -0.000994863
     -0.00137807     -0.00138449
     -0.00491921     -0.00509824
     -0.00105017     -0.00102551
       -0.001005    -0.000959362
     -0.00359465     -0.00359265
    -0.000548305     -0.00050629
     -0.00411087     -0.00419966
     -0.00900049     -0.00912918
     -0.00123686     -0.00117352
     -0.00539515     -0.00541721
    -0.000508338    -0.000487832
     -0.00381041     -0.00377293
    -0.000858514    -0.000823235
     -0.00532078     -0.00523442
    -0.000847478    -0.000802304
     -0.00150286     -0.00142261
     -0.00383722      -0.0037476
      -0.0028965     -0.00278079
    -0.000678195    -0.000641205
    -0.000711527    -0.000697332
     -0.00674806     -0.00684688
     -0.00163803     -0.00158986
     -0.00781049     -0.00805549
     -0.00072888    -0.000750373
    -0.000637619    -0.000600618
     -0.00103233    -0.000969992
     -0.00557256      -0.0055483
     -0.00161569     -0.00157507
     -0.00639158     -0.00627961
    -0.000900055    -0.000840944
     -0.00295949     -0.00291606
    -0.000901203     -0.00090077
     -0.00101614     -0.00102622
     -0.00142193     -0.00148006
     -0.00280216     -0.00283401
    -0.000601341    -0.000603496
      -0.0023585     -0.00231743
    -0.000617624    -0.000627068
     -0.00764596     -0.00769215
      -0.0008811     -0.00081331
    -0.000730905    -0.000731289
     -0.00357678     -0.00342662
    -0.000696718    -0.000655665
     -0.00317807     -0.00307648
     -0.00146528      -0.0014919
     -0.00102356      -0.0010259
      -0.0016222     -0.00152533
     -0.00136019     -0.00140013
     -0.00280405      -0.0027477
     -0.00202389     -0.00192226
     -0.00122502     -0.00117982
    -0.000849266    -0.000786126
    -0.000836237    -0.000784311
    -0.000780158    -0.000721071
     -0.00632375      -0.0064211
    -0.000755814    -0.000716115
     -0.00706225     -0.00708306
     -0.00304149     -0.00292178
     -0.00612617      -0.0060295
     -0.00152265     -0.00148741
     -0.00416259     -0.00408344
     -0.00277898     -0.00272574
     -0.00116118     -0.00109954
     -0.00272048     -0.00270611
     -0.00371443     -0.00357166
    -0.000720256    -0.000724947
      -0.0023973     -0.00235718
      -0.0100531      -0.0100598
     -0.00909729     -0.00899792
     -0.00498192     -0.00476671
     -0.00206946     -0.00200061
    -0.000519105    -0.000515947
    -0.000757262    -0.000725072
     -0.00103149    -0.000962643
     -0.00711958     -0.00686947
     -0.00050956    -0.000490808
     -0.00241929     -0.00241555
    -0.000656705     -0.00067677
      -0.0012093     -0.00116426
    -0.000633368    -0.000604896
     -0.00423669     -0.00417813
    -0.000862019    -0.000811392
     -0.00283103      -0.0027952
     -0.00092058    -0.000855688
     -0.00599873     -0.00587267
     -0.00527465     -0.00512404
    -0.000667776    -0.000655311
      -0.0136094      -0.0141881
    -0.000805814    -0.000757409
     -0.00436675     -0.00416381
     -0.00467552     -0.00459254
     -0.00441746      -0.0042926
     -0.00277368     -0.00275486
