QM Energy	FF Energy
     -0.00136581     -0.00157106
     -3.6721e-05    -4.29643e-05
    -0.000153243    -0.000203083
    -0.000325426     -0.00031501
     -1.3755e-05     -1.9032e-05
     -1.0212e-05    -1.12499e-05
      -2.034e-05    -2.38371e-05
     -0.00020008     -0.00021162
     -3.5986e-05    -4.46361e-05
      -4.736e-06    -6.41437e-06
    -0.000110187    -0.000135863
    -0.000528954    -0.000524409
      -5.769e-06      -5.259e-06
     -2.3978e-05    -3.01523e-05
       -3.81e-06    -7.68175e-06
     -8.6265e-05    -8.54861e-05
    -0.000659131    -0.000586336
    -0.000193502    -0.000220179
     -8.2163e-05    -0.000143739
    -0.000275997    -0.000254455
      -7.894e-06    -1.10444e-05
     -8.4226e-05    -9.52786e-05
    -0.000687246     -0.00061334
     -1.1159e-05    -1.43866e-05
     -2.2694e-05    -3.11802e-05
      -2.077e-06    -5.18486e-06
     -0.00107747      -0.0010259
    -0.000103579     -0.00011819
     -0.00104917     -0.00100097
      -8.874e-06     -1.3777e-05
     -0.00163549     -0.00170357
     -8.9385e-05    -9.94496e-05
     -7.6348e-05     -8.8696e-05
     -3.3568e-05    -5.61217e-05
    -0.000118981     -0.00012684
       -3.87e-06    -8.30005e-06
     -0.00246961     -0.00199009
     -0.00020776     -0.00021094
      -2.772e-06    -4.67847e-06
      -9.438e-06    -1.12695e-05
      -5.269e-06    -8.70036e-06
    -0.000595645    -0.000539769
      -1.169e-05    -1.62566e-05
    -0.000126259    -0.000144077
    -0.000348084    -0.000352202
     -1.2141e-05    -1.91471e-05
     -2.2422e-05    -3.46888e-05
    -0.000317833    -0.000268149
     -1.2879e-05    -1.63182e-05
     -6.3221e-05    -6.95982e-05
     -1.5792e-05    -2.28802e-05
    -0.000808342    -0.000787318
     -5.5393e-05    -7.76793e-05
     -9.3625e-05    -0.000103466
     -1.1094e-05    -1.72069e-05
     -1.6684e-05    -3.09267e-05
     -0.00026737    -0.000298163
      -5.073e-06    -8.01887e-06
    -0.000138712    -0.000151688
     -0.00112708    -0.000864195
     -2.9509e-05    -3.83781e-05
      -5.274e-06    -6.99488e-06
     -4.8243e-05     -6.8789e-05
    -0.000110148     -0.00011999
     -3.8008e-05    -5.24197e-05
      -4.599e-06    -9.03773e-06
      -4.075e-06    -3.60943e-06
    -0.000661352    -0.000679179
    -0.000116237    -0.000127823
    -0.000608142    -0.000582225
    -0.000723418    -0.000777002
     -3.8733e-05    -2.73926e-05
      -6.846e-06    -7.86816e-06
    -0.000112951    -6.96668e-05
    -0.000564421    -0.000518402
    -0.000265422    -0.000254867
    -0.000541023    -0.000484968
    -0.000235015    -0.000287942
    -0.000176288    -0.000181128
     -6.2085e-05    -8.40624e-05
      -5.973e-06    -9.33544e-06
    -0.000386009     -0.00032548
     -0.00047167    -0.000396019
    -0.000626448    -0.000568272
     -3.5313e-05    -4.20259e-05
    -0.000356153    -0.000307481
       -1.22e-06    -3.48553e-06
     -3.4416e-05    -4.43143e-05
     -2.0018e-05    -2.42921e-05
     -2.9545e-05    -3.99388e-05
    -0.000198266    -0.000222276
    -0.000318865    -0.000265404
     -0.00186505     -0.00159087
      -5.829e-06    -7.99999e-06
     -0.00133375     -0.00128315
     -1.5796e-05    -2.04919e-05
       -0.001601      -0.0013338
       -3.03e-06    -6.81998e-06
    -0.000337388    -0.000339832
     -6.5652e-05    -8.59563e-05
     -4.1709e-05    -4.35893e-05
      -7.165e-06    -1.08463e-05
    -0.000985803    -0.000834262
    -0.000421811    -0.000413616
     -9.6908e-05    -0.000111186
     -9.1409e-05    -0.000122212
     -6.1029e-05    -8.07612e-05
     -5.1098e-05    -6.52026e-05
    -0.000100091    -9.13566e-05
    -0.000282587    -0.000290016
     -2.4895e-05    -2.31789e-05
      -7.919e-06    -1.22316e-05
    -0.000407127    -0.000366049
     -1.7022e-05    -1.19769e-05
    -0.000199983    -0.000211015
      -7.504e-06    -9.45333e-06
    -0.000557966    -0.000693509
    -0.000522449    -0.000492638
       -4.34e-06    -9.04423e-06
    -0.000267584    -0.000288052
      -9.942e-06    -1.87963e-05
     -0.00122651     -0.00128981
     -1.1236e-05    -1.54918e-05
     -1.6412e-05    -2.05267e-05
    -0.000322303    -0.000272215
      -7.126e-06    -8.95017e-06
    -0.000212247    -0.000156025
       -7.95e-06    -9.65202e-06
    -0.000259434    -0.000275592
       -3.52e-06    -5.18591e-06
    -0.000491084    -0.000468044
    -0.000103786    -0.000114262
    -0.000210377    -0.000215351
    -0.000386262    -0.000443561
      -6.884e-06    -1.02723e-05
      -3.571e-06     -6.7302e-06
     -1.0884e-05    -1.54489e-05
    -0.000233653    -0.000198782
    -0.000637687    -0.000557401
     -1.1734e-05    -1.92536e-05
    -0.000698461    -0.000756651
    -0.000195874    -0.000188288
      -8.627e-06    -1.67376e-05
     -4.6225e-05     -6.0157e-05
    -0.000154623    -0.000158049
      -7.842e-06    -1.08714e-05
      -6.094e-06    -1.10998e-05
     -1.1899e-05    -1.64122e-05
    -0.000489787    -0.000464991
     -3.0891e-05    -3.88994e-05
      -1.034e-05    -1.52646e-05
     -0.00117315     -0.00141153
     -2.9518e-05    -4.32913e-05
     -1.3597e-05      -2.316e-05
      -3.664e-06    -6.34934e-06
    -0.000117316    -0.000126434
     -3.5802e-05    -5.29572e-05
    -0.000725661    -0.000819524
    -0.000764528    -0.000792862
      -0.0001017    -9.56144e-05
    -0.000245972    -0.000244504
     -0.00110291     -0.00100188
     -2.7228e-05    -3.92247e-05
    -0.000173137    -0.000144287
     -1.3091e-05    -2.43208e-05
    -0.000821729     -0.00067602
      -2.807e-06    -4.52417e-06
    -0.000917432    -0.000721506
      -1.595e-06     -3.8279e-06
    -0.000234038    -0.000217436
       -9.62e-06    -1.16079e-05
    -0.000272715    -0.000270343
      -8.802e-06    -1.11127e-05
     -2.6805e-05    -3.07968e-05
    -0.000118316     -0.00013842
    -0.000199671    -0.000267738
      -7.064e-06    -1.30578e-05
     -0.00012131    -0.000139419
     -0.00108329     -0.00111271
      -9.115e-06    -1.50787e-05
     -1.4916e-05    -2.00407e-05
      -2.008e-06    -3.85464e-06
    -0.000732278    -0.000545801
     -1.6835e-05    -2.53432e-05
    -0.000107717    -0.000139485
     -0.00011646    -0.000133395
      -6.243e-06    -8.78579e-06
     -0.00024823    -0.000300716
      -1.948e-06      -4.319e-06
      -1.446e-05    -1.80082e-05
    -0.000159231    -0.000128272
    -0.000115437    -0.000121312
     -1.4114e-05    -1.70535e-05
    -0.000210846    -0.000213693
     -0.00115062     -0.00157376
    -0.000117456    -0.000125422
     -2.5218e-05     -3.5477e-05
    -0.000723828    -0.000679587
       -8.86e-06    -1.04923e-05
    -0.000188829    -0.000188036
      -7.344e-06     -1.2306e-05
    -0.000385631    -0.000459779
      -7.656e-06    -1.01016e-05
    -0.000573667    -0.000522326
     -0.00161948     -0.00148609
     -4.6648e-05    -5.15485e-05
    -0.000391592    -0.000350756
    -0.000543942     -0.00045139
     -4.0377e-05     -5.1841e-05
      -4.366e-05    -4.98326e-05
     -8.6728e-05    -9.83198e-05
     -1.0964e-05    -1.63504e-05
    -0.000854444    -0.000903196
     -5.5767e-05    -7.97173e-05
     -0.00017221    -0.000187796
    -0.000864197    -0.000733797
     -0.00113155     -0.00116838
    -0.000104838    -0.000136628
    -0.000202461    -0.000243429
     -3.9676e-05    -5.19543e-05
    -0.000267176    -0.000243042
       -1.65e-06    -4.04765e-06
     -7.6775e-05    -8.49502e-05
      -9.821e-06    -1.60526e-05
     -0.00153872     -0.00127512
    -0.000739189     -0.00086188
      -3.721e-06    -6.59227e-06
    -0.000259681    -0.000269859
    -0.000188453    -0.000204225
     -0.00174854     -0.00204953
    -0.000187651    -0.000210185
     -2.4496e-05    -3.51946e-05
     -2.8541e-05      -3.498e-05
     -0.00022325    -0.000218264
     -3.9579e-05    -4.78777e-05
    -0.000474419    -0.000524234
    -0.000158514    -0.000203805
     -4.2289e-05    -4.99201e-05
     -0.00064792    -0.000608549
    -0.000222767    -0.000233941
    -0.000224405    -0.000242252
     -5.6663e-05    -6.56463e-05
    -0.000373574    -0.000368972
     -2.1066e-05    -2.83574e-05
     -1.5929e-05    -2.11157e-05
     -4.4433e-05    -5.61805e-05
     -8.3765e-05    -9.69668e-05
     -0.00137613        -0.00119
    -0.000510062    -0.000493729
     -0.00142259     -0.00118471
      -7.306e-06     -1.0396e-05
     -0.00020489    -0.000230151
     -1.7196e-05    -1.33757e-05
    -0.000112156    -0.000124104
     -2.2528e-05    -2.23854e-05
    -0.000959421     -0.00096708
     -0.00220448     -0.00215847
     -3.5174e-05    -4.38938e-05
     -0.00064902     -0.00054126
    -0.000118972    -0.000155884
    -0.000161719    -0.000141753
      -6.019e-06    -8.61735e-06
     -0.00161625       -0.001631
     -7.5377e-05    -8.64581e-05
     -7.1596e-05    -7.10166e-05
     -0.00101029     -0.00101298
     -2.5247e-05    -3.42379e-05
     -5.3405e-05    -5.65832e-05
     -5.3038e-05    -7.10618e-05
     -3.1595e-05    -4.09963e-05
     -7.3926e-05    -8.65477e-05
      -9.379e-06    -1.42172e-05
     -1.1769e-05    -1.49712e-05
    -0.000931588    -0.000926195
     -4.2383e-05    -5.62581e-05
      -2.225e-05    -2.73905e-05
     -1.1139e-05    -1.32098e-05
    -0.000677533    -0.000815617
     -7.9797e-05    -9.79011e-05
     -0.00117211      -0.0012123
    -0.000593051    -0.000686796
     -1.2108e-05    -1.94649e-05
     -1.9558e-05    -2.62234e-05
     -5.7054e-05    -6.52377e-05
      -3.206e-05    -3.47922e-05
    -0.000168378    -0.000188677
    -0.000185122    -0.000220179
    -0.000115366     -0.00014503
     -0.00160819     -0.00125287
    -0.000307977    -0.000280445
    -0.000296872    -0.000428458
     -3.5807e-05    -3.89003e-05
     -0.00037369    -0.000379069
     -5.8917e-05    -5.95904e-05
     -8.7148e-05    -9.65799e-05
     -5.0121e-05    -7.13173e-05
     -3.3565e-05    -3.82095e-05
      -0.0010313    -0.000706514
    -0.000109186    -0.000108091
    -0.000261399    -0.000239207
     -2.2795e-05    -3.29301e-05
    -0.000814299    -0.000748131
      -1.421e-05    -1.86407e-05
    -0.000578944    -0.000492637
     -1.0971e-05    -1.54402e-05
     -3.2072e-05    -3.60275e-05
    -0.000441458    -0.000424144
       -4.13e-06    -5.44448e-06
     -0.00083411     -0.00054289
     -2.7395e-05    -3.47734e-05
     -3.5608e-05    -4.32524e-05
     -2.8585e-05    -3.67742e-05
     -6.0462e-05    -7.92177e-05
     -0.00102153    -0.000853417
    -0.000129111    -0.000153237
      -7.352e-06    -1.26801e-05
    -0.000937661    -0.000779628
      -7.228e-06    -1.05271e-05
    -0.000620155    -0.000705435
      -6.421e-06    -1.06993e-05
    -0.000244173     -0.00021582
      -5.144e-06    -8.70701e-06
    -0.000141994      -0.0001492
     -2.5136e-05    -3.17091e-05
    -0.000554302    -0.000610701
    -0.000475173    -0.000314635
      -5.813e-06    -8.04859e-06
    -0.000140197    -0.000150707
      -8.817e-06    -1.45329e-05
       -9.41e-06    -1.47561e-05
     -0.00011992    -0.000119876
    -0.000138596    -0.000121435
      -5.323e-06    -6.22497e-06
    -0.000850283    -0.000827484
     -0.00124311     -0.00130666
      -6.516e-06    -9.12004e-06
      -7.576e-06    -9.60185e-06
     -3.4334e-05    -4.74757e-05
     -1.7563e-05    -1.42461e-05
     -1.0161e-05    -1.68882e-05
     -2.1063e-05    -3.01044e-05
     -0.00150665     -0.00190482
     -0.00144718      -0.0014492
      -1.121e-05    -1.91947e-05
      -8.593e-06    -1.12372e-05
     -0.00018425    -0.000152019
     -1.3523e-05    -1.64134e-05
     -0.00091416    -0.000704778
    -0.000121088    -0.000117224
     -0.00015785    -0.000184259
    -0.000584771    -0.000567166
    -0.000754642    -0.000723687
      -7.546e-06    -5.96413e-06
    -0.000179229    -0.000140243
     -5.9127e-05    -6.67314e-05
    -0.000545334    -0.000523232
    -0.000700613    -0.000645527
      -7.286e-06    -8.70043e-06
     -2.5071e-05    -3.07003e-05
    -0.000483549    -0.000547493
      -7.102e-06    -1.01007e-05
    -0.000509895    -0.000524118
      -9.541e-06    -1.49124e-05
     -2.3109e-05    -3.22528e-05
      -8.385e-06    -1.14197e-05
     -0.00104661     -0.00124389
     -2.3187e-05    -2.81282e-05
    -0.000138051    -0.000170229
    -0.000114809    -0.000111806
      -2.603e-06    -4.56716e-06
     -0.00164122     -0.00163193
      -8.921e-06    -1.31093e-05
     -7.3022e-05    -9.33854e-05
    -0.000881555    -0.000829991
      -4.975e-06     -8.5126e-06
      -3.868e-06     -6.6566e-06
     -0.00178825     -0.00278958
      -3.246e-06    -6.39042e-06
     -3.3538e-05    -3.99117e-05
    -0.000218209    -0.000243721
    -0.000850409    -0.000867426
     -6.3272e-05     -7.1301e-05
     -1.8018e-05    -2.12348e-05
      -2.745e-06    -3.60477e-06
     -0.00103122    -0.000897396
     -7.1186e-05    -8.27083e-05
     -9.0318e-05    -0.000103443
     -5.4816e-05    -6.98608e-05
     -8.4633e-05    -0.000111155
     -3.7498e-05    -3.80322e-05
     -1.4321e-05     -2.0145e-05
     -3.7755e-05    -4.69408e-05
    -0.000185819    -0.000192387
     -1.4277e-05    -1.61495e-05
      -8.415e-06     -1.1487e-05
     -4.6276e-05    -5.75129e-05
     -1.2229e-05    -1.94616e-05
    -0.000223842     -0.00027797
     -0.00151694     -0.00126161
     -5.4588e-05    -7.05949e-05
     -0.00172212      -0.0015403
      -5.007e-06     -9.0864e-06
     -8.9943e-05    -0.000107679
    -0.000623587    -0.000517903
      -7.585e-06    -1.05202e-05
     -6.7598e-05    -8.75634e-05
     -4.6872e-05    -5.62088e-05
    -0.000571811    -0.000530949
     -4.3627e-05    -5.95885e-05
    -0.000287678    -0.000260922
    -0.000642748    -0.000612473
     -0.00104262    -0.000901443
      -7.366e-06    -8.44273e-06
      -5.613e-06    -1.00621e-05
     -0.00038734    -0.000358721
    -0.000296079    -0.000318922
     -3.8397e-05     -4.8677e-05
    -0.000288786    -0.000254235
     -3.3593e-05    -3.94826e-05
      -0.0011202     -0.00130529
    -0.000606907    -0.000603155
    -0.000370302     -0.00042649
     -3.0857e-05    -4.36832e-05
    -0.000890454     -0.00107069
       -2.52e-06    -4.85017e-06
    -0.000100796    -0.000123434
     -0.00104167     -0.00113077
    -0.000581084    -0.000688065
      -3.033e-06    -4.58744e-06
     -0.00057845    -0.000683368
     -1.6776e-05    -2.55872e-05
     -9.5819e-05    -0.000123134
    -0.000854734    -0.000836844
      -9.003e-06    -1.60039e-05
     -5.2989e-05    -6.39338e-05
     -1.9171e-05    -2.42676e-05
     -0.00167915     -0.00161937
     -8.8633e-05    -0.000103229
      -0.0023363     -0.00269669
     -0.00094956    -0.000732461
     -0.00138178     -0.00124608
    -0.000776023    -0.000688446
    -0.000130522    -0.000162051
    -0.000316116    -0.000294718
     -8.4909e-05    -0.000112673
     -3.5006e-05    -4.22816e-05
    -0.000226193    -0.000225789
      -3.007e-06    -4.66996e-06
     -8.5947e-05    -0.000108269
      -5.576e-06    -8.49506e-06
     -0.00120441    -0.000950057
    -0.000590669    -0.000563581
