QM Energy	FF Energy
    -0.000144344    -0.000126185
    -0.000126049     -0.00011866
    -0.000132497    -0.000188881
    -0.000207115    -0.000196908
      -6.733e-06    -1.07494e-05
    -0.000746601    -0.000636512
      -4.763e-06    -1.10569e-05
     -5.1995e-05    -6.50034e-05
    -0.000430436    -0.000463699
     -1.3736e-05    -1.71335e-05
     -3.6637e-05    -5.69114e-05
    -0.000173635    -0.000244501
     -0.00104057     -0.00102682
    -0.000808303    -0.000713787
    -0.000303835    -0.000243195
     -5.3025e-05    -6.75393e-05
       -3.07e-05    -2.44766e-05
     -0.00106505    -0.000821927
     -1.5405e-05    -2.18759e-05
    -0.000156212    -0.000171998
    -0.000135025    -0.000149918
     -8.9629e-05    -0.000123239
    -0.000319008    -0.000305214
    -0.000674282    -0.000539034
      -1.743e-06    -4.32765e-06
     -6.3982e-05    -6.75762e-05
     -1.3889e-05    -1.73429e-05
    -0.000151909    -0.000207044
    -0.000139075    -0.000206083
     -4.1391e-05    -5.75746e-05
      -9.744e-06    -1.79359e-05
      -5.333e-06    -1.04539e-05
    -0.000277497    -0.000270609
    -0.000840045    -0.000816189
    -0.000934772    -0.000856069
     -4.4827e-05    -4.72323e-05
      -3.326e-06    -4.54254e-06
      -2.726e-06    -4.32056e-06
      -3.482e-06    -5.65918e-06
       -1.05e-05     -2.0165e-05
     -5.4432e-05    -4.20354e-05
      -5.269e-06    -8.80238e-06
    -0.000111471    -0.000120959
      -4.379e-06    -9.41185e-06
     -0.00106627    -0.000882121
    -0.000143662    -0.000184144
      -1.325e-05    -2.60156e-05
    -0.000648621    -0.000564409
    -0.000457152    -0.000334989
     -1.9991e-05    -1.68314e-05
     -2.2745e-05    -3.36072e-05
    -0.000132348     -0.00013989
    -0.000814725    -0.000934325
       -7.94e-06    -9.89714e-06
     -6.7069e-05    -7.82624e-05
     -3.2909e-05    -4.98344e-05
     -1.1726e-05    -2.12827e-05
      -4.185e-06    -5.73757e-06
     -2.3693e-05    -3.34423e-05
     -5.8956e-05    -9.28948e-05
    -0.000501584    -0.000513617
     -3.3615e-05     -3.2866e-05
