QM Energy	FF Energy
     -9.7378e-05    -0.000111581
     -6.0051e-05    -6.93595e-05
     -8.0837e-05    -8.48678e-05
    -0.000368569     -0.00036617
    -0.000576006    -0.000554346
    -0.000109174    -0.000118951
     -2.9302e-05    -3.48829e-05
      -4.799e-06    -8.62868e-06
     -7.5231e-05    -8.93041e-05
    -0.000539138    -0.000553326
      -3.205e-06    -4.04957e-06
     -3.4005e-05     -4.3473e-05
    -0.000584941     -0.00056493
    -0.000760798    -0.000677492
    -0.000643488    -0.000594151
      -3.063e-06    -6.54847e-06
      -6.706e-06     -8.9991e-06
    -0.000207092    -0.000210654
    -0.000722947    -0.000842044
    -0.000139347    -0.000178073
    -0.000367217    -0.000385797
      -5.684e-06    -7.45166e-06
     -0.00151252      -0.0014498
      -8.465e-06    -1.30524e-05
      -5.664e-06    -8.02452e-06
    -0.000273247    -0.000324606
      -3.717e-06     -4.8682e-06
    -0.000281846    -0.000288285
    -0.000349714    -0.000350478
     -3.6264e-05    -4.75959e-05
      -2.284e-06    -5.22998e-06
     -1.3902e-05    -2.22041e-05
      -4.592e-06     -7.7885e-06
      -3.543e-06    -5.43194e-06
      -1.448e-05    -2.31003e-05
     -2.0637e-05    -3.45241e-05
     -9.0719e-05     -0.00010262
       -6.02e-06    -1.10103e-05
     -0.00135519     -0.00132521
      -0.0001239    -0.000135149
      -8.726e-06    -1.69844e-05
    -0.000875547     -0.00109597
     -5.6262e-05    -8.15207e-05
     -2.5219e-05    -3.14128e-05
    -0.000174404    -0.000213899
       -3.16e-06    -4.31815e-06
      -2.774e-06    -4.86399e-06
      -0.0011504     -0.00146841
     -1.0227e-05    -1.31917e-05
    -0.000323925    -0.000322474
     -8.4715e-05     -0.00012331
     -0.00016207    -0.000179459
       -5.52e-05    -7.83589e-05
     -6.2445e-05     -7.0859e-05
    -0.000112862    -0.000139006
      -7.815e-06     -9.8774e-06
    -0.000353393    -0.000372321
    -0.000703873    -0.000789268
    -0.000672225    -0.000690943
      -3.623e-06    -7.02988e-06
     -1.0674e-05    -1.93712e-05
      -5.388e-06    -8.06964e-06
     -1.4449e-05    -2.26017e-05
    -0.000900886    -0.000980773
    -0.000668277    -0.000644107
    -0.000540418    -0.000556048
    -0.000386935    -0.000397133
     -7.2724e-05    -7.85661e-05
     -6.8019e-05     -7.8875e-05
    -0.000117438    -0.000131036
     -1.6573e-05    -1.95609e-05
     -3.1124e-05    -4.83367e-05
     -0.00110015     -0.00104458
      -7.163e-06    -9.25367e-06
     -0.00148152     -0.00139561
    -0.000296531    -0.000297923
     -3.7536e-05    -4.57233e-05
      -3.047e-05    -4.12723e-05
