QM Energy	FF Energy
     -4.9782e-05    -6.47819e-05
     -3.0619e-05    -7.34234e-05
     -2.9451e-05    -6.66101e-05
     -7.8248e-05    -0.000209702
    -0.000107626    -0.000265031
     -4.0949e-05    -9.43966e-05
     -1.9063e-05    -3.15469e-05
     -1.8842e-05    -2.60938e-05
     -3.9976e-05    -8.23637e-05
    -0.000191678    -0.000248239
      -7.201e-06    -1.17001e-05
     -2.6241e-05    -5.16624e-05
    -0.000212534    -0.000317634
    -0.000144058    -0.000300963
    -0.000126552    -0.000263838
     -1.8605e-05    -2.88289e-05
      -7.962e-06    -1.17891e-05
      -5.682e-05    -0.000111169
      -0.0011592     -0.00134434
     -0.00016361    -0.000219527
    -0.000138546    -0.000272104
      -7.201e-06    -1.12576e-05
    -0.000519246    -0.000654274
     -1.5919e-05    -2.24477e-05
     -1.0963e-05    -2.27328e-05
    -0.000356828    -0.000532361
     -1.0615e-05    -1.61804e-05
    -0.000130944    -0.000252673
     -6.8777e-05    -0.000205502
     -3.3656e-05    -4.31155e-05
      -1.921e-05    -2.92668e-05
      -3.322e-05     -5.2066e-05
      -2.543e-05    -3.46871e-05
      -1.024e-05    -1.50036e-05
     -3.5546e-05    -5.18665e-05
     -4.9944e-05    -7.54046e-05
     -4.0956e-05    -5.95845e-05
     -2.0146e-05    -3.05501e-05
    -0.000376474    -0.000486988
     -4.8345e-05    -7.43677e-05
      -3.408e-05    -5.22586e-05
     -0.00104866     -0.00113677
     -7.6227e-05     -0.00011066
      -1.986e-05    -3.45354e-05
     -0.00014703    -0.000181307
      -8.243e-06    -1.55078e-05
     -1.3452e-05    -1.73395e-05
     -0.00182803     -0.00165707
     -1.0619e-05    -1.62297e-05
     -8.7318e-05    -0.000167979
    -0.000125564    -0.000199858
     -6.2346e-05    -0.000117919
    -0.000118731     -0.00015313
     -3.1974e-05    -5.08956e-05
     -9.1833e-05    -0.000133268
     -1.0017e-05    -1.74323e-05
    -0.000174904    -0.000253066
     -0.00118686     -0.00145105
    -0.000285116    -0.000304883
      -1.744e-05    -2.51631e-05
      -4.595e-05    -6.62498e-05
      -9.648e-06    -1.44954e-05
     -4.0814e-05    -6.14006e-05
    -0.000654572    -0.000675239
    -0.000142852    -0.000275333
    -0.000210081    -0.000270247
     -0.00010629    -0.000243278
     -3.3593e-05    -7.00761e-05
     -4.0914e-05    -6.98857e-05
     -7.6365e-05    -0.000146582
      -1.353e-05    -2.16329e-05
     -7.5864e-05    -0.000107105
    -0.000300134    -0.000464946
      -8.615e-06    -1.42577e-05
    -0.000738425    -0.000866842
     -6.5578e-05    -0.000144561
     -2.4621e-05    -4.76717e-05
     -4.7998e-05    -7.68179e-05
    -0.000227948    -0.000314376
     -2.6276e-05    -5.07363e-05
    -0.000162395    -0.000364377
     -2.2299e-05    -4.54708e-05
    -0.000158668    -0.000277776
     -0.00019371    -0.000367187
    -0.000101051     -0.00012892
    -0.000156394    -0.000255278
    -0.000174284    -0.000256178
       -7.46e-06    -1.11635e-05
    -0.000487232    -0.000593592
     -3.9715e-05     -6.4638e-05
     -6.7879e-05    -9.89068e-05
    -0.000490098    -0.000771712
      -8.504e-06    -1.53096e-05
     -0.00237502     -0.00156096
     -1.6653e-05    -2.73391e-05
      -8.677e-06    -1.30255e-05
     -4.2559e-05    -9.55642e-05
     -4.1532e-05    -6.73126e-05
     -1.5918e-05    -2.09846e-05
    -0.000420657    -0.000599578
    -0.000731476    -0.000725384
     -2.4868e-05    -3.67542e-05
     -5.9789e-05    -0.000101611
     -2.9297e-05    -5.36836e-05
      -1.198e-05    -1.85738e-05
     -2.9482e-05    -6.87757e-05
      -8.741e-06    -1.60406e-05
     -6.8787e-05    -8.98698e-05
     -2.0773e-05    -2.74641e-05
     -0.00051421    -0.000671571
      -8.047e-06        -1.2e-05
    -0.000204473    -0.000297071
    -0.000114591    -0.000155944
     -5.7982e-05    -7.91869e-05
    -0.000586767    -0.000603749
     -5.5783e-05    -9.30405e-05
     -1.0118e-05     -1.6409e-05
    -0.000633661    -0.000926039
      -7.551e-05    -9.87508e-05
     -1.3995e-05    -2.15285e-05
     -1.6945e-05    -2.16691e-05
     -3.6299e-05    -7.18316e-05
    -0.000513226    -0.000616677
    -0.000476084    -0.000529374
    -0.000101097    -0.000192674
     -1.5415e-05    -2.85757e-05
     -2.1731e-05    -4.80784e-05
     -1.1171e-05    -1.84896e-05
     -2.9627e-05    -4.59775e-05
     -1.9337e-05    -3.40454e-05
     -0.00026533    -0.000383164
      -9.102e-06    -1.77077e-05
     -4.2968e-05    -0.000112775
     -1.6327e-05    -3.05603e-05
      -5.365e-05    -0.000111727
     -6.4184e-05    -8.21693e-05
     -1.4694e-05    -2.35822e-05
     -8.3162e-05    -0.000138268
    -0.000818325    -0.000901898
     -0.00018229    -0.000411618
     -7.0742e-05    -0.000104009
     -1.4935e-05    -2.94363e-05
     -2.0993e-05    -2.77256e-05
     -3.4214e-05    -8.34813e-05
      -7.568e-06    -1.23484e-05
      -7.152e-05    -0.000109814
    -0.000349651    -0.000541274
    -0.000285442    -0.000394531
    -0.000378237    -0.000529852
     -3.3694e-05    -4.52567e-05
    -0.000184402    -0.000273636
     -2.0743e-05    -2.88441e-05
    -0.000128751    -0.000168369
     -1.4357e-05    -3.01068e-05
     -1.9571e-05    -3.52288e-05
     -6.1873e-05    -0.000128231
    -0.000297859    -0.000376474
    -0.000316953    -0.000451574
     -2.3605e-05    -3.38533e-05
    -0.000197239    -0.000369918
    -0.000208131    -0.000399171
     -1.4674e-05    -1.95743e-05
     -2.3511e-05    -4.92865e-05
     -2.6575e-05    -4.13482e-05
     -2.2472e-05    -3.38553e-05
    -0.000277237    -0.000421528
     -4.8426e-05    -6.79824e-05
     -5.9442e-05    -8.56923e-05
     -8.4258e-05    -0.000128013
     -7.7675e-05    -0.000111494
     -3.1957e-05    -4.75914e-05
     -1.6739e-05    -2.16313e-05
    -0.000470574    -0.000610857
     -3.7795e-05    -7.89551e-05
    -0.000975897    -0.000912405
    -0.000306716    -0.000414289
     -1.5914e-05    -2.53975e-05
     -1.0903e-05       -1.99e-05
     -9.3222e-05    -0.000158965
     -1.5052e-05    -2.29186e-05
     -1.1625e-05    -2.05552e-05
     -4.1686e-05    -5.16633e-05
    -0.000255703    -0.000341158
    -0.000125789    -0.000257179
     -4.6938e-05    -0.000111619
    -0.000129762    -0.000238484
    -0.000996657     -0.00137429
    -0.000612133    -0.000668959
     -4.4474e-05    -0.000102277
     -2.3679e-05    -4.30259e-05
     -4.3978e-05     -6.0129e-05
    -0.000234443    -0.000394535
     -9.5676e-05    -0.000150174
     -7.2651e-05    -9.87053e-05
       -9.84e-05    -0.000139625
     -2.5874e-05    -3.25776e-05
     -2.1539e-05    -3.01356e-05
    -0.000386005    -0.000533613
      -1.032e-05    -1.81541e-05
     -3.3217e-05    -4.51077e-05
    -0.000100256    -0.000258794
      -7.419e-06    -1.15482e-05
     -0.00011849    -0.000288374
     -2.7903e-05    -6.20296e-05
    -0.000102795    -0.000139308
    -0.000311545    -0.000490005
    -0.000242281    -0.000295353
     -7.7212e-05    -0.000165687
     -2.2377e-05      -4.553e-05
     -0.00033938    -0.000526953
    -0.000415787    -0.000547076
     -2.9353e-05    -4.20751e-05
     -4.3099e-05    -6.43229e-05
     -2.3709e-05    -4.31209e-05
     -1.4463e-05    -2.05487e-05
    -0.000147254    -0.000187114
     -2.4493e-05    -3.33637e-05
     -5.0262e-05    -9.16888e-05
      -8.968e-06    -1.43426e-05
    -0.000715914    -0.000876195
      -7.154e-06    -1.17639e-05
    -0.000487697    -0.000555855
     -2.7684e-05    -6.59648e-05
     -1.0393e-05    -1.71777e-05
     -6.7274e-05    -0.000105917
     -1.1872e-05    -2.18473e-05
     -5.4871e-05    -8.05438e-05
     -8.1014e-05    -0.000107244
     -9.9728e-05    -0.000175954
     -2.5205e-05    -3.56378e-05
    -0.000980947     -0.00097179
     -6.7573e-05    -9.43263e-05
    -0.000272259    -0.000376212
     -2.7788e-05    -3.35278e-05
    -0.000273854    -0.000369935
     -2.8928e-05    -5.64248e-05
     -2.6832e-05    -3.57882e-05
    -0.000363014     -0.00049188
    -0.000164561    -0.000323437
    -0.000244835    -0.000295097
      -6.371e-05    -9.40418e-05
    -0.000843068     -0.00109666
     -3.5245e-05    -5.21481e-05
    -0.000148569    -0.000205641
     -1.8894e-05    -2.82807e-05
     -2.5216e-05    -3.78924e-05
     -1.9451e-05    -3.28091e-05
     -2.0916e-05    -3.94846e-05
    -0.000859448    -0.000809859
    -0.000205847    -0.000327446
    -0.000193775    -0.000297262
     -7.7637e-05    -0.000102597
    -0.000124634    -0.000165714
     -0.00124274     -0.00124498
     -0.00241357     -0.00208351
      -9.882e-06    -1.44417e-05
     -3.2538e-05    -4.57969e-05
     -2.6485e-05     -5.5324e-05
    -0.000689062    -0.000911956
     -2.5075e-05    -3.88215e-05
    -0.000394371    -0.000505857
     -5.7695e-05    -0.000126406
    -0.000198482    -0.000309166
     -1.5409e-05    -2.87831e-05
     -4.6396e-05    -6.07111e-05
     -4.3481e-05    -6.20177e-05
     -2.0326e-05    -2.70627e-05
      -8.239e-06    -1.34431e-05
      -2.186e-05     -4.4791e-05
     -1.8755e-05    -3.31644e-05
     -3.1521e-05    -4.99536e-05
      -7.033e-06    -1.07202e-05
     -0.00134972     -0.00157191
      -1.422e-05    -2.19018e-05
    -0.000167593    -0.000195436
     -7.1664e-05    -0.000106669
     -3.5922e-05    -5.35046e-05
     -1.6203e-05    -2.55236e-05
     -0.00018371    -0.000304921
      -0.0018833     -0.00170137
     -1.0411e-05    -1.47888e-05
     -3.2788e-05     -6.7287e-05
    -0.000227432     -0.00042326
    -0.000698958    -0.000767397
     -9.7929e-05    -0.000202879
    -0.000895496    -0.000949035
     -3.4657e-05    -8.62406e-05
     -2.7808e-05    -5.32334e-05
     -8.3092e-05    -0.000110712
     -3.0785e-05     -4.1218e-05
    -0.000275458    -0.000396959
     -2.0513e-05    -2.99211e-05
     -6.1671e-05    -0.000141912
     -2.1975e-05    -3.06751e-05
      -3.677e-05    -4.98408e-05
     -5.1148e-05    -0.000138641
     -2.7361e-05    -4.32884e-05
     -1.4009e-05    -2.17882e-05
     -6.1821e-05    -0.000148386
     -3.8935e-05     -5.9766e-05
    -0.000112073    -0.000217642
     -1.9931e-05    -3.10029e-05
      -0.0001951    -0.000392262
    -0.000121346    -0.000183119
     -1.1943e-05    -2.05321e-05
     -1.4741e-05    -2.84638e-05
     -0.00105364     -0.00130673
     -2.6194e-05    -4.53184e-05
    -0.000165687    -0.000294671
     -6.2935e-05    -8.81742e-05
     -9.7242e-05      -0.0001195
     -2.5991e-05     -5.7955e-05
    -0.000182843     -0.00041197
    -0.000291359     -0.00042031
    -0.000182905    -0.000277602
    -0.000108099    -0.000147398
    -0.000109443    -0.000289731
     -0.00123194     -0.00130347
    -0.000277045    -0.000461039
     -0.00012739    -0.000228338
     -0.00074934     -0.00103086
     -0.00011576    -0.000231461
     -3.6011e-05    -8.93362e-05
     -1.6602e-05    -2.85535e-05
     -6.5813e-05    -0.000113478
      -2.934e-05    -3.90102e-05
     -1.5405e-05    -2.52601e-05
     -6.6791e-05    -8.66341e-05
      -1.532e-05     -2.6221e-05
    -0.000397915    -0.000446301
     -1.3798e-05     -2.4368e-05
     -1.5014e-05    -2.98386e-05
    -0.000380488    -0.000493793
     -7.2194e-05    -9.39075e-05
     -2.0541e-05      -4.101e-05
    -0.000124423    -0.000159169
     -0.00146174     -0.00142269
    -0.000209208    -0.000256723
     -4.0874e-05    -5.25751e-05
     -4.2987e-05    -5.51938e-05
     -7.6268e-05    -0.000115933
    -0.000146683    -0.000278711
      -1.834e-05    -2.76287e-05
     -1.4465e-05    -2.54176e-05
    -0.000274612    -0.000503819
    -0.000303655    -0.000337154
     -3.9351e-05    -9.46369e-05
    -0.000129614    -0.000193227
     -3.1869e-05    -4.45854e-05
     -4.9428e-05    -6.33363e-05
     -2.0004e-05    -2.70544e-05
    -0.000179654    -0.000365237
      -1.733e-05    -2.29743e-05
    -0.000233468    -0.000347182
    -0.000109614    -0.000163729
     -6.5117e-05    -0.000142741
    -0.000202604    -0.000276844
     -0.00111945     -0.00100247
     -3.2742e-05    -4.91505e-05
    -0.000153929    -0.000213253
     -5.2616e-05       -6.71e-05
    -0.000681486    -0.000811005
     -4.8205e-05    -0.000134535
    -0.000402744    -0.000407967
    -0.000112182    -0.000186004
     -2.0838e-05    -2.79856e-05
      -9.987e-06    -2.05575e-05
    -0.000119903    -0.000306569
      -9.724e-06    -1.43825e-05
      -9.345e-06    -1.29854e-05
     -7.9529e-05    -0.000143238
     -9.7788e-05    -0.000152815
     -6.9841e-05    -0.000186159
     -1.2189e-05    -1.79132e-05
     -2.2499e-05    -3.71463e-05
    -0.000157298    -0.000296835
    -0.000197862    -0.000274753
    -0.000832972     -0.00106748
      -5.493e-05    -7.59151e-05
     -7.1521e-05    -0.000105477
     -2.0023e-05    -3.12655e-05
    -0.000270623    -0.000405813
