QM Energy	FF Energy
     -0.00139775     -0.00134531
     -0.00129441     -0.00127659
     -0.00163205     -0.00160314
     -0.00307278     -0.00311122
     -0.00394054      -0.0039645
     -0.00161741     -0.00158926
     -0.00110748     -0.00107807
    -0.000642165    -0.000630089
     -0.00119969     -0.00115998
     -0.00284367     -0.00282732
    -0.000455558    -0.000442892
    -0.000816563    -0.000768137
     -0.00420101      -0.0042088
      -0.0050664     -0.00512225
     -0.00445784     -0.00448662
    -0.000557927    -0.000550374
    -0.000495717    -0.000464772
     -0.00218552     -0.00217027
     -0.00737822     -0.00741213
     -0.00321275     -0.00324076
     -0.00407732     -0.00409413
    -0.000488503    -0.000460283
     -0.00643233     -0.00637546
    -0.000652566    -0.000631706
    -0.000432813    -0.000402967
     -0.00429793     -0.00431092
    -0.000565741    -0.000563938
     -0.00389553     -0.00392488
     -0.00312957      -0.0031799
     -0.00109019     -0.00105303
    -0.000522048    -0.000517814
     -0.00103877     -0.00103058
    -0.000774056    -0.000782762
    -0.000568822    -0.000563068
     -0.00106426     -0.00106327
     -0.00123123     -0.00122448
     -0.00130531     -0.00125251
    -0.000625651    -0.000608498
     -0.00679004     -0.00675305
     -0.00172087     -0.00168379
    -0.000786346     -0.00077143
     -0.00691816     -0.00699029
     -0.00149654      -0.0014792
    -0.000726934    -0.000674744
      -0.0024927     -0.00249511
    -0.000422605    -0.000403266
    -0.000559067    -0.000556803
      -0.0106572      -0.0106167
    -0.000507586    -0.000463627
     -0.00259181     -0.00258894
     -0.00218678     -0.00218383
     -0.00170117     -0.00167725
     -0.00218411     -0.00217903
     -0.00151911     -0.00149114
     -0.00259828     -0.00260695
    -0.000505815    -0.000472408
      -0.0037231     -0.00374583
     -0.00730438     -0.00734151
     -0.00360905     -0.00361325
    -0.000565016    -0.000552063
     -0.00101518      -0.0010066
    -0.000535387    -0.000513894
     -0.00112981     -0.00112923
     -0.00703619      -0.0070686
     -0.00409026     -0.00410942
     -0.00368059     -0.00369517
     -0.00280929     -0.00283849
     -0.00136121      -0.0013299
     -0.00169761     -0.00168112
     -0.00243329     -0.00241767
     -0.00087781    -0.000852385
     -0.00160191     -0.00160721
     -0.00499072     -0.00500288
    -0.000463327    -0.000426932
     -0.00923603     -0.00919927
     -0.00303771     -0.00302083
    -0.000907468    -0.000866703
     -0.00140669     -0.00137838
     -0.00387135     -0.00388635
     -0.00154235      -0.0015196
     -0.00545295     -0.00550633
     -0.00112201     -0.00109797
     -0.00384081     -0.00384791
     -0.00358466     -0.00364414
     -0.00201369     -0.00199874
     -0.00439833     -0.00442647
      -0.0024525     -0.00247399
    -0.000518342    -0.000503842
     -0.00555339     -0.00559424
     -0.00152963     -0.00150738
     -0.00126948     -0.00127362
     -0.00726767     -0.00726896
    -0.000452814    -0.000428387
      -0.0129056      -0.0126216
     -0.00083445    -0.000820383
    -0.000497152    -0.000472148
     -0.00232213     -0.00231954
     -0.00159901     -0.00156203
     -0.00067125    -0.000668347
     -0.00701628     -0.00701026
     -0.00741666     -0.00739996
    -0.000767738     -0.00074244
     -0.00154324     -0.00149898
     -0.00150566     -0.00149548
    -0.000633387    -0.000614465
     -0.00138347     -0.00137722
    -0.000374454    -0.000335584
     -0.00176087     -0.00172145
