QM Energy	FF Energy
     -0.00100459    -0.000812918
     -5.3653e-05    -4.57541e-05
     -0.00026567    -0.000276822
     -6.2363e-05    -7.85105e-05
    -0.000262365    -0.000232341
    -0.000155054    -0.000173243
    -0.000519396    -0.000494266
      -4.965e-05    -5.11776e-05
     -0.00146233      -0.0012591
     -6.5572e-05    -5.48739e-05
    -0.000173932    -0.000188105
    -0.000245026    -0.000471487
    -0.000319739    -0.000281094
    -0.000627312    -0.000630392
    -0.000707472    -0.000907464
    -0.000165394    -0.000145995
     -3.6598e-05    -6.44731e-05
    -0.000975488      -0.0011533
    -0.000678158    -0.000530065
     -3.6583e-05    -4.32189e-05
     -8.7836e-05     -7.4117e-05
     -1.6093e-05    -2.72769e-05
    -0.000496725    -0.000444513
    -0.000771515    -0.000866924
    -0.000260341    -0.000185614
    -0.000227883    -0.000183701
     -9.2464e-05    -0.000155129
    -0.000511139    -0.000504927
    -0.000448801    -0.000628738
    -0.000197796    -0.000165022
    -0.000151556    -0.000272591
    -0.000500696    -0.000591596
     -0.00034556    -0.000602862
     -0.00208564     -0.00235903
    -0.000133774    -0.000195139
    -0.000655914    -0.000559426
      -2.691e-05    -4.75961e-05
     -0.00107516    -0.000948139
     -0.00027027    -0.000274291
    -0.000148501    -0.000161353
    -0.000515109    -0.000849393
     -4.2396e-05    -6.76984e-05
    -0.000202609    -0.000169879
     -3.9578e-05    -4.48351e-05
     -0.00030699    -0.000442917
    -0.000670165    -0.000680758
    -0.000177106    -0.000201439
     -2.2624e-05    -3.98875e-05
     -0.00037519    -0.000407953
    -0.000168727    -0.000168784
     -5.2312e-05    -5.82542e-05
    -0.000338009     -0.00051584
    -0.000117237      -0.0001168
    -0.000194851    -0.000176951
     -4.2287e-05    -4.86775e-05
    -0.000468857    -0.000478847
    -0.000955661    -0.000920049
    -0.000315897    -0.000308564
    -0.000535008    -0.000527521
    -0.000196072    -0.000192286
     -4.3444e-05    -3.35413e-05
      -3.453e-05    -5.91766e-05
    -0.000714118     -0.00105538
    -0.000392468    -0.000386564
     -0.00110759    -0.000802689
     -2.8691e-05    -4.51069e-05
     -1.4931e-05     -2.2726e-05
     -5.4328e-05    -4.03265e-05
    -0.000732543     -0.00056355
    -0.000397221    -0.000586096
    -0.000900108     -0.00101891
    -0.000347132    -0.000549358
    -0.000141929    -0.000140894
    -0.000909296      -0.0010362
    -0.000188503    -0.000238363
     -0.00037399    -0.000471917
    -0.000910834    -0.000942381
     -0.00132749     -0.00121327
     -6.4046e-05    -5.81204e-05
      -6.789e-05    -6.30982e-05
    -0.000341803    -0.000345441
    -0.000908689     -0.00111203
     -0.00169096     -0.00151294
    -0.000367292    -0.000655556
    -0.000110038    -8.95391e-05
    -0.000492054     -0.00060322
    -0.000162243    -0.000142673
    -0.000719781    -0.000710897
     -8.6192e-05     -8.6764e-05
     -5.1322e-05    -4.86263e-05
