QM Energy	FF Energy
    -0.000414609     -0.00038251
      -3.617e-06    -3.09442e-06
    -0.000171993    -0.000143175
     -3.3195e-05    -4.90927e-05
     -8.5015e-05    -9.02353e-05
     -5.8148e-05    -7.10093e-05
    -0.000210555    -0.000194074
      -3.592e-06    -7.10964e-06
    -0.000851633    -0.000846013
     -2.0263e-05    -2.30494e-05
     -5.0325e-05    -6.32931e-05
     -0.00102619    -0.000917568
    -0.000412523    -0.000447353
    -0.000371321    -0.000348859
    -0.000515776    -0.000440325
     -4.7611e-05    -5.75219e-05
     -3.6334e-05    -5.26173e-05
    -0.000769822    -0.000742635
     -0.00039943    -0.000471782
       -4.49e-06    -7.84316e-06
      -5.601e-06    -6.24819e-06
      -7.432e-06    -9.72906e-06
     -0.00132976     -0.00120141
    -0.000349921    -0.000374266
     -9.0416e-05    -9.27896e-05
     -5.3345e-05    -5.77523e-05
     -0.00011272    -0.000135059
    -0.000445709     -0.00041569
     -0.00103738     -0.00112309
     -4.2729e-05    -5.19293e-05
     -0.00036928    -0.000298762
    -0.000705836    -0.000634138
     -0.00111193     -0.00108257
     -0.00191195      -0.0019278
    -0.000149132    -0.000171789
    -0.000222098     -0.00021957
     -1.3841e-05    -2.14498e-05
     -0.00129832     -0.00167515
    -0.000510052    -0.000521608
     -5.8671e-05    -6.72511e-05
    -0.000897802    -0.000801594
      -1.701e-05    -1.97378e-05
     -4.6692e-05    -5.03589e-05
      -7.224e-06    -1.37896e-05
     -0.00120015     -0.00103594
    -0.000320828    -0.000404094
    -0.000532633    -0.000481065
     -2.3171e-05     -2.8307e-05
    -0.000145247    -0.000177661
     -4.4787e-05     -6.2645e-05
      -4.467e-06    -1.13951e-05
    -0.000431379    -0.000418871
     -2.8899e-05     -3.5827e-05
     -2.6447e-05    -3.24333e-05
     -1.4044e-05    -1.85809e-05
     -8.5374e-05    -9.57616e-05
    -0.000302661    -0.000265639
    -0.000216933    -0.000226866
    -0.000130867    -0.000147175
     -8.6556e-05    -6.81767e-05
      -6.164e-06    -6.14674e-06
     -2.6669e-05    -3.39129e-05
     -0.00108193    -0.000922083
    -0.000140995    -0.000170807
    -0.000876056    -0.000813689
     -1.2772e-05    -1.91407e-05
      -4.404e-06    -6.70722e-06
      -1.645e-06    -2.02808e-06
    -0.000396603    -0.000344352
     -0.00103511    -0.000867341
     -0.00122546     -0.00141659
     -0.00077265    -0.000553461
    -0.000111403    -8.53211e-05
     -0.00108402       -0.001117
    -0.000381655    -0.000414652
    -0.000220307    -0.000226623
    -0.000715009    -0.000733927
       -0.000714    -0.000746958
     -2.1866e-05    -2.47759e-05
       -3.67e-06    -4.97132e-06
    -0.000101003    -0.000121417
     -0.00114326     -0.00092706
      -0.0011637     -0.00150746
