QM Energy	FF Energy
      -6.775e-06    -1.20806e-05
     -2.2735e-05    -2.36848e-05
    -0.000968981    -0.000687169
    -0.000291123    -0.000285695
    -0.000285468     -0.00027476
    -0.000138433    -0.000160017
    -0.000561569    -0.000465331
     -2.8507e-05      -3.646e-05
     -1.7955e-05    -2.47149e-05
     -5.0971e-05    -6.95558e-05
    -0.000962783    -0.000976138
      -3.199e-06    -5.23899e-06
    -0.000393798    -0.000351707
     -0.00028618    -0.000257977
     -2.2595e-05    -2.45176e-05
     -6.1158e-05    -8.26205e-05
      -6.534e-06     -8.3619e-06
    -0.000483923    -0.000499277
     -7.8536e-05    -0.000117418
    -0.000956904      -0.0011092
     -5.3034e-05    -6.42131e-05
     -1.1489e-05    -7.39776e-06
    -0.000731034    -0.000804332
     -6.5983e-05    -9.44055e-05
     -6.4244e-05      -8.018e-05
     -0.00052256    -0.000527278
     -3.3868e-05    -5.72455e-05
     -1.7337e-05    -2.57962e-05
     -0.00015586    -0.000184265
       -8.14e-06    -1.62731e-05
    -0.000314075    -0.000358836
     -1.0197e-05    -1.50685e-05
     -1.5808e-05    -1.94696e-05
    -0.000168706    -0.000149553
      -1.182e-06    -2.59179e-06
    -0.000267999    -0.000288014
     -1.2375e-05    -9.46555e-06
      -0.0003908    -0.000321811
     -2.8858e-05    -4.60897e-05
     -2.3184e-05    -3.02662e-05
     -5.0917e-05    -3.76122e-05
    -0.000185666    -0.000195545
     -0.00152457     -0.00108097
    -0.000795401    -0.000702381
     -6.7689e-05    -6.13002e-05
      -5.277e-06    -6.73872e-06
     -3.2989e-05    -4.73464e-05
    -0.000282576    -0.000340419
    -0.000393879    -0.000340809
    -0.000427648    -0.000443987
     -8.4426e-05    -8.13577e-05
    -0.000248919    -0.000259865
    -0.000106533    -0.000116226
     -8.7859e-05    -7.93987e-05
     -3.1215e-05    -2.96686e-05
     -0.00173551      -0.0018783
    -0.000293811    -0.000386302
    -0.000506748    -0.000631566
    -0.000391349    -0.000377804
    -0.000190455    -0.000238076
     -7.8646e-05    -8.12489e-05
    -0.000165507    -0.000200317
    -0.000222234    -0.000253435
    -0.000652887    -0.000474291
      -9.314e-06    -1.42948e-05
    -0.000845728    -0.000923111
    -0.000104224    -0.000102968
      -8.036e-06    -1.07995e-05
       -6.63e-06    -1.05457e-05
    -0.000551008    -0.000531117
      -4.376e-06     -6.7068e-06
      -3.927e-06    -5.59933e-06
      -7.929e-06    -7.37028e-06
     -4.2668e-05    -6.08822e-05
     -4.7184e-05    -5.73955e-05
    -0.000833226     -0.00150491
    -0.000222732    -0.000239323
     -1.0928e-05    -1.62461e-05
    -0.000110563     -7.9692e-05
     -3.5689e-05    -4.85583e-05
      -3.559e-06    -6.17412e-06
       -9.77e-06    -1.01366e-05
     -3.4274e-05    -3.75241e-05
     -3.2906e-05    -3.77301e-05
    -0.000137237    -0.000160598
       -3.88e-06    -5.75144e-06
    -0.000708659    -0.000668533
      -7.558e-06    -7.68047e-06
      -8.717e-06     -4.3361e-06
    -0.000725285     -0.00065719
     -2.5151e-05    -4.08177e-05
    -0.000184437    -0.000155436
     -2.6735e-05    -3.45348e-05
     -0.00119328     -0.00102531
     -4.7505e-05    -5.66368e-05
    -0.000573122    -0.000594229
     -1.6701e-05      -2.175e-05
    -0.000219629    -0.000249703
    -0.000625936    -0.000724462
     -1.6946e-05    -2.49046e-05
    -0.000488834    -0.000594403
      -6.421e-06    -9.16563e-06
       -8.02e-06      -7.656e-06
    -0.000739532    -0.000600742
    -0.000549755    -0.000684592
     -1.4979e-05    -1.84762e-05
     -5.6102e-05    -6.36537e-05
     -0.00149015     -0.00140292
     -0.00033512     -0.00037262
     -1.2619e-05     -9.7932e-06
      -4.874e-06    -6.04135e-06
     -6.1608e-05    -4.72238e-05
    -0.000154722    -0.000166471
     -1.9426e-05    -3.07807e-05
     -1.3242e-05    -2.23332e-05
     -0.00052563    -0.000546768
    -0.000671688    -0.000642133
     -0.00011278     -9.4228e-05
     -0.00123186     -0.00247264
      -5.486e-06    -7.12885e-06
      -7.286e-06    -6.86739e-06
    -0.000397053    -0.000348626
    -0.000954916     -0.00086799
    -0.000596993    -0.000566846
    -0.000112469    -9.42128e-05
    -0.000207858    -0.000247522
      -8.306e-06    -1.48014e-05
     -0.00131522    -0.000980907
        -7.6e-06    -1.05453e-05
     -2.8354e-05    -3.80199e-05
    -0.000586516    -0.000637409
    -0.000191827    -0.000221665
    -0.000560865    -0.000494387
     -1.4707e-05    -2.36154e-05
      -8.065e-06    -1.02331e-05
     -3.8237e-05    -5.18903e-05
     -8.5594e-05    -0.000115667
    -0.000121367     -0.00015266
