QM Energy	FF Energy
      -6.775e-06     -1.1174e-05
     -2.2735e-05    -2.37091e-05
    -0.000968981    -0.000684202
    -0.000291123    -0.000290535
    -0.000285468    -0.000280227
    -0.000138433    -0.000157094
    -0.000561569    -0.000467728
     -2.8507e-05     -3.6792e-05
     -1.7955e-05    -2.59718e-05
     -5.0971e-05    -7.22522e-05
    -0.000962783     -0.00100655
      -3.199e-06    -5.36561e-06
    -0.000393798    -0.000349313
     -0.00028618    -0.000257755
     -2.2595e-05    -2.51068e-05
     -6.1158e-05     -8.2638e-05
      -6.534e-06     -8.2576e-06
    -0.000483923    -0.000497037
     -7.8536e-05    -0.000112137
    -0.000956904     -0.00113145
     -5.3034e-05    -6.29274e-05
     -1.1489e-05    -7.32756e-06
    -0.000731034    -0.000803033
     -6.5983e-05    -9.50038e-05
     -6.4244e-05    -8.17938e-05
     -0.00052256    -0.000534335
     -3.3868e-05    -5.49603e-05
     -1.7337e-05    -2.49208e-05
     -0.00015586    -0.000184417
       -8.14e-06    -1.52296e-05
    -0.000314075    -0.000347233
     -1.0197e-05    -1.42508e-05
     -1.5808e-05    -1.98307e-05
    -0.000168706    -0.000152774
      -1.182e-06    -2.49435e-06
    -0.000267999    -0.000291846
     -1.2375e-05    -9.21793e-06
      -0.0003908    -0.000316826
     -2.8858e-05    -4.58808e-05
     -2.3184e-05    -3.04463e-05
     -5.0917e-05    -3.98153e-05
    -0.000185666    -0.000194384
     -0.00152457     -0.00109122
    -0.000795401    -0.000654811
     -6.7689e-05    -6.21268e-05
      -5.277e-06    -6.59638e-06
     -3.2989e-05    -4.68047e-05
    -0.000282576    -0.000342368
    -0.000393879    -0.000332359
    -0.000427648    -0.000451607
     -8.4426e-05    -8.20177e-05
    -0.000248919    -0.000261158
    -0.000106533    -0.000118395
     -8.7859e-05    -7.91843e-05
     -3.1215e-05    -2.89648e-05
     -0.00173551     -0.00190353
    -0.000293811    -0.000391392
    -0.000506748    -0.000630523
    -0.000391349    -0.000368065
    -0.000190455    -0.000242644
     -7.8646e-05    -8.29931e-05
    -0.000165507    -0.000203786
    -0.000222234    -0.000257168
    -0.000652887    -0.000495116
      -9.314e-06    -1.47471e-05
    -0.000845728    -0.000926088
    -0.000104224    -0.000106201
      -8.036e-06    -1.05028e-05
       -6.63e-06    -1.07593e-05
    -0.000551008    -0.000530156
      -4.376e-06     -6.7209e-06
      -3.927e-06    -5.83467e-06
      -7.929e-06    -7.26232e-06
     -4.2668e-05    -6.38347e-05
     -4.7184e-05    -5.69678e-05
    -0.000833226     -0.00152736
    -0.000222732    -0.000245596
     -1.0928e-05     -1.6337e-05
    -0.000110563    -7.96595e-05
     -3.5689e-05    -4.89856e-05
      -3.559e-06    -6.28748e-06
       -9.77e-06    -1.02817e-05
     -3.4274e-05    -3.72098e-05
     -3.2906e-05     -3.8929e-05
    -0.000137237    -0.000160745
       -3.88e-06    -5.66187e-06
    -0.000708659    -0.000675898
      -7.558e-06    -7.60062e-06
      -8.717e-06    -4.46028e-06
    -0.000725285    -0.000659137
     -2.5151e-05    -4.09539e-05
    -0.000184437    -0.000154932
     -2.6735e-05    -3.39043e-05
     -0.00119328     -0.00101767
     -4.7505e-05    -5.72547e-05
    -0.000573122    -0.000600685
     -1.6701e-05    -2.31794e-05
    -0.000219629    -0.000237116
    -0.000625936    -0.000711203
     -1.6946e-05    -2.52496e-05
    -0.000488834    -0.000599512
      -6.421e-06    -9.06619e-06
       -8.02e-06    -7.56185e-06
    -0.000739532    -0.000601232
    -0.000549755    -0.000691818
     -1.4979e-05    -1.86755e-05
     -5.6102e-05    -6.57879e-05
     -0.00149015     -0.00139518
     -0.00033512    -0.000380372
     -1.2619e-05     -9.5603e-06
      -4.874e-06     -5.9405e-06
     -6.1608e-05    -4.71578e-05
    -0.000154722    -0.000169998
     -1.9426e-05    -3.10667e-05
     -1.3242e-05    -2.23041e-05
     -0.00052563     -0.00049855
    -0.000671688     -0.00063689
     -0.00011278    -9.63097e-05
     -0.00123186     -0.00241169
      -5.486e-06    -7.02581e-06
      -7.286e-06    -6.65526e-06
    -0.000397053    -0.000358797
    -0.000954916    -0.000866793
    -0.000596993    -0.000572333
    -0.000112469    -9.47928e-05
    -0.000207858    -0.000248488
      -8.306e-06    -1.39211e-05
     -0.00131522    -0.000975648
        -7.6e-06    -1.05494e-05
     -2.8354e-05     -3.8322e-05
    -0.000586516    -0.000640557
    -0.000191827    -0.000221205
    -0.000560865    -0.000494433
     -1.4707e-05    -2.33258e-05
      -8.065e-06    -1.00857e-05
     -3.8237e-05    -5.23721e-05
     -8.5594e-05    -0.000116405
    -0.000121367     -0.00015077
       -3.03e-06    -6.50248e-06
     -1.2704e-05    -2.06931e-05
       -6.31e-06    -7.44042e-06
    -0.000176707    -0.000184956
     -3.0581e-05    -2.83476e-05
     -0.00013723    -0.000117521
     -1.3526e-05    -2.45052e-05
     -8.7831e-05    -5.13188e-05
    -0.000144843    -0.000129701
      -5.879e-06    -8.59433e-06
      -6.372e-06    -8.69645e-06
     -0.00178497     -0.00206402
    -0.000158624    -9.09886e-05
     -7.1958e-05    -8.16011e-05
    -0.000187609    -0.000233154
      -6.511e-06    -5.46793e-06
    -0.000165954    -0.000170176
     -0.00108448    -0.000577366
     -0.00017265    -0.000185097
      -7.281e-06    -9.80266e-06
      -5.634e-06     -9.1009e-06
     -3.3957e-05    -3.90289e-05
     -1.4944e-05    -2.25569e-05
      -1.562e-05    -1.13097e-05
     -9.5685e-05    -9.00274e-05
     -1.0957e-05    -1.38538e-05
     -2.3495e-05     -2.7966e-05
    -0.000102525    -9.58594e-05
      -0.0010096     -0.00106254
     -3.4545e-05    -5.11486e-05
     -0.00117525     -0.00100773
    -0.000385616    -0.000369332
     -0.00174521     -0.00159122
    -0.000137629    -0.000146105
      -3.644e-06    -8.07788e-06
    -0.000288781    -0.000362343
     -1.9229e-05    -3.17841e-05
    -0.000790534    -0.000900788
    -0.000616612    -0.000715386
      -1.845e-06    -2.83991e-06
      -7.983e-06     -1.3075e-05
     -3.9154e-05    -3.11816e-05
    -0.000603241    -0.000584528
     -2.8434e-05    -4.22458e-05
    -0.000497012    -0.000499417
     -3.3842e-05    -3.67353e-05
     -0.00010827     -0.00013778
    -0.000193723    -0.000221624
     -0.00150582     -0.00152462
    -0.000153197    -0.000164498
    -0.000427449    -0.000447196
     -2.0648e-05    -2.51481e-05
    -0.000519087    -0.000610717
      -6.708e-06    -8.81651e-06
    -0.000853465    -0.000821618
     -0.00151658     -0.00140693
     -0.00251476     -0.00207647
      -5.313e-06    -8.00594e-06
    -0.000139538    -0.000193271
      -0.0011686      -0.0018538
    -0.000398935    -0.000339654
    -0.000159258    -0.000197849
     -1.6832e-05    -1.10372e-05
    -0.000970553    -0.000901175
    -0.000282808    -0.000282541
     -0.00155615     -0.00209879
     -0.00117947     -0.00140952
     -4.1189e-05    -5.99061e-05
     -9.4096e-05    -8.77957e-05
