QM Energy	FF Energy
    -0.000163766    -0.000193656
       -4.49e-06    -5.89622e-06
    -0.000180499    -0.000239311
     -0.00117696     -0.00168101
     -2.0917e-05    -2.64238e-05
    -0.000227744    -0.000182939
     -2.8133e-05    -4.50979e-05
     -9.5386e-05     -0.00011353
     -1.1145e-05    -1.57049e-05
      -8.331e-06     -1.3423e-05
      -4.478e-06    -8.08859e-06
    -0.000127017    -0.000125451
    -0.000128954    -0.000146279
     -5.4216e-05    -7.30558e-05
     -0.00104835    -0.000853898
    -0.000231829    -0.000318399
      -6.298e-06    -7.75392e-06
       -3.22e-06    -6.06807e-06
    -0.000554068    -0.000551685
    -0.000237599    -0.000234442
     -7.7316e-05    -7.93561e-05
    -0.000180461    -0.000213522
    -0.000132215     -0.00018746
     -3.3297e-05    -4.84006e-05
    -0.000345279     -0.00030862
    -0.000178932    -0.000202627
     -3.3389e-05    -2.63931e-05
    -0.000119874    -0.000173491
    -0.000437813    -0.000395947
    -0.000222006    -0.000147627
     -0.00039642    -0.000353014
    -0.000117247     -8.8726e-05
      -2.118e-05    -4.62235e-05
    -0.000675156    -0.000747795
     -2.4259e-05    -2.78686e-05
    -0.000260677    -0.000155697
     -6.0025e-05     -7.0289e-05
      -1.958e-05    -3.03343e-05
    -0.000390418    -0.000211424
    -0.000912821    -0.000614161
     -4.6533e-05    -4.51061e-05
     -9.8359e-05    -0.000126285
     -3.5691e-05    -4.79551e-05
     -7.0295e-05    -3.66606e-05
     -0.00028671    -0.000321204
     -3.9868e-05    -4.08651e-05
    -0.000356451     -0.00034238
     -1.7983e-05    -2.09255e-05
      -3.803e-06    -7.00846e-06
      -1.536e-06    -4.56798e-06
      -2.646e-06    -4.56926e-06
    -0.000413169    -0.000411034
     -2.7399e-05    -3.00807e-05
    -0.000333595    -0.000257807
     -0.00201542    -0.000958201
      -1.228e-05    -2.43485e-05
    -0.000899971     -0.00102131
     -3.5091e-05    -1.89715e-05
    -0.000106742    -0.000105558
     -1.7128e-05    -2.02543e-05
     -6.5441e-05    -9.12973e-05
     -6.1003e-05    -6.32283e-05
    -0.000967078    -0.000904282
      -5.121e-06    -6.69422e-06
      -3.871e-06    -7.57296e-06
     -2.0238e-05    -2.32156e-05
      -7.667e-06    -9.01013e-06
    -0.000591793    -0.000611839
     -4.0642e-05    -2.37635e-05
    -0.000180323    -0.000158833
     -1.3501e-05    -3.20958e-05
      -6.362e-06    -9.87536e-06
     -1.4311e-05    -2.01445e-05
     -5.4031e-05    -5.90075e-05
    -0.000522614    -0.000380114
    -0.000318935    -0.000271071
      -4.962e-06    -6.80363e-06
     -8.4844e-05    -0.000108915
    -0.000460094    -0.000258926
     -5.4455e-05    -6.16632e-05
     -0.00044246    -0.000405756
    -0.000149295    -0.000146045
    -0.000139077    -0.000160734
     -1.5293e-05    -1.73536e-05
    -0.000407347    -0.000377917
     -9.4528e-05    -9.03668e-05
      -5.358e-06    -1.09594e-05
    -0.000741135    -0.000678139
     -2.9794e-05    -4.59802e-05
      -6.131e-06    -8.55179e-06
     -9.1106e-05    -0.000114868
    -0.000632642    -0.000451013
      -6.823e-06     -8.2039e-06
      -9.229e-06    -1.91513e-05
     -1.6732e-05    -2.31131e-05
    -0.000727264    -0.000919386
     -3.7458e-05    -5.62505e-05
    -0.000251751    -0.000247644
    -0.000484838    -0.000445677
     -7.0087e-05    -5.49102e-05
    -0.000213376    -0.000278107
     -6.1676e-05    -6.86484e-05
     -0.00104133    -0.000801823
     -6.5904e-05    -7.00797e-05
    -0.000111221    -0.000132937
    -0.000239295    -9.44801e-05
    -0.000311612    -0.000273117
    -0.000164032    -0.000206974
      -5.103e-06    -6.68717e-06
      -3.878e-06    -6.50836e-06
     -0.00136536     -0.00154086
     -4.2792e-05    -3.33395e-05
    -0.000102659    -0.000111252
    -0.000843569    -0.000689445
     -1.2279e-05    -1.67453e-05
      -8.644e-06    -1.47014e-05
     -4.2906e-05    -5.05169e-05
     -2.8185e-05    -4.17731e-05
      -6.566e-06    -8.92121e-06
     -1.3833e-05    -1.97817e-05
    -0.000213099    -0.000241148
    -0.000135925    -0.000106832
      -4.472e-06    -5.96199e-06
     -1.3834e-05    -1.69856e-05
       -4.24e-05    -5.34712e-05
    -0.000352268    -0.000369668
       -2.41e-05    -4.22182e-05
     -8.9855e-05    -0.000123362
      -5.035e-05    -7.57892e-05
    -0.000267188     -0.00029743
    -0.000301687    -0.000214191
     -1.0943e-05    -1.91467e-05
      -9.856e-06    -1.04455e-05
     -7.2272e-05    -9.47506e-05
    -0.000464591    -0.000433304
     -0.00036898    -0.000526017
     -1.6405e-05    -2.42867e-05
     -2.4552e-05    -2.40045e-05
    -0.000862371     -0.00103349
      -3.703e-06    -5.34744e-06
     -3.3956e-05    -4.38217e-05
     -6.3436e-05    -0.000115391
     -9.6689e-05    -0.000124152
     -9.9644e-05    -0.000103474
     -4.9869e-05    -8.26403e-05
       -2.72e-06    -6.47924e-06
      -5.117e-06    -1.35211e-05
      -4.853e-06    -6.85255e-06
     -3.7237e-05    -1.66094e-05
       -6.11e-07    -2.38847e-06
     -1.6832e-05    -1.37736e-05
     -1.5819e-05    -1.89961e-05
     -3.9327e-05    -4.64721e-05
    -0.000130364    -0.000128356
    -0.000840998    -0.000741709
     -2.7401e-05    -4.27645e-05
    -0.000124707    -0.000116387
    -0.000214128    -0.000226079
      -4.154e-05    -5.34115e-05
    -0.000882769    -0.000745196
    -0.000154883     -0.00018293
     -4.8488e-05    -6.31728e-05
     -0.00037669     -0.00025694
     -1.2278e-05    -1.78354e-05
     -1.6996e-05    -2.39779e-05
     -1.5765e-05     -2.7112e-05
     -8.7702e-05    -0.000101338
        -0.00151     -0.00161121
     -0.00063052    -0.000482841
     -5.9527e-05    -9.04802e-05
    -0.000612537    -0.000631738
    -0.000291411    -0.000380653
    -0.000115605     -0.00014967
     -0.00149299     -0.00141032
    -0.000526629    -0.000548626
    -0.000603851    -0.000612284
    -0.000557486    -0.000292549
     -0.00116791     -0.00104033
     -1.3405e-05    -1.97183e-05
    -0.000766133    -0.000584764
      -9.552e-06    -1.43624e-05
     -5.3263e-05    -5.43669e-05
    -0.000539937    -0.000455317
    -0.000414588    -0.000509165
    -0.000239472    -0.000296907
    -0.000642062    -0.000362405
      -6.889e-06    -4.47759e-06
     -2.3687e-05    -1.99593e-05
     -0.00177523      -0.0013098
     -0.00034347    -0.000408791
     -4.0962e-05    -4.71203e-05
     -8.6596e-05    -9.68722e-05
      -2.933e-06    -7.65436e-06
     -1.6829e-05    -3.78384e-05
    -0.000599525    -0.000317144
      -0.0011176      -0.0013473
    -0.000234437     -0.00018847
    -0.000588093     -0.00067314
    -0.000241989    -0.000252345
      -8.307e-06    -1.24848e-05
       -8.56e-06    -1.80431e-05
     -6.0871e-05    -0.000104631
    -0.000639496    -0.000452465
    -0.000450167    -0.000435309
     -1.8908e-05    -2.51085e-05
        -3.1e-06    -4.78079e-06
    -0.000150184    -0.000175078
       -6.62e-06    -1.18055e-05
     -5.1916e-05    -6.67686e-05
     -2.7926e-05    -3.13387e-05
    -0.000254144    -0.000219727
     -7.5568e-05    -8.30158e-05
    -0.000649758    -0.000579898
    -0.000202815    -0.000233542
    -0.000215925    -0.000242265
    -0.000306925    -0.000326915
    -0.000302018    -0.000316653
    -0.000716445     -0.00060536
     -2.2753e-05    -2.76842e-05
    -0.000118076    -0.000131936
    -0.000125052    -0.000142515
    -0.000125221    -0.000137353
     -3.3854e-05    -7.34564e-05
     -0.00022236    -0.000235427
    -0.000667247    -0.000668796
    -0.000368677    -0.000303241
      -0.0017419     -0.00207114
    -0.000702242    -0.000605073
     -3.9364e-05    -5.89041e-05
     -5.1844e-05    -5.98425e-05
    -0.000136981    -0.000166834
     -3.1864e-05    -2.46642e-05
     -2.0426e-05    -3.09335e-05
    -0.000598226    -0.000408912
    -0.000108239    -0.000124796
    -0.000310437    -0.000316861
    -0.000164631    -0.000243631
       -9.32e-06    -1.84398e-05
    -0.000284313     -0.00032563
     -2.4893e-05     -2.3718e-05
     -6.3685e-05    -7.65489e-05
    -0.000306659    -0.000242986
    -0.000148278    -0.000175525
      -1.568e-06    -4.63033e-06
     -2.1903e-05    -2.26367e-05
