# Eelst 		 Emultipole 
     -0.00143172      -0.00119476
      0.00031342       0.00066740
     -0.00114447      -0.00010821
     -0.01782308      -0.00419444
     -0.00039221       0.00074041
      0.00089061       0.00277545
     -0.00072147      -0.00063164
     -0.00129206      -0.00050362
     -0.00148536      -0.00157565
     -0.00019943      -0.00041213
      0.00007328       0.00032538
      0.00032565       0.00169912
     -0.00096346      -0.00055423
     -0.00202744      -0.00176910
     -0.00623410       0.00059640
     -0.00153539       0.00021922
     -0.00010297      -0.00016797
      0.00029602       0.00058977
     -0.00752884      -0.00378500
     -0.00072107       0.00038670
     -0.00131878       0.00055579
      0.00019763       0.00194421
     -0.00245147      -0.00237084
     -0.00155688      -0.00146154
     -0.00944065      -0.00545865
     -0.00137749       0.00070820
      0.00003009       0.00048295
     -0.00078422       0.00119836
     -0.00143813       0.00050110
     -0.00068495       0.00081127
     -0.00251753       0.00005863
      0.00092220       0.00208587
     -0.00063201      -0.00063274
     -0.01238044      -0.00462528
     -0.00023182      -0.00031004
     -0.00081329       0.00096221
     -0.00026151       0.00023067
     -0.00072503      -0.00104241
     -0.00177224       0.00076068
     -0.00874398      -0.00023689
     -0.00051605       0.00053994
      0.00019272       0.00153995
     -0.00052327      -0.00049001
     -0.00003097       0.00049024
     -0.00251574      -0.00199501
     -0.00051874      -0.00085985
     -0.00233930      -0.00050479
     -0.00020398      -0.00027703
     -0.00073576      -0.00094660
      0.00037044       0.00044559
     -0.00073994      -0.00096332
     -0.00649780      -0.00265223
     -0.00058276      -0.00096981
     -0.00199521       0.00022585
     -0.00694825       0.00606724
      0.00036491       0.00097575
     -0.00815045      -0.00232758
      0.00020171       0.00055927
      0.00096548       0.00208127
     -0.00052605      -0.00074685
     -0.00211746      -0.00163596
     -0.00103644      -0.00072096
     -0.00265361       0.00411461
     -0.00065738      -0.00073159
      0.00032700       0.00069837
     -0.00042738      -0.00054655
     -0.00018488      -0.00037321
     -0.00262024       0.00193394
      0.00067585       0.00124516
     -0.00154632       0.00164022
      0.00016487       0.00074751
      0.00003684       0.00016852
     -0.00029200      -0.00045655
     -0.00299315      -0.00256642
     -0.00368238       0.00059239
     -0.00268656       0.00143997
     -0.00030092      -0.00049676
     -0.00106988      -0.00088611
     -0.00018466       0.00338525
      0.00047107       0.00113238
     -0.00331653       0.00007552
     -0.00089716      -0.00068920
      0.00073489       0.00249202
      0.00053158       0.00092686
     -0.00434582       0.00177366
     -0.00048097       0.00146435
     -0.00047942      -0.00068507
     -0.00364438       0.00030888
     -0.00021081       0.00025243
     -0.00035571      -0.00052749
     -0.00111864      -0.00090912
     -0.00328928      -0.00102021
     -0.00021624      -0.00012982
     -0.00109325      -0.00138041
     -0.00060630      -0.00080730
     -0.00358375       0.00225019
     -0.00035857      -0.00018375
     -0.00068185       0.00046618
     -0.00226942       0.00045154
      0.00103196       0.00161402
     -0.00163181      -0.00086011
     -0.00322241      -0.00286470
     -0.01122812      -0.00099058
      0.00123139       0.00217095
     -0.00025856       0.00119850
      0.00044215       0.00227803
     -0.00121999       0.00188500
     -0.00165661      -0.00117153
     -0.00040600      -0.00071981
      0.00011237       0.00041240
     -0.01053697      -0.00102681
     -0.00013992       0.00002112
      0.00024865       0.00122673
     -0.00424227      -0.00025087
      0.00027583       0.00050033
      0.00029859       0.00078758
     -0.00180469      -0.00150756
      0.00018452       0.00084076
     -0.00099617      -0.00113770
      0.00040157       0.00073881
     -0.00180120      -0.00084873
      0.00069234       0.00232005
      0.00035285       0.00040187
     -0.00055590      -0.00058324
     -0.00028521       0.00026027
     -0.00505005      -0.00245342
      0.00087219       0.00120508
     -0.00191846      -0.00143189
     -0.00026587       0.00077374
     -0.00380277      -0.00241986
      0.00032768       0.00314937
     -0.00024933      -0.00022955
     -0.00005554       0.00001452
     -0.00281658      -0.00241425
     -0.00084525       0.00206622
     -0.00228474       0.00029274
      0.00022442       0.00117322
     -0.00025364      -0.00019548
     -0.00472647      -0.00032945
     -0.00112011      -0.00131714
     -0.00044079      -0.00029251
     -0.00159593      -0.00166573
     -0.00024077      -0.00005709
     -0.00107804      -0.00122003
     -0.00027844      -0.00002405
     -0.00023029      -0.00037970
