QM Energy	FF Energy
     -0.00010453    -8.85146e-05
     -3.5921e-05    -3.00431e-05
    -0.000208072    -0.000211258
     -0.00249226     -0.00279759
     -8.3811e-05     -5.8254e-05
    -0.000259396    -0.000291141
     -6.4219e-05    -5.09846e-05
    -0.000221967    -0.000227665
    -0.000128226    -0.000103825
      -7.258e-05    -5.46077e-05
     -2.2296e-05    -1.72989e-05
    -0.000131528    -0.000124673
     -0.00011321    -7.97393e-05
     -0.00026366    -0.000234103
     -0.00109013    -0.000757713
     -0.00019484    -0.000227807
     -8.5928e-05    -6.65589e-05
     -2.0601e-05    -1.54575e-05
     -0.00115714      -0.0012665
    -0.000495326    -0.000443954
    -0.000101226    -8.76502e-05
    -0.000291634    -0.000272404
    -0.000395152    -0.000394374
    -0.000192514    -0.000166985
     -0.00114269      -0.0011269
    -0.000208102    -0.000164866
     -9.4936e-05    -8.37245e-05
    -0.000120828    -9.80295e-05
    -0.000706387    -0.000674468
    -0.000219548    -0.000246432
    -0.000381442    -0.000243321
    -0.000172006     -0.00015972
     -4.9879e-05    -4.09869e-05
     -0.00132459     -0.00147174
     -6.6271e-05    -4.61334e-05
    -0.000240031    -0.000274839
    -0.000118815    -8.32699e-05
     -5.4728e-05    -4.32327e-05
    -0.000320697    -0.000398243
    -0.000922013     -0.00123733
       -6.32e-05    -5.81092e-05
    -0.000210593    -0.000183143
     -7.3575e-05    -5.92412e-05
    -0.000231812    -0.000200904
    -0.000298433    -0.000192492
     -3.8847e-05    -2.89016e-05
     -8.7004e-05    -0.000105066
     -4.7903e-05     -3.5505e-05
     -5.4325e-05    -4.40002e-05
     -3.3971e-05     -2.9986e-05
     -5.3891e-05    -4.26164e-05
     -0.00100673     -0.00118092
     -4.6743e-05    -3.34085e-05
      -5.465e-05    -0.000131329
     -0.00079726     -0.00125164
     -3.7871e-05    -2.90174e-05
     -0.00121309     -0.00133327
    -0.000148392    -0.000122544
    -0.000171501    -0.000151687
     -4.4084e-05    -3.18893e-05
    -0.000230718     -0.00020888
    -0.000128683    -0.000113466
    -0.000794546    -0.000668396
     -7.8444e-05    -6.14252e-05
     -4.4274e-05    -3.55476e-05
     -3.3037e-05    -2.67315e-05
     -3.5355e-05    -2.45804e-05
    -0.000240141    -0.000331666
    -0.000133568    -0.000111554
    -0.000354877    -0.000354262
     -3.7656e-05    -3.27948e-05
     -3.8281e-05    -2.95738e-05
      -4.466e-05    -3.13423e-05
    -0.000348571    -0.000307872
       -5.13e-05    -0.000231671
    -0.000224623    -0.000332907
     -2.9889e-05    -2.11874e-05
    -0.000263456    -0.000215174
    -0.000281359    -0.000379991
    -0.000157887     -0.00016074
    -0.000324049    -0.000444022
      -8.966e-05    -9.01755e-05
    -0.000297337    -0.000255182
     -5.5977e-05    -4.44146e-05
    -0.000567801    -0.000579639
    -0.000267113    -0.000249513
     -5.1171e-05    -4.47481e-05
    -0.000471973    -0.000377259
     -4.4352e-05    -3.83273e-05
     -2.6741e-05    -1.97506e-05
    -0.000133515     -9.2836e-05
     -8.5461e-05    -0.000133989
     -2.5825e-05    -1.91159e-05
     -6.3563e-05    -4.92166e-05
    -0.000175431    -0.000140587
     -0.00045533    -0.000409828
    -0.000116396    -9.34254e-05
     -0.00027639    -0.000292668
    -0.000531966    -0.000368879
    -0.000194561    -0.000175219
    -0.000173672    -0.000137009
    -0.000364744    -0.000318455
    -0.000994001     -0.00130046
    -0.000260988    -0.000241482
    -0.000176643     -0.00015209
     -0.00033262    -0.000354638
    -0.000351472    -0.000466464
    -0.000447038    -0.000516387
      -2.369e-05    -1.83212e-05
     -3.6084e-05    -2.81621e-05
     -0.00164465     -0.00170749
     -2.8878e-05    -2.59014e-05
    -0.000266258    -0.000230601
    -0.000241028    -0.000264556
     -5.2682e-05    -4.11586e-05
     -5.7385e-05    -4.80489e-05
    -0.000219867    -0.000193714
     -6.0667e-05    -4.26892e-05
    -0.000118158    -9.15624e-05
     -8.8693e-05    -7.76364e-05
    -0.000215478    -0.000183609
    -0.000155253    -0.000153671
     -3.4019e-05    -2.76097e-05
    -0.000119638    -9.95374e-05
    -0.000113742    -0.000103134
    -0.000753675    -0.000851969
     -0.00012159    -0.000128001
     -0.00020146    -0.000210181
     -7.0424e-05    -5.99275e-05
    -0.000723358    -0.000800431
    -0.000713838    -0.000745243
     -5.2097e-05    -4.02613e-05
     -6.0191e-05    -4.75039e-05
     -0.00024154    -0.000218044
    -0.000817927    -0.000754313
    -0.000307043    -0.000341276
     -8.8917e-05    -6.96426e-05
    -0.000155721    -0.000129324
    -0.000506065    -0.000363475
     -8.2561e-05    -6.41786e-05
     -7.8684e-05    -6.66277e-05
    -0.000111042    -8.94861e-05
    -0.000164259    -0.000188129
    -0.000138878    -9.22406e-05
    -0.000135802    -0.000148461
     -3.0744e-05    -2.70728e-05
     -3.7354e-05    -3.38014e-05
     -3.8807e-05    -2.44676e-05
    -0.000171692    -0.000140031
     -2.5813e-05     -2.1519e-05
     -7.4672e-05    -6.09457e-05
    -0.000119511    -0.000102057
     -8.0155e-05    -7.47843e-05
     -0.00016422    -0.000108561
    -0.000239302    -0.000375252
    -0.000190617    -0.000171647
    -0.000166798    -0.000137293
    -0.000710366    -0.000693958
    -0.000100811    -9.65425e-05
     -0.00104268     -0.00118546
    -0.000530036    -0.000464828
     -8.7268e-05     -5.9101e-05
    -0.000242265    -0.000292213
    -0.000104123    -8.51479e-05
     -7.3749e-05    -6.00839e-05
     -5.2247e-05    -3.96994e-05
    -0.000108363    -7.80486e-05
    -0.000836847    -0.000701998
    -0.000114101    -0.000308099
     -9.3882e-05    -6.95232e-05
      -0.0014303     -0.00158384
    -0.000326353    -0.000317594
    -0.000229985    -0.000260773
     -0.00197067     -0.00222046
    -0.000353217    -0.000228271
    -0.000415681    -0.000433798
     -0.00041939    -0.000567434
    -0.000975532     -0.00125521
     -4.2127e-05    -3.29584e-05
    -0.000314526    -0.000241606
     -4.2701e-05    -3.61156e-05
      -3.672e-05    -3.29311e-05
    -0.000558778    -0.000477563
    -0.000536545    -0.000625951
    -0.000252033    -0.000253438
    -0.000308474    -0.000465936
     -6.5042e-05     -5.3005e-05
     -0.00011442    -9.64006e-05
    -0.000344761    -0.000304719
    -0.000317189    -0.000310827
     -7.9004e-05    -7.24721e-05
    -0.000143586     -0.00012991
     -4.8795e-05    -4.32483e-05
     -4.5089e-05    -3.98252e-05
    -0.000503233    -0.000673104
     -0.00165397     -0.00163023
    -0.000532934    -0.000580232
    -0.000374237    -0.000269645
     -0.00026047    -0.000175243
     -3.7898e-05    -2.76944e-05
     -3.4321e-05    -2.84691e-05
     -9.1829e-05    -8.74444e-05
     -9.5222e-05    -0.000177375
    -0.000170836    -0.000196142
     -4.9491e-05    -3.53719e-05
     -2.5135e-05    -1.80261e-05
    -0.000555612      -0.0005025
     -2.8521e-05    -2.35377e-05
     -9.6358e-05    -7.31682e-05
     -9.7602e-05    -6.66783e-05
    -0.000200848    -0.000156268
     -9.3087e-05    -6.58401e-05
    -0.000950837    -0.000785307
    -0.000224522    -0.000148736
    -0.000656259    -0.000640865
    -0.000503092    -0.000599317
    -0.000608142    -0.000625493
    -0.000556554     -0.00055516
     -5.1963e-05    -3.61783e-05
