QM Energy	FF Energy
    -0.000738572    -0.000639501
    -0.000120453    -0.000115952
     -8.0419e-05    -7.37281e-05
     -2.4929e-05    -2.41388e-05
    -0.000314125    -0.000345277
    -0.000507418    -0.000557233
    -0.000104883    -0.000175713
    -0.000203808    -0.000284959
      -0.0001626    -0.000158023
     -0.00011206    -0.000154631
     -3.5843e-05    -7.35238e-05
     -5.0304e-05    -5.60607e-05
    -0.000416577    -0.000427666
     -7.6584e-05    -7.06581e-05
      -9.616e-06    -1.25271e-05
    -0.000444343    -0.000455011
    -0.000626223    -0.000646027
    -0.000233601    -0.000247789
    -0.000307822    -0.000294656
     -7.5915e-05    -7.26436e-05
    -0.000363136    -0.000501785
     -7.9383e-05    -8.71446e-05
      -9.664e-06    -1.26214e-05
     -3.2453e-05    -3.40641e-05
     -0.00015933    -0.000188897
     -4.3666e-05    -4.41267e-05
     -0.00030678    -0.000375156
     -7.9269e-05    -0.000105325
     -6.0869e-05    -8.33531e-05
     -3.2868e-05     -4.1494e-05
     -3.8619e-05      -4.444e-05
     -0.00095149    -0.000974214
     -1.2747e-05    -1.38885e-05
    -0.000181878    -0.000169604
    -0.000107088    -0.000118948
    -0.000205566    -0.000229435
    -0.000518881    -0.000740267
      -4.574e-05    -4.27939e-05
      -6.675e-06    -8.84966e-06
     -7.7265e-05    -8.62074e-05
    -0.000202013    -0.000266784
    -0.000621375    -0.000740619
    -0.000226285    -0.000276996
      -7.976e-06    -1.01559e-05
     -5.6305e-05     -5.5683e-05
     -7.6211e-05    -7.61171e-05
     -2.7994e-05    -4.91033e-05
     -0.00104649    -0.000932621
    -0.000233375    -0.000256648
    -0.000200185    -0.000184867
     -0.00101692     -0.00111318
     -1.1101e-05    -1.90317e-05
     -2.1799e-05    -2.39016e-05
    -0.000312959    -0.000334168
     -1.4697e-05    -1.71876e-05
    -0.000245688    -0.000270609
     -0.00019995    -0.000218006
     -1.3735e-05    -1.78101e-05
    -0.000110669    -0.000102257
     -2.4082e-05    -2.70909e-05
    -0.000247237    -0.000252302
     -0.00010586    -9.62936e-05
     -0.00024081    -0.000267466
    -0.000139941     -0.00019454
     -2.0958e-05    -3.15714e-05
    -0.000190421    -0.000219049
     -9.1386e-05    -0.000100949
    -0.000176091    -0.000193541
     -9.2164e-05    -8.29329e-05
     -4.2639e-05    -5.70027e-05
    -0.000541445    -0.000462494
     -6.4225e-05    -6.36981e-05
     -9.9613e-05    -0.000105578
     -1.3045e-05    -1.76267e-05
    -0.000227053    -0.000327201
     -7.8069e-05    -6.82662e-05
     -5.0451e-05    -7.84951e-05
     -7.4707e-05    -8.48152e-05
    -0.000277242    -0.000356049
    -0.000168585    -0.000186046
     -0.00100752     -0.00103294
    -0.000376697    -0.000446412
    -0.000228764    -0.000217762
    -0.000141247    -0.000173112
    -0.000443968    -0.000602423
    -0.000178359    -0.000237048
    -0.000271237    -0.000290864
     -2.5048e-05    -2.64762e-05
     -7.7602e-05     -7.4107e-05
      -7.421e-06    -1.10809e-05
     -3.4086e-05    -4.08875e-05
      -3.089e-05    -4.82835e-05
     -7.3805e-05    -7.89093e-05
    -0.000145884    -0.000166469
     -5.4096e-05      -5.023e-05
    -0.000418455    -0.000400336
       -9.55e-06    -1.33073e-05
    -0.000179033    -0.000172568
    -0.000723847    -0.000733908
    -0.000657109    -0.000740248
    -0.000309335    -0.000438639
     -9.5913e-05    -9.47386e-05
    -0.000272047    -0.000274581
     -6.0277e-05    -5.38647e-05
     -2.3077e-05    -2.75603e-05
    -0.000639877    -0.000518241
     -6.7964e-05    -6.27326e-05
     -4.8621e-05    -5.22516e-05
     -2.2877e-05    -3.64653e-05
    -0.000421773       -0.000429
     -5.2991e-05    -5.98438e-05
     -2.0359e-05    -2.35691e-05
     -8.3442e-05    -7.44961e-05
     -3.6498e-05    -5.37882e-05
     -1.3532e-05    -1.29788e-05
    -0.000781406    -0.000776833
     -2.5788e-05    -3.77475e-05
     -3.3098e-05    -3.39878e-05
    -0.000249536    -0.000340549
    -0.000109746    -0.000101325
    -0.000716611    -0.000728285
    -0.000655658    -0.000604646
    -0.000606489     -0.00045812
     -0.00157058     -0.00143896
    -0.000137852    -0.000216451
     -4.1313e-05     -5.6972e-05
    -0.000116389    -0.000211677
     -0.00169661     -0.00155429
     -1.8105e-05    -2.21213e-05
    -0.000100658     -0.00010151
     -1.7361e-05    -1.65694e-05
     -2.7881e-05    -3.42222e-05
     -6.9878e-05    -7.99408e-05
     -6.8465e-05    -6.54545e-05
     -1.1937e-05    -1.65951e-05
    -0.000791111    -0.000701737
    -0.000394977    -0.000460896
    -0.000227636    -0.000217519
     -1.4059e-05    -1.44434e-05
     -6.3388e-05    -6.11616e-05
     -4.1388e-05     -4.1386e-05
     -0.00143986     -0.00119546
    -0.000451572    -0.000530957
     -3.1721e-05    -5.05507e-05
    -0.000256822    -0.000255896
