QM Energy	FF Energy
     -0.00162878      -0.0013581
     -4.7802e-05    -5.52588e-05
     -1.1579e-05    -1.43705e-05
     -2.6943e-05    -3.74274e-05
    -0.000351236    -0.000423767
    -0.000700853    -0.000655185
    -0.000341083    -0.000363899
    -0.000650684    -0.000593079
    -0.000103863     -0.00010838
    -0.000331466    -0.000347079
    -0.000144641    -0.000158649
     -2.7629e-05    -3.86265e-05
    -0.000466765    -0.000464928
     -2.3816e-05    -3.13322e-05
     -1.2906e-05      -1.913e-05
     -0.00102302     -0.00103375
     -0.00154099     -0.00140976
    -0.000504834    -0.000519752
    -0.000224861    -0.000216504
    -0.000106242    -0.000133135
     -0.00111019     -0.00105466
    -0.000190478    -0.000203291
     -1.2933e-05    -1.81534e-05
     -3.7683e-05    -5.03125e-05
     -0.00041349    -0.000421216
     -1.8185e-05    -2.52082e-05
    -0.000355988    -0.000379992
    -0.000191997    -0.000211668
    -0.000138878    -0.000161229
     -5.3817e-05    -6.55506e-05
     -2.9368e-05    -4.01266e-05
     -0.00141015     -0.00143433
     -1.9924e-05    -2.45693e-05
     -9.3476e-05    -9.59587e-05
     -7.2858e-05    -8.97233e-05
    -0.000489287    -0.000512539
      -0.0010632     -0.00102057
     -5.0778e-05    -6.81388e-05
      -6.971e-06    -1.11604e-05
    -0.000139205    -0.000164703
    -0.000392445    -0.000461353
     -0.00161467     -0.00158093
    -0.000685101    -0.000561305
      -9.586e-06    -1.40973e-05
     -3.2683e-05    -4.63383e-05
     -5.5524e-05    -7.40344e-05
     -8.9553e-05    -0.000101005
      -0.0016093     -0.00136872
    -0.000214407    -0.000240942
     -8.9258e-05    -9.03567e-05
     -0.00176552     -0.00178877
     -2.7013e-05    -3.27004e-05
     -1.9571e-05    -2.64178e-05
    -0.000826684    -0.000771131
     -1.5538e-05    -2.29532e-05
    -0.000263121    -0.000300304
    -0.000162421    -0.000198657
     -1.9278e-05    -2.58916e-05
     -2.0735e-05    -3.02704e-05
     -2.1525e-05    -2.91804e-05
    -0.000520779    -0.000556653
    -0.000205921    -0.000224975
      -0.0002436    -0.000300726
    -0.000446107    -0.000430259
     -4.7901e-05    -5.86353e-05
    -0.000284788    -0.000317799
     -6.7186e-05    -8.73965e-05
    -0.000142176     -0.00017673
     -3.1693e-05    -3.29154e-05
     -7.2308e-05    -8.76546e-05
     -0.00120625     -0.00111869
     -5.3662e-05    -7.17572e-05
    -0.000191585    -0.000225609
     -2.6906e-05    -3.32946e-05
    -0.000721114    -0.000674563
     -1.5984e-05    -2.32756e-05
    -0.000149703    -0.000165217
    -0.000158993    -0.000173296
    -0.000493029    -0.000499484
    -0.000388758    -0.000418783
     -0.00162468     -0.00159461
     -0.00102127    -0.000960985
    -0.000169487    -0.000159763
    -0.000382578    -0.000393435
    -0.000895392    -0.000983857
    -0.000498912    -0.000496622
    -0.000364215    -0.000407307
     -3.4249e-05    -4.73406e-05
     -9.1995e-05    -0.000117829
     -1.1853e-05    -1.65819e-05
     -7.0302e-05    -8.33834e-05
     -7.8863e-05    -8.97643e-05
    -0.000154611    -0.000176201
    -0.000227207     -0.00027506
      -3.332e-05    -4.71357e-05
     -0.00047702    -0.000420071
     -1.5852e-05    -1.95816e-05
    -0.000390968    -0.000389434
     -0.00107487    -0.000921937
     -0.00109157     -0.00112368
     -0.00102143     -0.00090552
    -0.000124173    -0.000157255
    -0.000185192    -0.000222047
     -9.7205e-05    -0.000112662
     -2.5892e-05    -3.47025e-05
      -0.0012845      -0.0012092
     -1.4349e-05    -1.68944e-05
     -2.7144e-05    -4.07494e-05
     -4.5719e-05    -6.66957e-05
    -0.000848341     -0.00083298
     -9.3859e-05    -0.000119418
     -3.8028e-05    -4.36248e-05
      -2.519e-05    -4.02377e-05
     -5.6055e-05    -6.42294e-05
     -1.8123e-05    -2.28087e-05
     -0.00181979     -0.00172822
     -6.3587e-05    -7.65617e-05
     -4.7286e-05    -6.17637e-05
    -0.000809243    -0.000661205
    -0.000211911    -0.000231134
     -0.00100266    -0.000902409
     -0.00128855     -0.00128518
     -0.00107275     -0.00105033
     -0.00247454     -0.00249027
    -0.000512778    -0.000464774
    -0.000102159    -0.000110027
    -0.000466268    -0.000429413
      -0.0022183     -0.00244878
     -3.1537e-05    -3.59684e-05
    -0.000113225    -0.000147828
     -2.5128e-05    -3.12052e-05
     -5.7951e-05    -6.91981e-05
    -0.000115505    -0.000147158
     -8.1373e-05     -0.00010509
     -2.2806e-05    -2.89565e-05
     -0.00152563     -0.00150847
    -0.000644949     -0.00068156
      -0.0004505    -0.000481595
     -1.4459e-05    -2.08475e-05
     -1.5435e-05    -2.35132e-05
     -1.2463e-05    -2.04321e-05
     -0.00250892     -0.00245133
     -0.00112415     -0.00114676
     -7.7189e-05    -9.36806e-05
    -0.000188473     -0.00020091
     -0.00108782     -0.00102391
     -3.6122e-05    -4.25158e-05
    -0.000134525     -0.00015842
      -9.454e-06    -1.39021e-05
    -0.000569272     -0.00055017
     -0.00013683    -0.000169818
    -0.000598284    -0.000632363
      -9.929e-06    -1.56494e-05
    -0.000110767    -0.000117085
      -0.0010106    -0.000869234
     -3.9641e-05    -4.19454e-05
    -0.000633152    -0.000599413
     -9.7438e-05    -0.000120003
     -2.3469e-05    -3.14163e-05
     -6.7566e-05     -7.7243e-05
    -0.000107803    -0.000111191
    -0.000104237     -0.00012247
     -3.0111e-05    -3.94937e-05
    -0.000277366    -0.000311776
     -0.00184915     -0.00182123
    -0.000698825     -0.00067907
     -2.6086e-05    -3.24312e-05
    -0.000232272    -0.000256064
     -3.8381e-05    -4.92668e-05
    -0.000576886     -0.00058021
     -0.00016706    -0.000221377
    -0.000401967    -0.000421362
      -1.585e-05    -2.04202e-05
    -0.000828936     -0.00082849
    -0.000166795     -0.00016743
     -3.3747e-05    -4.86872e-05
     -2.5254e-05    -3.75278e-05
     -9.8819e-05    -0.000117721
      -4.796e-05    -5.93774e-05
     -1.6599e-05    -2.38028e-05
     -4.2692e-05    -6.02538e-05
     -1.4395e-05    -1.90064e-05
     -6.9835e-05    -7.89035e-05
     -1.2325e-05    -1.83978e-05
     -2.9632e-05    -3.76403e-05
    -0.000246352    -0.000253497
    -0.000152727    -0.000167161
    -0.000644432    -0.000604918
    -0.000640889    -0.000645499
     -3.2685e-05     -3.9725e-05
     -0.00236823     -0.00265634
    -0.000436677    -0.000461899
    -0.000239347    -0.000287179
     -0.00135848     -0.00136255
    -0.000185136    -0.000207786
     -2.7032e-05     -3.7777e-05
     -2.5257e-05     -3.4557e-05
     -2.0415e-05    -3.03193e-05
    -0.000178199    -0.000209582
     -5.4903e-05     -6.9288e-05
    -0.000339711    -0.000304882
     -0.00123199     -0.00113252
     -6.2034e-05    -8.43733e-05
    -0.000334276    -0.000343802
    -0.000194556     -0.00024178
     -0.00171328     -0.00171751
    -0.000206342    -0.000248187
     -5.3475e-05    -7.05081e-05
     -5.9139e-05    -7.23667e-05
     -4.0726e-05    -5.65175e-05
     -0.00118634     -0.00117638
    -0.000326447    -0.000319872
     -7.3049e-05    -8.86304e-05
     -3.1503e-05    -3.44893e-05
    -0.000133124    -0.000149765
     -6.0728e-05    -8.23965e-05
     -2.5834e-05    -3.11531e-05
    -0.000154995    -0.000170166
     -2.8581e-05    -3.36317e-05
      -3.708e-06    -6.16544e-06
    -0.000352504    -0.000375132
     -5.7362e-05    -7.80077e-05
    -0.000376567    -0.000398061
    -0.000367573     -0.00040198
    -0.000110031    -0.000136781
