QM Energy	FF Energy
     -0.00162878       -0.001354
     -4.7802e-05    -5.60822e-05
     -1.1579e-05    -1.49114e-05
     -2.6943e-05    -3.73056e-05
    -0.000351236    -0.000428176
    -0.000700853    -0.000647974
    -0.000341083    -0.000361918
    -0.000650684    -0.000593356
    -0.000103863    -0.000109015
    -0.000331466    -0.000346632
    -0.000144641    -0.000159001
     -2.7629e-05    -3.88303e-05
    -0.000466765    -0.000467941
     -2.3816e-05    -3.09484e-05
     -1.2906e-05    -1.88689e-05
     -0.00102302     -0.00102924
     -0.00154099     -0.00141294
    -0.000504834    -0.000523874
    -0.000224861    -0.000222164
    -0.000106242    -0.000131953
     -0.00111019     -0.00105764
    -0.000190478    -0.000203319
     -1.2933e-05    -1.80715e-05
     -3.7683e-05    -5.01863e-05
     -0.00041349    -0.000422212
     -1.8185e-05    -2.51856e-05
    -0.000355988    -0.000381474
    -0.000191997     -0.00021029
    -0.000138878    -0.000162692
     -5.3817e-05     -6.5374e-05
     -2.9368e-05    -4.02944e-05
     -0.00141015     -0.00142695
     -1.9924e-05    -2.46324e-05
     -9.3476e-05    -9.49937e-05
     -7.2858e-05    -8.83425e-05
    -0.000489287    -0.000509882
      -0.0010632    -0.000996229
     -5.0778e-05    -6.78049e-05
      -6.971e-06    -1.10015e-05
    -0.000139205    -0.000164755
    -0.000392445    -0.000460964
     -0.00161467     -0.00158333
    -0.000685101    -0.000561722
      -9.586e-06     -1.3989e-05
     -3.2683e-05    -4.62585e-05
     -5.5524e-05    -7.30775e-05
     -8.9553e-05    -0.000101171
      -0.0016093     -0.00139249
    -0.000214407    -0.000245303
     -8.9258e-05    -9.04741e-05
     -0.00176552     -0.00180877
     -2.7013e-05    -3.28915e-05
     -1.9571e-05    -2.66633e-05
    -0.000826684    -0.000771743
     -1.5538e-05    -2.28394e-05
    -0.000263121    -0.000302457
    -0.000162421    -0.000202021
     -1.9278e-05    -2.63056e-05
     -2.0735e-05     -3.1075e-05
     -2.1525e-05    -2.91083e-05
    -0.000520779    -0.000551347
    -0.000205921    -0.000223579
      -0.0002436    -0.000303867
    -0.000446107    -0.000432133
     -4.7901e-05    -5.81401e-05
    -0.000284788    -0.000314609
     -6.7186e-05    -8.70586e-05
    -0.000142176    -0.000177537
     -3.1693e-05    -3.37189e-05
     -7.2308e-05    -8.76027e-05
     -0.00120625     -0.00111791
     -5.3662e-05    -7.15211e-05
    -0.000191585    -0.000224694
     -2.6906e-05    -3.34143e-05
    -0.000721114    -0.000674737
     -1.5984e-05    -2.18396e-05
    -0.000149703    -0.000164023
    -0.000158993    -0.000174059
    -0.000493029    -0.000504136
    -0.000388758    -0.000415153
     -0.00162468     -0.00160953
     -0.00102127    -0.000966416
    -0.000169487      -0.0001631
    -0.000382578    -0.000394025
    -0.000895392    -0.000989004
    -0.000498912    -0.000492176
    -0.000364215    -0.000406026
     -3.4249e-05    -4.68554e-05
     -9.1995e-05     -0.00011665
     -1.1853e-05     -1.6534e-05
     -7.0302e-05    -8.28439e-05
     -7.8863e-05     -8.9462e-05
    -0.000154611    -0.000174823
    -0.000227207    -0.000272207
      -3.332e-05    -4.65001e-05
     -0.00047702    -0.000432556
     -1.5852e-05    -1.95381e-05
    -0.000390968    -0.000389828
     -0.00107487     -0.00093476
     -0.00109157     -0.00112303
     -0.00102143    -0.000906071
    -0.000124173     -0.00015599
    -0.000185192    -0.000223454
     -9.7205e-05    -0.000111687
     -2.5892e-05    -3.45124e-05
      -0.0012845     -0.00120193
     -1.4349e-05    -1.76782e-05
     -2.7144e-05    -4.12094e-05
     -4.5719e-05    -6.57365e-05
    -0.000848341    -0.000839895
     -9.3859e-05    -0.000118445
     -3.8028e-05    -4.35099e-05
      -2.519e-05     -4.0175e-05
     -5.6055e-05      -6.429e-05
     -1.8123e-05    -2.26937e-05
     -0.00181979     -0.00172233
     -6.3587e-05     -7.5943e-05
     -4.7286e-05    -6.17641e-05
    -0.000809243    -0.000663637
    -0.000211911    -0.000229387
     -0.00100266    -0.000923626
     -0.00128855      -0.0012844
     -0.00107275     -0.00103726
     -0.00247454      -0.0025084
    -0.000512778    -0.000464766
    -0.000102159    -0.000110656
    -0.000466268    -0.000432591
      -0.0022183     -0.00250103
     -3.1537e-05    -3.61013e-05
    -0.000113225    -0.000146892
     -2.5128e-05    -3.10051e-05
     -5.7951e-05    -6.86696e-05
    -0.000115505    -0.000146389
     -8.1373e-05    -0.000104391
     -2.2806e-05    -2.86852e-05
     -0.00152563     -0.00150159
    -0.000644949     -0.00068117
      -0.0004505    -0.000477396
     -1.4459e-05    -2.07394e-05
     -1.5435e-05    -2.39135e-05
     -1.2463e-05    -2.07828e-05
     -0.00250892     -0.00242707
     -0.00112415     -0.00114762
     -7.7189e-05     -9.4522e-05
    -0.000188473    -0.000202965
     -0.00108782     -0.00101974
     -3.6122e-05    -4.24308e-05
    -0.000134525    -0.000158743
      -9.454e-06     -1.3701e-05
    -0.000569272    -0.000551034
     -0.00013683    -0.000173486
    -0.000598284    -0.000626874
      -9.929e-06    -1.53625e-05
    -0.000110767    -0.000117777
      -0.0010106    -0.000869095
     -3.9641e-05    -4.25075e-05
    -0.000633152    -0.000621268
     -9.7438e-05    -0.000120456
     -2.3469e-05    -3.24765e-05
     -6.7566e-05     -7.7493e-05
    -0.000107803    -0.000114175
    -0.000104237    -0.000123814
     -3.0111e-05    -3.93077e-05
    -0.000277366     -0.00030277
     -0.00184915     -0.00183206
    -0.000698825    -0.000678135
     -2.6086e-05    -3.25891e-05
    -0.000232272    -0.000254817
     -3.8381e-05    -4.88622e-05
    -0.000576886    -0.000593997
     -0.00016706    -0.000222063
    -0.000401967    -0.000418269
      -1.585e-05     -2.0338e-05
    -0.000828936    -0.000826428
    -0.000166795    -0.000167946
     -3.3747e-05    -4.82137e-05
     -2.5254e-05    -3.69773e-05
     -9.8819e-05    -0.000120478
      -4.796e-05    -5.88032e-05
     -1.6599e-05    -2.36453e-05
     -4.2692e-05    -5.93713e-05
     -1.4395e-05    -1.87182e-05
     -6.9835e-05    -7.88087e-05
     -1.2325e-05    -1.87532e-05
     -2.9632e-05     -3.7516e-05
    -0.000246352     -0.00025416
    -0.000152727    -0.000171678
    -0.000644432    -0.000608194
    -0.000640889    -0.000640397
     -3.2685e-05     -3.9628e-05
     -0.00236823     -0.00269405
    -0.000436677    -0.000460662
    -0.000239347     -0.00028686
     -0.00135848     -0.00135067
    -0.000185136    -0.000206071
     -2.7032e-05    -3.74717e-05
     -2.5257e-05    -3.45145e-05
     -2.0415e-05    -3.01496e-05
    -0.000178199    -0.000210959
     -5.4903e-05    -6.95833e-05
    -0.000339711     -0.00030906
     -0.00123199     -0.00115467
     -6.2034e-05     -8.3299e-05
    -0.000334276    -0.000341798
    -0.000194556    -0.000240401
     -0.00171328      -0.0017002
    -0.000206342    -0.000245683
     -5.3475e-05    -7.04842e-05
     -5.9139e-05    -7.19518e-05
     -4.0726e-05    -5.70002e-05
     -0.00118634     -0.00119494
    -0.000326447    -0.000320862
     -7.3049e-05    -8.78523e-05
     -3.1503e-05    -3.52968e-05
    -0.000133124    -0.000148489
     -6.0728e-05     -8.1484e-05
     -2.5834e-05     -3.0899e-05
    -0.000154995    -0.000171605
     -2.8581e-05    -3.39103e-05
      -3.708e-06    -5.28967e-06
    -0.000352504    -0.000371263
     -5.7362e-05    -7.72877e-05
    -0.000376567    -0.000398979
    -0.000367573    -0.000399754
    -0.000110031    -0.000135619
     -1.8527e-05    -2.33426e-05
    -0.000806893    -0.000736099
    -0.000268123    -0.000288236
     -0.00063869    -0.000663915
     -4.1178e-05    -4.75037e-05
     -4.8333e-05     -6.5816e-05
     -0.00174008     -0.00156524
     -0.00029621     -0.00030199
     -9.2743e-05    -0.000107901
     -0.00145081     -0.00143371
    -0.000496705    -0.000463944
