QM Energy	FF Energy
     -0.00162878     -0.00139973
     -4.7802e-05     -5.7396e-05
     -1.1579e-05    -1.60206e-05
     -2.6943e-05    -3.87551e-05
    -0.000351236    -0.000433867
    -0.000700853    -0.000696652
    -0.000341083    -0.000371872
    -0.000650684    -0.000608531
    -0.000103863    -0.000111245
    -0.000331466    -0.000357728
    -0.000144641    -0.000165745
     -2.7629e-05    -4.00027e-05
    -0.000466765    -0.000471743
     -2.3816e-05    -3.12935e-05
     -1.2906e-05    -2.03621e-05
     -0.00102302     -0.00103898
     -0.00154099     -0.00144183
    -0.000504834    -0.000533853
    -0.000224861    -0.000234727
    -0.000106242    -0.000134837
     -0.00111019      -0.0010775
    -0.000190478     -0.00020967
     -1.2933e-05    -1.91814e-05
     -3.7683e-05     -5.1985e-05
     -0.00041349    -0.000430063
     -1.8185e-05    -2.53918e-05
    -0.000355988    -0.000387497
    -0.000191997    -0.000216747
    -0.000138878    -0.000168733
     -5.3817e-05    -6.77517e-05
     -2.9368e-05    -4.09646e-05
     -0.00141015     -0.00143255
     -1.9924e-05    -2.58695e-05
     -9.3476e-05    -0.000101382
     -7.2858e-05    -8.99793e-05
    -0.000489287    -0.000520396
      -0.0010632     -0.00100159
     -5.0778e-05    -6.96772e-05
      -6.971e-06    -1.18787e-05
    -0.000139205    -0.000169056
    -0.000392445    -0.000459513
     -0.00161467     -0.00161477
    -0.000685101    -0.000590334
      -9.586e-06    -1.50845e-05
     -3.2683e-05    -4.65649e-05
     -5.5524e-05    -7.45299e-05
     -8.9553e-05    -0.000106276
      -0.0016093     -0.00150857
    -0.000214407    -0.000248132
     -8.9258e-05    -9.81769e-05
     -0.00176552     -0.00181718
     -2.7013e-05    -3.47985e-05
     -1.9571e-05    -2.79132e-05
    -0.000826684    -0.000784347
     -1.5538e-05    -2.40991e-05
    -0.000263121    -0.000288985
    -0.000162421    -0.000195962
     -1.9278e-05    -2.78407e-05
     -2.0735e-05    -3.30022e-05
     -2.1525e-05    -3.00718e-05
    -0.000520779    -0.000562021
    -0.000205921    -0.000228922
      -0.0002436    -0.000292674
    -0.000446107    -0.000442882
     -4.7901e-05    -6.11127e-05
    -0.000284788    -0.000307482
     -6.7186e-05    -8.70497e-05
    -0.000142176    -0.000181493
     -3.1693e-05    -3.60107e-05
     -7.2308e-05    -8.98467e-05
     -0.00120625     -0.00113774
     -5.3662e-05    -7.23867e-05
    -0.000191585     -0.00023103
     -2.6906e-05    -3.51992e-05
    -0.000721114    -0.000695873
     -1.5984e-05    -2.25823e-05
    -0.000149703    -0.000170836
    -0.000158993    -0.000178582
    -0.000493029    -0.000478013
    -0.000388758    -0.000423772
     -0.00162468     -0.00157247
     -0.00102127    -0.000981644
    -0.000169487    -0.000173026
    -0.000382578    -0.000401709
    -0.000895392    -0.000950724
    -0.000498912    -0.000512241
    -0.000364215     -0.00040865
     -3.4249e-05    -4.87128e-05
     -9.1995e-05    -0.000118659
     -1.1853e-05    -1.77382e-05
     -7.0302e-05    -8.60404e-05
     -7.8863e-05    -9.34949e-05
    -0.000154611    -0.000180292
    -0.000227207    -0.000266719
      -3.332e-05    -4.75199e-05
     -0.00047702    -0.000457827
     -1.5852e-05    -2.06793e-05
    -0.000390968    -0.000396176
     -0.00107487     -0.00101981
     -0.00109157      -0.0010513
     -0.00102143    -0.000941582
    -0.000124173    -0.000157304
    -0.000185192    -0.000227459
     -9.7205e-05    -0.000114798
     -2.5892e-05     -3.5812e-05
      -0.0012845     -0.00121327
     -1.4349e-05    -1.87066e-05
     -2.7144e-05    -4.22737e-05
     -4.5719e-05    -6.98715e-05
    -0.000848341    -0.000847838
     -9.3859e-05    -0.000122864
     -3.8028e-05    -4.54009e-05
      -2.519e-05    -4.17532e-05
     -5.6055e-05     -6.6539e-05
     -1.8123e-05    -2.37796e-05
     -0.00181979     -0.00173934
     -6.3587e-05    -7.96418e-05
     -4.7286e-05    -6.40265e-05
    -0.000809243    -0.000694657
    -0.000211911    -0.000234528
     -0.00100266    -0.000956392
     -0.00128855     -0.00130114
     -0.00107275     -0.00103718
     -0.00247454      -0.0023474
    -0.000512778    -0.000485148
    -0.000102159    -0.000114504
    -0.000466268    -0.000445571
      -0.0022183     -0.00254001
     -3.1537e-05    -3.78366e-05
    -0.000113225    -0.000149187
     -2.5128e-05     -3.2395e-05
     -5.7951e-05     -7.1637e-05
    -0.000115505    -0.000151108
     -8.1373e-05    -0.000106848
     -2.2806e-05    -3.03599e-05
     -0.00152563     -0.00150751
    -0.000644949    -0.000634263
      -0.0004505    -0.000483024
     -1.4459e-05    -2.17101e-05
     -1.5435e-05    -2.40871e-05
     -1.2463e-05     -2.1539e-05
     -0.00250892     -0.00246945
     -0.00112415     -0.00116221
     -7.7189e-05    -9.88628e-05
    -0.000188473    -0.000206101
     -0.00108782     -0.00103122
     -3.6122e-05    -4.42445e-05
    -0.000134525    -0.000163983
      -9.454e-06    -1.47202e-05
    -0.000569272    -0.000570573
     -0.00013683    -0.000170011
    -0.000598284    -0.000624846
      -9.929e-06    -1.66359e-05
    -0.000110767    -0.000121447
      -0.0010106    -0.000899606
     -3.9641e-05      -4.534e-05
    -0.000633152    -0.000677234
     -9.7438e-05    -0.000123936
     -2.3469e-05    -3.46262e-05
     -6.7566e-05    -8.00028e-05
    -0.000107803    -0.000119758
    -0.000104237    -0.000125057
     -3.0111e-05    -4.08716e-05
    -0.000277366    -0.000296517
     -0.00184915     -0.00177934
    -0.000698825    -0.000694961
     -2.6086e-05    -3.57087e-05
    -0.000232272    -0.000260504
     -3.8381e-05    -5.15224e-05
    -0.000576886    -0.000588382
     -0.00016706    -0.000222366
    -0.000401967    -0.000427329
      -1.585e-05    -2.14419e-05
    -0.000828936    -0.000840496
    -0.000166795    -0.000176842
     -3.3747e-05    -5.08082e-05
     -2.5254e-05    -3.95256e-05
     -9.8819e-05    -0.000119501
      -4.796e-05    -6.19169e-05
     -1.6599e-05    -2.51794e-05
     -4.2692e-05    -5.98639e-05
     -1.4395e-05     -1.9689e-05
     -6.9835e-05     -8.1398e-05
     -1.2325e-05    -1.91097e-05
     -2.9632e-05    -3.91552e-05
    -0.000246352    -0.000259485
    -0.000152727    -0.000180389
    -0.000644432    -0.000614688
    -0.000640889    -0.000656419
     -3.2685e-05     -4.1447e-05
     -0.00236823     -0.00251276
    -0.000436677    -0.000463476
    -0.000239347     -0.00029202
     -0.00135848     -0.00134734
    -0.000185136    -0.000217287
     -2.7032e-05    -3.87568e-05
     -2.5257e-05    -3.46982e-05
     -2.0415e-05    -3.09061e-05
    -0.000178199    -0.000208649
     -5.4903e-05    -7.18432e-05
    -0.000339711    -0.000339994
     -0.00123199     -0.00122415
     -6.2034e-05    -8.82394e-05
    -0.000334276    -0.000353949
    -0.000194556    -0.000242055
     -0.00171328     -0.00172136
    -0.000206342    -0.000240022
     -5.3475e-05    -7.38016e-05
     -5.9139e-05    -7.52019e-05
     -4.0726e-05    -5.93622e-05
     -0.00118634     -0.00109282
    -0.000326447    -0.000330687
     -7.3049e-05    -9.21913e-05
     -3.1503e-05    -3.73739e-05
    -0.000133124    -0.000152295
     -6.0728e-05    -8.21527e-05
     -2.5834e-05    -3.23944e-05
    -0.000154995    -0.000179258
     -2.8581e-05    -3.55871e-05
      -3.708e-06    -5.89742e-06
    -0.000352504    -0.000378537
     -5.7362e-05    -8.00089e-05
    -0.000376567    -0.000410443
    -0.000367573    -0.000405479
    -0.000110031    -0.000137219
