QM Energy	FF Energy
     -0.00668496     -0.00732502
    -0.000554711    -0.000530959
    -0.000216012    -0.000217745
     -8.1606e-05    -9.06926e-05
     -0.00212236     -0.00225724
     -0.00367783     -0.00346283
     -0.00154872     -0.00158589
     -0.00316859     -0.00303694
    -0.000881759    -0.000834867
      -0.0015134     -0.00139258
    -0.000895786    -0.000763851
    -0.000222498    -0.000218384
     -0.00224432     -0.00228032
     -4.4428e-05    -4.09638e-05
     -7.9322e-05    -9.26413e-05
     -0.00428019     -0.00412237
     -0.00697347      -0.0069577
     -0.00193195      -0.0020658
     -0.00150225     -0.00148679
    -0.000127836    -0.000192558
     -0.00642184     -0.00573954
    -0.000742845    -0.000721089
     -5.9956e-05    -5.37974e-05
     -8.5416e-05    -6.82235e-05
      -0.0018921     -0.00157291
     -9.6927e-05     -0.00011763
      -0.0022643     -0.00230459
    -0.000867479    -0.000851789
    -0.000827815    -0.000795059
    -0.000232452    -0.000233119
    -0.000228693    -0.000272165
     -0.00612665      -0.0060478
    -0.000109817    -9.00872e-05
    -0.000395433    -0.000362095
    -0.000508678    -0.000539497
     -0.00179995     -0.00175713
     -0.00628844     -0.00604985
     -7.7278e-05    -0.000114717
     -5.5941e-05    -6.14044e-05
    -0.000425766    -0.000439963
     -0.00189271     -0.00225312
     -0.00942248        -0.00824
     -0.00285456     -0.00336334
       -6.13e-05    -6.15187e-05
     -4.6777e-05    -9.31595e-05
     -7.2439e-05    -3.62865e-05
    -0.000520759    -0.000480729
     -0.00765488     -0.00731666
     -0.00130134     -0.00132624
    -0.000665693     -0.00064003
     -0.00902831     -0.00918857
    -0.000200871    -0.000180839
    -0.000124314    -0.000124706
     -0.00329473     -0.00299692
     -9.1973e-05    -0.000102974
      -0.0014295     -0.00149468
     -0.00105686     -0.00115422
    -0.000164193    -0.000165497
    -0.000102151    -0.000103745
     -5.3696e-05     -6.7384e-05
     -0.00156998     -0.00174391
      -0.0006368    -0.000620108
     -0.00133181      -0.0015763
     -0.00225419     -0.00192251
    -0.000288087    -0.000261694
    -0.000831893    -0.000936358
    -0.000366022    -0.000405447
    -0.000984565     -0.00104848
    -0.000402503    -0.000356115
    -0.000404725    -0.000456276
     -0.00447651     -0.00443127
      -7.992e-05    -0.000132123
    -0.000635033    -0.000688401
     -0.00016506    -0.000134793
     -0.00318825     -0.00325675
     0.000183065     0.000237967
     -0.00074125    -0.000740512
    -0.000709658    -0.000618674
     -0.00298177     -0.00302109
     -0.00138495     -0.00133107
     -0.00838798     -0.00864374
     -0.00492434     -0.00443327
     -0.00117495     -0.00109318
     -0.00167504     -0.00135719
     -0.00467277     -0.00531595
     -0.00192421     -0.00234545
     -0.00152383     -0.00155955
     -4.4557e-05    -5.77163e-05
     -4.5613e-05    -0.000118013
    -0.000101441     -9.4193e-05
    -0.000338594     -0.00031734
    -0.000478251    -0.000440315
    -0.000527746    -0.000546734
    -0.000770927    -0.000934814
      9.9435e-05     9.19535e-05
     -0.00283559     -0.00268584
    -0.000115243    -9.69234e-05
     -0.00126479     -0.00121457
     -0.00536571     -0.00523081
     -0.00488672     -0.00493167
     -0.00529409     -0.00542941
    -0.000228322    -0.000340526
     -0.00101438     -0.00100525
    -0.000241371    -0.000250228
     -9.9925e-05     -0.00010277
     -0.00417907     -0.00420129
    -0.000214549    -0.000190797
    -0.000225089    -0.000239711
    -0.000257365    -0.000345552
      -0.0036176     -0.00356027
    -0.000290562    -0.000350198
    -0.000180835    -0.000139443
        2.28e-05    -2.77653e-06
    -0.000362146    -0.000391343
     -6.2954e-05    -5.02701e-05
     -0.00798762     -0.00767954
    -0.000354101    -0.000307922
    -0.000175791    -0.000183883
     -0.00363543     -0.00418483
    -0.000594873    -0.000595946
     -0.00511463     -0.00501576
     -0.00570199     -0.00562583
     -0.00238956      -0.0028095
      -0.0135092      -0.0139984
     -0.00248075     -0.00253092
    -0.000541485    -0.000440583
     -0.00243755     -0.00219454
      -0.0182111      -0.0187613
    -0.000220922    -0.000167415
    -0.000228554    -0.000344861
     -8.6003e-05    -7.48724e-05
    -0.000290971    -0.000277999
     -0.00047365    -0.000558572
    -0.000105256    -0.000160058
    -0.000149369    -0.000118034
     -0.00551868     -0.00582452
     -0.00271888     -0.00295373
      -0.0012893     -0.00139172
     -3.0664e-05    -3.54985e-05
    -0.000155887      -0.0001865
    -0.000110345    -0.000112329
      -0.0120849      -0.0127321
     -0.00485604     -0.00461401
    -0.000541832    -0.000511573
    -0.000993267     -0.00104699
     -0.00320808     -0.00329237
    -0.000209004    -0.000165195
     -0.00069292    -0.000627157
     -5.6286e-05    -5.28119e-05
     -0.00275201     -0.00276601
    -0.000685594    -0.000759744
     -0.00140195     -0.00170295
     -2.3936e-05    -5.45701e-05
    -0.000607387    -0.000564098
     -0.00413132      -0.0043552
    -0.000289115    -0.000302174
      -0.0035343     -0.00363597
    -0.000377477    -0.000386379
    -0.000103187    -0.000110201
    -0.000325908    -0.000294049
    -0.000881053    -0.000864469
    -0.000964211     -0.00095636
    -0.000147914    -0.000160209
     -0.00072346    -0.000652837
     -0.00891177     -0.00921236
     -0.00297951     -0.00280335
     -2.6229e-05    -4.40751e-05
    -0.000776164    -0.000821837
    -0.000206924    -0.000216013
     -0.00267942     -0.00285387
    -0.000838562     -0.00104545
     -0.00142168     -0.00144595
     -7.0215e-05    -6.74429e-05
     -0.00349231      -0.0032666
    -0.000865533    -0.000888938
    -0.000224694    -0.000262189
    -0.000123478    -0.000174736
    -0.000710864    -0.000767492
    -0.000247981     -0.00022445
    -0.000116719    -0.000121715
    -0.000145494    -0.000182189
      1.2796e-05    -1.22028e-05
    -0.000315825    -0.000264266
     -0.00017452    -0.000167061
    -0.000139988    -0.000110383
     -0.00087572    -0.000811355
     -0.00100289     -0.00106477
     -0.00369816     -0.00341933
     -0.00307519     -0.00329308
    -0.000108494    -6.91959e-05
      -0.0135889      -0.0142302
     -0.00151133     -0.00156814
     -0.00124169     -0.00153598
     -0.00587588      -0.0056953
     -0.00090743      -0.0010972
     -5.9082e-05    -6.87755e-05
    -0.000103749    -0.000141654
     -5.7761e-05    -8.94962e-05
    -0.000936553     -0.00108807
    -0.000293478    -0.000282791
     -0.00182036     -0.00178752
     -0.00692122     -0.00677363
    -0.000333469     -0.00038485
     -0.00162481     -0.00166985
    -0.000702263    -0.000825689
     -0.00915148     -0.00986393
    -0.000714006    -0.000805832
    -0.000317718    -0.000337794
