QM Energy	FF Energy
     -0.00668496     -0.00715101
    -0.000554711    -0.000528912
    -0.000216012    -0.000216972
     -8.1606e-05    -9.22814e-05
     -0.00212236     -0.00225733
     -0.00367783     -0.00351201
     -0.00154872     -0.00158442
     -0.00316859     -0.00303248
    -0.000881759    -0.000830676
      -0.0015134     -0.00138567
    -0.000895786    -0.000765968
    -0.000222498    -0.000217977
     -0.00224432     -0.00229698
     -4.4428e-05    -3.86071e-05
     -7.9322e-05    -9.43725e-05
     -0.00428019     -0.00413554
     -0.00697347     -0.00687488
     -0.00193195     -0.00206785
     -0.00150225     -0.00149723
    -0.000127836    -0.000196138
     -0.00642184      -0.0056839
    -0.000742845    -0.000723799
     -5.9956e-05    -5.48972e-05
     -8.5416e-05     -7.0032e-05
      -0.0018921     -0.00158496
     -9.6927e-05    -0.000116977
      -0.0022643     -0.00227494
    -0.000867479    -0.000858668
    -0.000827815    -0.000798504
    -0.000232452    -0.000234012
    -0.000228693    -0.000272267
     -0.00612665     -0.00602079
    -0.000109817    -9.13853e-05
    -0.000395433    -0.000358691
    -0.000508678    -0.000536297
     -0.00179995     -0.00176965
     -0.00628844     -0.00598842
     -7.7278e-05    -0.000116944
     -5.5941e-05    -6.25897e-05
    -0.000425766    -0.000444249
     -0.00189271     -0.00224825
     -0.00942248     -0.00814913
     -0.00285456     -0.00329317
       -6.13e-05    -6.28842e-05
     -4.6777e-05    -9.30102e-05
     -7.2439e-05    -3.61987e-05
    -0.000520759      -0.0004823
     -0.00765488     -0.00754486
     -0.00130134     -0.00131107
    -0.000665693    -0.000641245
     -0.00902831     -0.00917709
    -0.000200871     -0.00018271
    -0.000124314    -0.000125952
     -0.00329473     -0.00300028
     -9.1973e-05    -0.000104486
      -0.0014295     -0.00148623
     -0.00105686     -0.00114671
    -0.000164193    -0.000167194
    -0.000102151     -9.9845e-05
     -5.3696e-05    -6.79715e-05
     -0.00156998     -0.00174035
      -0.0006368    -0.000625312
     -0.00133181     -0.00156913
     -0.00225419     -0.00192717
    -0.000288087    -0.000264899
    -0.000831893    -0.000917858
    -0.000366022    -0.000402951
    -0.000984565     -0.00104134
    -0.000402503    -0.000354056
    -0.000404725    -0.000457388
     -0.00447651     -0.00439011
      -7.992e-05    -0.000132572
    -0.000635033    -0.000691039
     -0.00016506    -0.000136642
     -0.00318825     -0.00322279
     0.000183065     0.000240788
     -0.00074125     -0.00074414
    -0.000709658    -0.000625029
     -0.00298177     -0.00298272
     -0.00138495     -0.00134423
     -0.00838798      -0.0086362
     -0.00492434      -0.0044176
     -0.00117495     -0.00109249
     -0.00167504     -0.00136897
     -0.00467277     -0.00525208
     -0.00192421     -0.00232046
     -0.00152383     -0.00155304
     -4.4557e-05    -5.96149e-05
     -4.5613e-05    -0.000120328
    -0.000101441    -9.55818e-05
    -0.000338594    -0.000320526
    -0.000478251    -0.000444019
    -0.000527746    -0.000552208
    -0.000770927    -0.000936795
      9.9435e-05     9.11872e-05
     -0.00283559     -0.00270609
    -0.000115243    -9.82133e-05
     -0.00126479     -0.00122301
     -0.00536571     -0.00537303
     -0.00488672     -0.00490935
     -0.00529409      -0.0053345
    -0.000228322    -0.000342577
     -0.00101438     -0.00099765
    -0.000241371     -0.00025401
     -9.9925e-05    -0.000104812
     -0.00417907     -0.00416781
    -0.000214549    -0.000189038
    -0.000225089    -0.000240829
    -0.000257365    -0.000348416
      -0.0036176     -0.00355347
    -0.000290562    -0.000352692
    -0.000180835    -0.000141719
        2.28e-05    -2.15006e-06
    -0.000362146    -0.000392743
     -6.2954e-05    -5.14157e-05
     -0.00798762     -0.00767128
    -0.000354101    -0.000312497
    -0.000175791    -0.000186344
     -0.00363543     -0.00410647
    -0.000594873    -0.000600869
     -0.00511463      -0.0050991
     -0.00570199     -0.00558243
     -0.00238956     -0.00282539
      -0.0135092      -0.0139063
     -0.00248075     -0.00250277
    -0.000541485    -0.000444516
     -0.00243755     -0.00219287
      -0.0182111       -0.018883
    -0.000220922    -0.000169262
    -0.000228554    -0.000347236
     -8.6003e-05    -7.63322e-05
    -0.000290971    -0.000281145
     -0.00047365    -0.000563007
    -0.000105256    -0.000162957
    -0.000149369     -0.00012032
     -0.00551868      -0.0058268
     -0.00271888     -0.00289997
      -0.0012893     -0.00140475
     -3.0664e-05    -3.65261e-05
    -0.000155887     -0.00018573
    -0.000110345    -0.000112418
      -0.0120849      -0.0125241
     -0.00485604     -0.00457431
    -0.000541832    -0.000514369
    -0.000993267      -0.0010521
     -0.00320808     -0.00328395
    -0.000209004    -0.000167197
     -0.00069292    -0.000630081
     -5.6286e-05    -5.40823e-05
     -0.00275201      -0.0027385
    -0.000685594     -0.00074854
     -0.00140195     -0.00170244
     -2.3936e-05    -5.58026e-05
    -0.000607387    -0.000567923
     -0.00413132      -0.0042714
    -0.000289115     -0.00030406
      -0.0035343     -0.00368975
    -0.000377477    -0.000389954
    -0.000103187    -0.000106997
    -0.000325908    -0.000297239
    -0.000881053      -0.0008642
    -0.000964211    -0.000958293
    -0.000147914    -0.000161289
     -0.00072346    -0.000629146
     -0.00891177     -0.00920124
     -0.00297951     -0.00278316
     -2.6229e-05    -3.90165e-05
    -0.000776164    -0.000828396
    -0.000206924    -0.000218698
     -0.00267942     -0.00287599
    -0.000838562     -0.00103794
     -0.00142168     -0.00144993
     -7.0215e-05    -6.85625e-05
     -0.00349231     -0.00328096
    -0.000865533    -0.000885555
    -0.000224694    -0.000264674
    -0.000123478    -0.000176901
    -0.000710864    -0.000765355
    -0.000247981    -0.000227975
    -0.000116719     -0.00012348
    -0.000145494    -0.000180607
      1.2796e-05    -9.66784e-06
    -0.000315825    -0.000267551
     -0.00017452    -0.000167121
    -0.000139988    -0.000112285
     -0.00087572    -0.000818004
     -0.00100289     -0.00105954
     -0.00369816     -0.00344855
     -0.00307519     -0.00327576
    -0.000108494    -7.12299e-05
      -0.0135889      -0.0142578
     -0.00151133     -0.00156599
     -0.00124169     -0.00153709
     -0.00587588     -0.00558293
     -0.00090743     -0.00109378
     -5.9082e-05    -7.00364e-05
    -0.000103749    -0.000140793
     -5.7761e-05    -8.94309e-05
    -0.000936553     -0.00107933
    -0.000293478    -0.000284434
     -0.00182036     -0.00182392
     -0.00692122     -0.00684362
    -0.000333469     -0.00038775
     -0.00162481     -0.00167198
    -0.000702263    -0.000835663
     -0.00915148     -0.00972819
    -0.000714006     -0.00079622
    -0.000317718    -0.000340843
    -0.000288264    -0.000269137
     -0.00012979    -0.000157678
     -0.00619051     -0.00611927
     -0.00170747      -0.0015144
    -0.000364055    -0.000341366
    -0.000340387    -0.000310985
     -0.00036063    -0.000365546
    -0.000291995    -0.000356486
    -0.000113501    -8.68244e-05
    -0.000909943    -0.000951804
    -0.000215195    -0.000168876
     0.000202542     0.000247258
    -0.000978702      -0.0010642
    -0.000127012    -0.000154509
     -0.00157277     -0.00163642
    -0.000973085     -0.00105611
    -0.000323274    -0.000365338
     -3.1248e-05     -3.2341e-05
     -0.00325563     -0.00304328
     -0.00121084     -0.00118363
     -0.00393319     -0.00409854
    -0.000212472    -0.000161657
    -0.000193759    -0.000226803
     -0.00839308       -0.008293
     -0.00155514     -0.00136481
    -0.000305871    -0.000336747
     -0.00795131      -0.0076402
     -0.00224473     -0.00213601
    -0.000780818    -0.000765716
    -0.000733522    -0.000635852
     -0.00213598     -0.00288485
     -0.00501391     -0.00506416
    -0.000766591     -0.00074301
     -0.00298316      -0.0030515
     -0.00266962     -0.00281204
     -0.00027487    -0.000249448
     -0.00327133     -0.00315666
     -0.00455354     -0.00442434
    -0.000168124    -0.000178905
     -0.00790383     -0.00794482
     -0.00599201     -0.00544444
       2.992e-05     1.40984e-05
     -1.8618e-05    -4.21312e-05
    -0.000116476    -0.000138232
     -0.00191891     -0.00195553
      -0.0102679      -0.0114548
    -0.000151753    -0.000135841
    -0.000419203    -0.000445151
     -7.0861e-05    -6.49226e-05
    -0.000757707    -0.000799308
     -0.00462427     -0.00469923
     -0.00504001     -0.00552964
    -0.000530846    -0.000515886
     -0.00170826     -0.00180759
     0.000120999      0.00016074
     -0.00105225     -0.00105457
     -0.00036274     -0.00037448
    -0.000238543    -0.000246389
    -0.000439402     -0.00043564
    -0.000694886    -0.000665324
     -0.00414385     -0.00416709
    -0.000260488      -0.0002678
     -0.00602259      -0.0053801
     -0.00296694     -0.00371581
     -9.3093e-05    -8.43178e-05
     -0.00758165     -0.00808363
       -0.001228     -0.00118812
    -0.000932012     -0.00098732
     -5.4029e-05    -5.53914e-05
      -0.0030995     -0.00282499
     -0.00216989     -0.00197109
     -0.00274535     -0.00284537
    -0.000610577    -0.000684596
      1.3355e-05    -8.92692e-06
     -0.00442444     -0.00431734
    -0.000220631    -0.000271034
     -0.00070355    -0.000644516
    -0.000297787    -0.000302141
     -5.2848e-05    -6.95115e-05
     -0.00679206     -0.00617277
    -0.000596254    -0.000575016
     -7.8598e-05    -0.000105347
    -0.000387342    -0.000439625
     -0.00286501     -0.00293125
     -0.00122093     -0.00105826
     -0.00158932     -0.00174835
     -0.00329027     -0.00378616
    -0.000192427    -0.000184954
      -0.0029536     -0.00331322
     -8.0392e-05    -7.05297e-05
    -0.000323748    -0.000330681
    -0.000295824    -0.000265368
     -0.00191883      -0.0018132
     -0.00141703     -0.00142325
    -0.000207456    -0.000188085
     -0.00198962     -0.00192112
     -0.00550665     -0.00565308
    -0.000873859    -0.000802223
     -0.00112125     -0.00135818
    -0.000660595    -0.000686215
     -0.00192131     -0.00187815
     -0.00141739     -0.00136206
      4.7078e-05     3.89243e-05
    -0.000198788    -0.000166657
    -0.000136491    -0.000170578
     -0.00178143     -0.00178695
     -0.00248641     -0.00259421
     -0.00936952     -0.00931143
    -0.000888767    -0.000900985
     -0.00265276     -0.00259285
    -0.000414802    -0.000413873
     -0.00143733     -0.00147819
     -0.00552908     -0.00533019
     -0.00161817     -0.00160236
      -0.0021665     -0.00203827
     -0.00430772      -0.0042626
    -0.000704121    -0.000658781
     -0.00591193      -0.0058637
     -0.00305553     -0.00291105
    -0.000310399    -0.000382132
      -3.621e-05    -1.65279e-05
    -0.000106391    -0.000106426
     -0.00030989    -0.000294328
    -0.000353128    -0.000371197
    -0.000647595    -0.000573833
    -0.000515867    -0.000589785
     -1.6614e-05    -4.23616e-05
     -0.00373474     -0.00418802
     -0.00279054     -0.00302682
    -0.000488556    -0.000526869
     -0.00550598     -0.00625941
     -0.00398055     -0.00329721
      -0.0163644      -0.0148578
     -0.00083737    -0.000709107
     -0.00172033     -0.00200927
     -0.00042021    -0.000402129
     -0.00915249     -0.00796814
     -0.00901238     -0.00791916
    -0.000235557    -0.000270294
      5.1403e-05     7.35875e-05
     -0.00301629     -0.00291044
     -0.00150354     -0.00148415
    -0.000215809    -0.000192015
     -0.00048131    -0.000523495
    -0.000602814    -0.000607602
    -0.000554707    -0.000655405
     -0.00140756     -0.00138252
    -0.000200424    -0.000201775
    -0.000528554    -0.000588999
    -0.000765997    -0.000797377
     -0.00025213    -0.000212615
     -0.00117178     -0.00120923
     -0.00177415     -0.00200093
    -0.000120121     -0.00012875
     -0.00104316    -0.000957959
    -0.000633179    -0.000549782
     -0.00232815     -0.00230739
     -0.00478511      -0.0040281
      -3.334e-05     -4.0946e-05
    -0.000491629    -0.000596795
    -0.000409399    -0.000432335
    -0.000321664    -0.000342569
    -0.000203466    -0.000167901
     -6.4933e-05    -7.49928e-05
    -0.000601259    -0.000648723
     -0.00464541     -0.00465516
    -0.000146183    -0.000131987
      4.2427e-05     3.80657e-05
    -0.000531063    -0.000745349
      -0.0162382       -0.015056
    -0.000134437    -0.000134704
       7.326e-06    -1.92651e-05
     -0.00404473     -0.00395676
     -2.8301e-05    -2.50644e-05
      -6.528e-05    -0.000114187
     -0.00936008     -0.00973823
    -0.000535101    -0.000627255
     -0.00185255     -0.00181192
     -0.00204094     -0.00177202
     -0.00105184     -0.00110343
     -7.8137e-05    -7.58366e-05
     -0.00557954     -0.00574432
     -0.00055917    -0.000580245
    -0.000161641    -0.000210537
    -0.000185197    -0.000196111
     -0.00618065     -0.00582646
    -0.000353389    -0.000336038
    -0.000426058    -0.000563511
     -0.00480366     -0.00437835
     -0.00280067     -0.00237694
    -0.000726424    -0.000865483
     -0.00566667     -0.00574224
    -0.000354508    -0.000364703
     -0.00055544    -0.000586353
      -0.0010524     -0.00126717
    -0.000834994    -0.000793791
     -0.00154871     -0.00173085
    -0.000491766    -0.000444805
    -0.000406411    -0.000472024
    -0.000684868    -0.000711016
      4.9405e-05     4.83513e-05
    -0.000653349    -0.000730813
     -0.00215274     -0.00246644
     -0.00355437     -0.00357171
      8.9191e-05     5.87378e-05
     -0.00337779     -0.00344416
    -0.000703892    -0.000879691
    -0.000107678    -0.000161627
     -0.00517865     -0.00547285
    -0.000923292     -0.00102906
     -0.00141417     -0.00206066
     -0.00129507     -0.00133801
    -0.000441171    -0.000413642
    -0.000394255     -0.00050111
     -0.00146402      -0.0016149
     -0.00158782     -0.00144771
    -0.000735251    -0.000739307
    -0.000221472    -0.000258284
    -0.000147873    -0.000187894
    -0.000846323    -0.000957216
    -0.000881323    -0.000888206
    -0.000490722    -0.000455987
    -0.000209627    -0.000228603
     -0.00647889     -0.00612398
    -0.000162909    -0.000172828
     -0.00067456    -0.000671332
    -0.000617889    -0.000703705
    -0.000786379    -0.000823226
     -9.3806e-05    -0.000117598
     -0.00139433     -0.00155922
     -0.00847839     -0.00805821
    -0.000774541    -0.000768503
     -0.00122946     -0.00149461
      -0.0057832     -0.00539931
     -0.00758276     -0.00724079
     -0.00560319     -0.00580911
      -0.0128399      -0.0134369
    -0.000773706    -0.000688165
    -0.000360759     -0.00041852
      -0.0115684      -0.0112023
     -0.00171436     -0.00178358
     -0.00103473    -0.000935775
      -4.749e-05    -4.14316e-05
      -0.0100325      -0.0106654
     -0.00596624     -0.00583798
    -0.000148239    -0.000117994
     -0.00140477     -0.00145057
    -0.000688957    -0.000728094
