QM Energy	FF Energy
    -0.000716925     -0.00088981
     -0.00161617     -0.00128399
     -0.00038175    -0.000356145
    -0.000309964    -0.000287122
     -0.00242243     -0.00207982
    -0.000157853    -0.000167052
    -0.000111635    -0.000127395
    -0.000342237    -0.000289347
     -9.0745e-05    -7.49606e-05
     -8.3288e-05    -8.75041e-05
    -0.000291071    -0.000316913
     -0.00046012    -0.000426818
    -0.000644025    -0.000654119
     -0.00165141     -0.00133585
     -0.00113645     -0.00109723
     -0.00126623     -0.00120673
    -0.000248687    -0.000253179
     -0.00135282     -0.00204825
     -8.0569e-05    -6.72318e-05
    -0.000420914    -0.000449998
    -0.000265474    -0.000268305
    -0.000206967    -0.000194006
    -0.000131799    -0.000117046
    -0.000141409    -0.000126824
    -0.000201367     -0.00018019
     -0.00120887     -0.00134875
    -0.000399362    -0.000353703
    -0.000531087    -0.000516512
    -0.000334076    -0.000326361
    -0.000373919    -0.000323954
     -0.00155406     -0.00165821
    -0.000479159    -0.000533311
    -0.000336821    -0.000319518
    -0.000327179    -0.000352433
     -0.00133634     -0.00139258
    -0.000277072    -0.000272946
      -9.554e-05    -8.95638e-05
    -0.000819077     -0.00101849
    -0.000179723    -0.000205204
    -0.000167969    -0.000158001
     -8.2406e-05    -9.71957e-05
    -0.000426509    -0.000467054
     -0.00125938      -0.0016166
    -0.000742941      -0.0008752
    -0.000108266    -0.000111317
    -0.000273321    -0.000265107
    -0.000225996    -0.000268941
    -0.000602551     -0.00061457
    -0.000447623    -0.000472209
    -0.000167213     -0.00015125
    -0.000916913     -0.00100742
    -0.000782003    -0.000893124
    -0.000723736    -0.000799935
    -0.000102015    -0.000106101
    -0.000336234    -0.000303119
    -0.000461182     -0.00045928
     -0.00077165    -0.000856036
    -0.000209611    -0.000200223
     -0.00145083     -0.00112354
    -0.000432645    -0.000442413
    -0.000201482    -0.000179054
      -9.713e-05    -8.09525e-05
    -0.000533554    -0.000560343
     -0.00025905    -0.000275933
     -6.6555e-05    -5.98518e-05
     -0.00089131    -0.000914669
    -0.000487169    -0.000527949
    -0.000133968    -0.000121412
    -0.000127171    -0.000181509
    -0.000534311    -0.000512223
     -0.00014948    -0.000135689
    -0.000675203    -0.000464097
    -0.000679296    -0.000803914
    -0.000106788    -9.90514e-05
     -6.6226e-05    -5.66349e-05
    -0.000142093    -0.000147081
    -0.000126303    -0.000123023
    -0.000203299    -0.000185944
    -0.000156606     -0.00014502
     -0.00029471    -0.000306853
    -0.000267059    -0.000289826
     -0.00207951     -0.00243091
    -0.000155877    -0.000158678
    -0.000540498    -0.000609129
     -7.9759e-05    -8.00084e-05
     -0.00087106    -0.000959517
     -0.00110058     -0.00133015
    -0.000706637     -0.00089129
      -0.0015429     -0.00116391
    -0.000106774    -0.000122113
    -0.000123248    -0.000128349
    -0.000518821    -0.000616399
    -0.000167646    -0.000196353
    -0.000602701    -0.000686053
    -0.000226041    -0.000212837
    -0.000476532    -0.000576785
    -0.000250342    -0.000254288
    -0.000157472    -0.000147105
    -0.000486566    -0.000670843
     -9.3244e-05    -9.86587e-05
    -0.000846154    -0.000859066
       -2.76e-05    -3.00682e-05
     -7.4065e-05    -7.02043e-05
    -0.000127623    -0.000109387
    -0.000296433    -0.000267634
     -0.00013172    -0.000132308
    -0.000215291    -0.000299502
    -0.000607386    -0.000701826
    -0.000278545    -0.000259036
    -0.000782187    -0.000846561
    -0.000717613    -0.000943327
     -5.1073e-05    -7.17352e-05
    -0.000158536    -0.000145343
    -0.000440471    -0.000472555
    -0.000451456    -0.000460229
    -0.000403165    -0.000427311
    -0.000189154     -0.00016404
     -7.2466e-05    -7.52087e-05
    -0.000291845     -0.00017601
     -0.00115833     -0.00132342
    -0.000731239    -0.000794421
