QM Energy	FF Energy
    -0.000716925    -0.000872051
     -0.00161617     -0.00155684
     -0.00038175    -0.000351903
    -0.000309964    -0.000259416
     -0.00242243     -0.00232229
    -0.000157853    -0.000164179
    -0.000111635    -0.000140225
    -0.000342237    -0.000210034
     -9.0745e-05    -5.18435e-05
     -8.3288e-05     -8.6289e-05
    -0.000291071    -0.000328094
     -0.00046012    -0.000433415
    -0.000644025    -0.000654585
     -0.00165141     -0.00124405
     -0.00113645      -0.0010757
     -0.00126623     -0.00124826
    -0.000248687    -0.000264406
     -0.00135282      -0.0019812
     -8.0569e-05     -6.3035e-05
    -0.000420914    -0.000424138
    -0.000265474    -0.000275421
    -0.000206967    -0.000162426
    -0.000131799    -0.000108739
    -0.000141409    -0.000115665
    -0.000201367    -0.000165386
     -0.00120887     -0.00131031
    -0.000399362    -0.000337321
    -0.000531087    -0.000416877
    -0.000334076      -0.0003137
    -0.000373919    -0.000284997
     -0.00155406     -0.00183432
    -0.000479159    -0.000569979
    -0.000336821    -0.000274657
    -0.000327179    -0.000323876
     -0.00133634     -0.00133842
    -0.000277072    -0.000244365
      -9.554e-05    -8.94379e-05
    -0.000819077    -0.000951645
    -0.000179723    -0.000221925
    -0.000167969     -0.00016204
     -8.2406e-05    -0.000105559
    -0.000426509    -0.000462737
     -0.00125938     -0.00148916
    -0.000742941    -0.000907308
    -0.000108266    -8.68914e-05
    -0.000273321    -0.000264492
    -0.000225996    -0.000275335
    -0.000602551    -0.000589955
    -0.000447623    -0.000487479
    -0.000167213     -0.00015729
    -0.000916913     -0.00113117
    -0.000782003    -0.000849728
    -0.000723736      -0.0007483
    -0.000102015    -9.38414e-05
    -0.000336234    -0.000331139
    -0.000461182    -0.000522066
     -0.00077165    -0.000909804
    -0.000209611    -0.000201206
     -0.00145083     -0.00147101
    -0.000432645    -0.000461968
    -0.000201482    -0.000188014
      -9.713e-05    -7.54739e-05
    -0.000533554    -0.000569246
     -0.00025905     -0.00029755
     -6.6555e-05     -4.7738e-05
     -0.00089131    -0.000935965
    -0.000487169    -0.000525198
    -0.000133968    -8.67341e-05
    -0.000127171    -0.000195061
    -0.000534311    -0.000638685
     -0.00014948    -0.000154615
    -0.000675203    -0.000492299
    -0.000679296    -0.000722485
    -0.000106788    -9.00319e-05
     -6.6226e-05    -5.53874e-05
    -0.000142093    -0.000141049
    -0.000126303    -0.000123739
    -0.000203299    -0.000155835
    -0.000156606    -0.000162607
     -0.00029471    -0.000289887
    -0.000267059    -0.000294408
     -0.00207951     -0.00214012
    -0.000155877     -0.00015036
    -0.000540498    -0.000563015
     -7.9759e-05    -8.77123e-05
     -0.00087106    -0.000930549
     -0.00110058     -0.00118332
    -0.000706637    -0.000967942
      -0.0015429     -0.00153187
    -0.000106774     -0.00010662
    -0.000123248    -0.000104985
    -0.000518821    -0.000596077
    -0.000167646     -0.00020448
    -0.000602701    -0.000737982
    -0.000226041    -0.000206906
    -0.000476532    -0.000521898
    -0.000250342    -0.000263272
    -0.000157472    -0.000144283
    -0.000486566     -0.00063266
     -9.3244e-05    -7.33043e-05
    -0.000846154     -0.00090404
       -2.76e-05    -3.46093e-05
     -7.4065e-05    -7.71004e-05
    -0.000127623    -0.000110957
    -0.000296433    -0.000239015
     -0.00013172    -0.000143772
    -0.000215291    -0.000303313
    -0.000607386    -0.000771005
    -0.000278545    -0.000269723
    -0.000782187    -0.000828628
    -0.000717613    -0.000918708
     -5.1073e-05    -8.87223e-05
    -0.000158536    -0.000139131
    -0.000440471    -0.000521051
    -0.000451456    -0.000410652
    -0.000403165    -0.000401704
    -0.000189154     -0.00013978
     -7.2466e-05    -5.75469e-05
    -0.000291845    -0.000177368
     -0.00115833     -0.00167932
    -0.000731239    -0.000794047
    -0.000509666    -0.000339962
    -0.000274835    -0.000216719
    -0.000343328    -0.000376191
    -0.000659807    -0.000671312
    -0.000123479    -0.000104389
    -0.000674603     -0.00067364
    -0.000205829    -0.000185465
    -0.000350443    -0.000193459
     -0.00021321    -0.000167061
     -8.7161e-05    -7.14342e-05
    -0.000287052    -0.000246409
     -5.8282e-05    -5.11514e-05
    -0.000450448    -0.000497597
     -0.00104284     -0.00115575
     -0.00116673     -0.00126341
     -0.00114655     -0.00122556
    -0.000776079    -0.000851692
     -3.6549e-05    -3.20299e-05
    -0.000510912    -0.000463998
    -0.000192497    -0.000187637
