# Eelst 		 Emultipole 
     -0.00510383      -0.00106624
     -0.00500343      -0.00205584
     -0.00130455      -0.00125341
      0.00269343       0.00262198
     -0.01498122       0.00168106
     -0.00057896      -0.00055336
     -0.00078371      -0.00050310
     -0.00149376       0.00007134
     -0.00006467       0.00029584
     -0.00021250       0.00026525
     -0.00194680       0.00030118
     -0.00288360      -0.00088367
     -0.00721143       0.00056479
     -0.01452495      -0.00110677
     -0.01015757      -0.00067857
     -0.00664704       0.00116592
     -0.00138928      -0.00040362
     -0.00668613       0.00683292
     -0.00032022       0.00004527
     -0.00290446      -0.00096728
     -0.00144694      -0.00053644
     -0.00081250      -0.00012956
     -0.00096896      -0.00066242
      0.00128050       0.00117029
      0.00034112       0.00045461
     -0.00106130      -0.00040341
     -0.00174239      -0.00068505
     -0.00240623      -0.00028189
      0.00220394       0.00227146
     -0.00204993      -0.00010847
     -0.01650484       0.00026453
     -0.00303030      -0.00041007
      0.00287196       0.00266638
     -0.00217288      -0.00039220
     -0.00807198       0.00053125
     -0.00091324       0.00034024
     -0.00018441       0.00007088
     -0.00771320       0.00016427
     -0.00064518       0.00023877
     -0.00122055      -0.00083260
     -0.00061324       0.00026467
      0.00134717       0.00281105
     -0.00554906       0.00437925
     -0.00089091       0.00071377
     -0.00005521       0.00016143
     -0.00123403      -0.00088511
     -0.00215435       0.00040813
      0.00083673       0.00279629
     -0.00263092       0.00043793
     -0.00019338       0.00005330
     -0.00570462      -0.00138068
     -0.00585647      -0.00057724
      0.00032028       0.00273389
     -0.00033592       0.00012100
     -0.00020861       0.00042485
     -0.00152687       0.00043392
     -0.00758614      -0.00171922
      0.00163802       0.00177178
     -0.01620173      -0.00008301
     -0.00070861       0.00095603
      0.00034856       0.00021677
      0.00005528      -0.00000531
     -0.00275274       0.00040762
     -0.00092639      -0.00045450
     -0.00006209      -0.00000831
     -0.00937364       0.00038834
     -0.00086698       0.00000019
     -0.00044482      -0.00003925
     -0.00112741       0.00038494
     -0.00023580       0.00130639
      0.00037680       0.00081001
     -0.00405323      -0.00227796
     -0.00114215      -0.00030287
      0.00032955       0.00042039
     -0.00065722      -0.00070055
     -0.00085623      -0.00082685
     -0.00089689      -0.00053989
      0.00036980       0.00092298
     -0.00073844      -0.00049201
     -0.00120396       0.00021724
     -0.00201394       0.00029971
     -0.01422940       0.00579312
     -0.00086179      -0.00012925
     -0.00424487      -0.00007057
     -0.00004620       0.00025066
     -0.01144405       0.00045363
     -0.00195851       0.00008661
     -0.00650209      -0.00130732
     -0.01485428      -0.00007260
     -0.00077786       0.00007595
     -0.00086654      -0.00032285
     -0.00421887       0.00010365
     -0.00133689      -0.00021539
     -0.00354187      -0.00011512
     -0.00066685       0.00071712
     -0.00273045       0.00017671
      0.00042460       0.00052302
     -0.00085585      -0.00017840
     -0.00540716      -0.00082500
      0.00000618       0.00001575
     -0.01060112       0.00015951
     -0.00019444      -0.00003938
      0.00015130       0.00040098
     -0.00033243      -0.00030461
      0.00088315       0.00133379
     -0.00032412       0.00007594
     -0.00196801      -0.00042161
     -0.00734169       0.00060631
     -0.00078799       0.00023100
      0.00147701       0.00192348
     -0.00775174      -0.00046313
     -0.00058111       0.00001371
     -0.00109662      -0.00081844
     -0.00229098      -0.00020166
     -0.00196034       0.00025131
     -0.00293989      -0.00062469
      0.00047149       0.00057736
     -0.00044209      -0.00010589
     -0.00197023      -0.00144084
     -0.01078224      -0.00084159
     -0.00293243       0.00105939
     -0.00429878      -0.00226094
      0.00006690       0.00034481
     -0.00195980      -0.00094418
     -0.00297204      -0.00042780
     -0.00027760      -0.00000598
     -0.00012415       0.00006168
      0.00132743       0.00176480
     -0.00111585       0.00002079
      0.00240408       0.00216827
     -0.00077036      -0.00033504
      0.00100621       0.00169441
     -0.00054172      -0.00061052
     -0.00115860       0.00035873
     -0.00743291       0.00180688
     -0.00487155       0.00282761
     -0.00181461       0.00037227
     -0.00267058       0.00167067
      0.00009874       0.00024428
     -0.00305124      -0.00033434
     -0.00122956      -0.00086978
     -0.00059292      -0.00049605
     -0.00364507      -0.00010629
     -0.00064011      -0.00026516
     -0.00312271      -0.00058439
     -0.00215367      -0.00015399
      0.00065177       0.00136881
     -0.00072788      -0.00032160
     -0.00465202      -0.00001667
     -0.00215436      -0.00032346
     -0.00097059      -0.00038133
     -0.00113848      -0.00089190
     -0.00633070       0.00055355
     -0.00338723      -0.00030093
      0.00247011       0.00285655
     -0.00066866       0.00022852
     -0.00233074      -0.00152018
     -0.00927066       0.00053948
      0.00003955       0.00018677
     -0.00255504      -0.00073040
      0.00193803       0.00181403
     -0.00138389      -0.00012368
     -0.00571223      -0.00012771
     -0.00041003      -0.00050958
     -0.00054427      -0.00006179
     -0.00223161      -0.00109649
      0.00015532       0.00044831
     -0.00181234      -0.00004490
     -0.00228600       0.00019288
     -0.00105626      -0.00067499
     -0.00254204       0.00006018
     -0.00633721      -0.00173530
     -0.00131018      -0.00069003
     -0.00107846      -0.00018095
     -0.00096799      -0.00070708
     -0.00305322       0.00025373
     -0.00739165       0.00063539
     -0.00331319      -0.00121652
     -0.00152534      -0.00021996
      0.00210083       0.00315371
      0.00083773       0.00057708
     -0.00337591      -0.00022408
     -0.00145656      -0.00042943
     -0.00116179       0.00102982
     -0.00008904       0.00031925
     -0.00300500       0.00085371
     -0.00218310       0.00033925
      0.00073631       0.00084195
     -0.00176041       0.00087513
      0.00065004       0.00147711
      0.00024064       0.00054307
     -0.00227810      -0.00002693
     -0.00697382       0.00041765
      0.00058454       0.00070777
      0.00028714       0.00035884
     -0.00427825       0.00123333
      0.00007397       0.00023546
      0.00278812       0.00378601
     -0.00202698       0.00000965
     -0.00031247       0.00001845
     -0.00161261      -0.00119990
     -0.00330059       0.00001564
      0.00242351       0.00241661
      0.00034907       0.00018748
     -0.00027755      -0.00023285
     -0.00053743      -0.00045094
     -0.00079724       0.00009120
     -0.01024800      -0.00226949
     -0.00124948       0.00031019
     -0.00042223      -0.00001120
     -0.00066186      -0.00025502
      0.00030701       0.00045751
     -0.00098442       0.00205173
     -0.00023940       0.00018428
      0.00013015       0.00168480
      0.00188947       0.00186196
     -0.00320044       0.00049730
     -0.00239612      -0.00023712
      0.00003369       0.00036305
     -0.00088968      -0.00062222
      0.00049681       0.00055949
     -0.00048089      -0.00020278
     -0.00158469      -0.00129600
     -0.00377689       0.00025527
     -0.00473459      -0.00240870
     -0.00100577      -0.00013330
     -0.00043585      -0.00018033
     -0.01552616      -0.00079342
      0.00001887       0.00154005
     -0.00103750      -0.00020897
     -0.00003345       0.00028626
     -0.00009295       0.00012072
     -0.00117927      -0.00049355
      0.00057138       0.00106475
     -0.00236990      -0.00161945
     -0.00036964      -0.00022872
     -0.00438233       0.00002394
     -0.00774743      -0.00208436
     -0.00144035       0.00023229
     -0.00312443      -0.00038883
     -0.00389568      -0.00011503
     -0.00652489       0.00034482
     -0.00160911      -0.00124718
     -0.00204328      -0.00116318
      0.00059910       0.00083306
      0.00049241       0.00081808
     -0.00438890       0.00281493
     -0.00186120       0.00087660
     -0.00282124       0.00230655
     -0.00892073       0.00089803
     -0.00065745      -0.00046853
     -0.00070230       0.00084826
      0.00080967       0.00074769
     -0.00179862      -0.00142900
     -0.00077411      -0.00026156
     -0.00087280      -0.00051330
     -0.00381435      -0.00106095
     -0.00000217       0.00048312
     -0.01033254      -0.00222402
     -0.00023212       0.00008780
     -0.00323572       0.00025480
     -0.00014622      -0.00037406
     -0.00105298      -0.00054151
     -0.00026800      -0.00019617
     -0.00015148       0.00008011
     -0.00159595       0.00025111
