QM Energy	FF Energy
    -0.000217551    -0.000140906
    -0.000484511    -0.000423427
     -6.0875e-05    -7.53603e-05
    -0.000387516    -0.000552021
    -0.000107463    -0.000104899
    -0.000117193    -8.70698e-05
     -1.7234e-05    -1.71526e-05
     -9.1109e-05    -5.45066e-05
     -0.00042078    -0.000428858
    -0.000209223    -0.000230602
    -0.000546631    -0.000540981
    -0.000435807    -0.000417149
     -1.9119e-05    -1.75086e-05
     -9.1465e-05    -7.98852e-05
    -0.000301264    -0.000233468
    -0.000151573    -0.000166819
    -0.000129888    -7.78269e-05
     -2.1017e-05    -2.69928e-05
     -4.4312e-05    -9.81671e-05
     -6.9135e-05    -0.000229434
    -0.000174816     -0.00021231
    -0.000105557    -7.49936e-05
    -0.000529655    -0.000637586
      -6.586e-05    -4.44142e-05
     -0.00105697     -0.00100398
    -0.000598815    -0.000687914
     -8.4212e-05    -7.98256e-05
     -0.00149697     -0.00121927
     -6.4779e-05    -6.41965e-05
     -2.4093e-05    -4.43502e-05
     -7.6856e-05    -5.39427e-05
     -5.5872e-05    -7.62392e-05
    -0.000105097    -9.29673e-05
     -5.6457e-05    -0.000126103
    -0.000557846    -0.000769434
      -6.192e-05    -0.000100833
     -6.7045e-05    -7.84292e-05
    -0.000442803    -0.000482596
      -4.222e-05    -2.84046e-05
    -0.000121131    -0.000100815
    -0.000205475    -0.000229384
     -6.0982e-05    -9.34009e-05
     -5.4977e-05    -6.95878e-05
     -6.4406e-05    -5.33724e-05
     -1.2134e-05    -1.52955e-05
     -4.7689e-05    -3.94776e-05
    -0.000339778    -0.000227661
    -0.000252686    -0.000211664
    -0.000990244     -0.00101855
      -4.935e-05    -4.15712e-05
     -1.9062e-05    -2.20458e-05
    -0.000753734    -0.000800932
    -0.000747428    -0.000960875
     -2.8466e-05    -3.09926e-05
    -0.000810916    -0.000791448
     -3.9684e-05    -3.34145e-05
    -0.000216304     -0.00015332
    -0.000269571    -0.000213845
    -0.000739727    -0.000629016
     -5.8826e-05    -6.16625e-05
     -3.9911e-05    -5.75572e-05
    -0.000628539    -0.000702882
     -5.3443e-05    -5.58569e-05
     -1.9248e-05    -1.70244e-05
    -0.000207442    -0.000383071
    -0.000104607    -0.000145535
     -3.5211e-05    -3.67769e-05
    -0.000151515    -0.000228002
     -3.1376e-05    -3.11165e-05
     -0.00055099    -0.000586448
    -0.000291899     -0.00020611
      -9.344e-06    -1.34192e-05
    -0.000292127    -0.000203316
    -0.000131817    -0.000177253
    -0.000104445    -8.82959e-05
    -0.000158704    -0.000104371
     -2.5113e-05     -1.9878e-05
    -0.000178104    -0.000203731
    -0.000484468    -0.000499772
     -2.4659e-05    -2.63865e-05
    -0.000634597    -0.000529263
    -0.000164017    -0.000124835
     -4.7302e-05    -3.65446e-05
     -7.2385e-05    -6.53781e-05
     -0.00033805    -0.000312269
     -4.2323e-05    -4.09035e-05
     -5.2054e-05    -3.88321e-05
    -0.000359409    -0.000473295
    -0.000213027    -0.000157759
    -0.000435637    -0.000389882
    -0.000258685    -0.000319261
    -0.000268967    -0.000297485
    -0.000102003    -0.000122796
    -0.000101115    -5.49746e-05
    -0.000535878    -0.000613394
     -0.00127278     -0.00129792
      -3.342e-05    -4.32846e-05
    -0.000344484    -0.000273653
    -0.000282882    -0.000284142
      -3.902e-05    -4.62478e-05
    -0.000224387    -0.000158999
     -7.6952e-05      -7.927e-05
     -4.7499e-05    -8.33283e-05
     -2.6043e-05    -2.73075e-05
    -0.000136528    -9.44621e-05
     -6.8998e-05    -6.46181e-05
     -5.8336e-05    -9.97908e-05
     -0.00014831    -0.000216191
    -0.000137565    -0.000175059
     -0.00031024    -0.000363518
     -3.2935e-05    -4.24766e-05
     -3.6046e-05    -2.54821e-05
     -4.3646e-05    -3.94471e-05
    -0.000563327    -0.000445869
    -0.000123176     -0.00012123
    -0.000258146    -0.000246431
    -0.000325685    -0.000331802
    -0.000156586     -0.00025884
     -0.00020059    -0.000290875
    -0.000197617    -0.000393979
     -1.9924e-05    -2.09181e-05
     -0.00120694      -0.0011753
    -0.000161908    -9.07787e-05
    -0.000150569    -9.74844e-05
    -0.000103302    -0.000107878
    -0.000117789    -9.75738e-05
     -5.1571e-05    -7.08674e-05
    -0.000174591    -0.000270484
    -0.000465651    -0.000376205
      -7.622e-06    -1.27339e-05
    -0.000339434    -0.000282845
    -0.000113084    -9.52928e-05
     -1.8121e-05    -1.48183e-05
    -0.000492451    -0.000402102
    -0.000415947    -0.000628307
    -0.000437714    -0.000352818
    -0.000280468    -0.000291268
      -1.086e-05    -1.84809e-05
     -2.4659e-05    -2.25265e-05
    -0.000570818    -0.000640854
     -5.1852e-05    -9.40409e-05
    -0.000298447    -0.000281119
    -0.000237098    -0.000389806
      -9.173e-06    -1.21391e-05
    -0.000204972    -0.000117547
    -0.000559254    -0.000446317
    -0.000274892    -0.000200805
    -0.000192485    -0.000197548
    -0.000463245    -0.000872697
     -2.8104e-05     -2.3909e-05
      -0.0001168    -6.89968e-05
    -0.000373728    -0.000369523
    -0.000139612    -0.000188245
    -0.000157524     -0.00022263
     -1.8657e-05    -1.91304e-05
      -6.022e-05    -5.11133e-05
    -0.000341729    -0.000627469
    -0.000411769    -0.000467665
     -7.1071e-05    -4.86223e-05
     -5.9642e-05    -4.65602e-05
    -0.000195968    -0.000246392
    -0.000220008    -0.000163568
    -0.000142291    -0.000207553
     -3.9343e-05    -0.000109359
     -5.0608e-05    -3.74766e-05
    -0.000139066    -0.000124262
     -1.9167e-05    -1.84965e-05
    -0.000184092    -0.000140289
