QM Energy	FF Energy
     -9.0033e-05    -8.00935e-05
    -0.000692087    -0.000581931
     -9.4432e-05    -0.000124557
    -0.000890476     -0.00115424
    -0.000164227     -8.5861e-05
     -4.2641e-05    -5.36287e-05
     -2.5844e-05     -2.4587e-05
       -1.99e-05    -2.78012e-05
    -0.000761802    -0.000498719
    -0.000443165    -0.000401098
     -0.00077901    -0.000746358
    -0.000600079    -0.000699766
     -1.3824e-05    -1.81554e-05
    -0.000152169    -0.000146483
    -0.000512891    -0.000519761
    -0.000328046    -0.000247723
     -4.7136e-05    -3.33091e-05
     -3.4098e-05    -3.22362e-05
    -0.000167623     -0.00010944
    -0.000503713    -0.000315304
    -0.000388563    -0.000410782
     -3.1124e-05     -4.3843e-05
     -0.00124293    -0.000788498
     -1.7579e-05    -1.70181e-05
     -0.00172644     -0.00212826
     -0.00115987    -0.000923386
     -0.00010439    -7.49422e-05
     -0.00233693     -0.00223419
     -9.0302e-05    -8.51304e-05
      -6.545e-05    -6.23083e-05
      -3.368e-05    -3.93537e-05
    -0.000138243      -8.487e-05
     -5.1492e-05    -8.89694e-05
    -0.000269969    -0.000185847
     -0.00154296     -0.00164785
    -0.000178641    -0.000132478
    -0.000143785    -0.000110487
    -0.000750364    -0.000936522
     -2.1609e-05     -1.6391e-05
     -5.9226e-05    -7.59569e-05
    -0.000277206    -0.000406097
     -0.00018422    -0.000148994
     -9.6367e-05    -7.30306e-05
      -4.314e-05    -4.03631e-05
     -1.1921e-05    -1.82461e-05
     -2.3411e-05    -2.26987e-05
    -0.000245812    -0.000196178
    -0.000294772    -0.000284943
     -0.00142044     -0.00183111
     -3.2615e-05    -4.50272e-05
     -2.0399e-05    -1.80566e-05
     -0.00184744     -0.00174402
     -0.00228539     -0.00180678
     -1.9391e-05    -3.49106e-05
     -0.00187452     -0.00165535
     -4.5036e-05    -4.91687e-05
     -0.00016618    -8.85608e-05
    -0.000254956    -0.000239843
     -0.00130899     -0.00125537
    -0.000105946    -6.49733e-05
      -9.721e-05    -9.50973e-05
      -0.0016303     -0.00154924
    -0.000103635    -7.30299e-05
     -1.4735e-05    -1.74473e-05
    -0.000867212    -0.000581556
    -0.000305444    -0.000198638
     -6.2404e-05    -4.24441e-05
    -0.000452038    -0.000276305
     -3.3362e-05    -2.04434e-05
     -0.00103347    -0.000863862
    -0.000195679    -0.000171372
      -6.677e-06    -1.01688e-05
     -0.00025189    -0.000188279
    -0.000302084    -0.000206496
    -0.000107218      -7.286e-05
      -9.337e-05    -6.07033e-05
