QM Energy	FF Energy
     -0.00133429    -0.000918071
     -8.1207e-05    -8.43849e-05
    -0.000617058    -0.000672402
     -4.6629e-05    -8.50292e-05
    -0.000150226    -0.000185336
     -0.00080146    -0.000776077
     -2.8936e-05    -3.90257e-05
    -0.000772626    -0.000802267
     -3.1502e-05    -4.07831e-05
    -0.000195931    -0.000180521
    -0.000181396    -0.000174223
      -1.306e-05    -2.03787e-05
    -0.000137952    -0.000133265
     -4.7991e-05    -6.96141e-05
    -0.000363247    -0.000354283
     -0.00118647     -0.00155562
    -0.000115108     -0.00015326
      -5.592e-06    -8.78842e-06
    -0.000158324     -0.00023701
     -0.00106061    -0.000953015
    -0.000263645    -0.000279428
    -0.000655647    -0.000734065
     -0.00098958     -0.00071266
    -0.000777603    -0.000731574
    -0.000669956    -0.000813167
    -0.000405777     -0.00038796
     -8.3177e-05    -0.000104031
      -2.359e-06    -8.50542e-06
    -0.000298206    -0.000330504
    -0.000271494    -0.000273613
      -5.194e-06    -4.48175e-06
       -9.63e-06    -1.73429e-05
    -0.000187307    -0.000187435
     -6.8221e-05    -7.86676e-05
     -1.0776e-05    -1.24731e-05
     -0.00049158    -0.000386861
    -0.000208235       -0.000197
     -1.1405e-05    -2.74162e-05
     -0.00172839      -0.0015661
     -0.00010192    -0.000114047
     -0.00013361    -0.000138014
    -0.000218555    -0.000248848
      -2.653e-05    -3.95667e-05
    -0.000128464    -0.000120743
     -0.00041012    -0.000385221
     -5.2319e-05    -6.16996e-05
      -0.0004103    -0.000498608
     -2.6929e-05     -4.0165e-05
     -3.3755e-05    -4.33691e-05
    -0.000323594    -0.000408442
     -1.2987e-05    -2.27961e-05
    -0.000151912    -0.000167075
     -4.1803e-05     -7.1428e-05
     -1.5798e-05     -2.4954e-05
     -5.4805e-05    -6.62211e-05
    -0.000873632    -0.000782208
     -1.1295e-05    -2.00521e-05
     -1.4317e-05    -1.81758e-05
     -0.00074561    -0.000841122
    -0.000365032     -0.00035712
       -2.13e-05    -2.63271e-05
      -0.0010626    -0.000827019
    -0.000281497    -0.000306766
    -0.000251451    -0.000230816
     -1.0584e-05    -1.11504e-05
     -0.00080882      -0.0007897
     -2.0977e-05    -4.24793e-05
    -0.000603853    -0.000624176
      -4.048e-06    -5.14392e-06
    -0.000118673     -0.00010896
     -0.00140725      -0.0012199
     -8.1225e-05    -9.31247e-05
       -7.09e-05    -8.49323e-05
     -0.00126535     -0.00155694
    -0.000233762     -0.00028182
      -3.731e-06    -6.73882e-06
        -1.3e-05    -1.73922e-05
    -0.000988041    -0.000970354
     -1.0314e-05    -2.30898e-05
     -1.1312e-05     -1.9395e-05
    -0.000216208     -0.00026984
      -8.101e-06    -1.59589e-05
    -0.000671751    -0.000577294
     -2.5592e-05    -3.12702e-05
     -1.8628e-05    -2.77193e-05
    -0.000544499    -0.000556028
      -3.574e-06    -6.68424e-06
     -3.5877e-05       -4.63e-05
     -3.8988e-05    -5.49707e-05
     -2.6331e-05    -3.69893e-05
     -0.00148684     -0.00150676
    -0.000222363    -0.000328629
    -0.000294372    -0.000291106
     -5.0701e-05    -5.59107e-05
    -0.000422081    -0.000452615
    -0.000884811    -0.000854121
     -5.5141e-05    -8.63506e-05
     -4.0589e-05    -5.85801e-05
    -0.000202894    -0.000182535
     -1.3383e-05    -1.82982e-05
     -2.8907e-05    -3.94612e-05
    -0.000173818    -0.000229477
     -7.3374e-05    -0.000104012
    -0.000225829    -0.000209877
     -0.00064143    -0.000430767
       -2.93e-05    -3.61364e-05
    -0.000360148    -0.000345021
    -0.000384423     -0.00029507
      -7.025e-06    -1.07236e-05
    -0.000335865    -0.000320731
     -1.2711e-05    -1.62743e-05
    -0.000590179    -0.000569227
    -0.000134914    -0.000132948
