QM Energy	FF Energy
     -0.00203084     -0.00177788
    -0.000261883    -0.000238881
    -0.000645428    -0.000524376
        -0.00026    -0.000242512
    -0.000250794    -0.000249027
    -0.000707116    -0.000773286
    -0.000149749    -0.000133006
    -0.000623754    -0.000551263
     -0.00015793    -0.000149233
    -0.000378897    -0.000379899
    -0.000343441    -0.000335209
    -0.000128786    -0.000105153
    -0.000266755    -0.000247672
    -0.000262816    -0.000223366
    -0.000495919    -0.000483573
     -0.00114738     -0.00113754
    -0.000209584    -0.000190437
    -0.000126894    -0.000113735
    -0.000440164    -0.000426535
     -0.00102101     -0.00136142
    -0.000639117    -0.000684161
     -0.00073352    -0.000715882
     -0.00121165     -0.00121359
    -0.000760513    -0.000731528
    -0.000818523    -0.000776584
    -0.000522804    -0.000549424
    -0.000168197     -0.00014179
    -0.000138584    -0.000128094
    -0.000751767    -0.000745003
    -0.000463746    -0.000419064
     -0.00017891    -0.000153385
      -8.114e-05    -7.04657e-05
    -0.000322199    -0.000298333
    -0.000137349    -0.000142861
    -0.000114378    -9.26988e-05
    -0.000770253    -0.000726099
    -0.000335444    -0.000333705
    -0.000183656     -0.00018266
     -0.00183531     -0.00155422
    -0.000329459    -0.000338493
    -0.000422109    -0.000391183
    -0.000459893    -0.000456932
    -0.000144301    -0.000127327
    -0.000276668    -0.000270516
    -0.000616279    -0.000598434
    -0.000168777    -0.000143845
    -0.000664365    -0.000587049
    -0.000146575    -0.000126449
    -0.000202112    -0.000166967
     -0.00050248    -0.000454673
     -9.3123e-05    -8.53618e-05
    -0.000384463    -0.000367833
    -0.000172112    -0.000166386
     -0.00010665    -8.76107e-05
    -0.000128866    -0.000106178
    -0.000785974    -0.000908297
     -7.9931e-05    -8.02688e-05
    -0.000124449     -0.00011706
     -0.00072027     -0.00077324
    -0.000584078    -0.000551747
     -7.1563e-05    -6.19781e-05
    -0.000780182      -0.0011697
    -0.000341775    -0.000349394
    -0.000331469    -0.000380982
      -5.784e-05    -5.81901e-05
    -0.000890894    -0.000759862
    -0.000146862    -0.000128952
    -0.000536347    -0.000505186
    -0.000155495    -0.000131549
    -0.000173104    -0.000165531
    -0.000993757     -0.00150224
    -0.000224088    -0.000215486
    -0.000194075    -0.000188072
     -0.00153761     -0.00157948
    -0.000542374    -0.000505079
     -7.7761e-05    -7.13939e-05
    -0.000112908    -0.000101019
    -0.000806164     -0.00083963
     -5.5826e-05    -5.25776e-05
     -0.00010288     -8.2202e-05
    -0.000477805     -0.00043905
     -6.2974e-05    -6.41444e-05
    -0.000543303    -0.000600391
    -0.000135998    -0.000113964
    -0.000131962     -0.00011893
    -0.000737076    -0.000756906
     -7.9768e-05    -6.60388e-05
     -0.00017347    -0.000155851
    -0.000181633    -0.000159303
    -0.000137182     -0.00012558
     -0.00218938     -0.00214259
     -0.00027375    -0.000274293
    -0.000346577      -0.0003761
    -0.000118396    -0.000121859
    -0.000425258    -0.000423372
     -0.00107103     -0.00110963
    -0.000191382    -0.000178734
    -0.000181917     -0.00018009
     -0.00030998    -0.000323027
    -0.000132288     -0.00010851
    -0.000267893    -0.000254541
    -0.000287352    -0.000260163
    -0.000240268     -0.00021835
    -0.000367898    -0.000395317
     -0.00103685     -0.00119628
    -0.000194725    -0.000153981
     -0.00071528    -0.000609951
    -0.000859005    -0.000854387
     -8.5632e-05    -7.49222e-05
    -0.000444719    -0.000427773
    -0.000108019    -0.000104557
    -0.000575608    -0.000615571
    -0.000245897    -0.000261708
    -0.000131234     -0.00012916
    -0.000589867    -0.000633133
    -0.000150758    -0.000139732
    -0.000130501    -0.000114148
    -0.000207721    -0.000192944
     -9.3192e-05    -8.84885e-05
     -0.00120898     -0.00115771
    -0.000115909    -0.000108827
    -0.000438424    -0.000501641
    -0.000327125    -0.000293932
     -0.00024553    -0.000221204
    -0.000398044    -0.000442468
    -0.000168626    -0.000156621
    -0.000156942    -0.000146001
      -0.0006879    -0.000734031
    -0.000929156     -0.00111747
    -0.000600495     -0.00062238
    -0.000357822     -0.00035394
    -0.000910976     -0.00100103
    -0.000284526    -0.000274074
    -0.000375738     -0.00031747
     -0.00122331     -0.00109004
    -0.000204277    -0.000189365
     -0.00012134    -0.000120441
    -0.000195867     -0.00018797
    -0.000360712    -0.000343258
     -0.00165774     -0.00187187
    -0.000287299    -0.000264724
    -0.000167577    -0.000159926
     -0.00116914     -0.00131048
    -0.000469533    -0.000462559
    -0.000175703    -0.000181708
     -0.00015981    -0.000144066
     -7.2671e-05    -7.08702e-05
      -0.0019545     -0.00185935
     -0.00134998     -0.00148643
    -0.000813763    -0.000901134
    -0.000337137    -0.000314844
     -0.00050554    -0.000389248
    -0.000563914    -0.000705695
    -0.000714805      -0.0007491
    -0.000347573    -0.000317343
    -0.000345478     -0.00034395
    -0.000282658    -0.000241589
     -0.00017067    -0.000151248
    -0.000911591    -0.000957626
    -0.000892655    -0.000814066
     -0.00080024    -0.000791272
      -0.0004775    -0.000492402
     -0.00144009     -0.00128824
    -0.000122896    -0.000107744
    -0.000102362     -9.4001e-05
    -0.000244418    -0.000226069
     -6.8415e-05    -6.90103e-05
      -9.429e-05    -8.90559e-05
     -9.1807e-05    -9.11126e-05
    -0.000680039    -0.000675885
     -8.0516e-05    -7.58512e-05
    -0.000279697    -0.000236751
    -0.000293082    -0.000290662
    -0.000519399     -0.00042134
     -0.00137244      -0.0013464
    -0.000162394    -0.000144652
    -0.000646291     -0.00076174
      -0.0010601     -0.00112456
    -0.000198927    -0.000166544
    -0.000353113    -0.000351859
    -0.000171084    -0.000164169
    -0.000141116    -0.000122453
    -0.000390918     -0.00034451
    -0.000413664    -0.000466996
    -0.000554003    -0.000510102
     -0.00066448    -0.000542521
    -0.000289131    -0.000306206
    -0.000361287    -0.000336273
    -0.000965743     -0.00114394
     -7.7768e-05    -6.69395e-05
    -0.000885683     -0.00106484
    -0.000626018    -0.000688761
     -0.00112527     -0.00114453
     -0.00146055     -0.00172934
    -0.000436147    -0.000456157
    -0.000180778    -0.000149181
     -0.00204105      -0.0017592
    -0.000197758    -0.000188123
    -0.000202325    -0.000186648
    -0.000308743    -0.000283777
     -0.00030693    -0.000287727
    -0.000328491    -0.000331088
    -0.000600765    -0.000617002
     -0.00189918     -0.00193885
    -0.000937438    -0.000940178
    -0.000301988    -0.000255223
    -0.000460332    -0.000499409
    -0.000319132    -0.000324281
    -0.000856447    -0.000764931
    -0.000155957    -0.000159932
    -0.000139834    -0.000117145
    -0.000404112    -0.000423382
     -0.00127854      -0.0012758
     -0.00111728     -0.00106421
    -0.000113116    -9.43359e-05
     -0.00138076     -0.00130039
    -0.000165879    -0.000156486
     -0.00153466     -0.00201719
     -0.00024009    -0.000215593
     -6.5191e-05    -6.12724e-05
     -0.00105599     -0.00114619
    -0.000313581    -0.000292029
    -0.000217777    -0.000217168
    -0.000607642    -0.000778623
    -0.000397209    -0.000415757
    -0.000733909    -0.000611041
    -0.000268558    -0.000242383
    -0.000170081    -0.000153021
     -0.00131305     -0.00133126
    -0.000840567    -0.000824708
    -0.000283177    -0.000276839
    -0.000313845    -0.000290474
    -0.000141833    -0.000118302
    -0.000135536     -0.00012542
    -0.000513516    -0.000555573
    -0.000134098     -0.00011096
    -0.000166081    -0.000147337
     -5.7277e-05    -5.57033e-05
    -0.000198094    -0.000210378
    -0.000342621    -0.000416636
    -0.000524585    -0.000591087
     -0.00107688       -0.001152
    -0.000185745    -0.000164086
    -0.000481921    -0.000413781
     -9.1054e-05     -9.4291e-05
     -0.00074147    -0.000756448
     -0.00193214     -0.00170265
    -0.000785065    -0.000740448
    -0.000842459    -0.000847723
     -8.5162e-05    -8.06346e-05
    -0.000118537    -0.000102707
    -0.000385853    -0.000380103
     -7.8795e-05    -6.95746e-05
    -0.000732415    -0.000682735
    -0.000247339    -0.000243613
    -0.000477861    -0.000509217
    -0.000423776    -0.000455117
     -0.00016385    -0.000166876
    -0.000122651    -0.000124353
    -0.000578739    -0.000562905
    -0.000169253    -0.000157998
    -0.000897191     -0.00143422
     -7.1773e-05    -6.32058e-05
     -8.3122e-05    -7.67189e-05
    -0.000116819    -0.000110536
     -6.3612e-05    -5.19381e-05
    -0.000155455    -0.000142184
    -0.000215193    -0.000215011
     -0.00127027     -0.00120236
    -0.000471347    -0.000498366
    -0.000165559     -0.00014253
    -0.000246857    -0.000234531
     -7.8254e-05    -7.44148e-05
     -7.9145e-05    -7.93836e-05
    -0.000174468    -0.000160529
    -0.000207406    -0.000175913
    -0.000241872    -0.000239761
     -0.00211775     -0.00254433
    -0.000144844    -0.000138425
    -0.000779662    -0.000874982
      -5.831e-05    -4.85529e-05
    -0.000126171    -0.000112896
     -0.00128868     -0.00142215
     -0.00140541     -0.00129115
     -6.8879e-05    -6.40878e-05
     -0.00101642    -0.000923813
     -9.6483e-05    -8.80515e-05
     -9.4734e-05    -7.97053e-05
     -0.00043179    -0.000532891
     -8.7189e-05    -8.04014e-05
    -0.000250325     -0.00022638
    -0.000795748    -0.000915495
    -0.000583004    -0.000689961
    -0.000206327    -0.000200355
       -0.000254    -0.000218382
    -0.000122887    -0.000115037
     -7.4404e-05    -6.85586e-05
    -0.000361222    -0.000364719
    -0.000660473    -0.000692452
    -0.000238232    -0.000242955
    -0.000124111    -0.000126723
    -0.000707225     -0.00101369
    -0.000195221    -0.000189741
    -0.000695094    -0.000628209
    -0.000724848    -0.000814347
      -9.217e-05    -8.12732e-05
    -0.000238374    -0.000242869
      -0.0005181    -0.000503558
    -0.000126202     -0.00011671
    -0.000540225    -0.000518697
    -0.000848022     -0.00076045
    -0.000225139    -0.000193094
     -0.00097354     -0.00101492
    -0.000207616    -0.000207338
    -0.000151182     -0.00014541
    -0.000444605    -0.000435406
    -0.000160259    -0.000141963
     -6.4592e-05    -5.39844e-05
    -0.000821071    -0.000884679
    -0.000337417    -0.000336618
    -0.000389038    -0.000380209
    -0.000413116    -0.000469933
    -0.000356438    -0.000321699
     -0.00127626     -0.00133108
    -0.000104173    -8.84162e-05
     -0.00080375    -0.000739661
    -0.000254394    -0.000223108
    -0.000259984    -0.000224273
    -0.000452242    -0.000479541
     -8.9413e-05    -8.38962e-05
    -0.000237055     -0.00021363
    -0.000281989    -0.000267829
     -0.00042273    -0.000355143
     -0.00126171      -0.0013798
    -0.000180304    -0.000163676
     -7.7623e-05     -6.6771e-05
    -0.000338153    -0.000341493
    -0.000147893    -0.000139501
    -0.000153671    -0.000136044
     -0.00163471     -0.00175748
    -0.000788732    -0.000839489
    -0.000801684    -0.000720056
    -0.000267236    -0.000233923
     -0.00168938     -0.00200489
    -0.000498582    -0.000563952
    -0.000102924    -9.46485e-05
     -9.5641e-05    -8.87768e-05
     -8.4573e-05    -7.66324e-05
      -0.0025096     -0.00221666
    -0.000288228    -0.000337284
     -0.00194439     -0.00174409
    -0.000837794    -0.000775661
      -7.596e-05    -6.72091e-05
    -0.000385244    -0.000373039
    -0.000216429    -0.000195182
    -0.000772987    -0.000738135
    -0.000108666    -9.48724e-05
    -0.000167562    -0.000146293
    -0.000543423    -0.000534579
    -0.000911092    -0.000924812
    -0.000175012    -0.000157106
    -0.000392771    -0.000349912
    -0.000131552    -0.000120563
     -0.00072325    -0.000724198
     -0.00045555    -0.000510025
    -0.000242518    -0.000229162
    -0.000170358    -0.000147068
    -0.000359627    -0.000443896
    -0.000168905    -0.000142388
    -0.000910002    -0.000896402
    -0.000225247    -0.000233854
    -0.000119643    -0.000112507
     -0.00195466     -0.00199882
    -0.000123021    -9.77208e-05
     -6.2116e-05    -5.55205e-05
     -6.3232e-05     -6.1991e-05
     -8.1987e-05    -7.24824e-05
    -0.000123753    -0.000113116
    -0.000220661    -0.000194232
     -0.00056138    -0.000624783
    -0.000877404    -0.000822367
    -0.000134462    -0.000120724
     -7.9818e-05    -7.01877e-05
     -0.00137415     -0.00121832
     -9.3995e-05    -8.37323e-05
    -0.000187878    -0.000200148
    -0.000631732    -0.000660813
    -0.000706934    -0.000705564
     -8.5187e-05    -8.00941e-05
     -0.00114442    -0.000978705
    -0.000143398    -0.000124964
      -0.0003089    -0.000268448
     -7.0187e-05    -6.03553e-05
    -0.000465996    -0.000471664
    -0.000288364     -0.00029073
     -9.0873e-05     -8.5986e-05
    -0.000132278    -0.000128081
