QM Energy	FF Energy
    -0.000918692     -0.00101119
    -0.000771563    -0.000621077
     -0.00380436     -0.00320293
     -0.00125728     -0.00131216
     -0.00323858     -0.00289189
     -0.00123746     -0.00119254
    -0.000914678    -0.000919674
     -0.00103663    -0.000914222
     -0.00162074     -0.00165007
    -0.000634985    -0.000503338
     -0.00636686      -0.0052107
     -0.00102433     -0.00105498
     -0.00134182     -0.00129529
     -0.00272891     -0.00245941
      -0.0021299     -0.00206741
      -0.0086997     -0.00913733
     -0.00783633     -0.00682961
      -0.0111148      -0.0101183
     -0.00500042        -0.00456
     -0.00420527     -0.00397658
     -0.00562226     -0.00589707
     -0.00116649     -0.00116249
     -0.00686158     -0.00751622
     -0.00134182     -0.00128987
     -0.00393065     -0.00345161
     -0.00363891     -0.00322639
     -0.00213466     -0.00226359
    -0.000655273    -0.000544121
     -0.00324095     -0.00331894
     -0.00090502    -0.000801086
     -0.00115177     -0.00113349
     -0.00765334     -0.00779635
     -0.00633564     -0.00704106
     -0.00209823     -0.00216451
      -0.0045364     -0.00390132
     -0.00202584     -0.00193841
     -0.00617972     -0.00672528
     -0.00582983     -0.00601631
     -0.00590626      -0.0061289
     -0.00309466      -0.0026523
     -0.00273725      -0.0026653
      -0.0102367     -0.00932937
     -0.00524865     -0.00502613
      -0.0083882     -0.00818324
     -0.00437184     -0.00368902
     -0.00064833     -0.00058852
     -0.00456227     -0.00430342
      -0.0138661      -0.0132591
     -0.00127824     -0.00119218
     -0.00217633     -0.00233072
     -0.00194892      -0.0019649
     -0.00216146     -0.00182074
     -0.00159412     -0.00130971
     -0.00523892     -0.00555605
     -0.00257356     -0.00250589
     -0.00245246     -0.00255725
     -0.00434401     -0.00437003
     -0.00100754     -0.00100232
     -0.00870802     -0.00812977
     -0.00246253     -0.00213432
     -0.00104865     -0.00103387
     -0.00359122     -0.00370739
    -0.000747667    -0.000751007
     -0.00485811      -0.0050029
     -0.00319561     -0.00315649
     -0.00462908     -0.00468392
      -0.0045707     -0.00393639
     -0.00150071     -0.00149287
     -0.00720316      -0.0057901
     -0.00134144     -0.00142266
     -0.00375798     -0.00322736
     -0.00604179     -0.00611279
      -0.0010052     -0.00104684
     -0.00626046     -0.00618396
     -0.00305489     -0.00338326
      -0.0017051       -0.001554
     -0.00407166     -0.00411581
     -0.00178413     -0.00163436
     -0.00165585     -0.00169408
     -0.00994016     -0.00866852
    -0.000986215    -0.000852845
     -0.00139285     -0.00135876
     -0.00457361     -0.00495655
    -0.000750751    -0.000776376
     -0.00450855     -0.00468327
     -0.00181705       -0.001903
     -0.00458812     -0.00400783
    -0.000944354    -0.000897189
     -0.00339713      -0.0038036
    -0.000757795    -0.000672863
     -0.00176634     -0.00182657
     -0.00179466     -0.00184448
    -0.000738404    -0.000749685
     -0.00133118     -0.00117987
      -0.0025111     -0.00207519
    -0.000925364    -0.000900489
     -0.00477313     -0.00497906
     -0.00469543     -0.00437487
    -0.000904164     -0.00100406
     -0.00401222     -0.00408628
     -0.00157532     -0.00141319
     -0.00156611     -0.00157716
     -0.00282192     -0.00287988
     -0.00375688     -0.00408218
     -0.00269798     -0.00250673
     -0.00644937     -0.00533221
