QM Energy	FF Energy
     -0.00688381     -0.00619364
     -0.00307371     -0.00323852
      -0.0024535     -0.00253368
     -0.00382089     -0.00347457
      -0.0126855      -0.0119025
     -0.00388238     -0.00420591
     -0.00207951     -0.00208328
    -0.000847346    -0.000812497
     -0.00228793     -0.00245559
      -0.0020666     -0.00184888
     -0.00490582     -0.00449935
     -0.00173543     -0.00175827
     -0.00139641      -0.0013915
     -0.00124645     -0.00129604
     -0.00589515     -0.00541264
     -0.00120178     -0.00105599
     -0.00363728     -0.00401138
      -0.0016723     -0.00181675
     -0.00126613     -0.00122046
       -0.010686     -0.00960675
     -0.00843607     -0.00800122
     -0.00539532     -0.00619792
     -0.00148112     -0.00156133
     -0.00170887     -0.00163983
     -0.00262641     -0.00270981
     -0.00200287     -0.00230848
      -0.0046364     -0.00468835
     -0.00817166     -0.00849694
      -0.0031281     -0.00354522
     -0.00975947     -0.00963255
     -0.00189889     -0.00186288
     -0.00813879     -0.00861002
     -0.00405598      -0.0046262
     -0.00522555     -0.00542595
     -0.00149887     -0.00167664
      -0.0120516      -0.0111528
     -0.00296998     -0.00291357
     -0.00385947     -0.00397508
     -0.00368074     -0.00336647
     -0.00163466     -0.00161398
     -0.00202342      -0.0019763
     -0.00542044     -0.00481995
     -0.00394263        -0.00404
     -0.00105136    -0.000915013
     -0.00583938      -0.0058544
      -0.0177142      -0.0198432
     -0.00120911     -0.00121719
     -0.00298873     -0.00304129
      -0.0109153     -0.00946401
     -0.00227756     -0.00229295
     -0.00979462      -0.0108605
     -0.00139645     -0.00146651
      -0.0027888     -0.00227205
     -0.00282489     -0.00280046
     -0.00218462      -0.0022607
     -0.00199189     -0.00187458
     -0.00176783     -0.00168259
     -0.00392275     -0.00405199
     -0.00138908     -0.00138152
     -0.00636515     -0.00741202
     -0.00230697     -0.00254202
     -0.00174246     -0.00155154
     -0.00308307     -0.00268018
      -0.0014588     -0.00154026
     -0.00260109     -0.00262503
     -0.00208756     -0.00206303
     -0.00531551     -0.00496846
    -0.000918761    -0.000775291
     -0.00112547     -0.00109614
     -0.00171601     -0.00191268
     -0.00542539     -0.00607297
    -0.000820786    -0.000761231
      -0.0015514     -0.00156988
     -0.00107578    -0.000842964
     -0.00238173     -0.00250379
     -0.00283518     -0.00228974
     -0.00273974     -0.00278711
     -0.00142832      -0.0013397
     -0.00207293     -0.00211493
     -0.00296446     -0.00309443
     -0.00193984     -0.00196155
     -0.00652657      -0.0066539
     -0.00426405     -0.00353587
     -0.00354232      -0.0040414
     -0.00403706     -0.00361816
     -0.00832848     -0.00874829
     -0.00110118     -0.00100152
     -0.00152826     -0.00161258
     -0.00245025     -0.00233799
     -0.00226972     -0.00236842
    -0.000975257    -0.000931297
     -0.00162023     -0.00150797
      -0.0125863      -0.0148473
     -0.00876773     -0.00892693
     -0.00520514     -0.00576773
     -0.00697126     -0.00643029
     -0.00615404     -0.00659225
     -0.00251832      -0.0025756
     -0.00350471     -0.00343183
    -0.000858622     -0.00079768
     -0.00243761     -0.00275455
