QM Energy	FF Energy
     -0.00138669     -0.00119495
     -0.00016233    -0.000116334
    -0.000100174    -0.000120053
    -0.000379437    -0.000343805
     -0.00226698     -0.00238974
    -0.000255628    -0.000316538
     -9.8063e-05    -0.000106574
     -1.3305e-05    -1.34633e-05
     -8.5088e-05    -0.000127651
    -0.000111962    -8.40225e-05
    -0.000469933     -0.00032593
     -0.00012371    -0.000137419
      -2.575e-05    -3.48883e-05
     -3.5099e-05    -2.90941e-05
     -0.00164308     -0.00137606
     -1.3465e-05    -1.24954e-05
    -0.000369142    -0.000321855
     -9.0114e-05    -8.27591e-05
     -2.2529e-05    -2.16019e-05
     -0.00172712     -0.00162015
     -0.00139412     -0.00127207
    -0.000594775    -0.000610929
     -6.1479e-05    -9.87265e-05
      -4.814e-05    -5.97408e-05
    -0.000164179    -0.000192821
    -0.000110656     -0.00010247
    -0.000606587    -0.000487358
    -0.000977744    -0.000912763
    -0.000331506    -0.000289354
     -0.00175737     -0.00152676
      -9.705e-05    -0.000116854
     -0.00151756      -0.0014746
    -0.000267241    -0.000284218
    -0.000353908    -0.000410675
     -7.5157e-05    -7.06024e-05
     -0.00185541     -0.00178619
    -0.000243615    -0.000268641
    -0.000262714    -0.000312541
    -0.000758929     -0.00077427
     -5.1638e-05    -6.37786e-05
     -7.2311e-05    -8.12631e-05
    -0.000766033    -0.000470754
    -0.000224266    -0.000264478
     -2.6899e-05    -2.18414e-05
    -0.000507274    -0.000541323
     -0.00270562     -0.00298863
     -2.1096e-05    -1.88593e-05
    -0.000166593    -0.000189364
     -0.00202978     -0.00179563
    -0.000140501    -0.000182136
     -0.00190672      -0.0021443
     -4.8794e-05    -4.41513e-05
    -0.000277893    -0.000173925
      -0.0002483     -0.00026644
     -4.3079e-05    -6.89479e-05
     -7.6113e-05    -7.70876e-05
     -8.2097e-05    -9.79696e-05
    -0.000305672    -0.000210305
     -3.6004e-05      -4.629e-05
    -0.000679782    -0.000695546
    -0.000181371    -0.000216309
     -9.2774e-05    -7.34174e-05
    -0.000460731    -0.000425553
      -9.079e-05    -8.08554e-05
     -9.9576e-05    -0.000131572
     -6.1478e-05    -7.11888e-05
    -0.000708428     -0.00052912
      -7.224e-06    -5.28151e-06
      -1.108e-05    -2.14003e-05
    -0.000127694    -0.000110198
    -0.000474236    -0.000539176
     -1.6401e-05    -1.84461e-05
     -2.5181e-05    -4.11645e-05
     -4.7933e-05    -3.60801e-05
    -0.000150401     -0.00014197
    -0.000464782    -0.000302345
    -0.000150811    -0.000192729
     -3.5625e-05    -4.49913e-05
     -0.00011825    -0.000155604
    -0.000165851    -0.000188675
     -6.0895e-05    -6.47747e-05
    -0.000773566    -0.000694931
    -0.000666312    -0.000424484
    -0.000259311    -0.000259864
    -0.000583667    -0.000447651
     -0.00107548     -0.00114496
     -1.1206e-05    -1.00763e-05
     -3.3846e-05    -4.98131e-05
    -0.000171873    -0.000200307
     -5.0463e-05    -6.19271e-05
     -1.3703e-05    -1.92297e-05
     -2.9532e-05    -4.70005e-05
     -0.00260482     -0.00220594
     -0.00117102     -0.00112079
    -0.000436118    -0.000380914
     -0.00121398    -0.000936103
    -0.000762054    -0.000742711
     -8.0295e-05    -0.000113096
    -0.000272527    -0.000313323
     -1.1206e-05    -1.56939e-05
     -6.8359e-05    -8.89186e-05
    -0.000335904    -0.000217627
    -0.000163206    -0.000200692
    -0.000932826    -0.000871855
     -6.9076e-05    -6.54711e-05
     -5.6308e-05    -5.00588e-05
    -0.000307891    -0.000298825
     -4.0598e-05    -6.38098e-05
      -4.268e-05    -5.77907e-05
     -1.3392e-05    -1.86548e-05
    -0.000104833    -0.000131923
     -1.5727e-05    -1.45858e-05
    -0.000663558    -0.000517522
     -2.7263e-05    -2.71233e-05
     -0.00103246    -0.000726687
     -0.00139421     -0.00137449
    -0.000434959    -0.000452746
     -0.00106928     -0.00110743
     -0.00222481     -0.00225071
     -0.00291374     -0.00322626
     -2.5019e-05     -2.9552e-05
      -8.899e-06    -1.66224e-05
    -0.000894352    -0.000766305
     -6.0834e-05     -7.0261e-05
    -0.000306313    -0.000331482
     -0.00201308     -0.00229907
    -0.000895204    -0.000846479
      -7.488e-05    -6.28835e-05
    -0.000565023    -0.000463335
    -0.000368615    -0.000389243
     -0.00024057    -0.000175602
     -2.9995e-05    -2.74228e-05
     -0.00205911     -0.00214541
    -0.000341006    -0.000386058
    -0.000195535    -0.000218467
    -0.000215002    -0.000243582
    -0.000370309    -0.000425827
     -3.2082e-05    -3.82173e-05
    -0.000225699    -0.000282762
     -2.1188e-05    -3.03531e-05
    -0.000386766    -0.000255291
     -3.9917e-05    -3.40353e-05
    -0.000820689    -0.000867007
     -0.00171821     -0.00121111
    -0.000581432     -0.00064076
