QM Energy	FF Energy
    -0.000100828    -9.53445e-05
     -9.3791e-05     -0.00011519
    -0.000173664    -0.000325197
    -0.000121788    -0.000111295
    -0.000215192    -0.000236522
    -0.000186993    -0.000176462
    -0.000245397    -0.000208528
     -4.7295e-05    -4.05445e-05
    -0.000201917     -0.00017076
    -0.000577478    -0.000580967
    -0.000947508    -0.000772665
     -3.8957e-05    -3.38428e-05
    -0.000938871     -0.00103779
    -0.000292958    -0.000238057
    -0.000220106    -0.000215922
    -0.000149056    -0.000159886
     -7.0328e-05    -5.80582e-05
     -0.00108498     -0.00123721
    -0.000124109    -0.000114049
    -0.000104334    -9.72223e-05
     -0.00154196     -0.00147346
     -0.00135241     -0.00135173
     -4.2197e-05     -3.5573e-05
     -0.00118035    -0.000944516
     -5.4774e-05    -4.72171e-05
     -3.5128e-05     -3.0128e-05
    -0.000144774    -0.000160365
    -0.000101208    -9.66337e-05
     -7.5953e-05    -6.55571e-05
    -0.000153456    -0.000136012
    -0.000178888    -0.000172157
    -0.000676044    -0.000652376
     -8.2577e-05    -7.53212e-05
     -0.00181132     -0.00152954
     -0.00031573    -0.000307399
    -0.000558024    -0.000517719
     -0.00055387    -0.000567629
     -0.00165105     -0.00203347
     -0.00037977    -0.000321909
     -6.7581e-05    -6.32688e-05
     -0.00023449    -0.000238066
     -0.00056094    -0.000574949
    -0.000412307       -0.000326
    -0.000402171    -0.000461803
     -0.00117667     -0.00139695
    -0.000271423    -0.000283121
     -0.00107001     -0.00109847
     -0.00102012     -0.00126258
     -4.7382e-05    -4.39354e-05
    -0.000115581    -0.000104185
    -0.000375795    -0.000365331
    -0.000136331    -0.000108724
    -0.000318195    -0.000238905
    -0.000293676    -0.000260018
     -0.00017676    -0.000173459
    -0.000463776     -0.00042721
     -6.7085e-05    -5.96606e-05
    -0.000852643    -0.000908583
    -0.000378242    -0.000425884
     -0.00018048    -0.000146187
     -0.00136373     -0.00159021
     -4.0629e-05    -3.81333e-05
    -0.000105972    -9.99659e-05
     -0.00106298    -0.000892494
    -0.000275674    -0.000260641
    -0.000187886    -0.000152883
     -0.00036743    -0.000420645
     -0.00333268     -0.00307296
    -0.000729898     -0.00101402
