# Eelst 		 Emultipole 
     -0.00033558      -0.00014501
     -0.00175994      -0.00041902
     -0.00399846      -0.00039890
     -0.00054425      -0.00032385
      0.00037046       0.00118780
     -0.00078802      -0.00054589
     -0.00283470      -0.00157037
      0.00000952       0.00004397
      0.00144170       0.00187149
     -0.00089345       0.00070774
     -0.00611320      -0.00075780
      0.00010128       0.00014338
     -0.00363048       0.00001321
      0.00165277       0.00206690
     -0.00047560      -0.00020154
     -0.00043140      -0.00004278
     -0.00088614      -0.00082214
     -0.00783770       0.00001259
     -0.00051516      -0.00014864
      0.00004769       0.00028200
     -0.01127334      -0.00335508
     -0.01210970       0.00165311
      0.00009456       0.00018993
     -0.00771888      -0.00474170
      0.00011758       0.00024091
     -0.00000150       0.00024424
     -0.00094726      -0.00000245
      0.00057948       0.00068257
     -0.00006246       0.00011621
      0.00145827       0.00181158
      0.00004679       0.00025598
      0.00381235       0.00598001
     -0.00054202      -0.00040857
     -0.01106245      -0.00511283
     -0.00174940      -0.00052355
     -0.00298553      -0.00099482
     -0.00189616       0.00072779
     -0.01020893      -0.00213866
     -0.00294229      -0.00156460
     -0.00053628      -0.00037715
     -0.00122111      -0.00002285
     -0.00288308      -0.00032056
      0.00307910       0.00363038
     -0.00185072      -0.00069626
     -0.00409523       0.00179896
     -0.00134477      -0.00072447
     -0.00676392      -0.00197959
     -0.00673494       0.00262406
     -0.00038298      -0.00034133
     -0.00069117      -0.00051171
     -0.00189493       0.00022278
     -0.00148585      -0.00138659
     -0.00285537      -0.00183880
     -0.00137583      -0.00087643
     -0.00056038      -0.00041279
     -0.00180129       0.00062885
     -0.00022590      -0.00007588
     -0.01096155       0.00049869
     -0.00123893      -0.00002238
     -0.00109195       0.00015287
     -0.00895590       0.00009103
     -0.00039581       0.00003897
     -0.00028523      -0.00008772
     -0.01015365      -0.00218060
     -0.00102522       0.00036658
     -0.00031358       0.00003631
     -0.00110641       0.00000953
     -0.02482001      -0.00218802
     -0.00486495      -0.00068653
     -0.00123210      -0.00057323
     -0.00091941      -0.00023282
     -0.00101527      -0.00055400
      0.00213693       0.00383286
     -0.00070310      -0.00028362
     -0.00098969      -0.00083528
      0.00035009       0.00040897
     -0.00142097      -0.00003563
     -0.00454555       0.00006021
     -0.00040355      -0.00021009
      0.00362850       0.00540044
     -0.00063747       0.00075048
     -0.00271495      -0.00004942
      0.00013216       0.00065991
      0.00013441       0.00024219
     -0.00273193      -0.00091175
     -0.00226063      -0.00003505
     -0.00089536      -0.00087698
     -0.00227423      -0.00101801
     -0.00508468      -0.00031304
      0.00175683       0.00197886
     -0.00202673       0.00156353
     -0.00021031       0.00160423
     -0.00049587       0.00008928
     -0.00037680      -0.00017114
     -0.00302213      -0.00041426
     -0.00019029       0.00007230
     -0.00573106       0.00033132
     -0.00041306       0.00005261
     -0.00125074      -0.00077559
     -0.00016295       0.00004312
     -0.00456510      -0.00015064
     -0.00054627      -0.00045036
      0.00017664       0.00595813
     -0.00615342      -0.00063015
     -0.00962458      -0.00267947
     -0.00454937      -0.00098264
     -0.00013995       0.00020621
      0.00186088       0.00359494
     -0.00033738      -0.00008756
     -0.00242109      -0.00063134
     -0.00197380      -0.00142307
     -0.00490328      -0.00069777
      0.00036820       0.00127372
     -0.00711163      -0.00119521
     -0.00278990       0.00038567
     -0.00085335       0.00030846
      0.00088276       0.00216106
     -0.00223078       0.00008869
     -0.00074044      -0.00059152
     -0.00855156       0.00050687
     -0.00452504      -0.00159658
     -0.00174733      -0.00129223
     -0.00951024      -0.00428657
     -0.00065281       0.00011388
      0.00003995       0.00031735
     -0.00435191      -0.00123155
     -0.00037696      -0.00020527
      0.00105863       0.00120739
     -0.00235006      -0.00038407
     -0.00043606       0.00095825
     -0.01179571      -0.00199238
     -0.00042225       0.00076640
     -0.00076797      -0.00047409
     -0.00589010      -0.00110213
     -0.00069949      -0.00065614
      0.00071654       0.00078338
     -0.00473238      -0.00077151
     -0.00758655      -0.00308888
      0.00090531       0.00108396
     -0.00082314      -0.00061653
      0.00315245       0.00535465
     -0.00106563      -0.00054085
     -0.00038139      -0.00032722
     -0.00431107      -0.00073588
     -0.00108305       0.00046300
     -0.00028642      -0.00016987
      0.00212725       0.00252214
     -0.00378485      -0.00001327
     -0.00115067      -0.00082095
     -0.00383444      -0.00152739
     -0.01366311      -0.00155763
      0.00118704       0.00124294
     -0.00340450      -0.00246638
     -0.00609515      -0.00105240
     -0.00436527      -0.00017654
     -0.00299616      -0.00166282
     -0.00100400      -0.00085548
     -0.00775609      -0.00297778
     -0.00106345       0.00036081
     -0.00194037      -0.00068097
      0.00014718       0.00023757
     -0.00394981      -0.00197440
     -0.00048503      -0.00020000
     -0.00770109      -0.00205884
     -0.00894457      -0.00296160
     -0.00218540      -0.00092713
     -0.00059679      -0.00040354
     -0.00047621      -0.00035614
     -0.00515301      -0.00038188
      0.00022456       0.00036749
     -0.00029059      -0.00014608
     -0.00073830      -0.00042248
      0.00024054       0.00037471
     -0.00851674      -0.00485786
     -0.00047074      -0.00023236
     -0.00002080       0.00008784
     -0.00213547       0.00202617
      0.00308050       0.00461718
      0.00172910       0.00184797
     -0.00131866       0.00029687
      0.00005641       0.00022341
     -0.00239034      -0.00111610
     -0.00039464      -0.00017760
      0.00020488       0.00026582
     -0.00646143      -0.00019335
     -0.00010000       0.00012240
     -0.00023500      -0.00006166
     -0.01109567      -0.00213409
     -0.00408584      -0.00248813
     -0.00265858      -0.00073852
     -0.00060228      -0.00044369
     -0.00403526       0.00030200
      0.00119195       0.00136458
     -0.00072169      -0.00059864
      0.00243876       0.00261950
     -0.00086608      -0.00047209
     -0.00079231      -0.00028578
     -0.00002161       0.00017836
      0.00079052       0.00323842
     -0.00024740      -0.00005287
     -0.00688139       0.00068151
     -0.00157949       0.00001682
     -0.00010796       0.00003376
      0.00072871       0.00090601
     -0.00004619       0.00010639
     -0.00000687      -0.00000631
     -0.00307547      -0.00246351
      0.00041541       0.00047341
     -0.00031753      -0.00008046
     -0.00079779       0.00027115
     -0.00095096      -0.00055561
     -0.00255583       0.00033208
     -0.00407868       0.00052673
     -0.00049889       0.00023774
     -0.00111199      -0.00018248
     -0.00575055       0.00236507
      0.00015368       0.00025337
      0.00093794       0.00152262
     -0.00825032       0.00110879
     -0.00412988      -0.00122519
     -0.00151289      -0.00012172
     -0.00155177       0.00041410
     -0.00506027      -0.00170097
     -0.00125858      -0.00012396
     -0.00930907       0.00021860
     -0.00745822      -0.00060751
      0.00052215       0.00283636
     -0.00557054      -0.00015385
      0.00229097       0.00242409
     -0.00564762      -0.00368717
      0.00333938       0.00724895
     -0.00147675       0.00069845
     -0.00879430      -0.00182262
      0.00120875       0.00554675
     -0.00020807      -0.00016416
     -0.00096075       0.00007255
     -0.00000675       0.00014856
     -0.00730254      -0.00294969
     -0.00100991      -0.00080388
     -0.01617529       0.00199505
     -0.00089408      -0.00076152
     -0.00587107      -0.00055090
     -0.00080341       0.00163423
     -0.00159716      -0.00069156
     -0.00594278      -0.00018486
     -0.00211767       0.00109786
     -0.01415850      -0.00199556
     -0.01017788      -0.00240592
     -0.00090739      -0.00067755
     -0.00417396      -0.00049942
     -0.00425653      -0.00073244
     -0.01287123      -0.00221703
     -0.00657172      -0.00127923
      0.00002053       0.00031747
     -0.01708015      -0.00180724
     -0.00003797       0.00007581
     -0.00501793      -0.00225130
     -0.00131041      -0.00036020
     -0.00104088      -0.00075488
     -0.00005145       0.00002835
     -0.00008277       0.00056948
     -0.00544039      -0.00242913
      0.00215064       0.00511114
     -0.00072428      -0.00025990
     -0.00642945      -0.00142709
     -0.00046607      -0.00036649
      0.00234623       0.00247840
     -0.00004067      -0.00002501
     -0.00127295       0.00051217
     -0.00061464      -0.00046298
     -0.00012678       0.00031317
     -0.00394577      -0.00261001
     -0.00258412       0.00049604
     -0.00049587      -0.00025898
      0.00015785       0.00020427
     -0.00010587       0.00038265
      0.00041744       0.00233741
      0.00042814       0.00072871
     -0.00099022      -0.00045243
     -0.00077346       0.00001566
     -0.00062846      -0.00055411
     -0.00037063      -0.00018074
      0.00077516       0.00145605
     -0.00134276      -0.00090878
     -0.00031300      -0.00021509
     -0.00794028      -0.00222589
     -0.00039054       0.00006316
     -0.00027299      -0.00015705
     -0.00154281       0.00002487
     -0.00032705      -0.00014166
     -0.00124988      -0.00035487
     -0.00105477      -0.00096287
     -0.00077160      -0.00038248
     -0.00124115      -0.00064410
     -0.00031148      -0.00012494
     -0.00143500      -0.00035105
      0.00005220       0.00034912
      0.00098010       0.00537796
     -0.00164133       0.00018255
     -0.00074525       0.00009880
      0.00001185       0.00122910
     -0.00053827      -0.00019635
      0.00059686       0.00232236
     -0.00015657       0.00049774
     -0.00561087      -0.00225507
      0.00010252       0.00017520
     -0.00033817      -0.00008188
      0.00043331       0.00053669
      0.00016672       0.00036693
      0.00050199       0.00100359
     -0.00144604       0.00231251
     -0.00018486       0.00019574
     -0.00280347       0.00260108
      0.00001862       0.00014387
     -0.00545325       0.00022142
      0.00171209       0.00198360
      0.00024929       0.00041925
     -0.00014950      -0.00003906
     -0.00095124      -0.00057686
     -0.00440283      -0.00007382
      0.00030716       0.00061645
     -0.00585820       0.00047101
     -0.00032266       0.00028676
     -0.00010093      -0.00004281
     -0.00009149       0.00017041
     -0.00100026      -0.00059241
     -0.00893451       0.00023260
     -0.00118133       0.00096882
     -0.00492629      -0.00142670
      0.00012727       0.00021346
     -0.01826258      -0.00085771
     -0.00270060      -0.00029353
     -0.00302898      -0.00114490
     -0.00134265      -0.00048488
     -0.00252085      -0.00056316
     -0.00114708       0.00051585
     -0.01040083      -0.00415129
     -0.00541249      -0.00215263
     -0.00198439       0.00036942
     -0.00809193      -0.00143477
      0.00013497       0.00035048
     -0.00589608      -0.00265345
