QM Energy	FF Energy
      -2.805e-05    -5.15117e-05
     -0.00022461    -0.000163319
    -0.000704382    -0.000576281
     -4.7196e-05    -5.73717e-05
     -0.00018427    -0.000250514
     -3.6718e-05    -2.39786e-05
    -0.000234312    -0.000186781
     -1.0164e-05    -1.36738e-05
     -5.4338e-05    -9.80072e-05
    -0.000505236    -0.000575204
    -0.000927833     -0.00107323
      -9.237e-06    -1.06882e-05
    -0.000822133    -0.000767989
     -4.3614e-05    -3.11008e-05
     -4.7039e-05     -2.9882e-05
     -8.3827e-05    -0.000108115
      -8.217e-06    -1.58431e-05
     -0.00147466     -0.00160367
     -4.6489e-05    -5.13845e-05
     -6.1385e-05    -6.37708e-05
      -0.0014614     -0.00145784
     -0.00164255     -0.00190862
     -1.5215e-05    -2.07902e-05
    -0.000921516     -0.00095732
      -2.358e-05    -2.42438e-05
     -3.5062e-05    -3.50156e-05
    -0.000179594    -0.000196047
     -1.9845e-05    -3.36161e-05
     -4.2739e-05    -5.06691e-05
     -4.9841e-05    -8.10982e-05
      -2.814e-05    -1.70573e-05
    -0.000303128    -0.000110783
     -3.3036e-05    -4.69262e-05
     -0.00160279     -0.00163255
    -0.000272829    -0.000278211
    -0.000465646    -0.000467302
    -0.000486111    -0.000542724
     -0.00195088     -0.00122938
    -0.000328044    -0.000301719
     -2.8337e-05    -4.45335e-05
    -0.000196214    -0.000253832
     -0.00053933    -0.000635294
     -6.8599e-05     -2.8315e-05
    -0.000198097    -0.000130548
     -0.00140247     -0.00106303
     -9.1611e-05    -5.18269e-05
      -0.0010153    -0.000979201
     -0.00116811    -0.000875987
      -1.029e-05    -1.76288e-05
     -5.5898e-05    -6.48098e-05
    -0.000243729    -0.000329783
     -2.9328e-05    -2.74194e-05
    -0.000158297    -0.000178566
    -0.000140748    -0.000174264
     -2.8428e-05    -1.83978e-05
    -0.000586327    -0.000597355
     -1.9307e-05    -2.53943e-05
     -0.00210014     -0.00134088
    -0.000207915     -0.00013447
    -0.000174161    -0.000129127
     -0.00181932      -0.0016603
     -7.1688e-05    -5.96947e-05
     -3.5414e-05     -4.3148e-05
     -0.00115342     -0.00132987
     -0.00030089    -0.000259311
     -3.5332e-05     -5.3546e-05
    -0.000239368    -0.000169574
     -0.00231753     -0.00299718
    -0.000816196    -0.000670153
    -0.000112733    -9.40177e-05
    -0.000119637    -0.000123489
     -3.3028e-05    -5.42134e-05
    -0.000244903    -0.000306093
      -7.696e-05    -7.01333e-05
     -1.9358e-05     -1.6567e-05
     -2.0386e-05    -2.37097e-05
    -0.000247037    -0.000333026
     -0.00108781     -0.00106217
     -3.3983e-05    -5.31885e-05
    -0.000233744    -0.000105314
    -0.000597147    -0.000527109
    -0.000723451    -0.000833487
    -0.000118887     -0.00012288
      -2.244e-05    -2.17813e-05
    -0.000383907    -0.000499433
    -0.000455488    -0.000436986
     -4.1916e-05    -5.31982e-05
    -0.000263015    -0.000377177
    -0.000999006     -0.00106158
     -1.6523e-05    -1.04452e-05
     -0.00062839    -0.000702383
    -0.000509503    -0.000510003
    -0.000176139    -0.000219632
      -3.122e-05    -3.56642e-05
      -0.0006303    -0.000540764
     -8.4707e-05    -9.03304e-05
     -0.00137028     -0.00147908
     -8.2405e-05    -7.40447e-05
     -8.8958e-05    -0.000124602
     -6.3068e-05    -8.87987e-05
    -0.000884381    -0.000951345
     -1.7555e-05    -2.59201e-05
    -0.000866148    -0.000684876
     -0.00102519    -0.000934173
     -0.00154158     -0.00107058
    -0.000642153    -0.000653592
     -8.5051e-05    -0.000100317
    -0.000301603    -0.000321169
     -4.9088e-05    -6.36273e-05
    -0.000285253    -0.000237632
    -0.000175768    -0.000182903
    -0.000921593    -0.000885083
    -0.000247993    -0.000310627
      -0.0011418     -0.00104465
    -0.000419379    -0.000336379
     -0.00029727    -0.000256645
    -0.000269084    -0.000282321
    -0.000629845    -0.000819345
     -1.5591e-05    -1.40329e-05
     -0.00144898     -0.00168146
    -0.000619922    -0.000454525
     -8.4621e-05    -6.63332e-05
     -0.00127137     -0.00114947
    -0.000133442    -0.000192799
     -3.6854e-05    -4.88252e-05
    -0.000628579    -0.000663876
     -2.9667e-05    -3.87099e-05
     -1.5135e-05    -3.47879e-05
    -0.000345823    -0.000440031
    -0.000306816    -0.000336685
     -0.00225827     -0.00142538
    -0.000175039    -0.000203021
     -8.1572e-05     -8.4754e-05
      -0.0010006    -0.000664339
     -1.4093e-05    -1.95516e-05
      -8.858e-06    -1.05243e-05
    -0.000644652    -0.000497973
    -0.000855108    -0.000729081
      -9.965e-06    -6.58166e-06
     -3.5378e-05    -2.27636e-05
    -0.000319167    -0.000139889
    -0.000108191    -9.95867e-05
     -1.2947e-05    -1.46043e-05
    -0.000882765    -0.000992861
    -0.000269478    -0.000243366
      -6.546e-06      -9.816e-06
     -4.9425e-05    -6.65013e-05
    -0.000561635     -0.00052365
      -6.131e-05    -5.06686e-05
    -0.000328794    -0.000372431
     -0.00236538       -0.001823
      -8.587e-06    -1.92539e-05
     -0.00022845     -0.00022077
     -0.00118083     -0.00124786
    -0.000669565    -0.000573646
    -0.000274877    -0.000280362
     -3.3955e-05    -5.88469e-05
     -0.00122011     -0.00108603
    -0.000304352    -0.000335072
    -0.000228263    -0.000140216
     -1.6061e-05    -2.49168e-05
    -0.000491935    -0.000359853
     -4.3465e-05    -4.43588e-05
    -0.000866508    -0.000631119
     -0.00127372     -0.00113787
    -0.000302546    -0.000382934
     -2.9195e-05    -2.12835e-05
     -1.7414e-05    -1.37202e-05
    -0.000709485    -0.000777509
     -3.5941e-05    -5.41633e-05
     -1.5448e-05    -2.18392e-05
     -3.7873e-05    -3.40336e-05
     -2.4907e-05    -4.50366e-05
    -0.000991005    -0.000986634
     -4.5355e-05    -5.45537e-05
       -1.87e-05     -1.3911e-05
    -0.000769014    -0.000844917
     -0.00022067    -0.000120109
      -9.111e-06    -1.81403e-05
    -0.000347807    -0.000331616
     -2.2986e-05     -3.0447e-05
    -0.000190206    -0.000154897
     -4.4191e-05    -3.72488e-05
     -1.0559e-05    -1.64657e-05
     -0.00114691     -0.00110543
     -3.2851e-05    -2.66546e-05
      -3.371e-05     -4.4212e-05
     -0.00174833     -0.00181771
    -0.000412067    -0.000401688
    -0.000355453      -0.0002349
     -4.8839e-05    -6.93583e-05
     -0.00118749    -0.000909045
     -3.0344e-05    -5.00608e-05
     -3.4643e-05    -4.30032e-05
     -1.9568e-05    -7.44481e-06
     -6.1891e-05    -4.78712e-05
     -7.5298e-05    -5.48362e-05
     -3.7651e-05    -5.00431e-05
    -0.000446207    -0.000452908
     -3.8759e-05    -4.04984e-05
     -0.00130508     -0.00116275
    -0.000336471    -0.000310902
     -2.6207e-05    -1.86736e-05
     -5.4071e-05    -8.17102e-05
     -2.6948e-05     -4.0086e-05
      -6.592e-06    -1.46264e-05
    -0.000236949    -0.000216492
     -1.6226e-05    -2.22472e-05
     -6.1894e-05    -7.34815e-05
    -0.000310101    -0.000269616
    -0.000102212    -0.000119785
    -0.000522662    -0.000510929
    -0.000903899      -0.0010583
    -0.000155891    -0.000135784
    -0.000261017    -0.000300414
    -0.000992234      -0.0008877
      -2.234e-05    -2.71975e-05
    -0.000122527    -0.000184264
     -0.00188951     -0.00127572
    -0.000522747    -0.000351371
    -0.000237303    -0.000232445
    -0.000404196    -0.000311038
     -0.00057076    -0.000544961
    -0.000175428    -0.000172649
     -0.00179542      -0.0016809
     -0.00103922    -0.000785132
    -0.000313855    -0.000214453
      -0.0010296    -0.000850264
     -1.8066e-05    -1.58187e-05
    -0.000604929     -0.00049276
    -0.000558845    -0.000226064
    -0.000823956    -0.000792988
     -0.00109125     -0.00095692
    -0.000578995    -0.000286665
     -1.3615e-05    -1.98878e-05
    -0.000220307    -0.000260124
     -4.6949e-05    -5.60617e-05
    -0.000654821    -0.000805133
     -5.2427e-05    -5.70962e-05
     -0.00211737     -0.00279128
     -1.0092e-05    -1.50279e-05
    -0.000774418     -0.00105337
    -0.000491554    -0.000588218
    -0.000211852     -0.00021642
     -0.00101669    -0.000740865
    -0.000875845      -0.0011599
     -0.00193207     -0.00148097
     -0.00186074     -0.00159688
     -4.8083e-05    -3.27219e-05
    -0.000879722    -0.000699729
    -0.000497198    -0.000407371
     -0.00165341     -0.00215326
      -0.0012857     -0.00111737
     -8.4143e-05    -0.000110302
     -0.00264063     -0.00261231
     -2.2661e-05    -2.13178e-05
    -0.000522369     -0.00059582
     -8.5027e-05    -0.000124798
     -6.5559e-05    -6.37198e-05
     -1.5516e-05    -2.57062e-05
    -0.000187094    -0.000204788
    -0.000849688    -0.000805832
    -0.000868354     -0.00084269
     -9.3335e-05    -0.000104867
    -0.000775172     -0.00060578
     -2.6764e-05    -4.45845e-05
      -7.582e-06       -2.79e-06
      -9.371e-06    -1.56189e-05
     -0.00073575    -0.000591479
     -3.0656e-05    -3.89293e-05
    -0.000108231     -0.00017176
    -0.000265828    -0.000268324
    -0.000790053    -0.000700022
     -5.6458e-05    -8.27279e-05
     -1.3406e-05    -2.33792e-05
    -0.000142681    -0.000145938
    -0.000224073    -0.000127318
     -4.1677e-05     -7.7746e-05
    -0.000111585    -0.000131987
    -0.000158331     -0.00018491
     -1.5239e-05    -2.30286e-05
     -3.0983e-05    -2.20674e-05
     -9.7279e-05    -0.000150788
     -8.0515e-05    -5.48884e-05
     -2.8857e-05    -4.44635e-05
     -0.00118894     -0.00126952
     -8.6884e-05    -0.000101437
     -1.2708e-05    -1.81781e-05
    -0.000366401     -0.00038496
     -3.1443e-05    -4.59613e-05
    -0.000209042     -0.00033088
     -1.0125e-05    -1.86058e-05
     -7.7719e-05    -0.000109783
    -0.000105792    -6.36513e-05
     -4.5986e-05    -3.68679e-05
    -0.000194287    -0.000221656
     -6.2583e-05    -5.70342e-05
    -0.000650788    -0.000419759
    -0.000309667    -0.000227978
    -0.000164863    -0.000184252
    -0.000292121    -0.000314237
     -5.5881e-05    -4.14911e-05
    -0.000259868    -0.000174343
    -0.000219442    -0.000193376
    -0.000965525    -0.000966589
      -8.418e-06    -1.16884e-05
     -7.2287e-05    -8.67578e-05
     -2.3017e-05    -3.65997e-05
     -1.4021e-05    -2.65694e-05
     -9.1473e-05    -0.000174771
    -0.000930464     -0.00104134
     -9.0963e-05    -9.26494e-05
    -0.000788604    -0.000964626
     -1.9228e-05    -2.68265e-05
     -0.00106369     -0.00109126
     -4.2394e-05    -6.54782e-05
     -3.1799e-05    -3.16314e-05
     -1.7486e-05    -2.65375e-05
     -8.0284e-05    -7.48103e-05
     -0.00105683    -0.000996504
